var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-1.87359316861672	0.343072928658358	1.20103969099888e-7	0.053441168562653	6.96824410584143e-7	v535	have ever been married
v535_2	1	1.77915243113851	0.369638484461169	2.65849823613207e-6	0.0428813385936079	1.50429181091698e-5	v535	have ever been married
hv118_0	1	-2.01254120573475	0.258485082618339	1.515877e-13	0.0312305748461245	8.93905921779859e-13	hv118	eligibility for male interview
hv118_1	1	2.01254120573476	0.258485082618338	1.515877e-13	0.0312305748461243	8.93905921779859e-13	hv118	eligibility for male interview
hv105	1	0.0413752970036705	0.00359712259336048	3.754411e-25	0.027160201585647602	2.6933352985755e-24	hv105	age of household members
v013_1	1	-1.7266496883607	0.351206707390824	1.5448171287786e-6	0.022293879593444	8.76092236546062e-6	v013	age 5-year groups
hv116_08_1	1	1.30440418503459	0.433409726622216	0.00307894532148409	0.0197934115700432	0.0139188228357216	hv116_08	currently, formerly, never m.
hv115_0	1	-1.25258127565856	0.246664414308644	7.16320520912395e-7	0.0197121463059761	4.09930698103957e-6	hv115	current marital status
hv116_0	1	-1.25258127565856	0.246664414308644	7.16320520912395e-7	0.0197121463059761	4.09930698103957e-6	hv116	currently, formerly, never m.
s819_2	1	-15.7626606988345	0.368300631591467	3.046085e-85	0.0191147818918346	1.21746698888889e-83	s819	the last time you had an injection from a health worker, what was the reason for
hv121_0	1	1.63998124583281	0.272586132422394	5.832545e-9	0.0188647574041231	3.41542983953488e-8	hv121	member attended school during current school year
v024_3	1	-1.54038275928617	0.434600600624702	4.64496938711238e-4	0.017256163489727	0.00234851873187588	v024	region
hv101_3	1	-1.32558006342301	0.231637568122764	2.80180245510625e-8	0.0172070796481939	1.63308763471239e-7	hv101	relationship to head
v525	1	0.0929837035930623	0.019430687150923	2.83288052029602e-6	0.0170819149202084	1.59579265103029e-5	v525	age at first intercourse
v139_3	1	-1.52921786569897	0.433075454001168	4.87379346358577e-4	0.0169521179603989	0.00244466373332848	v139	de jure region of residence
hv121_2	1	-1.59205021538791	0.285469602186823	5.97412614871419e-8	0.0161430074505918	3.47409922458714e-7	hv121	member attended school during current school year
hv101_1	1	1.05663254390596	0.156717127684844	9.542664e-11	0.0148885017353612	5.60103215664336e-10	hv101	relationship to head
s423_5	1	3.71535012136095	0.72620314769276	5.96484693503704e-7	0.0137833425811903	3.42910606904641e-6	s423	do you think your chances of getting aids are small, moderate, great, or no risk
hv107	1	0.143620938929864	0.0319706933489863	1.04861969039836e-5	0.0136377191467384	5.80313050642433e-5	hv107	highest year of education
sh14b	1	0.143620938929864	0.0319706933489863	1.04861969039836e-5	0.0136377191467384	5.80313050642433e-5	sh14b	grade of education completed?
sh112_12	1	-1.59516208779646	0.335152858449708	3.17794476005462e-6	0.0132869234403094	1.78617520219141e-5	sh112	what language speak most often with at home?
v501_5	1	1.57374384306863	0.29442007851385	1.93854371158878e-7	0.0124425601442119	1.12212714155875e-6	v501	current marital status
hv116_2	1	1.43071795778644	0.240946033715076	8.953856e-9	0.0122254270585492	5.23104626635731e-8	hv116	currently, formerly, never m.
v480_8	1	-15.5543885040088	0.356980748668756	2.607699e-86	0.0121839196292352	1.094364347e-84	v480	syringe and needle from new, unopened package
v168_1	1	0.887703510952963	0.22313069283864	8.94310099823386e-5	0.0117467956161712	4.80143460843345e-4	v168	away for more than one month in last 12 months
v168_0	1	-0.880525844778895	0.222054260057264	9.41737568950775e-5	0.0116564967585217	5.0453089332299e-4	v168	away for more than one month in last 12 months
v502_2	1	1.23953390103345	0.241673850805466	5.60667614881574e-7	0.0115955568715191	3.23798406943074e-6	v502	currently/formerly/never marr.
hv116_05_0	1	-0.89328537409736	0.339886194200098	0.00917249907016682	0.0111743861269668	0.0351008399068086	hv116_05	currently, formerly, never m.
hv115_05_0	1	-0.89328537409736	0.339886194200098	0.00917249907016682	0.0111743861269668	0.0351008399068086	hv115_05	current marital status
v502_0	1	-0.9452018501569	0.268356780021471	5.03246917003618e-4	0.0110266499966304	0.00251423757344268	v502	currently/formerly/never marr.
v501_0	1	-0.9452018501569	0.268356780021471	5.03246917003618e-4	0.0110266499966304	0.00251423757344268	v501	current marital status
hv024_3	1	-1.52740426630469	0.413175182693139	2.64815010948866e-4	0.0109520941466004	0.00136360776599028	hv024	region
v513_0	1	-0.923647862721868	0.269471759153704	7.04995308675641e-4	0.0104827744181405	0.00346714489696341	v513	marital duration (grouped)
hv115_5	1	1.4446553526244	0.291455523053968	1.27561318954618e-6	0.0097532117136111	7.26695477664543e-6	hv115	current marital status
