name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-14.049221316029	1.00346424918027	5.1679e-38	0.00555928521812699	5.8195706744868e-37
hb62_2?	-1.59490846935354	0.720740147002482	0.0288636993281716	0.155146591658865	0.0919043162688051
hb62_3?	1.23063485537988	0.781219904485395	0.116057329063843	0.0635303776402573	0.268469966027203
hb62_4?	1.95211286382908	0.865762130505207	0.0246020113736577	0.0227697107930516	0.0803330983629639
hb62_5?	-13.9909996342169	0.606766773146033	6.677e-81	0.0139686446572527	1.9424e-79
hv008	0.0806391346284422	0.0638302318618582	0.207024358967357	0.00129415819308998	0.407261034034145
hv009	-0.0758617571728551	0.0214963596943771	0.000453382363633158	0.0080122219628137	0.00219272324574099
hv010	-0.192694782133681	0.0644428887613671	0.0029180804050686	0.00611817975355122	0.0121533934441035
hv011	-0.137641306013151	0.0732115340343703	0.0606506078132929	0.00322293772914228	0.164476224578421
hv012	-0.0750058799767103	0.0213145570900121	0.000470502381610638	0.00754213337527099	0.00226407161075796
hv013	-0.0788932107158961	0.0220607376406288	0.000380618716668665	0.00829388388253316	0.00186663585186165
hv014	-0.0371624167756439	0.0519119861230131	0.474385313744482	0.00024216083248696	0.698749368921677
hv016	-0.00844276277756451	0.00790889363493553	0.286231953111564	0.000770202724684532	0.505596265264475
hv017	0.201634392121597	0.122139737370326	0.0993627065773663	0.00286330581719929	0.240121329928941
hv018	0.0012760910975767	0.00118474864214556	0.281927158145565	0.000717563602724791	0.50111228381724
hv019	-0.000940035176159846	0.00898808335709919	0.916743304109606	6.08744035268671e-06	0.960254852095168
hv028	1.21582869507999e-07	1.61514600376267e-07	0.45192475625648	0.00108883893617695	0.679166175689521
hv030	0.000608597372608631	0.0012001825829235	0.612304862241923	0.000164646726172557	0.797845494064806
hv031	0.000975689732823646	0.00123937786526322	0.43149304710756	0.000391625654312167	0.657000654000703
hv035	-0.113435615404652	0.119565064236232	0.343188383096553	0.000452068273649187	0.563662699354475
