name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_699994	-13.9980185553621	1.00700663031474	1.1709e-37	0.00312793597290428	1.6086235483871e-36
hb62_2?	-1.31254753106972	0.659997606206748	0.0487695845477103	0.133796006090059	0.134484760842715
hb62_3?	-0.540465137676027	1.08143369968348	0.617545146158714	0.0640799779830015	0.781720787723366
hb62_4?	-1.67430211151458	1.06889829668771	0.117911615827516	0.0208246419258589	0.266012491740358
hb62_5?	-13.9246855274169	0.601452354373117	9.1804e-82	0.00929076810331508	3.41635662135922e-80
hv008	0.0746084975320271	0.0580565707288723	0.199309286858971	0.00106989211948727	0.376516755313177
hv009	-0.0484701688779265	0.019893930162556	0.015155749770097	0.00338904451538069	0.0539888372386448
hv010	-0.203167520682046	0.0591796821355621	0.000642676110547659	0.0062622725295095	0.0031785516538441
hv011	-0.180580708624211	0.0668497729417071	0.00712449883082658	0.00522584646797686	0.0282019619586388
hv012	-0.0500730071775343	0.0201276247478958	0.0131556142676554	0.00350603199825728	0.0480700376433967
hv013	-0.0489160138198555	0.0201102507092719	0.0153238861497431	0.00332853397552901	0.0545370989897542
hv014	-0.0151491949872103	0.0497525506634398	0.760871510160554	4.05415919990659e-05	0.877905845969816
hv016	-0.00807087112488205	0.00767882950949736	0.29370438645508	0.000718759238083067	0.489500076359268
hv017	-0.0298845570079264	0.0953950113038139	0.754195437136668	5.3522376908588e-05	0.874684148425068
hv018	-8.78206872447001e-05	0.00114667823961677	0.938980491866818	3.24776015558914e-06	0.971944970382261
hv019	0.0155504419434621	0.0100752197869336	0.123312268035406	0.00168465494861603	0.275440514790042
hv028	-1.68842564308911e-07	1.21604797556443e-07	0.165572623655033	0.00188266031466133	0.335256136539747
hv030	0.000105461369422705	0.00121835958144784	0.931053300535238	4.76353827494336e-06	0.966872744771489
hv031	0.000507221238161141	0.00122186974354913	0.678220042582981	0.000100922824051275	0.826270912800686
hv035	-0.0351531845967734	0.124147706634686	0.777165869488635	4.22092930679741e-05	0.887627168578647
hv040	-0.000378369991492231	0.000140082524038441	0.00712958547819488	0.00359964530352419	0.0282019619586388
hv041	-0.148563657864848	0.0412245123232406	0.000342697587269902	0.00871504692283476	0.00177989139838148
hv204	-0.000834849074584288	0.000140192422900813	4.6928e-09	0.021806482762175	3.5548423715415e-08
hv216	-0.0667875939721759	0.0332347759938741	0.0449746891157049	0.00258713640055486	0.126569738164829
hv218	-11.861129455034	0.730236880965659	1.3901e-48	0.000261748230700354	2.38935125560538e-47
hv220	0.0048030378462651	0.00365024386078228	0.188796222496887	0.000820987569141618	0.364378610690115
hv238	0.000389620048748066	0.00315926066045313	0.902019465994151	4.56969023816534e-05	0.95562206002089
hv245	-0.00252840508174874	0.000731785283037895	0.00065296948555116	0.0235023639256203	0.00322529901819278
hv246a	0.000106214591659649	0.00453025396732473	0.98130352860006	2.47802535824349e-07	0.99178754079684
hv246b	-0.00766331520760125	0.00852823518630203	0.369279038385261	0.000336577627695123	0.566405183725773
hv246c	-0.0541978661196697	0.0232498515755469	0.0201162657839718	0.00210970002682875	0.0682955241363719
hv246d	-0.00745606363557778	0.00490136232035007	0.128794746514967	0.00129841777883466	0.282581719171075
hv246e	-0.0062714074713451	0.015322504331552	0.682487192843307	0.000201141524281523	0.827924938230212
hv246f	0.00317846239191156	0.00586644921807153	0.588178646318505	0.000138091360467274	0.760880442571323
hv271	-5.67383338498625e-06	7.37879034104881e-07	7.0607e-14	0.0367388101370418	5.9875360840708e-13
hml1a	0.0790604267667093	0.0437946743504607	0.0715931249651842	0.00138406363865107	0.180655989461192
hml2	0.183908050386257	0.195803682766324	0.348024571820662	0.000370278564013504	0.547500667573367
sh142	-0.0289944940780549	0.0553366903198256	0.600798736975142	0.000955742866423193	0.76941582319603
sh144	-0.00175478748072017	0.000885491963018635	0.0488287459956006	0.0339405749486966	0.134550261149112
sh146	0.0606007949940646	0.0290963147269117	0.0383683711412613	0.0114554648904657	0.114181651074887
sh148	0.0261537250836181	0.0371780705174811	0.482167978971868	0.000615501478428926	0.674175878787243
sh150	-0.00850976010830388	0.00317912616175172	0.007748263038901	0.0253277604700078	0.0303051961511301
sh152	-0.0379054546816738	0.0876524363638186	0.665646118044604	0.000230087694637393	0.815671857565527
sh153	-0.0699530436782415	0.122719806283648	0.569002906558322	0.000464455012624598	0.748708596236886
hv107	0.0854819008531922	0.0396491353191486	0.0315387720022425	0.00353198863907378	0.0967879208043198
hv108	-0.0637894672572959	0.0152467881371045	3.34668335133952e-05	0.00866210832129111	0.000195546300086652
hv123	0.0590250712355295	0.161226044774041	0.714625975888278	0.00019062710446649	0.84908907798505
hv124	-0.247180257470148	0.0390542204792866	5.1983e-10	0.0458293467561259	4.09139299794661e-09
ha0	-0.253212755598441	0.0792271430526032	0.00147491694483135	0.0181553400343866	0.00691119394809115
ha1	0.0339597601286265	0.00369984983607081	9.2792e-19	0.0285448322539436	8.01062468468468e-18
ha2	-0.000603368150102107	0.000359625876351846	0.093973528269965	0.0011969414731412	0.222466443232312
ha3	-0.000216330937215336	0.00087488280455957	0.804794786022801	2.81404569395516e-05	0.902245807202514
ha4	-1.35684992559155e-05	2.1369002370572e-05	0.525723297681627	0.000214185693555802	0.709142576937701
ha5	-0.00034732665986155	0.000535182599713952	0.516623582609389	0.000198649326384692	0.702952854860415
ha6	-7.85550768191722e-05	0.000144632148278914	0.587260403096493	0.000137146252943254	0.760880442571323
ha11	-0.00166692621242919	0.000438412058910322	0.000159839127793536	0.00717811981979632	0.000856871855709963
ha12	-0.000114289048408135	2.88966386166854e-05	8.67394298895002e-05	0.00767057455220954	0.000480451206309905
ha12a	-2.96225367199205e-05	2.05641691483953e-05	0.150309724134428	0.000835347437150524	0.311593927856821
ha12b	-2.68884033453533e-05	1.93386561518181e-05	0.164983353219075	0.000806189448689376	0.334416283917882
ha32	-0.00282068865874336	0.000310703789173428	2.0698e-18	0.0282895985884737	1.78281874157303e-17
ha35	-0.157618672373144	0.0487634120484397	0.00130311694674728	0.00367541117684478	0.00618174165455733
ha40	-0.00017922978303496	0.000100084310906982	0.0738893965818285	0.00129518009038254	0.184868183484431
ha41	-0.000272798966821561	0.00016230845016154	0.09339306781363	0.00118063947413583	0.2217940699688
ha53	-0.0231256150264062	0.00374312014037454	1.2792e-09	0.0225928646044216	9.92545263157895e-09
ha56	-0.0221217649662042	0.00376182847932947	7.1766e-09	0.0201980276955021	5.38315221135029e-08
ha67	0.114090638975312	0.0374018439329219	0.00240015140729938	0.0059603652973188	0.0106602321485267
ha69	-1.69213619890125e-07	1.02364827645395e-07	0.098904095963993	0.00279386871369736	0.231723349529331
hml16	0.0339597601286265	0.00369984983607081	9.2792e-19	0.0285448322539436	8.01062468468468e-18
hs0	0.0949045660137055	0.0936477084289002	0.311382694111033	0.00227212986716185	0.510055498516064
sh303	-0.0356903542397147	0.00963379579930121	0.000237140788380324	0.014690356363258	0.00124344821048123
sh312	-0.0748188110052476	0.0210035358006337	0.000406551436885586	0.0185280867861761	0.0020860932497757
sh314h	-0.023258343593746	0.0313717864954761	0.458841125856313	0.00100231309482246	0.650902307700684
sh314m	0.00135199280798066	0.00488524347692092	0.782095584330329	0.000107866307809235	0.89094317206141
sh315a	-0.00649357538973462	0.00354472549460321	0.067610245099349	0.00380112511756847	0.172997376145397
sh315b	-0.00707698517275156	0.00589029841755701	0.230186560236031	0.00162217415696575	0.414686669750094
sh322h	-0.0206648341996727	0.0308674655817199	0.503529579372462	0.000806257890797579	0.692262868627922
sh322m	0.00142357347213047	0.004837863486641	0.768693674966288	0.000111686633843977	0.883866950674007
sh324a	-0.00799895801363492	0.0036249030047397	0.0278283951811657	0.00510168050640025	0.0880811219896021
sh324b	-0.00522206875987257	0.00582523777260822	0.370476189596187	0.000895791658130252	0.567333293936151
sh332h	-0.0209281051883759	0.0308478793674813	0.497840681505395	0.000833423951142498	0.688125864272947
sh332m	0.00472503040287422	0.00556558805653831	0.396338261888756	0.00117162784118252	0.590654960272007
sh334a	-0.00670491843406266	0.00389448079522423	0.0858058991198432	0.00323638145133698	0.207897605136763
sh334b	-0.00791559233281577	0.00595983818618653	0.184785309703831	0.00200536234981874	0.359716654187295
sh335aa	-0.00804164050850399	0.00383815109760392	0.0366971310676907	0.00462021664689394	0.110062678703019
sh335ab	-0.00691759190544649	0.00608283494045646	0.256029690287873	0.00146218266652987	0.44518763281103
sh336c1d	-0.00861404613423407	0.0114586879778871	0.452594717268325	0.00105821425789621	0.645963454531287
sh336c1m	0.0218351074242894	0.0959888666160555	0.820157165855566	0.000110806356954707	0.907280109793817
sh336c1h	0.044010140471384	0.0690404955813001	0.524154072455843	0.000758676301253924	0.708421212878437
sh336c1n	0.00788155935023757	0.00658800166105774	0.23218973998651	0.00229645850717775	0.417244853899809
sh336f1h	-0.00134742943172381	0.0336178511642721	0.968046952255216	2.76641112939569e-06	0.984223864189454
sh336f1m	0.00522108174308795	0.00883711840843945	0.554949968686162	0.000570533890470015	0.738044004790349
sh336g1h	-0.0234680047963526	0.02793898323808	0.401381518479924	0.00102517443301164	0.596757048694463
sh336g1m	-0.000366599177804071	0.00822444249514618	0.964466902195298	3.48916714443259e-06	0.98270049993106
sh336jd	-0.00596074290204252	0.0117873291300947	0.613325876131248	0.00050253401485334	0.778656027550081
sh336jm	0.0178065151792913	0.0997418508422635	0.85839168932741	7.1787453449712e-05	0.932049904713991
sh336jh	0.0897885745251964	0.0602960382549029	0.137169816059002	0.00344830354723213	0.294912725706302
