var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sm714b_1	1	4.23244061423076	0.348737243870157	1.468144e-29	0.271467404609376	1.17843025066667e-28	sm714b	hiv test results
sm714b_2	1	-4.23244061423076	0.34873724387016	1.468144e-29	0.271467404609376	1.17843025066667e-28	sm714b	hiv test results
v605_8	1	-2.73166730022925	0.48759753095828	3.93043561797562e-8	0.0854069139641509	2.26640061496295e-7	v605	desire for more children
hb32	1	-0.00417783477910829	4.23110516651777e-4	3.292255e-21	0.0498255807377964	2.07750263102725e-20	hb32	date of birth (cmc)
mv010	1	-0.0500919895876007	0.00508105584692552	3.751203e-21	0.0497653911315047	2.36215921129707e-20	mv010	year of birth
mv012	1	0.0500420111224087	0.00506238475101462	3.001926e-21	0.0497603305335553	1.89827673529412e-20	mv012	current age
hb1	1	0.0499890834941245	0.00505074391068349	2.706393e-21	0.0496399990801486	1.71499851157895e-20	hb1	man's age in years
hml16	1	0.0499890834941245	0.00505074391068349	2.706393e-21	0.0496399990801486	1.71499851157895e-20	hml16	corrected age from individual file
sh23_0	1	-1.36295039088869	0.183541330776062	4.548679e-13	0.049454707304449	2.74930196586345e-12	sh23	eligibility for male interview 35-64
sh23_1	1	1.3629503908887	0.183541330776062	4.548679e-13	0.0494547073044489	2.74930196586345e-12	sh23	eligibility for male interview 35-64
mv245	1	0.500368103733608	0.0659245718293497	1.532824e-13	0.043512135915751	9.30201661290323e-13	mv245	number of women fathered children with
hv124	1	-0.269251926238414	0.0478653408686652	3.01393408490542e-8	0.0387923576489361	1.74460415299333e-7	hv124	education in single years - current school year
hv122_0	1	2.30603718239742	0.394523062957453	8.8879e-9	0.0373399315057064	5.19467553398058e-8	hv122	educational level during current school year
v781_0	1	-1.41822378038719	0.211562467076218	5.253753e-11	0.0369594873646598	3.13144485742574e-10	v781	ever been tested for hiv
v781_1	1	1.41822378038719	0.211562467076218	5.253753e-11	0.0369594873646596	3.13144485742574e-10	v781	ever been tested for hiv
hv121_0	1	2.2364683753309	0.376379766219424	5.125554e-9	0.0365069582830159	3.01326514453125e-8	hv121	member attended school during current school year
hv121_2	1	-2.2364683753309	0.376379766219425	5.125554e-9	0.0365069582830155	3.01326514453125e-8	hv121	member attended school during current school year
v013_1	1	-2.04767358944522	0.384878655008188	1.53539541472856e-7	0.034199576362586	8.78619809569005e-7	v013	age in 5-year groups
v201	1	0.215771153750104	0.028024406241727	7.127831e-14	0.0337430311826377	4.33429723434343e-13	v201	total children ever born
hb56	1	-0.0289656880213849	0.00440856785560287	1.209385e-10	0.0324200348707722	7.19416768774704e-10	hb56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hb53	1	-0.0282603547589041	0.00443581989286493	4.10529e-10	0.0316376039953172	2.43726289940828e-9	hb53	hemoglobin level (g/dl - 1 decimal)
v013_2	1	-2.0289500756484	0.389131251049496	2.66006650271475e-7	0.0305665967553761	1.51071701380592e-6	v013	age in 5-year groups
v218	1	0.212430966927785	0.0295239422531583	2.235779e-12	0.0293359424578886	1.345938958e-11	v218	number of living children
v531	1	0.0867855788982264	0.0119367255065657	1.307991e-12	0.0290551019128595	7.88988559118236e-12	v531	age at first sex (imputed)
v525	1	0.0895062696775714	0.0127652595634897	7.274811e-12	0.0288239300552751	4.3619882689243e-11	v525	age at first sex
hv122_2	1	-2.6843205232147	0.556359398501727	1.83862782704244e-6	0.0287122114531363	1.03251301481301e-5	hv122	educational level during current school year
hb0	1	-0.342465765448513	0.0818045080162195	3.3223051553617e-5	0.0286438772814824	1.76058776718991e-4	hb0	index to household schedule
hivline	1	-0.342465765448513	0.0818045080162195	3.3223051553617e-5	0.0286438772814824	1.76058776718991e-4	hivline	Line
v829_11	1	0.898990934183822	0.212837546001459	2.87662770079009e-5	0.0284635144927667	1.54343126192124e-4	v829	place where last hiv test was taken
hv101_1	1	1.01990403674696	0.188946116011274	1.02210789702694e-7	0.028268348677419	5.87126864513567e-7	hv101	relationship to head
v150_1	1	1.01990403674696	0.188946116011274	1.02210789702694e-7	0.028268348677419	5.87126864513567e-7	v150	relationship to household head
sh327_0	1	1.0900460812401	0.294871768887913	2.50397511143674e-4	0.0276854960439941	0.00126884934098057	sh327	blood glucose ever measured before the survey
v834a	1	0.0402466128029339	0.00661044537990088	2.305809e-9	0.0267830671962015	1.36087942941176e-8	v834a	age of most recent partner
v745b_0	1	-1.031909956959	0.178751249433164	1.333107e-8	0.0267419249743873	7.7764575e-8	v745b	owns land alone or jointly
hv225_0	1	-1.01923787483086	0.252549063655344	6.66811865548635e-5	0.0265448787003038	3.49669636812089e-4	hv225	share toilet with other households
hv225_1	1	1.01923787483086	0.252549063655344	6.66811865548634e-5	0.0265448787003038	3.49669636812089e-4	hv225	share toilet with other households
v602_6	1	-2.2729908910283	0.477105080625822	2.47764230106146e-6	0.026466529064182	1.38361842786549e-5	v602	fertility preference
hb56_1	1	-0.0254145361275494	0.00444340431665446	1.81019039836339e-8	0.0255294771614102	1.05186739364359e-7	hb56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
v745a_0	1	-0.97136247335632	0.191563929935691	5.50136890705958e-7	0.0254961723894741	3.11261661846792e-6	v745a	owns a house alone or jointly
sh327_2_0	1	1.099998275	0.355092426146179	0.00214714178712859	0.0254366331152623	0.0101777902035544	sh327_2	blood glucose ever measured before the survey
sh327_2_1	1	-1.099998275	0.355092426146179	0.00214714178712857	0.0254366331152621	0.0101777902035544	sh327_2	blood glucose ever measured before the survey
