name	estimate	se	p.value	Nag.r2	adj.p.val
ha62_6C5A1I	-13.4065951023413	1.00286501593095	2.907316e-35	0.00148439465262018	2.52641546898551e-34
hb62_3?	0.0534122600203835	0.953000398255362	0.955346588738963	0.0773016076514801	0.976851662018899
hb62_4?	-16.8895039110544	0.615446360584202	3.388437e-97	0.0246383983824783	1.25414001555556e-95
hb62_5?	-15.3318995667395	0.598800497007132	5.969399e-93	0.0103000277088485	1.94524545673913e-91
hv008	-0.0176227283820091	0.0968933283896148	0.855748699643364	4.11175753317616e-05	0.940790099571252
hv009	-0.0839086247269162	0.028025234755084	0.00288238899576562	0.00649639415939973	0.0128210715271592
hv010	-0.22189386416304	0.0782479258040374	0.00474710390124494	0.00549608152571357	0.0201583817222838
hv011	-0.324517758009482	0.124168683990364	0.00921751382357284	0.01000892298159	0.0370927603262703
hv012	-0.081468102027808	0.0278784485429515	0.00362416395708226	0.00595303733895747	0.0159233121037974
hv013	-0.0814549682348417	0.0283796723003948	0.00426709822312758	0.00591908384947293	0.0183621006005388
hv014	-0.043299269256605	0.0859953158403879	0.614818040498567	0.000158329585580486	0.809852585858833
hv016	-0.00195511360588791	0.0123446822227744	0.874220413980605	2.71756424508052e-05	0.946435110324703
hv017	0.0626608891127145	0.122275978888159	0.608547583189815	0.000156307492920948	0.806722765829263
hv018	0.000344044172400987	0.00176365236534026	0.845409555798902	3.41980041511647e-05	0.93525381855539
hv019	0.00542323101560184	0.015194046873259	0.721286105431947	0.000125407589613324	0.862651842729342
hv028	-1.93544158339146e-07	1.67800212802432e-07	0.249260793220548	0.00158506798457669	0.498000503054263
hv030	7.03640822138748e-05	0.00184236295375459	0.969548821575098	1.4693358686424e-06	0.98268915370891
hv031	0.00178202756366283	0.00180941271367357	0.32514223731818	0.000853115445650587	0.588277868123056
hv035	0.0137995453238819	0.211019829358203	0.947884667644377	4.041745556016e-06	0.974091744015086
hv040	-0.000184884962061545	0.000215643692334289	0.391633917900422	0.000577458668938657	0.651202709853281
hv041	-0.229926151451118	0.05877354401056	0.000103487001246483	0.0132758390460841	0.000549122176525586
hv204	-0.00104437496444548	0.000200722851739113	2.81215314824859e-07	0.0212496307059931	1.64664748797837e-06
hv216	-0.223919524879687	0.0621607983703944	0.000345386616858305	0.0132026476218396	0.00175503233447661
hv218	-10.1245382661847	1.01148037891219	1.039569e-21	4.63429784585134e-05	6.70242550967742e-21
hv220	-0.00675785959849961	0.00488264803494878	0.166927069528325	0.00108635990691386	0.3706310375498
hv238	0.0136202669843083	0.00384264588240511	0.000542223279328769	0.0474084297032684	0.00270480098407263
hv245	-0.00224668580735096	0.00124451533709992	0.0723996338113674	0.0100647940488582	0.201162281896645
hv246a	-0.0173799433587492	0.00848407643784752	0.0410031929798453	0.00369371805056762	0.129533796157615
hv246b	-0.0564908553072289	0.0271979512405677	0.038284839058549	0.00399648108668871	0.122364549570927
hv246c	-0.0860716353003168	0.0394043016475933	0.0293794854860823	0.0034428203807092	0.101241031594569
hv246d	-0.0252582001415856	0.00870489933598656	0.00386837756722652	0.00713973111915756	0.0169305050314527
hv246e	-0.0530902730244612	0.0312969855203566	0.0904123863772294	0.00260887886130923	0.235906296221874
hv246f	-0.0143357016096137	0.0105271234498381	0.173849119410874	0.0015501900245396	0.382953460686113
hv271	-6.46022578131337e-06	8.95763209389114e-07	1.927347e-12	0.0271799357723445	1.19137861979381e-11
hml1a	0.0277933335341572	0.0625438487464421	0.656949164737135	9.49845344272449e-05	0.830876866997632
hml2	-0.167281577967958	0.443816496872147	0.706387684006429	7.34983210550766e-05	0.859825528482044
sh142	-0.136364715585655	0.132587935472501	0.305125106814805	0.00974161559168829	0.564145625306553
sh144	-0.000391631539274478	0.000436752000138055	0.371248095088807	0.0187881809480841	0.630456783109684
sh146	0.0767190261882834	0.0316299904363725	0.0162910390505485	0.0337070758322915	0.0610506688419305
sh148	-0.128259263976818	0.0566862252512522	0.0242973030116318	0.00862188912369999	0.0861032085447661
sh150	-0.00276900877048787	0.00193911668795049	0.154274463263184	0.00666728390641302	0.350390030956838
sh152	0.171337438722736	0.073140468465048	0.0197375606479298	0.0118718420607309	0.07172509917878
sh153	0.169758381344883	0.0934840260076966	0.070359863355012	0.00967925008539749	0.19750830556023
hv107	-0.0245558665246604	0.0468282855321339	0.600240905177854	0.000169139110004934	0.80270137657448
hv108	-0.0674863133991126	0.023096258324438	0.00362762580616866	0.00698049532341294	0.0159233121037974
hv123	-0.109222095954561	0.188941539790634	0.563800410204809	0.0011522370841196	0.781373087785015
hv124	-0.139249759496712	0.049173762823754	0.00480582318961114	0.014738663293516	0.020350081811376
hb0	-0.225028305036436	0.0693314225019554	0.00124609252787218	0.0133901587835993	0.00596770830441022
hb1	0.0415249917664441	0.00535795939884891	4.756123e-14	0.0266071890125424	2.96441928357588e-13
hb2	-0.000946737754527035	0.000542702499123141	0.0816570821617513	0.00161965438178124	0.219361946524131
hb3	0.00137696169782257	0.00104457740240509	0.188009429192153	0.00105651426333797	0.408374959798502
hb4	5.70989604338236e-05	3.46789843871102e-05	0.100256945244514	0.00184822885352143	0.255153074569655
hb5	0.000732092914319849	0.000659117771155095	0.267196949515816	0.000778033984404458	0.518147771441408
hb6	0.000195907508890111	0.000177212615048345	0.269449952646285	0.000760332543254472	0.521588689253927
