var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv128_09	1	0.287823772687758	0.109311177113139	0.00934188081727158	0.0356245229215858	0.0234608597797389	hv128	education in single years - previous school year
hv018103	1	16.9815019612791	1.16545305841943	1.197218e-38	0.0281329041737455	4.79196958861578e-38	hv018103	NA
hv125_09_9	1	19.180288861004	1.08068135697768	8.806771e-39	0.0232876608258648	3.5341309304799e-38	hv125_09	member attended school during previous school year
hv121_09_9	1	19.180288861004	1.08068135697768	8.806771e-39	0.0232876608258648	3.5341309304799e-38	hv121_09	member attended school during current school year
hv110_09_9	1	19.180288861004	1.08068135697768	8.806771e-39	0.0232876608258648	3.5341309304799e-38	hv110_09	member still in school
hv122_09_9	1	19.180288861004	1.08068135697768	8.806771e-39	0.0232876608258648	3.5341309304799e-38	hv122_09	educational level during current school year
hv126_09_9	1	19.180288861004	1.08068135697768	8.806771e-39	0.0232876608258648	3.5341309304799e-38	hv126_09	educational level during previous school year
sh55a_05_3	1	3.77310106586235	1.10790170505694	8.51346668314802e-4	0.0230578681671811	0.00234765293383779	sh55a_05	read conscent statement to respondent for anemia
v305_05_1	1	1.97553248452336	0.248705556576317	1.532838e-14	0.0197521540254947	4.54272104597701e-14	v305_05	ever used method
v305_05_0	1	-1.94657917314289	0.248359537981438	3.227135e-14	0.0192623765722848	9.53653838586437e-14	v305_05	ever used method
v302_3	1	1.96395775663986	0.247933461832209	1.783414e-14	0.0188776876515351	5.28027073301435e-14	v302	ever use of any method
v302_0	1	-1.81662014758676	0.27067568484349	5.685671e-11	0.0182298096524589	1.67537772133333e-10	v302	ever use of any method
v150_1	1	2.20963486762871	0.5629444654162	9.99364595487473e-5	0.0149902925184763	2.86830617665885e-4	v150	relationship to household head
v761_1	1	1.88305416913916	0.362273225141021	3.08348899239472e-7	0.0141731258630492	9.00029711553704e-7	v761	last intercourse used condom
v150_101	1	-3.40291838449607	0.999735009679998	7.22643844299908e-4	0.0139048074570964	0.00201066551642438	v150	relationship to household head
v761_0	1	-1.84596593358508	0.363392915533518	5.57844908891107e-7	0.0137383622519291	1.62674095014994e-6	v761	last intercourse used condom
v536_0	1	-3.35979891492859	1.0004839404838901	8.49777078839969e-4	0.0133371818619549	0.00234750918029541	v536	recent sexual activity
v605_8	1	-3.35717591869987	1.00047540747933	8.57589949063514e-4	0.0133032202261816	0.00236066130106985	v605	desire for more children
v602_6	1	-3.35717591869987	1.00047540747933	8.57589949063514e-4	0.0133032202261816	0.00236066130106985	v602	fertility preference
