var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
v527	1	0.00312618494887802	7.95235122084317e-4	9.68751384319432e-5	0.00873212836270287	2.77681147256418e-4	v527	time since last sex
hml6_8	1	-12.2990337006503	0.451224583733439	6.8216e-100	2.76461136833217e-4	6.06967363636364e-99	hml6	net treatment status
b3_03	1	-0.00907044248114687	0.0021188710232085	2.2584650212221e-5	0.0136421404636519	6.61075929576413e-5	b3	NA
sh104a_1	1	0.591958445569829	0.226596735310129	0.00926900930172215	0.00243768196096505	0.0230889743899738	sh104a	distance from the house
hv013	1	-0.166363980343028	0.0451339039955708	2.53229506558868e-4	0.00399525795149847	7.18401100128962e-4	hv013	number of de facto members
b2_01	1	-0.103234942713752	0.0195112584921149	1.83892497237736e-7	0.0125336605860845	5.5522297687846e-7	b2	NA
hv242_9	1	-11.1225249497505	1.01986109327742	1.4702e-23	6.80213272741259e-5	5.41300909090909e-23	hv242	household has separate room used as kitchen
v191	1	3.21467267235732e-6	4.98150501275102e-7	2.6348e-10	0.00640140850285165	8.17588533685601e-10	v191	wealth index factor score (5 decimals)
hv111_9	1	-13.8838059202376	0.623623996674876	9.8965e-66	3.03981598561265e-4	5.71878929889299e-65	hv111	mother alive
b2_04	1	-0.149044194823312	0.0284300005721744	2.47910416784265e-7	0.021926255551683	7.47550152793631e-7	b2	NA
hv246_0	1	0.595623675404074	0.215790440507977	0.00599317488093189	0.00308637483574548	0.0153354769012081	hv246	owns livestock, herds or farm animals
v204	1	0.403425732659924	0.128769560008128	0.0018343464964497	0.00203447226950637	0.00496700855349896	v204	sons elsewhere
hv122_0	1	1.27410751374619	0.470603193313831	0.0070183053166191	0.00417482607825304	0.0178034548474495	hv122	educational level during current school year
hv205_13	1	-12.2288477468135	0.395347491507997	2.7876e-117	1.87689220421117e-4	3.65814100558659e-116	hv205	type of toilet facility
mm4_01	1	-0.00182425604287	5.9656694118798e-4	0.00235063853092456	0.00240184067852933	0.00628889511291776	mm4	NA
sh29_1	1	-15.2820454865732	0.551807475815676	4.2025e-76	0.00189098210333583	2.69349863574352e-75	sh29	worked for someone outside household
v115	1	9.00235322285778e-4	3.02060751352888e-4	0.00302264067558285	0.00262241802564778	0.00799120196617233	v115	time to get to water source - minutes
b8_02	1	0.11272692275938	0.0252593469792159	1.00958527483995e-5	0.012416212969998	2.96810489436676e-5	b8	NA
sh03_1	1	1.08668294763666	0.202314306298863	1.21028151119082e-7	0.00797534851731541	3.67543796998996e-7	sh03	relationship to head
hv213_11	1	-0.770069430693621	0.185561694447441	3.92146305310997e-5	0.00447074554585503	1.13863000145307e-4	hv213	main floor material
mm4_02	1	-0.00155657304578393	6.48085863398931e-4	0.0166859292736475	0.00175472561493639	0.0398933820496672	mm4	NA
hv232_9	1	-13.5635940254015	0.583426121714519	5.8013e-56	7.07505955473642e-4	2.87191858798736e-55	hv232	items present: soap or detergent
sh35_9	1	-14.2842593493896	0.678609195815741	4.4076e-56	6.14388876973515e-4	2.18889057082452e-55	sh35	helped with household chores
v836	1	0.558604360016622	0.127687110831634	1.4866211753881e-5	0.019741186706589	4.36236494814072e-5	v836	total lifetime number of sex partners
hv215_35	1	-11.3999099564959	0.575892401449831	1.6142e-64	1.01927211587749e-4	9.15883043478261e-64	hv215	main roof material
mm4_08	1	-0.00297404886516648	0.00115001069473683	0.0100439746451824	0.00428128517326398	0.0249137238030976	mm4	NA
hv232b_0	1	13.5648480881261	0.521625541919007	1.0788e-62	9.06228925201202e-4	6.00497914691943e-62	hv232b	items present: ash, mud, sand
hv113_8	1	-11.7562641831716	1.12073733057357	3.6374e-22	2.83739931795646e-5	1.20341585915493e-21	hv113	father alive
hv214_11	1	-11.2965709477702	0.592855339297206	5.5868e-61	8.35770438792904e-5	3.03431056647399e-60	hv214	main wall material
v012	1	0.0488764388600324	0.00805228172808792	2.5661e-9	0.00815154087793035	7.90009030144168e-9	v012	respondent's current age
hv208_0	1	-0.828445308514862	0.249348617020091	9.59060487341276e-4	0.00265269366968468	0.00265977932085556	hv208	has television
hv252_9	1	-10.3103713134956	0.718025254674584	2.808e-39	4.37483443126441e-5	1.15922530755712e-38	hv252	frequency household members smoke inside the house
hv237f_8	1	-9.23286808126391	1.00351175787867	1.0273e-18	1.7926036743332e-5	3.26539607577808e-18	hv237f	water usually treated by: let it stand and settle
mm4_03	1	-0.00169582349684693	7.06745088620519e-4	0.0167906212794378	0.00203363437028414	0.040123264888504	mm4	NA
sh19a_2	1	-12.2107129730968	0.742678772581796	3.7795e-44	1.45322332174791e-4	1.6926683508103e-43	sh19a	level of education attending
hv214_99	1	-11.3619986352429	0.570150072996892	3.7274e-65	1.17789770664789e-4	2.14074880195599e-64	hv214	main wall material
sh166cc_2	1	-0.0028514875386982	2.49889742240211e-4	1.203e-23	8.7477896081678e-4	4.43618053375196e-23	sh166cc	money source - borrowing from other sources
hv226_8	1	-0.87157094489288	0.173988906448599	7.63704635334643e-7	0.0058836575737824	2.29111390600393e-6	hv226	type of cooking fuel
hv237a_8	1	-9.23286808126391	1.00351175787867	1.0273e-18	1.7926036743332e-5	3.26539607577808e-18	hv237a	water usually treated by: boil
hv215_96	1	-12.3556094691551	0.395505109426029	1.1064e-118	1.92815389703838e-4	1.48087384615385e-117	hv215	main roof material
hv208_9	1	-11.3265426978988	0.630814035021643	9.1344e-56	9.11410039594607e-5	4.49826113207547e-55	hv208	has television
v766a	1	0.644900486184628	0.230413843628569	0.00533022775775775	0.00149492773609172	0.0137363741118738	v766a	number of sex partners, excluding spouse, in last 12 months
hv226_96	1	-11.489539836016	0.67877505107637	6.0589e-51	1.56848060345882e-4	2.88396273556231e-50	hv226	type of cooking fuel
ha1	1	0.0489034948566141	0.00805170861866977	2.5104e-9	0.00816129677470978	7.73367816393443e-9	ha1	woman's age in years
sh31_9	1	-14.2842593493896	0.678609195815741	4.4076e-56	6.14388876973515e-4	2.18889057082452e-55	sh31	fetched water, collected firewood
hv206_1	1	0.706166339525085	0.206276640025543	6.70285777845275e-4	0.00248821700442281	0.00186995402869187	hv206	has electricity
hv237c_0	1	13.3359481832181	0.260715827852318	1.2215e-198	7.08933635402809e-4	6.37623e-197	hv237c	water usually treated by: strain through a cloth
hv205_99	1	-9.16368923273877	1.01520567178066	4.0539e-18	1.4370099096439e-5	1.27648942359249e-17	hv205	type of toilet facility
hv237c_8	1	-9.23286808126391	1.00351175787867	1.0273e-18	1.7926036743332e-5	3.26539607577808e-18	hv237c	water usually treated by: strain through a cloth
b8_04	1	0.144187711713526	0.0309696622090361	4.40798981304223e-6	0.0196994326323814	1.30736970591366e-5	b8	NA
ha13_0	1	11.3202011245492	0.513003844639374	1.9425e-75	8.95644486411662e-5	1.22659475806452e-74	ha13	result of measurement - height/weight
sh123e_9	1	-14.1570942717453	0.35828619602991	7.9124e-135	8.54083981471243e-4	1.36663438235294e-133	sh123e	plan to get insurance
hv237x_8	1	-9.23286808126391	1.00351175787867	1.0273e-18	1.7926036743332e-5	3.26539607577808e-18	hv237x	water usually treated by: other
sh35_1	1	15.2664357856397	0.588123687037025	4.2363e-71	0.00119630637247781	2.52886116899619e-70	sh35	helped with household chores
hv217_1	1	1.00781276902313	0.257091515926879	1.01134926093243e-4	0.00410349769787477	2.89714562674424e-4	hv217	relationship structure
hv204	1	8.70487849562846e-4	2.99506811785682e-4	0.00382165126059055	0.00241622700508437	0.0100246329549159	hv204	time to get to water source (minutes)
hv237z_8	1	-9.23286808126391	1.00351175787867	1.0273e-18	1.7926036743332e-5	3.26539607577808e-18	hv237z	water usually treated by: don't know
hv122_9	1	-13.2855400323302	0.236273483702963	7.4621e-216	4.80732378616455e-4	6.26016889285714e-214	hv122	educational level during current school year
v531	1	0.0438189145160285	0.00826052678670611	1.71275470623451e-7	0.00648891820408104	5.17461196777474e-7	v531	age at first sex (imputed)
bord_03	1	-0.248411754446804	0.0879422125980679	0.00493352332701012	0.00757348234332877	0.0127560223391819	bord	NA
sh25_9	1	-11.2812335442223	0.753221163246625	5.0178e-42	6.14050464433635e-5	2.1528424109589e-41	sh25	in last 4 weeks received care without staying overnight
hv271	1	3.21467267235732e-6	4.98150501275102e-7	2.6348e-10	0.00640140850285165	8.17588533685601e-10	hv271	wealth index factor score (5 decimals)
hv121_2	1	-1.22415231423654	0.470344343264723	0.00953025739160212	0.00379380866434065	0.0236769694477772	hv121	member attended school during current school year
hml16	1	0.0489034948566141	0.00805170861866977	2.5104e-9	0.00816129677470978	7.73367816393443e-9	hml16	corrected age from individual file
hv237c_1	1	-13.3383831112132	0.26545565063277	1.8863e-195	6.90847490571467e-4	9.42748659574468e-194	hv237c	water usually treated by: strain through a cloth
