var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sh165_9	1	20.7489056208917	0.522480157063577	8.957513e-93	0.125138824700294	6.30168897017544e-92	sh165	main reason to seek care
sh165_2_9	1	3.25853769237736	0.612987396048321	2.64117481940072e-7	0.0299757025975748	6.96211078113189e-7	sh165_2	main reason to seek care
sh165_1_9	1	5.50764193578449	1.11374672752675	1.10215867680168e-6	0.0263858728427017	2.90051274419999e-6	sh165_1	main reason to seek care
v761_1	1	1.97703268105543	0.293598850855618	4.735849e-11	0.0251396518963567	1.25975154162521e-10	v761	condom used during last sex with most recent partner
v761_0	1	-1.97703268105544	0.293598850855619	4.735849e-11	0.0251396518963566	1.25975154162521e-10	v761	condom used during last sex with most recent partner
hb62_3?	1	-16.9034657458339	0.643018742638366	8.318064e-59	0.0237860591469544	4.02135969684211e-58	hb62	NA
mv307_05_1	1	2.2704954568281	0.28036559902181	4.471636e-15	0.0198375979970841	1.19641436930776e-14	mv307_05	contraceptive method currently used
mv307_05_0	1	-2.27049545682811	0.280365599021811	4.471636e-15	0.0198375979970838	1.19641436930776e-14	mv307_05	contraceptive method currently used
v525	1	0.0905237067166858	0.0279247482718071	0.00127028945000072	0.0173070585262289	0.0031298683222752	v525	age at first sex
v535_0	1	-3.02366743434027	0.542499925547575	4.27691407058065e-8	0.0165663864609149	1.1292461183887e-7	v535	ever been married or in union
v535_1	1	3.49381756499237	0.572939029883099	2.291172e-9	0.0164109842647445	6.0794704516129e-9	v535	ever been married or in union
v501_0	1	-1.96407145899881	0.406329926325851	1.79739913266353e-6	0.013042118950006	4.71854043992193e-6	v501	current marital status
v513_0	1	-1.96407145899881	0.406329926325851	1.79739913266353e-6	0.013042118950006	4.71854043992193e-6	v513	cohabitation duration (grouped)
v502_0	1	-1.96407145899881	0.406329926325851	1.79739913266353e-6	0.013042118950006	4.71854043992193e-6	v502	currently/formerly/never in union
v312_5	1	1.90470589157712	0.288148713057522	1.00665e-10	0.0122862189746639	2.67550389395195e-10	v312	current contraceptive method
mv012	1	0.0523116620378064	0.00689016436953606	1.606956e-13	0.0104714337671383	4.29235207993339e-13	mv012	current age
hb1	1	0.0522657025508194	0.00688890515012481	1.666654e-13	0.0104530298865135	4.44441066666667e-13	hb1	man's age in years
hml16	1	0.0522657025508194	0.00688890515012481	1.666654e-13	0.0104530298865135	4.44441066666667e-13	hml16	corrected age from individual file
hb32	1	-0.00435189338763482	5.75382254496161e-4	1.959165e-13	0.0104521662894833	5.2201007641196e-13	hb32	date of birth (cmc)
mv010	1	-0.0521277988091488	0.0068611025189408	1.548543e-13	0.0103834293676655	4.13977162e-13	mv010	year of birth
hv116_0	1	-1.62832720090462	0.365767281288222	1.05577179943002e-5	0.00999699148600552	2.76482933271143e-5	hv116	currently, formerly, never married
hv115_0	1	-1.62832720090462	0.365767281288222	1.05577179943002e-5	0.00999699148600552	2.76482933271143e-5	hv115	current marital status
hmlb	1	-1.3152582401694	0.447187264659658	0.00343278032962909	0.00982497179413166	0.00819982077248706	hmlb	line number of person who slept in this net
sh162_1	1	-0.475399468752943	0.180258267026554	0.00866639303973133	0.00979591398108792	0.0198300919197276	sh162	line number of member
hv025_2	1	-1.41553109970118	0.245089908890641	1.365525e-8	0.00945442703184729	3.60840543657331e-8	hv025	type of place of residence
v025_2	1	-1.41553109970118	0.245089908890641	1.365525e-8	0.00945442703184729	3.60840543657331e-8	v025	type of place of residence
hv025_1	1	1.41553109970118	0.245089908890643	1.365525e-8	0.00945442703184718	3.60840543657331e-8	hv025	type of place of residence
v025_1	1	1.41553109970118	0.245089908890643	1.365525e-8	0.00945442703184718	3.60840543657331e-8	v025	type of place of residence
v763a_1	1	2.39656771378903	0.384681462279036	1.006812e-9	0.00888602228459567	2.67371928476821e-9	v763a	had any sti in last 12 months
v013_1	1	-2.60623198229685	0.636450233697146	4.94074684844805e-5	0.00865172804074776	1.27718903221767e-4	v013	age in 5-year groups
mv791_0	1	-1.38831436021975	0.321359765123122	1.89622877698058e-5	0.00849906350855167	4.94963540809902e-5	mv791	have ever paid anyone in exchange for sex
hb0	1	-0.594399673792776	0.157055744770959	1.73035539285684e-4	0.00818430373940993	4.4160541768375e-4	hb0	index to household schedule
hivline	1	-0.594399673792776	0.157055744770959	1.73035539285684e-4	0.00818430373940993	4.4160541768375e-4	hivline	line
v763a_0	1	-2.22228711389105	0.384484696076365	1.332871e-8	0.00796579237406592	3.53376046942149e-8	v763a	had any sti in last 12 months
hv115_1	1	1.32253126779945	0.314884853607634	3.17176517084464e-5	0.007749825344748	8.25894697083572e-5	hv115	current marital status
hv116_1	1	1.32253126779945	0.314884853607634	3.17176517084464e-5	0.007749825344748	8.25894697083572e-5	hv116	currently, formerly, never married
v602_6	1	-1.97660684493507	0.497731522490253	8.22488044793014e-5	0.00764896196422105	2.1176096690979e-4	v602	fertility preference
v605_8	1	-1.97660684493507	0.497731522490253	8.22488044793014e-5	0.00764896196422105	2.1176096690979e-4	v605	desire for more children
v536_0	1	-1.97660684493507	0.497731522490253	8.22488044793014e-5	0.00764896196422105	2.1176096690979e-4	v536	recent sexual activity
v503_2	1	1.03551443080338	0.298256212097781	5.63808488569271e-4	0.00749036052416541	0.00141525636254321	v503	number of unions
v013_6	1	1.56173446092957	0.284924137089518	6.77707794173259e-8	0.00743782304552187	1.78790016752287e-7	v013	age in 5-year groups
v503_1	1	-1.0248384980055	0.298352078981719	6.44291122799453e-4	0.00735044627302661	0.00161475462651613	v503	number of unions
mv791_1	1	1.30891212410028	0.325928959970639	6.87005494658151e-5	0.00723070751149679	1.77306003770181e-4	mv791	have ever paid anyone in exchange for sex
v531	1	0.059215071852141	0.0143876741915134	4.530520579147e-5	0.00721946996409484	1.17208951757287e-4	v531	age at first sex (imputed)
v502_3	1	1.25247305096814	0.306318370066151	5.06919297861257e-5	0.00705100997050034	1.3093374456835e-4	v502	currently/formerly/never in union
mv313_3	1	1.14964702985285	0.251748293907091	6.27941706314391e-6	0.00704100580296829	1.6471275501689e-5	mv313	current contraceptive by method type
v511	1	0.0860927426962835	0.0247316940422853	5.4531096336384e-4	0.00698437986034606	0.00136989629637525	v511	age at first cohabitation
sh165_22	1	-14.9524338805843	0.370623907549666	6.447706e-94	0.00694806703854445	4.57615947964602e-93	sh165	main reason to seek care
v312_0	1	-1.12792663151961	0.254186597607653	1.12604191871599e-5	0.00688924199947938	2.94404439709934e-5	v312	current contraceptive method
mv313_0	1	-1.12792663151961	0.254186597607653	1.12604191871599e-5	0.00688924199947938	2.94404439709934e-5	mv313	current contraceptive by method type
sh03_1	1	1.28259709675481	0.328923204097806	1.09913244239799e-4	0.00674799830228923	2.8163074083169e-4	sh03	relationship to head
v150_1	1	1.28259709675481	0.328923204097806	1.09913244239799e-4	0.00674799830228923	2.8163074083169e-4	v150	relationship to household head
hv122_0	1	2.56747007736428	0.755302369201269	7.30922875138908e-4	0.00673052865886625	0.00182616867869596	hv122	educational level during current school year
hv121_0	1	2.56747007736428	0.755302369201269	7.30922875138908e-4	0.00673052865886625	0.00182616867869596	hv121	member attended school during current school year
hv120_04_0	1	-1.24464846628097	0.296699568913162	3.24435415372008e-5	0.00661549694264629	8.43426914516549e-5	hv120_04	children eligibility for height/weight and hemoglobin
hv120_04_1	1	1.24464846628098	0.296699568913162	3.24435415372014e-5	0.00661549694264618	8.43426914516549e-5	hv120_04	children eligibility for height/weight and hemoglobin
v602_3	1	1.10367482952285	0.266628317649903	4.10132636669691e-5	0.00660108012735894	1.06276696158027e-4	v602	fertility preference
v605_5	1	1.10367482952285	0.266628317649903	4.10132636669691e-5	0.00660108012735894	1.06276696158027e-4	v605	desire for more children
hv121_2	1	-2.53788081122291	0.755295013533786	8.40025546780361e-4	0.00650210573726329	0.00209061439415935	hv121	member attended school during current school year
sh165_14	1	-14.9528564438981	0.38533766961861	4.16877e-91	0.00634666637526049	2.87600304516129e-90	sh165	main reason to seek care
hc0_1	1	-0.312206808780349	0.0985835734896511	0.00164236586310093	0.00631706675068433	0.00403423406495236	hc0	index to household schedule
hv124	1	-0.393820442090028	0.137615110119831	0.00439363673005298	0.00619015883348084	0.0103790770471355	hv124	education in single years - current school year
sh03_3	1	-1.56837246654197	0.440413215643614	4.05368210897794e-4	0.00618862667687925	0.0010255687859307	sh03	relationship to head
v150_14	1	-1.56837246654197	0.440413215643614	4.05368210897794e-4	0.00618862667687925	0.0010255687859307	v150	relationship to household head
hv217_4	1	-1.19994545824776	0.304219722610248	9.172478740719e-5	0.00618246384805932	2.35590967175553e-4	hv217	relationship structure
mv743b_5	1	-2.8928437047887	1.01816507208986	0.00468551048031011	0.00611291829537164	0.0110441716538096	mv743b	person who should have greater say: large household purchases
