var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv226_8	-0.546948772081227	0.195097941078546	0.00525633135183968	0.00203146892811523	0.0147556696135711	hv226	type of cooking fuel
v128_13	-0.108685564289015	0.801156164917762	0.892145073366687	4.58017869753302e-6	0.94582800497552	v128	main wall material
hb12b_2	-1.56862323782226e-4	1.6585501045722e-4	0.344905996399466	7.92416736699386e-4	0.527279588934754	hb12b	weight/height percent ref. median (who)
hv108_05	-0.0282899523360226	0.0480599730247916	0.556378940494331	1.50884761723091e-4	0.71727071874901	hv108	education completed in single years
hv228_2	0.0124397496828733	0.636051049204949	0.984404283980095	2.56336967430215e-7	0.98917940009426	hv228	children under 5 slept under mosquito bed net last night
hv230a_2	-0.172467822097741	0.186101501112057	0.354517443223687	2.06243716192933e-4	0.53784782418665	hv230a	place where household members wash their hands
hvc62_2	-0.0702686007337807	0.139621509636075	0.615058060545303	1.77613175999292e-4	0.757122695849217	hvc62	mother's highest year of education
shdistrict_51	0.171244720866194	0.476218327023882	0.719306526267545	3.04933139246844e-5	0.831440698219378	shdistrict	district
hv006	-0.0168946768811756	0.0191497489652992	0.378079551722478	1.81015108124072e-4	0.563672599552586	hv006	month of interview
hv205_13	-1.18627192255045	1.09360580903299	0.278572679734067	7.48499118553569e-5	0.454176010057229	hv205	type of toilet facility
hv214_31	0.613036917413336	0.315129570815235	0.0523045607164485	4.50984065085924e-4	0.118633886290721	hv214	main wall material
v013_5	0.409827754102112	0.274687710920959	0.136348686148288	7.37127414162986e-4	0.265131683004201	v013	age in 5-year groups
hv205_12	-12.0162482282178	0.378852009494137	7.6218e-121	2.23371177336618e-4	1.1357906635514e-119	hv205	type of toilet facility
v316	-0.138855867756043	0.0426549708429647	0.00122110997757068	0.00776204462462249	0.00369811939076249	v316	year of start of use of method
hv227_0	-0.412654561736152	0.289908774668733	0.155258215559885	5.69980809199788e-4	0.29093481972601	hv227	has mosquito bed net for sleeping
hv208_0	-0.499428416901051	0.243987973793848	0.0411969957954663	0.0010227193035458	0.0962470473199629	hv208	has television
hv122_3	-12.1335570828072	0.310368437767762	9.7934e-153	2.45691042908391e-4	2.19937694366197e-151	hv122	educational level during current school year
v116_96	-11.3041462071514	0.67280104707967	2.3167e-50	7.34216051055947e-5	1.37578329608939e-49	v116	type of toilet facility
v130_4	0.707990965769826	0.563741691476279	0.20975858130207	4.5886184742594e-4	0.37019051286239	v130	religion
ml101_3	-11.3139774082212	0.593518150826685	5.1145e-61	6.42680017520769e-5	3.41931666666667e-60	ml101	type of mosquito bed net(s) slept under last night
hv215_12	-10.138841811958	0.717389925627279	2.7773e-38	3.06018982737521e-5	1.37314879069767e-37	hv215	main roof material
hv243b_1	-0.0921441383612749	0.23144430639183	0.690710259761097	4.23679639296459e-5	0.814236143719208	hv243b	has watch
