var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v761_0	1	-1.71108848640672	0.256084509306047	6.52216e-11	0.0192587677702432	2.2175344e-10	v761	condom used during last sex with most recent partner
v761_1	1	1.71108848640672	0.256084509306048	6.52216e-11	0.019258767770243	2.2175344e-10	v761	condom used during last sex with most recent partner
hml16	1	0.0592504736808	0.0065242868152057	2.630892e-18	0.0152505912456224	9.08589945826772e-18	hml16	corrected age from individual file
mv307_05_0	1	-1.84210470314398	0.243359349710683	1.874086e-13	0.0151992467957484	6.41165459906396e-13	mv307_05	contraceptive method currently used
mv307_05_1	1	1.84210470314398	0.243359349710683	1.874086e-13	0.015199246795748	6.41165459906396e-13	mv307_05	contraceptive method currently used
v503_2	1	1.4591210978079	0.28206744005028	3.39364665927755e-7	0.0149089840601957	1.12761623087813e-6	v503	number of unions
v503_1	1	-1.4591210978079	0.28206744005028	3.39364665927736e-7	0.0149089840601957	1.12761623087813e-6	v503	number of unions
sh03_3	1	-3.0192952701693	0.601815818456025	7.35434834776284e-7	0.0146206915057852	2.42892860341023e-6	sh03	relationship to head
v525	1	0.0858878930691038	0.0167132153345962	4.01267143672524e-7	0.0142293245066459	1.33128418468055e-6	v525	age at first sex
v535_0	1	-2.2848638359346	0.509992455923667	9.4498692056034e-6	0.0127621505000658	3.07928130280658e-5	v535	ever been married or in union
mv245	1	0.856479491873505	0.147539307885097	1.157009e-8	0.0126246743436959	3.89159622239264e-8	mv245	number of women fathered children with
sh03_1	1	1.8618299691725	0.300929123850524	1.296009e-9	0.0124858506548032	4.37253498e-9	sh03	relationship to head
v535_3	1	2.54002288850883	0.57508622054795	1.25390168352958e-5	0.0117185449037557	4.04978850070747e-5	v535	ever been married or in union
mv012	1	0.0510465676317178	0.00784860818104013	1.93375e-10	0.0105963042299507	6.55442619783617e-10	mv012	current age
hb1	1	0.0510221619051553	0.00784325002672418	1.91805e-10	0.0105824072906301	6.511275e-10	hb1	man's age in years
hb32	1	-0.00422143116449261	6.53903255061189e-4	2.594554e-10	0.0104518687393976	8.78064339814815e-10	hb32	date of birth (cmc)
mv010	1	-0.0506007725602126	0.00785391047251306	2.807878e-10	0.0104047874608735	9.48794522958397e-10	mv010	year of birth
hivline	1	-0.590622820742986	0.15095632956955	1.04235751519114e-4	0.0103867767756396	3.26089876007728e-4	hivline	line
v763a_1	1	2.63545460358211	0.380507307117761	1.364255e-11	0.0100679259709848	4.65289458009331e-11	v763a	had any sti in last 12 months
v763a_0	1	-2.63545460358212	0.380507307117761	1.364255e-11	0.0100679259709847	4.65289458009331e-11	v763a	had any sti in last 12 months
v150_14	1	-2.37266679153331	0.600807256526215	8.9938723694594e-5	0.00954886074764161	2.82572523011812e-4	v150	relationship to household head
v511	1	0.0948001627892647	0.0206699589636212	5.76507364304658e-6	0.00913876656405932	1.8841738448884e-5	v511	age at first cohabitation
v605_8	1	-1.83514753287536	0.607838480537242	0.00266741024335962	0.00895969461877533	0.00767668066100741	v605	desire for more children
sh11a	1	-0.860346443599483	0.295719196259429	0.00378660507178985	0.00888587846420286	0.0107148708676582	sh11a	eligible children 0-14 years
hv118_1	1	3.15558288424603	1.01102428820691	0.00190765715535354	0.00856702931456699	0.00557798952225448	hv118	eligibility for male interview
hv118_0	1	-3.15558288424603	1.01102428820692	0.00190765715535379	0.00856702931456688	0.00557798952225448	hv118	eligibility for male interview
mv313_3	1	1.13955335462227	0.246011935537738	4.6444943664141e-6	0.00793216032986066	1.52247774970794e-5	mv313	current contraceptive by method type
hv115_2	1	1.22038932658881	0.227912367308235	1.32019101554377e-7	0.00779148553777576	4.41338246507239e-7	hv115	current marital status
v150_1	1	1.36430766187503	0.312708732484624	1.56615824537146e-5	0.00765109196708857	5.05086034132296e-5	v150	relationship to household head
v013_1	1	-2.31713876386003	0.721377522085437	0.00140434204625246	0.00748839631152098	0.00416178663166438	v013	age in 5-year groups
v013_7	1	1.5116150756666	0.279448270595543	9.91168301163435e-8	0.00725119844954414	3.32868619364688e-7	v013	age in 5-year groups
v536_0	1	-1.79870039978951	0.605727294008012	0.00312920163662659	0.00724706414380683	0.00897037802499622	v536	recent sexual activity
