var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv235_1	1	-10.656996293328	1.00831962463259	1.280615e-23	2.52462156866695e-5	5.17424957720588e-23	hv235	location of source for water
hv215_33	1	-10.61852468893	0.647890385369594	1.87799e-48	3.69932405096529e-5	9.82814766666667e-48	hv215	main roof material
hv226_4	1	-11.6727127705967	0.601378196551223	1.124559e-62	5.33726831533077e-5	6.88518295821727e-62	hv226	type of cooking fuel
hv115_2	1	1.28635086279717	0.258496573692828	9.0005116017531e-7	0.00828878789952903	3.00199157824785e-6	hv115	current marital status
sh17a_6	1	-13.6829724621111	0.218459085377545	1.010604e-235	5.56014983179254e-4	5.41782339512195e-234	sh17a	level of education attended 3 yrs or older
hv024_1	1	0.865168535007032	0.274017999900107	0.00169029609270158	0.00234871090178956	0.00500710351988959	hv024	province
hv234a_6	1	-10.5561780122134	0.597219272791157	1.901188e-54	2.3603110429149e-5	1.04209756209476e-53	hv234a	result of salt test for iodine
hv237c_1	1	-11.5860253353417	0.517950359593273	6.784172e-77	6.77516997391603e-5	4.98716055384615e-76	hv237c	water usually treated by: strain through a cloth
v511	1	0.0700839818016058	0.0254591545959298	0.00613409422380598	0.00465933366558779	0.0174195595657953	v511	age at first cohabitation
hv116_0	1	-1.60355584177697	0.325231426974877	1.12606724994923e-6	0.0102684434624573	3.74447173281151e-6	hv116	currently, formerly, never married
hv232b_1	1	-13.7839881239147	0.618933368462095	3.358146e-57	4.66281977996252e-4	1.95270087407407e-56	hv232b	items present: ash, mud, sand
v150_14	1	-1.38108315868726	0.428788592606648	0.00136318999135173	0.00523743235052998	0.00407104837091182	v150	relationship to household head
sh17a_2	1	1.97252650750845	0.441365053416014	9.7681617595321e-6	0.00505100614867904	3.18552218804919e-5	sh17a	level of education attended 3 yrs or older
hv116_1	1	1.11739655104077	0.270894896027281	4.36129684369518e-5	0.00599034231975326	1.39536105712402e-4	hv116	currently, formerly, never married
v312_0	1	-1.06516893222434	0.24479392499531	1.64926325555745e-5	0.00634924043099405	5.34672660134996e-5	v312	current contraceptive method
sh118f_0	1	11.6640210851834	0.611574798600474	4.605751e-61	8.2105470346705e-5	2.78116502692308e-60	sh118f	boat without a motor
hivline	1	-0.501056828757663	0.146430120137864	6.74098810908867e-4	0.00823949616985187	0.00204086664790315	hivline	line
hv116_2	1	1.72145801336791	0.42958428165011	7.10196706978222e-5	0.0032327291369536	2.25579821089325e-4	hv116	currently, formerly, never married
v024_1	1	0.867598699277206	0.27616188078903	0.0017821692166701	0.00306088901837809	0.00525094897887517	v024	province
hv109_2	1	1.21134243611449	0.261993213930385	4.83163077026118e-6	0.00554579635338781	1.59219256867078e-5	hv109	educational attainment
hml7_11	1	12.7427617756153	0.359277775354622	1.02678e-135	1.7985612383542e-4	1.6120446e-134	hml7	brand of net
v525	1	0.0649692061967498	0.01005785962568	2.566022e-10	0.00840948453818269	8.73083027244582e-10	v525	age at first sex
hv025_2	1	-1.00767510167147	0.245398470216081	4.71084582170837e-5	0.00401401347375852	1.49847165211505e-4	hv025	type of place of residence
sh23_1	1	1.06504939735648	0.298251582024307	3.90741190762558e-4	0.00329382974818004	0.00120118760460993	sh23	currently smoke 7 yrs or older
sh118f_1	1	-11.6640210847795	0.611574798913845	4.605751e-61	8.2105470346816e-5	2.78116502692308e-60	sh118f	boat without a motor
hv122_1	1	-2.66951841021252	0.9994634287354	0.00781522593206647	0.00484806081863265	0.0219385269459542	hv122	educational level during current school year
hml7_98	1	-9.86230548495102	1.00761030539973	9.82974e-21	2.15735858647426e-5	3.66821197283531e-20	hml7	brand of net
hv237x_8	1	-9.66095213721301	1.02049931648367	1.215745e-19	1.04221182068986e-5	4.30307521417069e-19	hv237x	water usually treated by: other
hv214_35	1	0.710706673970567	0.250163597371587	0.00468499366905175	0.00214416060380873	0.0134962202943326	hv214	main wall material
hv213_96	1	-10.6104828685756	0.590815022502119	8.781939e-56	2.73580502196946e-5	4.8837473010101e-55	hv213	main floor material
hv252_3	1	-13.628209109411	0.26348898899103	1.240188e-200	3.58427350778956e-4	4.32687813333333e-199	hv252	frequency household members smoke inside the house
v205	1	0.437993347239163	0.0966880856709627	7.42568951776664e-6	0.0046390379645187	2.42881927976951e-5	v205	daughters elsewhere
hv252_4	1	-11.59607312012	0.368300761374926	8.550813e-120	1.07547671497121e-4	1.09910450140351e-118	hv252	frequency household members smoke inside the house
sheligchiv_1	1	-0.68875871785471	0.269861786428598	0.0110047894005932	0.00202096286394426	0.030085232714557	sheligchiv	household selected for hiv testing for children
hv103_1	1	11.6696801757471	0.353338589388416	1.026993e-126	1.05113284564418e-4	1.41083163375e-125	hv103	slept last night
hml7_16	1	-11.7748948853515	0.497189411222449	1.669526e-82	7.85513502192803e-5	1.3152753218638e-81	hml7	brand of net
hv237c_8	1	-9.66095213721301	1.02049931648367	1.215745e-19	1.04221182068986e-5	4.30307521417069e-19	hv237c	water usually treated by: strain through a cloth
hb13_0	1	10.8515341082387	0.595326731402442	5.28888e-57	4.66834105811165e-5	3.04318278534031e-56	hb13	result of measurement - height/weight
hb6	1	7.58331509433822e-4	2.13779983198171e-4	4.26854981993825e-4	0.00302599278833882	0.00131037325477993	hb6	height/age percent ref. median
sh17b	1	0.21691318541968	0.0624245576217168	5.5670320879215e-4	0.00332172800861852	0.00168777055575882	sh17b	highest grade completed 3 yrs or older
sh21_8	1	-11.6203240658002	0.428816161027822	1.696355e-99	5.50317903080799e-5	1.62112534347826e-98	sh21	covered by health insurance
v531	1	0.0484824730535924	0.0082059052995426	6.493098e-9	0.00462454084903918	2.19229330322581e-8	v531	age at first sex (imputed)
hv215_21	1	-10.6402910891831	0.716057141045552	1.688561e-41	1.98096612914478e-5	7.91355453731343e-41	hv215	main roof material
hv234a_0	1	-11.6342727304877	0.458609305123797	2.738391e-91	9.80278305237059e-5	2.32393182162162e-90	hv234a	result of salt test for iodine
v025_2	1	-1.01764039744057	0.247696644803734	4.67196866721806e-5	0.00525876092737143	1.49041903200948e-4	v025	type of place of residence
