var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
b4_05_2	-0.779902390104253	0.904858848217526	0.391193656535008	0.00388883484711822	0.542442470337223	b4_05	sex of child
b1_03	-0.115836156988206	0.140652744769911	0.412168432492583	0.00286346787344882	0.563652738549619	b1	NA
hv226_7	0.620527331837798	0.604545684319724	0.307138231833069	7.32414948786508e-4	0.453865406650233	hv226	type of cooking fuel
sh28a_2	1.87009448299686	1.15147708391416	0.108498698790408	0.00772029081043279	0.198158395218494	sh28a	level of education last year
v201	0.130441639276828	0.0763001067578654	0.0904130786482399	0.00243382207181486	0.168031504857915	v201	total children ever born
ha64_2	-11.9715523363024	1.02380823191486	1.7448e-20	6.33738255021443e-5	4.53049782857143e-20	ha64	consent for additional tests
hv235_1	-11.7958048713445	1.19501321152788	1.7279e-16	7.14772486540838e-5	3.9977482688391e-16	hv235	location of source for water
hc70_02	2.55101241414157e-4	1.42699662488598e-4	0.0774776894199457	0.0100224656523508	0.146264487214056	hc70	ht/a standard deviations (according to who)
b5_02_1	1.34604443480429	1.06566934741066	0.209491218953715	0.00139247032484446	0.336727307720439	b5_02	child is alive
hv101_10	-13.7184048255652	0.316810227141094	4.9034e-67	7.78390158728381e-4	2.39581178494624e-65	hv101	relationship to head
hv107_04	0.0519613967554858	0.277767121901125	0.851989994871662	1.39744492319571e-4	0.914802111695849	hv107	highest year of education
hv209_0	0.67289886031022506	0.604891133200366	0.268594227373992	0.00152935559505829	0.40887509855525	hv209	has refrigerator
ha50_1	-0.44436920008923	0.934711332003416	0.635522790005401	3.15978999913424e-4	0.767423746421616	ha50	under age 18
hv236_6	-13.1424822972652	0.555299922460879	8.9916e-43	2.40442245799666e-4	6.55823922953451e-42	hv236	person fetching water
hv210_1	-2.31113979148425	1.03922541506943	0.0283816889307661	0.00406477340716904	0.0580406815937899	hv210	has bicycle
hml1a	-0.232534845505896	0.195215063377348	0.236377596843158	0.00113022234033533	0.369869077154032	hml1a	number of mosquito nets with specific information
v208	-0.130260959810081	0.446047339167818	0.770859690147417	1.66719734638998e-4	0.864885538772805	v208	births in last five years
v219	0.163692509520853	0.102156045269374	0.11219525802361	0.00276172473292491	0.203761322992176	v219	living children + current preg
v113_12	0.531582392705951	0.56599333016101006	0.349867447702093	0.00111729774660074	0.499465184529786	v113	source of drinking water
hv270_4	0.0425222754788859	0.622454893598197	0.945670879008573	5.1581595139627e-6	0.974405549708607	hv270	wealth index
ha68_1	-0.605915202405976	0.531368036746187	0.25686112005763	0.00155035692289185	0.39472148097135	ha68	highest educational level (cs for prelimnary & final report)
hv106_1	-0.639954283983284	0.53713351711832	0.236279026505544	0.00172900529444109	0.369869077154032	hv106	highest educational level
ha66_0	1.30164574975955	0.696740342978485	0.0646337193848159	0.00332852554706087	0.124685475061172	ha66	woman's highest educational level
b5_02_0	-1.34604443480428	1.06566934741065	0.209491218953711	0.00139247032484446	0.336727307720439	b5_02	child is alive
v310	-0.009443692249561	0.0128804531727693	0.465146907918481	8.08034688936088e-5	0.615500160041228	v310	living children at first use
v139_3	-0.160832049285854	0.638481767590301	0.801632046334707	6.09565154124914e-5	0.882654122477747	v139	de jure region of residence
v101_1	0.144973677341186	0.487402210109515	0.766740332441388	8.01211581497041e-5	0.863461727537464	v101	region
v025_1	-0.559302057805789	0.546058555348328	0.308162790014196	0.00130844359803717	0.454197767701754	v025	type of place of residence
hb1_01	-0.050901027213372	0.0345952056864675	0.144310322334699	0.00400589215035341	0.248491519375499	hb1	men's age in years
h6y_1	-0.0221809911260743	0.568110337657276	0.96893516940693	7.39332458687958e-6	0.985118090373115	h6y	NA
v130_7	-11.905613642351	1.03256806187175	3.9485e-20	8.29176095741291e-5	1.01481809954751e-19	v130	religion
hv127	0.0916105077909734	0.239158586377063	0.70274950013239	5.86686737240272e-4	0.815656124802447	hv127	grade of education during previous school year
v317	-0.0120278685187744	0.00337471499568996	5.75900868127971e-4	0.00184519215529311	0.00124732771438203	v317	date of start of use of method (cmc)
ha3_01	-4.21153726974781e-4	7.6317487937456e-5	2.65175561050162e-7	0.00180463014202437	5.81543315353251e-7	ha3	respondent's height (cms-1d)
hmlc	-0.648131255689102	0.287191380138149	0.0263374540823661	0.00505770015435214	0.0541699951774643	hmlc	person who slept in mosquito net
m8_1	-0.31883642431686	0.425305731448016	0.455217078204948	0.00426988086175628	0.606276815655964	m8	NA
hc6_01	1.15766725309733e-5	9.05031298187509e-6	0.203776618378055	0.0032820626758967	0.329073690800099	hc6	ht/a percent of ref. median
sh111h_1	-13.7407130333607	0.505099857600547	2.7574e-48	5.6892565076383e-4	2.63781591578947e-47	sh111h	internet
hv234_15	0.603678331827762	0.603305272404668	0.319402635489215	0.00123044225115621	0.466227297032764	hv234	test salt for iodine
sh110a_1	0.566787778300179	0.747119913484094	0.449840486192095	7.97537833188922e-4	0.6011985791932	sh110a	house owership
b10_02_3	-12.9504737531308	0.55090381571093	1.5976e-42	4.70334765672598e-4	1.15781409888357e-41	b10_02	completeness of information
h0m_1	-0.192758160857329	0.211490752401028	0.364307484888715	0.00328077544787753	0.514742913972115	h0m	NA
hml16_06	-0.145773274658164	0.0729767941072426	0.0485685599843524	0.00715344244209581	0.0964578394094831	hml16	corrected age from individual questionnaire
hv101_5	-14.7517244609323	0.396329866770191	8.6937e-61	9.55574692716565e-4	2.35143885714286e-59	hv101	relationship to head
v139_97	0.520081951135328	1.09165017886535	0.634805565896747	6.89691935372716e-5	0.766965299504073	v139	de jure region of residence
v802	-0.00173061370753033	0.00165932574370755	0.299455876416903	0.00277339140669131	0.446140164733904	v802	time interview ended
h7y_1	-0.29124087576586	0.544488829456273	0.593938462891392	8.39536780444794e-4	0.736185590665162	h7y	NA
v616	-0.00351397901080432	0.00241793987442788	0.149304545539822	2.71514034036913e-4	0.254669615215072	v616	time for future birth
b3_02	-0.0019874137608284	0.00505802224942182	0.695212641239794	3.27031447443948e-4	0.81001185687016	b3	NA
bord_05	0.0677711738413148	0.070235803048146	0.337360031411385	4.85774065402622e-4	0.485911203456386	bord	NA
sh121f_1	-12.3684283585283	0.592585118493104	2.0524e-38	1.07740598993211e-4	1.17753858585859e-37	sh121f	small wood boat
hv005	1.0707e-8	2.34312279530091e-7	0.963643651650783	2.04016894322923e-6	0.982453837357226	hv005	sample weight
b12_03	0.00417294237822559	0.00695770556225585	0.550037521630165	2.50558751558216e-4	0.699515952501391	b12	NA
b4_03_2	-0.392589485198329	0.703835394423826	0.578249705868489	7.60698860145514e-4	0.723454060758193	b4_03	sex of child
hv213_32	0.505905746315632	0.528571676033801	0.34079286140312	9.69411842708268e-4	0.490051507030309	hv213	main floor material
v507	-0.0169724840131244	0.0827719541640672	0.837944848800664	6.13734130033849e-5	0.905506817980665	v507	month of first marriage
sh111f_1	-13.7229379339735	0.431962075635265	2.2044e-54	7.99576309241989e-4	3.20025354632588e-53	sh111f	parabolic antenna
h4d_1	0.0609443341306631	0.0533469405195518	0.256065083128948	0.0028138683474036	0.394293370971853	h4d	NA
b5_03_1	-1.44993505888825	0.831722750800902	0.0843873278291696	0.00734623575453441	0.157735918410426	b5_03	child is alive
hb56_02	-0.0318766638736395	0.0102875183379837	0.00261881328226991	0.00737543464312096	0.0056424312729419	hb56	hemoglobin level adjusted by altitude (g/dl - 1 decimal)
v105_3	-0.497164202797211	0.853153923573288	0.561408951708556	9.87773257257185e-4	0.708437491041594	v105	type of place of previous res.
ml1_1	-0.635867347629734	1.09515617610081	0.562804146485619	0.00156845592308774	0.709690576194586	ml1	NA
sh128a_1	-15.6451805439304	0.642702194269626	3.4749e-38	0.00310879005960996	1.98615667924528e-37	sh128a	reason for not having a mosquito net
v190_2	0.783476203832316	0.642684655851783	0.225657944505157	0.00218047598674342	0.357318009065934	v190	wealth index
b10_01_3	-13.1005947146175	0.731723352449773	4.1735e-33	2.98364759661718e-4	1.74144940312213e-32	b10_01	completeness of information
hb4_01	3.42205149215635e-4	2.72225856460885e-4	0.211629913870042	0.00278591674998463	0.339767586046872	hb4	ht/a percentile (resp.)
b15_01_9	2.68100258633351	1.34640040183185	0.0491827087135277	0.00511070897894683	0.0975070804512521	b15_01	live birth between births
hc17_02	-0.061882214125475	0.052447728840313	0.241262715426141	0.00242201079670956	0.37518746711033	hc17	date measured (day)
v161_8	-0.01598722344804	0.543920283124561	0.976609487624305	1.05104958936231e-6	0.987914851238834	v161	type of cooking fuel
hv207_0	0.666901810256486	0.578859739092422	0.252001482634565	0.00180467305630894	0.3886947512191	hv207	has radio
m63_1	-0.00999481262036301	0.00618104756308002	0.10949662238776	0.00661702896628447	0.199820342220876	m63	NA
hv128_02	0.0199948737908133	0.0137181396005744	0.148066955027496	4.56365762053101e-4	0.253033562860076	hv128	education in single years - previous school year
v113_13	-0.573726691150848	0.543651173539998	0.293796265057312	0.0013788084943952	0.440054914250207	v113	source of drinking water
hw72_1	4.56652740938369e-5	1.13203352020399e-4	0.687521447326557	3.05462020801173e-4	0.803729729007429	hw72	NA
m36_1	-0.251620436788337	0.201642080341845	0.215393774595443	0.0134596525977092	0.344266377686139	m36	NA
hv249_1	-14.7482991701102	0.351743981605535	1.0707e-65	0.00155729035379704	4.54697271028037e-64	hv249	member of the hh died last 12 months
ha68_2	0.125905327763684	0.552768285630919	0.820283691954819	6.30705814259613e-5	0.896433164079533	ha68	highest educational level (cs for prelimnary & final report)
ha67	-0.088711100329571	0.194456791172096	0.649225944931213	2.67797075912957e-4	0.776887477110276	ha67	woman's highest year of education
b0_03_2	-13.7408244878627	0.502551766947951	6.2168e-48	6.27917484301133e-4	5.83659900826446e-47	b0_03	child is twin
b9_05_0	-1.51292012845385	1.03206233853611	0.146589920114321	0.015219799398922	0.251265408147671	b9_05	child lives with whom
hc0_02	0.0167294672950047	0.200148888065805	0.933578330119161	1.84812145701541e-5	0.96659336334793	hc0	index to household schedule
d102	-0.1426777626416	0.319292790485251	0.655955373367622	9.98338418388256e-4	0.780753912668619	d102	number of control issues
hc8_02	2.6841060377169e-4	1.44568169429777e-4	0.0669984561731796	0.0113144760376741	0.128782142491932	hc8	wt/a standard deviations
hv107_05	-0.319163354947799	0.40327153944098	0.430661581940532	0.0044158737426836	0.583808540673561	hv107	highest year of education
hc19_01	-15.6784130647666	0.511424558954272	5.7722e-53	0.00286070091211621	7.76002272189349e-52	hc19	date measured (year)
m6_1	-0.0422950940107657	0.0300072404043576	0.161790835106477	0.00885187899423212	0.271985776812368	m6	NA
b10_04_1	14.3334559656964	0.527072651326225	1.2905e-46	0.00172854947322709	1.14531875e-45	b10_04	completeness of information
hml2	-1.00843954973123	0.439626463565482	0.0238697467626501	0.00535579696173916	0.0494367043251969	hml2	number of children under bednet previous night
b9_03_4	0.545816291457311	0.800761950367566	0.497070006915038	9.9832029509106e-4	0.646817328585891	b9_03	child lives with whom
sh24a_0	-9.10104268783598	1.03618310754077	4.258e-14	8.01857659693539e-6	9.49845459008346e-14	sh24a	level of education attended
v113_11	-0.672545863736129	1.05860357627566	0.526660292671966	1.86464619189697e-4	0.675838568173232	v113	source of drinking water
hv128	0.0694347596690528	0.088066438485925	0.432288346467476	8.22365055140661e-4	0.585315329662757	hv128	education in single years - previous school year
b0_02_2	-13.8745634603386	0.48244658209343	3.7119e-50	9.50919920839177e-4	4.18532843672457e-49	b0_02	child is twin
v217_4	-0.141904656804802	1.04526099360666	0.89228120970494	1.72160548648215e-5	0.941161981638637	v217	knowledge of ovulatory cycle
hv028	1.0707e-8	2.34312279530091e-7	0.963643651650783	2.04016894322923e-6	0.982453837357226	hv028	sample weight for male subsamp
hb56_03	-0.00334327252232633	3.35308627132328e-4	5.0843e-14	0.00514244816325859	1.13305832270721e-13	hb56	hemoglobin level adjusted by altitude (g/dl - 1 decimal)
v113_31	0.764846738296656	1.04042317921269	0.463963636687255	1.38573811763854e-4	0.614159789700779	v113	source of drinking water
v007	-0.427154822517547	0.987614778828519	0.666291738497349	2.4117723697703e-4	0.789473183763221	v007	year of interview
h7m_1	-0.267998329652529	0.103288379409684	0.0109208830572149	0.00417295774552606	0.0231457521511122	h7m	NA
ha11	4.83746531596701e-5	6.37456661066047e-5	0.449697885366159	6.30237408991707e-4	0.601184816447139	ha11	wt/ht std deviations(resp) dhs
sh24a_1	-0.370747922743931	0.590750119916191	0.5316899502288	4.96265011023067e-4	0.680754898236029	sh24a	level of education attended
sh128b_2	1.07978940276554	0.744708383032917	0.150170923755614	0.00367101125843061	0.255955242890289	sh128b	how get most of mosquito nets
s307b	-0.0118165231341392	0.0122576250608802	0.337341347390892	0.00010734250208333001	0.485911203456386	s307b	living girls at first use
hw9_1	5.84308355842778e-6	1.24215667178725e-5	0.639094848704867	4.23735698239391e-4	0.770508620990957	hw9	NA
h9d_1	-0.114634527187339	0.0272890002637254	5.95655980095901e-5	0.0107910529710878	1.30002918998836e-4	h9d	NA
m1a_1	-0.164687111797324	0.104497023269758	0.118655773742089	6.61273165487142e-4	0.213957077731767	m1a	NA
v157_9	-11.652668196118	0.64568099084625	2.2553e-33	1.02064152208592e-4	9.48018797409806e-33	v157	frequency of reading newpaper or magazine
ha64_9	0.147502944619812	0.603010843108265	0.807254088533702	8.75926272376759e-5	0.886672124316447	ha64	consent for additional tests
s506yd_1	-0.0468547317525987	0.0258165634820581	0.0725657734103056	0.00229861633932749	0.138371327896109	s506yd	NA
hv116_1	0.0849627742481848	0.596039817083398	0.886933145788864	2.63673460498826e-5	0.937934956229568	hv116	currently, formerly, never m.
h2y_1	0.195448371163334	0.497798644871069	0.695440289608551	6.24022433166949e-4	0.810069386306397	h2y	NA
v161_97	0.520081951135328	1.09165017886535	0.634805565896747	6.89691935372716e-5	0.766965299504073	v161	type of cooking fuel
bord_02	0.10819678741676	0.104694384520542	0.30388453113406	0.0014542908019779	0.451111175914135	bord	NA
hb53_03	-0.00315624671906865	3.28313465174899e-4	1.87e-13	0.00492921728783302	4.13694255111977e-13	hb53	hemoglobin level (g/dl - 1 decimal)
v030	0.00564337826137371	0.0122082582062759	0.644889795683422	2.18248913465335e-4	0.773721644528653	v030	field supervisor
hv237a_1	-13.8486372602417	0.510581126558681	3.5912e-48	5.44063669334904e-4	3.41389389121339e-47	hv237a	water usually treated by: boil
v168_0	-0.367606089061586	1.26967949413008	0.77284430053313	1.48025848947131e-4	0.866256660489034	v168	away for more than one month in last 12 months
v013_1	-0.620459798061772	0.706446708335697	0.381875015037613	8.85937266810966e-4	0.533920021024896	v013	age 5-year groups
ha12	5.30852995048662e-6	7.11160078570222e-6	0.457123233949331	6.12922170924679e-4	0.607892295892818	ha12	wt/ht percent ref. median (dhs
hv237f_8	-12.5587661550891	0.53895048540307	2.0166e-42	1.51764361194129e-4	1.43402666666667e-41	hv237f	water usually treated by: let it stand and settle
hml12_0	0.321721212705305	0.531157469772823	0.546073801631563	4.38572371254331e-4	0.695448249611499	hml12	type of bednet(s) person slept under last night
hb5_02	-4.61802888517859e-4	4.06380582451432e-5	7.0469e-19	0.00633091600702773	1.75747055982437e-18	hb5	ht/a standard deviations (resp
hv102_0	0.520081951135328	1.09165017886535	0.634805565896747	6.89691935372716e-5	0.766965299504073	hv102	usual resident
hc3_01	1.10927331248594e-4	1.07709384544576e-4	0.305528111004234	0.00190373908639907	0.453039713945733	hc3	height in centimeters (1 dec.)
ha67_01	-0.164598066484784	0.195004677367064	0.40062375663695	9.07965868003902e-4	0.551312643900152	ha67	woman's highest year of education
v113_71	-10.8053518918132	1.09207959754471	1.5342e-16	4.7855253829443e-5	3.55683918367347e-16	v113	source of drinking water
b0_05_2	-14.4878568956145	0.871945393957671	2.7913e-28	0.00138299802692177	9.55095421686747e-28	b0_05	child is twin
h9y_1	0.159287346044877	0.589256449947743	0.787494963910064	3.81502414941726e-4	0.876436640358279	h9y	NA
hv025_2	0.559302057805788	0.546058555348324	0.308162790014192	0.00130844359803706	0.454197767701754	hv025	type of place of residence
v155_9	-12.6721704772157	0.524526682756107	9.1008e-44	1.74453610332082e-4	6.96195878787879e-43	v155	literacy
b2_01	-0.0206475824596656	0.0539976416902848	0.702983461599589	1.57479424743756e-4	0.815719318056316	b2	NA
v149_2	-1.26506025429696	0.833039505845239	0.131985400747623	0.00141204862468358	0.232367943044246	v149	educational attainment
hv237b_8	-12.5587661550891	0.53895048540307	2.0166e-42	1.51764361194129e-4	1.43402666666667e-41	hv237b	water usually treated by: add bleach/chlorine
hv217_1	0.747964514197089	0.700890493127419	0.288442365950038	0.00139314323677442	0.4335700002901	hv217	relationship structure
hml7_98	-11.1830102283769	0.707211000581522	5.8342e-29	5.63284542295373e-5	2.02680464831804e-28	hml7	brand of bednet
hv217_2	0.0727529879950877	0.595911343948182	0.903072757451056	2.08223566722232e-5	0.948800603435283	hv217	relationship structure
v044_0	-0.89445258529572	0.868685973896951	0.305628378884225	0.00160605697905281	0.453039713945733	v044	selection for domestic violence module
hv109_3	0.159393540382175	0.557684985739384	0.775606822076726	1.00773983555569e-4	0.868496155622633	hv109	educational attainment
mm3_04	0.00365823469642008	0.0175349114332203	0.835160540394479	4.36602720114143e-5	0.90413532067815106	mm3	NA
ha54_1	0.903200162738101	0.728032480621868	0.217626113460014	0.00192492882017459	0.34734564789684	ha54	currently pregnant
v151_2	0.588840542524218	0.572336171654519	0.306013930517748	0.00146751615683793	0.453039713945733	v151	sex of household head
b0_03_1	-14.8300993434447	0.529377652583404	7.3755e-49	0.00117580127378891	7.46420311804009e-48	b0_03	child is twin
hv109_1	-0.194221911066224	0.550032888778514	0.724742161388598	1.57660981894736e-4	0.83080806749021	hv109	educational attainment
b5_04_0	-1.0463755088235	0.818598450903063	0.204274693131055	0.00200300559667377	0.329274283642254	b5_04	child is alive
hml16_02	-0.0206393134229318	0.0184810745425504	0.266737678501095	0.00131426275246427	0.406730205070126	hml16	corrected age from individual questionnaire
hv123_06	-0.684034285846224	0.376034783054914	0.0727382387074637	0.00700222870054623	0.138583881210363	hv123	grade of education during current school year
v166_7	0.0695876706445473	1.04406174349451	0.94699137007211	5.8769105095724e-6	0.975135977211274	v166	results of salt iodine test
hmlb	-0.368438195176903	0.234315119927248	0.119015467083164	0.0014282673833691	0.214520540430741	hmlb	person who slept in mosquito net
v217_5	0.053807707597615	1.04690815535718	0.959110863901736	5.21055168922757e-6	0.980673935095614	v217	knowledge of ovulatory cycle
h40m_1	-0.566942542387545	0.366961380175563	0.126351365094935	0.0154814258567674	0.22559552180408	h40m	NA
h2d_1	-0.0452775500305781	0.0339633241518128	0.185548592661961	0.00167195262259112	0.30559362270966	h2d	NA
v138	-0.400516559286024	0.392657674432853	0.310158610471892	0.00135414537800882	0.45597922320805	v138	number of eligible women in hh
hv044_0	-12.5679444703206	0.692575780172431	1.473e-33	1.06432989152472e-4	6.23213407821229e-33	hv044	selection for domestic violence module
v130_5	-14.856949709229	0.34492010261842	8.1346e-67	0.00115934557937547	3.85037733333333e-65	v130	religion
ml101_3	-0.237524678776417	1.0634125113099	0.823705844261335	4.76102540777346e-5	0.897797878705566	ml101	type of bednet(s) slept under last night
b0_02_1	-14.9657740187473	0.357491244113561	3.3443e-65	0.00167100018585598	1.31004303448276e-63	b0_02	child is twin
hc73_01	1.24183799562208e-4	8.15190467365474e-5	0.13079080595285	0.00421149122357389	0.230890995435023	hc73	bmi standard deviations (according to who)
v213_0	-0.676183730630542	0.890887513118305	0.449620201235267	8.41211977629763e-4	0.601184816447139	v213	currently pregnant
v014_3	-13.5691885500789	0.387352476005077	2.5698e-58	5.51448102088403e-4	5.05505246753247e-57	v014	completeness of information
hc60_02	-1.16316203083782	1.11181674435217	0.298408836563735	0.00917258920249264	0.445387887219992	hc60	mother's line number from woman's questionnaire
sh128a_99	-12.590653068177	1.12352163633631	6.4091e-18	1.91397412814154e-4	1.56490867275658e-17	sh128a	reason for not having a mosquito net
sh04a_93	-12.756085304887	0.451495010140889	9.3704e-50	3.22018867527585e-4	1.02600235180723e-48	sh04a	district of birth
hv125_1	0.259642653760842	0.623507831011966	0.67798451861155	1.82974486614529e-4	0.797918065933925	hv125	member attended school during previous school year
