var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv124_01	1	-1.91370684235889	0.162288429559598	1.232897e-20	4.53126619601174e-4	3.34304763461538e-20	hv124	education in single years - current school year
hv237z_8	1	-13.429354456647	0.648616409410802	6.105259e-38	2.4063069711322e-4	3.1189920326087e-37	hv237z	water usually treated by: don't know
sh26a_4	1	-11.7886618092934	1.42597758883369	3.38976e-12	6.56014974953489e-5	6.91187505422994e-12	sh26a	level of education attending
hb1_03	1	-18.4413302221554	0.757444087545921	4.563798e-34	0.0626974582524161	2.07244933333333e-33	hb1	men's age in years
hv201_32	1	-11.8940118565965	0.73412344821111	1.010013e-29	9.58201856318119e-5	3.83859388140162e-29	hv201	source of drinking water
v135_1	1	12.23927955903	0.677172322249131	2.836551e-33	8.7406582000682e-5	1.25377509404389e-32	v135	usual resident or visitor
hv129_4	1	-13.6024235605266	0.884898318374543	2.158099e-27	2.84627192162823e-4	7.46728733742331e-27	hv129	school attendance status
hml7_99	1	-10.498303168386	1.20554735246907	1.102402e-13	1.60623709869467e-5	2.27582257686676e-13	hml7	brand of bednet
hv237_8	1	-13.429354456647	0.648616409410802	6.105259e-38	2.4063069711322e-4	3.1189920326087e-37	hv237	anything done to water to make safe to drink
hml8_9	1	-10.498303168386	1.20554735246907	1.102402e-13	1.60623709869467e-5	2.27582257686676e-13	hml8	bednet treated since receiving
hv237f_1	1	-12.2858721166567	0.723790610266501	3.275755e-31	7.03259426997338e-5	1.32154922746781e-30	hv237f	water usually treated by: let it stand and settle
sh543a_3	1	-11.5873356972208	1.1908093111453	3.857705e-16	4.97741923749517e-5	9.0354884551495e-16	sh543a	result of hepatite b test
hv243d_0	1	12.3133042593507	0.687594086086094	5.759476e-33	1.13219456862379e-4	2.5103143122102e-32	hv243d	has a boat with a motor
v150_10	1	-13.3037682683682	0.51429818564999	4.266694e-46	3.87525862155846e-4	3.10105079381443e-45	v150	relationship to household head
hv128_01	1	-2.26206640688018	0.176603614345003	8.245925e-23	5.16484049851051e-4	2.36316143292683e-22	hv128	education in single years - previous school year
hv234_994	1	-12.3159520620311	0.77585548787876	4.421413e-29	1.23329619840074e-4	1.64490562796834e-28	hv234	test salt for iodine
sh26a_2	1	-19.9135311758521	1.02814579951991	4.039483e-31	0.0313000365128262	1.61122235643564e-30	sh26a	level of education attending
hv237a_8	1	-13.429354456647	0.648616409410802	6.105259e-38	2.4063069711322e-4	3.1189920326087e-37	hv237a	water usually treated by: boil
hv202_21	1	-12.3223969096977	0.769606694451403	2.377892e-29	1.66366015167507e-4	8.917095e-29	hv202	source of non-drinking water
sh04a_96	1	-12.4995646609414	0.611541810888264	1.736153e-37	1.66172919700447e-4	8.51469819130435e-37	sh04a	district of birth
mv505	1	-15.6018828418518	0.518963433894965	1.213272e-50	0.00469928734745118	1.20472783098592e-49	mv505	number of wives, partners
hv129_3	1	-14.7920248831898	0.828027009174104	5.622649e-32	0.00102218055631331	2.36302089120715e-31	hv129	school attendance status
sh111h_0	1	13.3090508166799	0.51182935938182	2.709339e-46	2.47182582912231e-4	1.99486579112272e-45	sh111h	internet
hb66_3	1	-13.3884201373944	0.457401171020038	7.65524e-51	4.91322690743701e-4	7.7653873381295e-50	hb66	man's highest educational level
v013_4	1	1.9518766062281	0.792843214297039	0.0155325785222561	0.0100801120588427	0.0288170206794488	v013	age 5-year groups
hv129_0	1	-13.5432286382062	0.929239907500064	7.449482e-26	1.64713752391354e-4	2.41188739839265e-25	hv129	school attendance status
hv129_1	1	-13.6571861443226	0.947775368575374	1.564209e-25	2.1484634523905e-4	5.02399701594533e-25	hv129	school attendance status
hv101_14	1	-13.3037682683682	0.51429818564999	4.266694e-46	3.87525862155846e-4	3.10105079381443e-45	hv101	relationship to head
hv213_31	1	-13.4811321214618	0.531040256505595	2.184586e-45	2.36470444426873e-4	1.54013313e-44	hv213	main floor material
hv237x_8	1	-13.429354456647	0.648616409410802	6.105259e-38	2.4063069711322e-4	3.1189920326087e-37	hv237x	water usually treated by: other
hc62_02	1	-17.7362960981482	1.03439768895503	2.048213e-25	0.0313809692961396	6.5412918006795e-25	hc62	mother's highest year of education
hv101_12	1	-12.2626764383978	0.765849237321863	2.371721e-29	7.70109320927803e-5	8.917095e-29	hv101	relationship to head
hv234_999	1	-14.6617430558864	0.522830797663013	3.504139e-49	8.9897632985092e-4	2.97640722289157e-48	hv234	test salt for iodine
hv237f_0	1	13.3977311836859	0.584256626549626	1.302026e-41	3.11630189970491e-4	7.69751220125786e-41	hv237f	water usually treated by: let it stand and settle
hv213_22	1	-9.93563838179185	1.08669646746493	7.478565e-15	8.7852455460391e-6	1.63611740108611e-14	hv213	main floor material
hv201_31	1	-11.9148673682766	0.814504148284375	1.369031e-26	7.81968293559476e-5	4.6125058781362e-26	hv201	source of drinking water
v149_5	1	-13.3884201373944	0.457401171020038	7.65524e-51	4.91322690743701e-4	7.7653873381295e-50	v149	educational attainment
hv237x_0	1	13.352001738009	0.573627299084438	3.690749e-42	3.08515681059274e-4	2.23826068387097e-41	hv237x	water usually treated by: other
hml8_8	1	-12.8589062266111	0.967715538606584	3.268837e-23	8.48446928688462e-5	9.48366290123457e-23	hml8	bednet treated since receiving
hv213_12	1	-11.961966835436	0.553817028378996	1.911002e-39	6.5664201538862e-5	1.0713768667992e-38	hv213	main floor material
hv201_71	1	-11.2900222714369	0.785537625006953	4.55469e-26	5.68478693188101e-5	1.5004936682243e-25	hv201	source of drinking water
v106_3	1	-13.3884201373944	0.457401171020038	7.65524e-51	4.91322690743701e-4	7.7653873381295e-50	v106	highest educational level
