var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv120_11_0	1	17.6223771882073	0.505060416402465	1.4073e-59	0.0233471399655901	5.96224430604982e-59	hv120_11	children eligibility for height/weight and hemoglobin
hv120_11_1	1	-17.6223771887885	0.505060402199371	1.4073e-59	0.02334713996559	5.96224430604982e-59	hv120_11	children eligibility for height/weight and hemoglobin
hv129_08_2	1	2.63964116087936	1.09779311897166	0.0173298379637132	0.0225597305072857	0.040552672424178	hv129_08	school attendance status
sh28a_08_1	1	16.7607055492728	0.441231650799584	1.9265e-65	0.0225408630245614	8.83814354527938e-65	sh28a_08	level of education last year
sh24a_09_1	1	17.6912643093443	0.624602976850749	1.3037e-46	0.021457217247289	4.52164559359068e-46	sh24a_09	level of education attended
hb0_3	1	0.172574231264593	0.0546684890593936	0.00224990353608613	0.0173993345315898	0.0054831323637882	hb0	index to household schedule
hv140_04_0	1	-17.3632068553968	0.564316915608081	9.9299e-73	0.0173763172430383	5.13422191096634e-72	hv140_04	member has a birth certificate
hb33_3_3	1	-17.4145285547235	0.984190151431652	2.1935e-29	0.0138795783596853	6.23981302270012e-29	hb33_3	completeness of information
sh24a_08_2	1	-16.6889350418764	0.610976725789828	6.1373e-56	0.0132120127406608	2.4477238358459e-55	sh24a_08	level of education attended
v307_05_0	1	16.2432029842395	0.617634691326371	2.7541e-39	0.0123417920418399	8.89757408412483e-39	v307_05	method currently used
v307_05_1	1	-16.2432029869589	0.617634697133334	2.7541e-39	0.0123417920418398	8.89757408412483e-39	v307_05	method currently used
sh24a_09_2	1	-16.6991894030137	0.784631518002012	6.8931e-37	0.0122252204098287	2.15528182534471e-36	sh24a_09	level of education attended
hb68_3_3	1	-17.1377989506912	0.832702634259229	1.0633e-33	0.0115770405754937	3.16662576610381e-33	hb68_3	highest educational level (cs for prelimnary & final report)
v835b_0	1	16.3253303304208	0.755561459422287	6.0616e-28	0.0112790413706076	1.71003194312796e-27	v835b	alcohol consumption next to last time had sex
sh28a_08_2	1	-15.7548753065614	0.505535709374136	1.0276e-56	0.0111470785832362	4.18241982905983e-56	sh28a_08	level of education last year
sh27_08_1	1	16.5163072715741	0.49755129996688	3.7987e-64	0.0103045852612089	1.70977404536862e-63	sh27_08	attend school last year
sh26a_06_0	1	2.47309986207406	0.857889475187615	0.00435387978506879	0.0101976391891903	0.0105244545870546	sh26a_06	level of education attending
hv238	1	0.0148334243276623	0.0059146722568552	0.0127255959047242	0.00936091829487118	0.0301039680567793	hv238	number of households sharing toilet
ha55_3_0	1	16.1569651357722	0.529697588785525	8.3333e-58	0.00918650720416547	3.44173240242845e-57	ha55_3	result of measuring (hemoglobin)
ha57_3_9	1	-16.1569651369914	0.529697594378457	8.3333e-58	0.00918650720416536	3.44173240242845e-57	ha57_3	anemia level
ha54_3_9	1	-16.1412379105921	0.525501403556735	4.007e-58	0.00917248994633579	1.66940804899388e-57	ha54_3	currently pregnant
hml7_2_11	1	16.8387005542188	0.51633791101628	1.4853e-75	0.00888583962490119	7.92049115341545e-75	hml7_2	brand of bednet
