var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sh24b_08	1	0.7280757055884	0.233438575997446	0.00231270337398564	0.0263722555499779	0.00425144312292835	sh24b	highest grade completed
v826_3	1	-17.6018112713456	0.784054199997737	7.12197e-39	0.0222532112605845	1.97858899666389e-38	v826	when was last time you were tested
hv107_08	1	0.679417141320916	0.252575849462617	0.00824976126400837	0.0219181026688985	0.0149023615891605	hv107	highest year of education
v767b_1	1	-17.3454447822827	0.658759681346945	2.788452e-59	0.0214291898568808	1.06395574020619e-58	v767b	relationship with other sex partner (1)
v828_1	1	16.4782815648301	0.796545844606547	3.630189e-36	0.0134388950773694	9.59695203095238e-36	v828	did get results for last test
ha33_2_1	1	17.1347136316327	0.461029225768616	1.469639e-94	0.0129064512586969	1.21775311169154e-93	ha33_2	completeness of information
v828_0	1	-16.466247912671	0.80294570976254	6.994526e-36	0.0124016947860244	1.83889235248619e-35	v828	did get results for last test
sh24a_09_2	1	-16.6185499427839	0.915359899418935	2.769962e-30	0.0122693548207813	6.6763700593343e-30	sh24a_09	level of education attended
hv271	1	8.65468335203277e-6	3.13929081626199e-6	0.00614301594037187	0.0116389988335985	0.0111450904669819	hv271	wealth index factor score (5 decimals)
v191	1	8.65468335203277e-6	3.13929081626199e-6	0.00614301594037187	0.0116389988335985	0.0111450904669819	v191	wealth index factor score (5 decimals)
sh24a_05_4	1	3.25083537419816	0.946886834867872	6.96799576965953e-4	0.0108153300687753	0.00129522287437142	sh24a_05	level of education attended
sh24a_08_1	1	16.8937169745824	0.801382665182573	1.30532e-40	0.0106451505121484	3.70991546075085e-40	sh24a_08	level of education attended
sh28a_08_1	1	16.8823059340427	0.774346526844156	4.114195e-38	0.00905318046530346	1.12700522574013e-37	sh28a_08	level of education last year
hv123_07	1	-1.53810710154114	0.260456907625473	2.60388695068944e-8	0.00805547328487388	4.96198365717765e-8	hv123	grade of education during current school year
sh26a_06_1	1	16.5251731261368	0.632113795755208	5.537168e-62	0.00782449358272308	2.21420247394958e-61	sh26a_06	level of education attending
sh26b_07	1	-1.5537537903755	0.263438618183759	2.69942194361834e-8	0.00768406079900119	5.14109462217993e-8	sh26b	grade attending
hv208_1	1	1.79197544960656	0.648616416222842	0.00603590521399743	0.00718911465861982	0.0109627046171349	hv208	has television
hv208_0	1	-1.78433836766819	0.648697691517362	0.00625874289469727	0.00713611674405612	0.0113426945496391	hv208	has television
sh24a_08_2	1	-16.8817071785972	0.862905700303381	9.092099e-38	0.00699549821382528	2.48040800728911e-37	sh24a_08	level of education attended
hv116_08_1	1	-15.9192776645348	0.706355634582382	6.068139e-45	0.00654029423217772	1.86466522223247e-44	hv116_08	currently, formerly, never m.
hv115_08_1	1	-15.9192776645348	0.706355634582382	6.068139e-45	0.00654029423217772	1.86466522223247e-44	hv115_08	current marital status
hv113_09_1	1	15.9061921447135	0.789448362207681	1.609707e-41	0.00630936949263483	4.63434227917027e-41	hv113_09	father alive
sh28a_1	1	-16.3667143735297	0.7320123764869	6.445865e-50	0.00626168654614712	2.11747300936884e-49	sh28a	level of education last year
mv213_0	1	16.64134281891	0.36072535148109	3.468511e-143	0.00620745540762635	2.88840253525e-141	mv213	partner currently pregnant
hv214_31	1	1.53757776889567	0.6431032870931	0.0173393043801197	0.00611972539734151	0.0307382772166997	hv214	main wall material
sh28a_06_1	1	16.3863644478687	0.622119181943687	6.717349e-62	0.00611865751414076	2.68291241235012e-61	sh28a_06	level of education last year
ha33_2_6	1	-15.9617259573997	0.473233700168638	6.071644e-87	0.00604897043657504	4.26680298818565e-86	ha33_2	completeness of information
ha13_2_0	1	15.9917860139662	0.469879648949065	1.220346e-87	0.00600530399782018	8.70443795717345e-87	ha13_2	result of measurement of resp.
hv116_05_0	1	16.3847360671777	0.617030668644167	1.671101e-75	0.00591755841803443	9.02177865640194e-75	hv116_05	currently, formerly, never m.
hv115_05_0	1	16.3847360671777	0.617030668644167	1.671101e-75	0.00591755841803443	9.02177865640194e-75	hv115_05	current marital status
sh27_08_1	1	15.8041116697647	0.792336690038791	1.686444e-37	0.00587628504382764	4.58575099102041e-37	sh27_08	attend school last year
sh207_07	1	-0.819038247160392	0.127960127937953	3.191737e-9	0.00587543440981531	6.09265097249284e-9	sh207	hours of household chores
ha35_2	1	-10.9334078225621	1.08153102967252	7.613391e-20	0.0058203147759277	1.5596682300738e-19	ha35	smoking
