var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hb68_5	-13.1688080926245	0.350521536426158	2.987041e-123	3.06515990331047e-4	5.11184336082474e-122	hb68	highest educational level (cs for prelimnary & final report)
hv205_96	-12.2385921231004	0.615435668013777	5.692822e-59	1.34253050694699e-4	2.30771294749695e-58	hv205	type of toilet facility
sh207_04	-0.0326399459737061	0.0355592084024245	0.35960220186097003	1.84447453753789e-4	0.529319297289084	sh207	hours of household chores
hc4_1	5.77100712894153e-5	9.08828554954347e-5	0.525909932705216	5.62154031872208e-4	0.691767423368192	hc4	ht/a percentile
hc71_1	-2.91578087375665e-4	1.50418375370483e-4	0.0534881190769202	0.00120529542114689	0.106081574274418	hc71	wt/a standard deviations (according to who)
sh26a_3	18.2196476798566	1.01826992093091	1.243456e-38	0.00833207206515674	3.80135720073665e-38	sh26a	level of education attending
hv107_08	0.155277154003133	0.0665141369258951	0.0212041077004267	1.01521281463679e-4	0.043943593985903	hv107	highest year of education
hv241_2	-0.189307203149874	0.52216037471019	0.717168582033295	9.98083461850596e-5	0.847330851370299	hv241	food cooked in the house / in separate building / outdoors
hml16_03	0.00466424680306655	0.0171605825836099	0.785942218257239	8.82949887360818e-5	0.891497350682652	hml16	corrected age from individual questionnaire
hv247_1	1.2277480019506	0.580313015301682	0.0350978549949881	0.00275599633511459	0.0711385095136511	hv247	owns a bank account
hv244_0	0.770174243338977	0.517064897900665	0.137276952046671	0.00176915193225502	0.243269178744952	hv244	own land usable for agriculture
v106_3	-15.3036376845205	0.31529859377562103	3.453863e-155	0.00133192706592744	2.08487730181818e-153	v106	highest educational level
hv128_04	-0.0553746941041575	0.099019746751123	0.576386054486239	4.18954979409469e-4	0.727328658644741	hv128	education in single years - previous school year
ha67_2	-0.00450360919805735	0.0141361378600151	0.750632012483717	3.03182122757262e-5	0.868629585725319	ha67	woman's highest year of education
ha35_1	0.0145174282939796	0.00744054605879272	0.0518706305788599	0.00245014877791006	0.103120056001087	ha35	smoking
hv108_01	0.0102705568132155	0.0102921503230959	0.319034491924055	5.49624572365626e-4	0.48342971847917	hv108	education in single years
hv237_0	-0.329838636593829	0.687348633015164	0.63162681246842	1.5737154508455e-4	0.776379495518384	hv237	anything done to water to make safe to drink
sh28a_3	19.4422453210467	1.01780643902765	1.092217e-42	0.00959437437915256	3.55157731635651e-42	sh28a	level of education last year
hv239_3	-11.1174306769477	0.655985416944306	3.629231e-47	3.67558863005879e-5	1.27773562248144e-46	hv239	food cooked on stove or open fire
mv167	-0.00582942976942012	0.0169135427802815	0.730562101116427	3.98196555555508e-5	0.855543624587844	mv167	times away from home in last 12 months
hv026_1	0.336867998575515	0.610672476588152	0.581560104199378	1.57956649118995e-4	0.731355888614369	hv026	place of residence
hv124_04	-0.0449518269628907	0.0870242212453629	0.605821639053507	2.91119907222526e-4	0.751898258563605	hv124	education in single years - current school year
hb68_4	-14.3231457014794	0.338818275421887	1.218205e-137	0.00101266533155353	3.51690486956522e-136	hb68	highest educational level (cs for prelimnary & final report)
hv237x_1	-11.3039509334271	1.02544021385226	2.250238e-24	4.24656783981625e-5	5.75118565050039e-24	hv237x	water usually treated by: other
hb57_4	-0.221297693621587	0.538202618131821	0.681199463288562	1.13739374924204e-4	0.815572383021286	hb57	anemia level
hv213_11	-1.07899240648744	0.551023585011962	0.0510262429524841	0.00317242080628988	0.101563025540916	hv213	main floor material
hv013	-0.228818752106002	0.0921583886070027	0.01351266728163	0.00479805909019326	0.0286475449393433	hv013	number of de facto members
sh24b	-0.00423032573678214	0.0321679156596553	0.895470629084237	4.24498525020134e-6	0.956859507099989	sh24b	highest grade completed
v024_2	-0.77575244745246	0.649563749651702	0.233203669940698	0.00144455024076917	0.374388870504409	v024	region
hc60_1	-0.0595205575174584	0.143750425235208	0.679142145209807	1.25484015272459e-4	0.814578006537774	hc60	mother's line number from woman's questionnaire
v026_1	0.336867998575515	0.610672476588152	0.581560104199378	1.57956649118995e-4	0.731355888614369	v026	de facto place of residence
hv237e_0	13.1611612686184	0.4148336941692	8.805408e-104	1.7778434605642e-4	8.91279102439024e-103	hv237e	water usually treated by: solar disinfection
ha53_3	4.70739597675157e-5	3.82484282153499e-4	0.90238197274744	-5.193179e-12	0.959489977227304	ha53	hemoglobin level (g/dl - 1 decimal)
hv237z_9	-11.2095673540842	0.773428628398303	2.010264e-37	3.28768419465275e-5	5.94837475935829e-37	hv237z	water usually treated by: don't know
hv214_36	-13.3002006083403	0.496108721690582	5.730021e-86	2.13027003967747e-4	3.804733944e-85	hv214	main wall material
