name	estimate	se	p.value	Nag.r2	adj.p.val
hw3_1	9.33016661605754e-05	0.000123623554584674	0.45084369156137	0.000549471537862556	0.636040188813851
b1_04	0.0573726416960561	0.0445225200582493	0.198267419170033	0.00066455685150868	0.349298218155333
hb4_03	2.91357892267181e-05	9.77849201803954e-05	0.766035591074457	0.000152301984904901	0.87688568048958
ha12a_01	8.6550976764309e-06	9.43909812909059e-06	0.359685069000489	0.000245494673528079	0.542102036509939
hv008	0.117949730373955	0.148982420431422	0.428968743943673	0.000323382884300671	0.614679126934194
m34_1	0.000887406980304848	0.000372524216150525	0.0176834190515065	0.000399243947834527	0.0423597394614094
hml7_22	-12.8710719503743	0.604986652641866	4.0516e-68	0.000250905234796872	1.75133677419355e-67
hv211_0	-0.380795057498779	0.440458936480982	0.387770251677836	0.000189433655331639	0.572910141302837
hc12_02	5.28558803455111e-06	1.14435833404859e-05	0.644455196848226	0.000278671435829381	0.790313648621807
ha6_02	4.82884399506332e-06	1.08649586202787e-05	0.656960446555832	0.000130449805342048	0.799196449702858
hb35_01	0.00620271376597951	0.0133803154910099	0.643191457067572	0.000104285931711967	0.789834108067982
hv107_05	0.0223512667121694	0.121930866489875	0.854650517390971	3.26991860465364e-05	0.927053071062252
hml7_11	-1.2456778851863	0.570304281026357	0.0295137187294486	0.00371517960858059	0.0681512606901419
hml17_3	-0.0104158187518732	0.309281802900776	0.97314992507706	3.77057032152628e-07	0.988902783883746
hv124_10	0.0716015819790637	0.106381970873816	0.50147976582414	0.000849233833090768	0.683793871253268
ha33_2	-9.46386104971873	1.01885187432916	7.7056e-19	6.83293433800802e-06	2.10334340740741e-18
h8y_1	0.225100593326273	0.351548182537938	0.522387410771907	0.000961068020656319	0.702981476090497
b3_04	-0.000916786774230597	0.00302513290847902	0.762002646529361	6.47197761739493e-05	0.874306098327149
sh110i_0	-0.592598932621572	0.510489413603992	0.246346118845305	0.00042195863229344	0.409835416679435
hv214_34	0.853764306628142	0.454353996373949	0.0609075366958033	0.00110674764141738	0.130617423505743
hml16_07	0.00357408069984375	0.0102978479150189	0.728721691295685	4.95200243301186e-05	0.849342993913948
hv105_12	-0.00271949405481139	0.0197287327515707	0.890527542066608	3.78166248794498e-05	0.951186664497232
ha66_1	-0.224102552103148	0.44005475010324	0.610829582258912	9.62259086414452e-05	0.769321678367676
shdist_13	0.672982541318645	0.344947955846975	0.0517069050241308	0.000588320605971471	0.113192046542924
