var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v317	6.96012864600184e-4	0.0134295306752765	0.958698543871451	4.20111375132315e-6	0.981593500982223	v317	date of start of use of method (cmc)
hv238	-0.00134773297891026	0.0060438870808992	0.823655419348297	2.54697469811438e-5	0.922672590755794	hv238	Number of households sharing toilet
hv108_04	0.00516483007534884	0.0110464210095238	0.640337273160351	3.99895314167065e-5	0.799245166273632	hv108	Education completed in single years
v715	0.0078672109693478	0.0105950021598742	0.458164827781244	6.87609178259274e-5	0.649937641979432	v715	husband/partner's total number of years of education
v505	-0.264947426766644	0.262309360742425	0.313035964425059	4.96893542357046e-4	0.503612682509485	v505	number of other wives
hv107_06	-0.0718063921593206	0.108385999232257	0.50808290327557	2.73945746547488e-4	0.695719101043385	hv107	Highest year of education completed
hv122_3	0.223300448435679	1.03008993014223	0.828483984053877	6.31432390851838e-6	0.923686003003344	hv122	Educational level during current school year
sh102_13	-0.272599306050143	0.451684897911035	0.546481861462986	1.53296750315723e-4	0.730406749461424	sh102	Source of drinking water
hv105_02	-0.00166962053333775	0.0097120498712832	0.863587002534092	8.72261024054133e-6	0.941936302646962	hv105	Age of household members
hv115_0	0.316154637703025	0.315574460927849	0.316982430881207	3.22891489728527e-4	0.507298888290953	hv115	Current marital status
hv246g	-4.13441035516056	0.351320534880027	6.3551e-28	1.04436812148223e-4	2.09121621460507e-27	hv246g	Owns pigs
sh123ag_1	-11.7112772856673	0.589261692495748	6.7163e-63	9.29355352834449e-5	3.1857337056928e-62	sh123ag	Receive assistance: shelter
hv270_5	0.39302918214439	0.326899026732067	0.229907708822022	4.81777039665232e-4	0.404168965827249	hv270	Wealth index
hv108_10	0.018205573062125	0.0113056433124532	0.108512101891749	4.14184525295735e-4	0.224129767050497	hv108	Education completed in single years
hc18_02	-0.131156569981023	0.234525668444378	0.576332292569724	3.16349942797611e-4	0.751850501943933	hc18	Date measured (month)
hv215_22	1.61234994994928	0.666936569790501	0.0160385807371545	0.00176423016897265	0.0426922076764764	hv215	Main roof material
ha12b	-2.16917822656444e-5	2.2429871101536e-5	0.334038390639406	1.61852476277202e-4	0.524391586585004	ha12b	Weight/Height percent ref. median (WHO)
hv205_96	-10.6081774180232	0.738830713394268	1.6898e-38	2.98115997802162e-5	6.09653333333333e-38	hv205	Type of toilet facility
hc1_02	0.0164410227670231	0.0127333194065316	0.19744046480165	0.00118391466600121	0.360884558180499	hc1	Child's age in months
ha2_03	1.46269836402797e-4	9.61902443153474e-5	0.129489080820385	7.17394762720702e-4	0.258626766577485	ha2	Woman's weight in kilograms (1 decimal)
v614	-0.133304538093523	0.109814520322878	0.225446720519231	5.09069565966747e-4	0.39775178498319	v614	ideal number of children (grouped)
ha41_02	-6.64470431143014e-4	7.22015148465877e-4	0.357954614070188	0.0010314728305526	0.549827891703524	ha41	Rohrer's index
ha12a_03	1.78540888258467e-5	8.70586676750394e-6	0.041212650340384	0.0026750921671832	0.100996150889642	ha12a	Weight/Height percent ref. median (Fog)
hv232b_0	13.2116161797185	0.487939893144925	2.7767e-72	3.40513921722074e-4	1.4649829390681e-71	hv232b	Items present: Ash, mud, sand
hv212_0	-0.265107356996203	0.64281670653915	0.680239734223062	3.01673439704331e-5	0.828901397993665	hv212	Has car/truck
hv107_04	-0.203866190457303	0.111934343497599	0.0693116209310542	0.00209798245645754	0.1568033391555	hv107	Highest year of education completed
hv253x_8	-12.5757579407151	0.373247499503742	5.9003e-123	1.14922738128187e-4	6.82087036649215e-122	hv253x	Dwelling sprayed by: other
hv215_37	-8.0780753765741	1.01455656432025	1.5085e-14	1.61464574011116e-6	4.43215968063872e-14	hv215	Main roof material
hc8_02	-2.2992484370257e-4	3.3168661092036e-5	2.0151e-11	0.00114461156044354	5.90489820836098e-11	hc8	Weight/Age standard deviation
hv205_31	0.211575216624332	0.369454836494254	0.567166962855552	1.14245010799596e-4	0.745616449581529	hv205	Type of toilet facility
hv253c_1	-11.433505173053	0.482965416378282	4.8298e-80	7.66844373855102e-5	2.76992166233766e-79	hv253c	Dwelling sprayed by: NGO
sh123aa_9	-9.46643392411298	1.0103303385132	4.0829e-19	9.05966839892525e-6	1.24088688231246e-18	sh123aa	Receive assistance: money or cash
b8_03	0.0860875899695758	0.0322624725032001	0.0079182652181127	0.00364388699425056	0.0218544120019911	b8	NA
hb32_01	6.33327102649665e-4	0.00158350560862855	0.689390069864482	1.05567791537586e-4	0.835211673119768	hb32	Date of birth (CMC)
hc18_03	-0.409711748997867	0.128990079097731	0.00173554220224393	0.00125087920777556	0.0049896838314513	hc18	Date measured (month)
hv226_10	-10.5369494591803	1.01112347188378	7.8021e-23	2.11277371597873e-5	2.47692836808052e-22	hv226	Type of cooking fuel
hc10_01	-1.13925951171008e-4	6.08106935227319e-5	0.061690357088206	0.00181457029343957	0.142234387878372	hc10	Weight/Height percentile
hc9_02	-2.35252156366219e-5	3.96247040850956e-6	7.0107e-9	0.00107592323188521	2.05164023856859e-8	hc9	Weight/Age percent of ref. median
hc72_01	-8.00818248869693e-5	8.38609551893853e-5	0.340149215393997	5.12252055799634e-4	0.531528285626288	hc72	Weight/Height standard deviation (new WHO)
hv237z_1	-11.4641576224321	0.555785645879189	2.656e-66	4.00360111392217e-5	1.30902857142857e-65	hv237z	Water usually treated by: don't know
hv209_0	-0.031880843447661	0.432641615321402	0.941292114257549	1.2196720321489e-6	0.97705525057523	hv209	Has refrigerator
hv237c_8	2.00393509085982	0.82403307436209	0.0154268498989838	0.00158275004366182	0.0411382663972901	hv237c	Water usually treated by: strain through a cloth
ha67_03	0.0121253928796577	0.0181349509102146	0.504465210255487	7.06307594215971e-5	0.693561980696535	ha67	Woman's highest year of education
