var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha62_03?	1	-15.8330969248572	0.649328381006555	2.456519e-35	0.0216156569061283	7.07701183012259e-35	ha62	NA
hb62_04?	1	-16.1598586981158	0.759112410159863	5.151795e-60	0.0168106495222986	2.17021838028169e-59	hb62	NA
v770b_10	1	16.8656656976821	0.56659971929138	2.367949e-81	0.0120193303297547	1.4216336149635e-80	v770b	sought sti advice/treatment from: government health center
hv115_08_1	1	-16.9420240674136	0.477734423298902	2.395441e-82	0.0117182325544595	1.4675979310987e-81	hv115_08	Current marital status
hv116_08_1	1	-16.9420240674136	0.477734423298902	2.395441e-82	0.0117182325544595	1.4675979310987e-81	hv116_08	Currently, formerly, never married
v770b_11	1	-16.8089199592177	0.568553942599905	8.319611e-81	0.010514986803512	4.97664003454545e-80	v770b	sought sti advice/treatment from: government health center
ha62_04?	1	-14.6947653916955	1.03030136120361	1.829763e-35	0.0102993955978672	5.28526801580334e-35	ha62	NA
hv118_12_0	1	16.7052890614425	0.629953254329371	7.277382e-57	0.00835951556835091	2.86394578708134e-56	hv118_12	Eligibility for male interview
hv118_12_1	1	-16.7052890616936	0.629953252124523	7.277379e-57	0.00835951556835068	2.86394578708134e-56	hv118_12	Eligibility for male interview
hv024_4	1	1.7632360823645	0.429126443492139	4.75555183419399e-5	0.00780413497695165	1.0994916046731e-4	hv024	Region
v024_8	1	1.7632360823645	0.429126443492139	4.75555183419399e-5	0.00780413497695165	1.0994916046731e-4	v024	region
hc15_03_9	1	21.6675684042788	1.11357517620079	2.18262e-42	0.00732410548598472	7.09567173913043e-42	hc15_03	Height: lying or standing
shdist_42	1	1.54209525014008	0.460555030420341	8.84028824001593e-4	0.00573955797768744	0.00199072883707409	shdist	District code
sdist_56	1	1.54209525014008	0.460555030420341	8.84028824001593e-4	0.00573955797768744	0.00199072883707409	sdist	district code
md117a_0	1	17.200014080333	0.393739542068179	2.294002e-137	0.00551276956039315	5.46903375362319e-136	md117a	Frequency of being hit in last 12 months by other than wife/partner
