var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s810a_1	1	-1.86509156330422	0.191265067010455	2.8072e-19	0.0974003774537662	3.26199392156863e-18	s810a	what have you done for most of the time
hv129_5	1	1.92264243484735	0.15849154571249	2.8683e-27	0.0967742514680748	4.59412510135135e-26	hv129	school attendance status
hv125_1	1	-2.23891386722696	0.164403935413181	1.4837e-32	0.0934878552560037	3.21197337899543e-31	hv125	member attended school during previous school year
hv121_2	1	-2.27029615456045	0.180576082711501	6.9057e-29	0.0919285745894172	1.20811526568266e-27	hv121	member attended school during current school year
hv117_0	1	-1.8812321547518	0.135873309997295	2.3296e-33	0.0887637627566541	5.13703888372093e-32	hv117	eligibility for female interview
hv117_1	1	1.88123215475181	0.135873309997294	2.3296e-33	0.0887637627566539	5.13703888372093e-32	hv117	eligibility for female interview
v536_0	1	-2.44529246548868	0.23962483572087	6.5111e-21	0.0849377231595059	7.717281275e-20	v536	recent sexual activity
hv122_0	1	2.07647509172328	0.161750924648028	8.2439e-30	0.0848995260529523	1.49748390421456e-28	hv122	educational level during current school year
hv121_0	1	2.07647509172328	0.161750924648028	8.2439e-30	0.0848995260529523	1.49748390421456e-28	hv121	member attended school during current school year
hv126_0	1	1.95759010291165	0.15276105584379	9.8998e-30	0.0830616392854434	1.78459892775665e-28	hv126	educational level during previous school year
hv125_0	1	1.95759010291165	0.15276105584379	9.8998e-30	0.0830616392854434	1.78459892775665e-28	hv125	member attended school during previous school year
v013_1	1	-1.70149763521398	0.152357017343327	4.3612e-24	0.0794241408664806	5.66478060273973e-23	v013	age 5-year groups
hv129_2	1	-1.98635242412205	0.21320929505504	4.6697e-18	0.0781725054768592	5.32188646634615e-17	hv129	school attendance status
v626_0	1	-2.36918723810848	0.245767330104976	4.1478e-19	0.0773730671210522	4.78460335766423e-18	v626	unmet need (definition 2)
v624_0	1	-2.32048878619894	0.233366367969668	4.5045e-20	0.0769029240195904	5.27304555555556e-19	v624	unmet need
hv126_1	1	-2.35761557356461	0.218749727858284	8.6843e-23	0.0655427464528718	1.10086273529412e-21	hv126	educational level during previous school year
hv122_1	1	-2.32096279340112	0.229161789810674	1.1511e-20	0.0611007279115244	1.3609389276808e-19	hv122	educational level during current school year
v531	1	0.0905371297366497	0.00779151912349578	1.2997e-25	0.0603105422052937	1.85598725903614e-24	v531	age at first intercourse (imp)
ha50_1	1	-1.96649330547825	0.207442032056794	1.3215e-18	0.0588133804148782	1.52068725728155e-17	ha50	under age 18
s810a_5	1	1.20013016828653	0.158881398601772	7.72e-13	0.0586300324467562	8.39461467889908e-12	s810a	what have you done for most of the time
v302_0	1	-1.30628563657661	0.123698731195653	4.5203e-22	0.0584609339643055	5.62486674540682e-21	v302	ever use of any method
v361_4	1	-1.30628563657661	0.123698731195653	4.5203e-22	0.0584609339643055	5.62486674540682e-21	v361	pattern of use
v452a_2	1	1.94618462593916	0.207410573997003	2.6431e-18	0.0583300391295122	3.01950291566265e-17	v452a	under age 18 (hh report)
v452a_1	1	-1.94618462593916	0.207410573997003	2.6431e-18	0.058330039129512	3.01950291566265e-17	v452a	under age 18 (hh report)
v302_3	1	1.27440449270768	0.125865504519946	1.1763e-20	0.0576589318746121	1.38727320895522e-19	v302	ever use of any method
v525	1	0.0881866989261187	0.00742078874548894	1.6393e-26	0.0575944739170586	2.54817091803279e-25	v525	age at first intercourse
ha50_2	1	1.92394948998979	0.204452986494877	2.178e-18	0.057433430238681	2.50021743341404e-17	ha50	under age 18
v834a	1	0.119803419576602	0.0288305734933651	4.87569443279344e-5	0.0569992137269189	3.8270972360718e-4	v834a	age of last sexual partner
v305_05_0	1	-0.984521176719968	0.0906911823743636	4.7881e-23	0.0490848860191282	6.10225325268817e-22	v305_05	ever used method
v305_05_1	1	0.984521176719967	0.0906911823743636	4.7881e-23	0.0490848860191282	6.10225325268817e-22	v305_05	ever used method
v535_0	1	-1.31474771683699	0.159283696973177	7.1889e-15	0.0479068089832286	7.98186765807962e-14	v535	have ever been married
hw55_1_0	1	-0.983433334540641	0.180070962656159	1.12476811763998e-7	0.0407088542692041	1.03745635130956e-6	hw55_1	result of measuring (hemoglobin)
v456	1	-0.0268893032332785	0.00305091187054806	1.4723e-16	0.0404175315961104	1.65799864608076e-15	v456	hemoglobin level adjusted by altitude (g/dl - 1 decimal)
v453	1	-0.0267041993019384	0.00305061082722939	2.2282e-16	0.0399781676782238	2.49737498817967e-15	v453	hemoglobin level (g/dl - 1 decimal)
hivline	1	-0.226457090610516	0.0315957482529693	7.2082e-12	0.0374256104282354	7.66234892376682e-11	hivline	line
v508	1	0.0451357109578241	0.00741716222444548	4.1082e-9	0.0346903492936864	4.04086643153527e-8	v508	year of first marriage
v509	1	0.00375870875567167	6.16528257047516e-4	3.8626e-9	0.0346669657556583	3.80719056133056e-8	v509	date of first marriage (cmc)
v766b	1	0.861188989596336	0.1098326010926	1.0199e-13	0.0343460480454394	1.12189e-12	v766b	no. had sex including husband in last 12 months
v512	1	-0.0447681005132891	0.00736976657821982	4.3567e-9	0.0342070333346353	4.27642126293996e-8	v512	years since first marriage
hw55_1_1	1	1.41536720365497	0.271392376597868	3.81040009549345e-7	0.0340027267331375	3.40851072693103e-6	hw55_1	result of measuring (hemoglobin)
b9_02_4	1	0.814497724354643	0.146062196676072	6.10664596955642e-8	0.0318755108643606	5.74436677414027e-7	b9_02	child lives with whom
b9_02_0	1	-0.814497724354644	0.146062196676072	6.10664596955631e-8	0.0318755108643606	5.74436677414027e-7	b9_02	child lives with whom
v535_1	1	1.20255621194416	0.180966256520123	1.7049e-10	0.0312881934258143	1.76098712418301e-9	v535	have ever been married
hw13_1_1	1	1.43884436721321	0.273030268879672	2.85334509861981e-7	0.0310282517121985	2.57180781607538e-6	hw13_1	reason not measured
v604_7	1	-0.990066103208238	0.228281748390947	2.06767828366151e-5	0.030201132126274	1.66715352769374e-4	v604	preferred waiting time (grpd)
v482a_1	1	0.820860465425592	0.110766738993062	1.591e-12	0.0296911935246623	1.7143025e-11	v482a	arrange care of biological children under age 18
v482a_0	1	-0.820860465425591	0.110766738993062	1.591e-12	0.0296911935246623	1.7143025e-11	v482a	arrange care of biological children under age 18
v457_4	1	-0.800722976723305	0.0995076426687116	2.649e-14	0.0295702955969334	2.92748461538462e-13	v457	anemia level
ha57_4	1	-0.792417326772857	0.0975038990137973	1.5585e-14	0.0290388784899623	1.72636647196262e-13	ha57	anemia level
hml17_0	1	-1.26716171143049	0.140797437853821	4.0093e-17	0.028845526566832	4.52573602380952e-16	hml17	flag for ah07 age from individual file
v605_3	1	-1.26281018390476	0.200476413396631	1.1993e-9	0.028392952537984	1.20463586864407e-8	v605	desire for more children
v013_3	1	0.983833512489848	0.129282097928071	4.5102e-13	0.0278225882739013	4.92692585253456e-12	v013	age 5-year groups
v605_5	1	0.729873863745446	0.0953901401073321	3.4601e-13	0.0269333858836698	3.78852981524249e-12	v605	desire for more children
v602_3	1	0.729873863745446	0.0953901401073321	3.4601e-13	0.0269333858836698	3.78852981524249e-12	v602	fertility preference
hw13_1_0	1	-0.836149992089708	0.180887905531218	5.95773732478037e-6	0.0268653438873324	4.92084192626894e-5	hw13_1	reason not measured
s601a_0	1	0.757780141046109	0.177626892288219	2.87580257606378e-5	0.0262186199795236	2.29145882573419e-4	s601a	was dowry/labola paid?
s601a_1	1	-0.757780141046109	0.177626892288219	2.87580257606379e-5	0.0262186199795236	2.29145882573419e-4	s601a	was dowry/labola paid?
v602_1	1	-0.72989194203266194	0.0995550789941992	2.61e-12	0.0254657026050256	2.793230248307e-11	v602	fertility preference
v603	1	-0.00111109379069925	2.99262537572858e-4	2.51782452147262e-4	0.0246032395354262	0.00179774187594905	v603	preferred waiting time
v616	1	-0.00111109379069925	2.99262537572858e-4	2.51782452147262e-4	0.0246032395354262	0.00179774187594905	v616	time for future birth
hml17_1	1	1.10399442380893	0.125955450171306	2.0615e-16	0.0245502444158779	2.31601220379147e-15	hml17	flag for ah07 age from individual file
sheligm_1	1	-0.780538015645855	0.0867168235464488	3.9783e-17	0.0244991774921414	4.5014606921241e-16	sheligm	eligibility for youth/ elderly survey
sheligm_0	1	0.780538015645855	0.0867168235464491	3.9783e-17	0.0244991774921413	4.5014606921241e-16	sheligm	eligibility for youth/ elderly survey
v305_03_1	1	0.676764652974214	0.0917579299152871	1.9831e-12	0.0241496121969991	2.1271215158371e-11	v305_03	ever used method
v305_03_0	1	-0.676764652974216	0.0917579299152875	1.9831e-12	0.0241496121969991	2.1271215158371e-11	v305_03	ever used method
v304_02_0	1	-0.836297634639986	0.124732106266527	1.162e-10	0.024131542201514	1.20812324561404e-9	v304_02	knows method
v304_02_1	1	0.836297634639982	0.124732106266526	1.162e-10	0.0241315422015138	1.20812324561404e-9	v304_02	knows method
v604_0	1	1.01967310572852	0.23636771984636	2.2800540688758e-5	0.0239272991530661	1.82905860246027e-4	v604	preferred waiting time (grpd)
v761_0	1	-0.662394574853222	0.111699336579599	9.1937e-9	0.0235900973752129	9.00564704545455e-8	v761	last intercourse used condom
v763b_1	1	1.26228471708394	0.203986925735237	2.2409e-9	0.0227142438883569	2.22727607966457e-8	v763b	had genital sore/ulcer in last 12 months
v502_2	1	1.11266750015656	0.150008075760997	1.5257e-12	0.0226445813814079	1.65144833333333e-11	v502	currently/formerly/never marr.
sh28a_1	1	-0.940969935064218	0.126183583022426	1.1983e-12	0.0222755812172021	1.30003210526316e-11	sh28a	level of education attended
v766a	1	0.623757887306634	0.0959426761628525	3.7918e-10	0.0222519927679707	3.86600511827957e-9	v766a	no. other than husband had sex in last 12 months
sh13_011	1	-0.83626650227765	0.10108636801443	5.8959e-15	0.0220203865755378	6.56161077464789e-14	sh13	eligibility for elderly [age 50+]
v304_09_0	1	-0.747459536069363	0.113843899498291	2.6161e-10	0.0219765556682571	2.6846169047619e-9	v304_09	knows method
v304_09_1	1	0.747459536069361	0.113843899498291	2.6161e-10	0.0219765556682571	2.6846169047619e-9	v304_09	knows method
v763b_0	1	-1.2260695337352	0.20055251925064	3.3859e-9	0.0217373035855062	3.34428164583333e-8	v763b	had genital sore/ulcer in last 12 months
v761_1	1	0.637309212751007	0.111949894574592	3.24331819543788e-8	0.0217251237082975	3.11266630861761e-7	v761	last intercourse used condom
hv122_2	1	-1.65488994828311	0.244912774041219	8.5382e-11	0.0215652087372813	8.91621281938326e-10	hv122	educational level during current school year
v717_0	1	-0.635649050636428	0.0985607835283574	5.1115e-10	0.0210260606749484	5.16708347547974e-9	v717	respondent's occupation
v781_0	1	-0.638565621067016	0.0883554601389196	4.9845e-12	0.0209509178228285	5.31045269662921e-11	v781	ever been tested for aids
v781_1	1	0.638565621067015	0.0883554601389193	4.9845e-12	0.0209509178228283	5.31045269662921e-11	v781	ever been tested for aids
v716_0	1	-0.633676117940961	0.0987356987424457	6.1159e-10	0.0208935063728439	6.16925146808511e-9	v716	respondent's occupation
v767a_1	1	-0.607401034626118	0.116150341092458	3.40376713692492e-7	0.0201580206473527	3.05052173840473e-6	v767a	relationship with last sex partner
hv101_5	1	-1.20698045742695	0.19321968191167	1.609e-9	0.0197310878626301	1.6025775210084e-8	hv101	relationship to head
v304_13_1	1	0.633956045176428	0.0979164122938661	4.4255e-10	0.0197288451320506	4.4831827991453e-9	v304_13	knows method
v304_13_0	1	-0.633956045176429	0.0979164122938661	4.4255e-10	0.0197288451320506	4.4831827991453e-9	v304_13	knows method
bord_02	1	-0.136611018634183	0.0296748648337896	6.45927957171827e-6	0.0197009687970696	5.32581642600284e-5	bord	NA
v501_3	1	1.22582053082544	0.185546584273001	2.0634e-10	0.0188850494430687	2.12664769565217e-9	v501	current marital status
hv126_2	1	-1.50591561473906	0.230401304613715	3.1045e-10	0.0188766888644659	3.17892753779698e-9	hv126	educational level during previous school year
b5_01_1	1	-1.01096534864758	0.187820551383616	1.5907921344008e-7	0.0188591227995719	1.45879023388669e-6	b5_01	child is alive
b5_01_0	1	1.01096534864758	0.187820551383616	1.59079213440074e-7	0.0188591227995716	1.45879023388669e-6	b5_01	child is alive
hml16	1	0.0194263586611029	0.0019192085957126	1.2034e-20	0.0187952141253921	1.41571200992556e-19	hml16	corrected age from individual questionnaire
v312_5	1	0.818637985827374	0.13237396995778	2.2785e-9	0.0186080509537238	2.25990972803347e-8	v312	current contraceptive method
v513_0	1	-0.594855592546878	0.10746696012228	7.31306953868995e-8	0.0184446709184124	6.79828680057433e-7	v513	marital duration (grouped)
v501_0	1	-0.594855592546878	0.10746696012228	7.31306953868995e-8	0.0184446709184124	6.79828680057433e-7	v501	current marital status
v502_0	1	-0.594855592546878	0.10746696012228	7.31306953868995e-8	0.0184446709184124	6.79828680057433e-7	v502	currently/formerly/never marr.
hv101_1	1	0.746469403958793	0.0935424625218491	4.1125e-14	0.0183483751585702	4.53427034883721e-13	hv101	relationship to head
seelig	1	-0.511756186038465	0.0744292365510583	4.2182e-11	0.0182360144744038	4.42444384955752e-10	seelig	number of eligible elderly in hh
v731_0	1	-0.584890388530148	0.0954605855222836	3.1285e-9	0.0180405821706853	3.09649655532359e-8	v731	worked in last 12 months
v501_2	1	0.935429190562342	0.171854003995521	1.169124278171e-7	0.0176749089735215	1.07627537918616e-6	v501	current marital status
hv238	1	0.0074147768557106	0.00190604626109751	1.33414237245688e-4	0.0176679911694113	9.96089604380798e-4	hv238	number of households sharing toilet
v513_1	1	0.8210852955484	0.146367016734403	4.98109891263968e-8	0.017448284381046	4.72307798896494e-7	v513	marital duration (grouped)
hv246_0	1	0.654215371912624	0.0865400425150444	6.2119e-13	0.0169440158827054	6.77025698850575e-12	hv246	livestock, herds or farm animals
m5_1	1	0.01345166791595	0.00328746815527595	5.7028935466301e-5	0.0168576048568696	4.43964175772961e-4	m5	NA
b9_01_0	1	-0.669034840345447	0.134927276538293	1.25475417278375e-6	0.0168022605990344	1.10162769132736e-5	b9_01	child lives with whom
b9_01_4	1	0.669034840345448	0.134927276538293	1.25475417278375e-6	0.0168022605990344	1.10162769132736e-5	b9_01	child lives with whom
