var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s810a_1	1	-2.11484663279664	0.209777223356601	2.4666e-20	0.116350315977597	3.13743541778976e-19	s810a	what have you done for most of the time
hv129_5	1	1.99477113454296	0.14678941271446	2.5164e-32	0.114530212828542	6.28301142857143e-31	hv129	school attendance status
hv129_2	1	-2.0652021341044	0.180336015215264	5.7486e-25	0.0938527246323311	8.86524294117647e-24	hv129	school attendance status
hv117_0	1	-1.85808290415143	0.145977966067745	1.9784e-29	0.0894985128481688	4.04158857142857e-28	hv117	eligibility for female interview
hv117_1	1	1.85808290415143	0.145977966067746	1.9784e-29	0.0894985128481688	4.04158857142857e-28	hv117	eligibility for female interview
hv121_2	1	-2.19914362638499	0.163332790751377	5.1983e-32	0.0860114813199896	1.27102475129534e-30	hv121	member attended school during current school year
hw55_1_1	1	2.09460396324421	0.268304685247126	1.5374e-13	0.0824479109643186	1.84605358778626e-12	hw55_1	result of measuring (hemoglobin)
v013_1	1	-1.74747312866641	0.166219022771379	6.4523e-22	0.0819481930519461	8.57701512676056e-21	v013	age 5-year groups
hv125_1	1	-2.02289704006109	0.156764489394365	4.8252e-30	0.0797828125307766	1.04931423041475e-28	hv125	member attended school during previous school year
v536_0	1	-2.2595139733283	0.247812326723503	1.7473e-17	0.0786218559107811	2.147267890625e-16	v536	recent sexual activity
hv122_0	1	1.90329489210952	0.143232905315454	2.1689e-31	0.0744976478474929	4.992702e-30	hv122	educational level during current school year
hv121_0	1	1.90329489210952	0.143232905315454	2.1689e-31	0.0744976478474929	4.992702e-30	hv121	member attended school during current school year
hw13_1_1	1	2.09315620498832	0.266189841178219	1.034e-13	0.073661377432016	1.25435629820051e-12	hw13_1	reason not measured
ha50_1	1	-2.25907360808976	0.239988164067943	2.131e-18	0.0736470563355892	2.66036746031746e-17	ha50	under age 18
v452a_2	1	2.2384880883384	0.239462781411707	3.4029e-18	0.0733900291097233	4.2258645e-17	v452a	under age 18 (hh report)
v452a_1	1	-2.2384880883384	0.239462781411707	3.4029e-18	0.0733900291097233	4.2258645e-17	v452a	under age 18 (hh report)
ha50_2	1	2.22178207381994	0.234183956971595	1.251e-18	0.0727574169106505	1.58269946380697e-17	ha50	under age 18
v624_0	1	-2.22446503948139	0.262356022168358	1.4677e-15	0.0714968862506461	1.79432028497409e-14	v624	unmet need
v626_0	1	-2.21883251256438	0.262275924116109	1.6685e-15	0.070953527097032107	2.03453527131783e-14	v626	unmet need (definition 2)
hv126_0	1	1.7508995294892	0.141670121949055	3.7978e-28	0.0699483629280039	7.40571e-27	hv126	educational level during previous school year
hv125_0	1	1.7508995294892	0.141670121949055	3.7978e-28	0.0699483629280039	7.40571e-27	hv125	member attended school during previous school year
v302_3	1	1.42336164523734	0.130362248655455	2.9634e-23	0.0683775534521371	4.08897210526316e-22	v302	ever use of any method
v302_0	1	-1.45551719566525	0.133285384968906	2.9229e-23	0.0683754317352891	4.0449164516129e-22	v302	ever use of any method
