var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hk16	-0.00295107503041117	0.0100749212282731	0.769877907857413	1.01080922885077e-4	0.907582774713748	hk16	day of birth of child
hw2_1	-0.00115654131217272	0.002383180148964	0.627912864469336	3.91718590758039e-4	0.827036794829815	hw2	NA
ha5	-4.3814010503278e-4	4.4989746174643e-4	0.330988061174325	4.39454602517264e-4	0.628038866377821	ha5	ht/a standard deviations (resp
hv128	-0.0043328780240445	0.00465283308730371	0.352558142693959	5.0530038725638e-4	0.64736259742132	hv128	education in single years - previous school year
v116_97	-0.015913132056596	0.310143048649087	0.959116949947967	1.57367085906746e-6	0.985642919666694	v116	type of toilet facility
hv238	0.00838996616423183	0.00267383019975667	0.00193957822288321	0.0209819673779906	0.0120274239602968	hv238	number of households sharing toilet
hb2_03	0.00210966734796478	0.00166285276829141	0.206831362972849	0.00593518850198038	0.475360208492382	hb2	respondent's weight (kilos-1d)
sh32a_2	0.0237132478906346	0.355113489308923	0.946814288264326	5.74056960234159e-6	0.981334642284066	sh32a	level of education last year
m5_1	0.0123269227388545	0.00320752341536258	1.52889088031377e-4	0.0138763181573023	0.00116180935011283	m5	NA
v026_2	0.225331772407857	0.186073805158735	0.226953955918287	0.00123595864109804	0.503482161020074	v026	de facto place of residence
sh138	-0.00182615285036712	0.00181447178036636	0.31509953399519	4.68268777710112e-4	0.609043924308391	sh138	spray the interior wall of your dwelling in last 12 months
hked3_0	0.266560042146541	0.438006077073433	0.543463136910567	7.67632364510273e-4	0.787654343698085	hked3	child's highest educational level (cs for preliminary & fina
hv246_9	0.458593783851372	0.592509261332337	0.439611356619955	1.44681112088541e-4	0.717125182390443	hv246	livestock, herds or farm animals
sh30a_4	0.755567446867133	0.422209641822157	0.0748241201668063	0.00336733351588214	0.248833701950077	sh30a	level of education attending
v123_0	0.248582129627643	0.153812845925129	0.107224620367713	0.0015126590050949	0.322083375884938	v123	has bicycle
hc0_2	0.00598728473146857	0.0284576727054076	0.833569195365342	7.38688978443314e-5	0.934221912865969	hc0	index to household schedule
hk63	4.86760201120975e-4	4.86107303322655e-4	0.317858951182623	0.00249795030358324	0.612735453689051	hk63	preceding birth interval
hy56_1	0.0061864163823086	0.00587131162453151	0.293251292938937	9.92055143630988e-4	0.584427354040449	hy56	hemoglobin level adjusted by altitude (g/dl - 1 decimal)
ho102_1	1.99746728719268	0.440480959405414	1.03429010719083e-5	0.0263458067608336	9.03854632561764e-5	ho102	free emotional support last 12 months
hv131_8	0.148254491493141	0.785601803692307	0.850525665026943	9.67850760094091e-5	0.942495064979799	hv131	mother has been very sick for 3+ months last year
ha6	-8.45522956060422e-5	1.21162057615156e-4	0.485870452752846	2.22910277021038e-4	0.748257855395419	ha6	ht/a percent ref. median (resp
hv108_05	-0.00524622052602981	0.0149524998890386	0.725982616314255	6.26116572073343e-5	0.885248570125832	hv108	education in single years
hv237_0	-0.0297643435876666	0.131032474731963	0.820475858893149	1.7887574003228e-5	0.929386840642528	hv237	anything done to water to make safe to drink
h3y_1	-0.0202067815436561	0.0648052769150366	0.755464345273949	1.46671278786425e-4	0.900261678118123	h3y	NA
hml18_9	-12.7139483972534	0.460023795980534	5.9104e-81	0.00140608322891178	9.96113485714286e-79	hml18	pregnancy from individual questionnaire
v021	-2.27551934240255e-4	6.85752725656727e-4	0.740274705048953	7.20509623732823e-5	0.892756537982624	v021	primary sampling unit
hb1_03	0.0140914729248782	0.0250471428382246	0.574559834027512	6.75364833247372e-4	0.800781368861154	hb1	men's age in years
hv107_04	0.0431606070129158	0.028888140233205	0.136377284443429	0.00115887863563391	0.373513874224342	hv107	highest year of education
v511	0.00693185509501598	0.013104072128846	0.597255468742718	2.74849010386435e-4	0.812057766114116	v511	age at first marriage
