var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v605_8	1	-3.25401065903534	0.402956711122895	2.32232e-14	0.189798404806809	1.68634733732535e-13	v605	desire for more children
v013_1	1	-2.91300454064882	0.381331411946553	3.712155e-13	0.116537096890407	2.6480039e-12	v013	age 5-year groups
v536_0	1	-2.95258727220434	0.396828804619465	1.308854e-12	0.114426321166251	9.17458738342967e-12	v536	recent sexual activity
sm603b_1	1	-2.70648724723581	0.354929109836392	6.369101e-13	0.11341516750281	4.51672308732944e-12	sm603b	what have been doing for most of the time over last 12 months
v302_0	1	-2.20593487145927	0.214394017114512	3.381581e-21	0.111594486473845	2.63430228650964e-20	v302	ever use of any method
v302_3	1	1.90369531160628	0.174653514385376	3.318503e-23	0.100062212171184	2.96626877493857e-22	v302	ever use of any method
v305_05_1	1	1.89629098087964	0.174637529580599	4.555324e-23	0.0997983284082807	4.00296345700483e-22	v305_05	ever used method
v305_05_0	1	-1.89629098087964	0.174637529580599	4.555324e-23	0.0997983284082806	4.00296345700483e-22	v305_05	ever used method
v502_0	1	-1.6486727086199	0.143493492446035	3.474684e-25	0.0969307688054123	3.59116488409091e-24	v502	currently/formerly/never marr.
v501_0	1	-1.6486727086199	0.143493492446035	3.474684e-25	0.0969307688054123	3.59116488409091e-24	v501	current marital status
v513_0	1	-1.6486727086199	0.143493492446035	3.474684e-25	0.0969307688054123	3.59116488409091e-24	v513	marital duration (grouped)
hb32	1	-0.00669669756682779	4.89549349090162e-4	8.519195e-33	0.0947711130903985	1.04002789966443e-31	hb32	date of birth (cmc)
v012	1	0.0801497970413702	0.0058965365751129	1.726426e-32	0.0947192249453892	2.07971449933775e-31	v012	current age - respondent
hb1	1	0.0802789809760733	0.00586976176054894	8.702463e-33	0.0946814611254521	1.05884817371237e-31	hb1	men's age in years
hv125_1	1	-2.66733279256388	0.247105153616307	7.433405e-23	0.0941909411336237	6.33319142622951e-22	hv125	member attended school during previous school year
mv245	1	0.717716895462343	0.0685845109301914	9.049923e-22	0.0940292199415188	7.12632464805195e-21	mv245	women fathered children with
sm822_0	1	-1.63706721833387	0.14585531396773	2.737595e-24	0.0929135311449986	2.64174286737401e-23	sm822	arrange care of biological children under age 18
sm822_1	1	1.63706721833387	0.14585531396773	2.737595e-24	0.0929135311449985	2.64174286737401e-23	sm822	arrange care of biological children under age 18
v525	1	0.101308572120782	0.00888143493768681	6.6216e-25	0.0910824266532608	6.67295867036011e-24	v525	age at first intercourse
v531	1	0.10083753208187	0.00888145475956552	1.000407e-24	0.0900440157863202	9.91684105177112e-24	v531	age at first intercourse (imp)
hv126_0	1	2.43136881141118	0.20954669627757	1.431635e-25	0.0889582332078535	1.52289126608187e-24	hv126	educational level during previous school year
hv125_0	1	2.43136881141118	0.20954669627757	1.431635e-25	0.0889582332078535	1.52289126608187e-24	hv125	member attended school during previous school year
hv121_2	1	-2.46711264134445	0.220732046229473	3.936222e-24	0.0865971118168347	3.74868472146597e-23	hv121	member attended school during current school year
hb50_1	1	-3.49701068405785	0.58585050932198	7.391543e-9	0.0857487525783709	4.95219768581952e-8	hb50	under age 18
hv122_0	1	2.39193694583672	0.214229953837802	4.307958e-24	0.0854415342803443	4.04970315348837e-23	hv122	educational level during current school year
hv121_0	1	2.39193694583672	0.214229953837802	4.307958e-24	0.0854415342803443	4.04970315348837e-23	hv121	member attended school during current school year
hb50_2	1	3.42553731282787	0.550090295842298	1.785783e-9	0.0848982119538593	1.22347995367232e-8	hb50	under age 18
v535_0	1	-2.57842633898796	0.245560931959653	7.705689e-22	0.0832608577528624	6.10747202222222e-21	v535	have ever been married
mv766b	1	0.978620718522128	0.108453694249051	3.344943e-17	0.0804272008955591	2.54048071691023e-16	mv766b	no. had sex including wife in last 12 months
v536_1	1	1.34444967308921	0.133300403266662	1.537951e-20	0.0667013018575365	1.18039361561181e-19	v536	recent sexual activity
v605_5	1	1.43601775887441	0.192135696559822	1.115894e-12	0.0640822377613949	7.85226764410058e-12	v605	desire for more children
sm603b_2	1	1.76608470574721	0.264854034814958	1.903265e-10	0.0608885218831078	1.32391550095602e-9	sm603b	what have been doing for most of the time over last 12 months
hv126_1	1	-2.49949783644907	0.296076447570874	1.859189e-15	0.0557326965587486	1.3860101602459e-14	hv126	educational level during previous school year
v731_0	1	-1.28812182262674	0.151961374111029	1.470056e-15	0.0536259695819139	1.10042463539095e-14	v731	worked in last 12 months
v717_0	1	-1.28037319339998	0.150022860638753	9.9096e-16	0.053347219234538	7.43322160824742e-15	v717	respondent's occupation
v716_0	1	-1.28037319339998	0.150022860638753	9.9096e-16	0.053347219234538	7.43322160824742e-15	v716	respondent's occupation
v201	1	0.208374991927318	0.0252872845368379	7.241882e-15	0.0521320787587014	5.290354762249e-14	v201	total children ever born
hml16	1	0.0374334172839032	0.00305596358812949	8.711613e-28	0.0508040703258005	9.72173254417178e-27	hml16	corrected age from individual questionnaire
v502_1	1	1.18600676504688	0.141048198539978	2.333849e-15	0.0507008120315211	1.73630729284254e-14	v502	currently/formerly/never marr.
hv101_1	1	1.30672879718507	0.124071974424944	5.44589e-22	0.0502605971884362	4.33526210503282e-21	hv101	relationship to head
v602_8	1	-1.17535072302845	0.140719468394851	3.409246e-15	0.0498941105578207	2.51578842758621e-14	v602	fertility preference
hivline	1	-0.304887046119829	0.0504502769513971	4.935157e-9	0.0485075982237317	3.3310020716141e-8	hivline	line
v150_1	1	1.13410720099095	0.136754970453944	5.086847e-15	0.0481590490955308	3.74614360040486e-14	v150	relationship to household head
hv122_1	1	-2.21742671713711	0.255087102863318	3.34466e-16	0.0479928285621942	2.51922838095238e-15	hv122	educational level during current school year
v313_3	1	1.12913317684071	0.142814238258677	6.5941e-14	0.0479763187991685	4.75036352475248e-13	v313	current use by method type
v307_05_0	1	-1.11080492580336	0.136351015583868	1.352595e-14	0.0468800777701222	9.84148122e-14	v307_05	method currently used
v307_05_1	1	1.11080492580336	0.136351015583867	1.352595e-14	0.046880077770122	9.84148122e-14	v307_05	method currently used
v313_0	1	-1.11950432937469	0.14492405857101	2.14101e-13	0.0462450328491951	1.53629080473373e-12	v313	current use by method type
v312_0	1	-1.11950432937469	0.14492405857101	2.14101e-13	0.0462450328491951	1.53629080473373e-12	v312	current contraceptive method
v731_2	1	1.11967646306028	0.133272690384104	2.449185e-15	0.0453026837064103	1.81839490408163e-14	v731	worked in last 12 months
v714_0	1	-1.11693520047021	0.133388822587571	2.9569e-15	0.0451218713726477	2.18642321138211e-14	v714	respondent currently working
v714_1	1	1.11693520047021	0.133388822587572	2.9569e-15	0.0451218713726477	2.18642321138211e-14	v714	respondent currently working
v535_1	1	2.61816566617977	0.340057111918183	2.621674e-13	0.0438366345918072	1.8738015740668e-12	v535	have ever been married
hv116_0	1	-1.07280293257065	0.129623203288312	5.689149e-15	0.0432210502301061	4.17280727056452e-14	hv116	currently, formerly, never m.
hv115_0	1	-1.07280293257065	0.129623203288312	5.689149e-15	0.0432210502301061	4.17280727056452e-14	hv115	current marital status
v312_5	1	1.05965961015554	0.133189030340364	4.761537e-14	0.0427382069833591	3.43699833452381e-13	v312	current contraceptive method
v763b_1	1	1.77586567671824	0.237519067451117	1.041358e-12	0.0404366344713376	7.34197752713178e-12	v763b	had genital sore/ulcer in last 12 months
v763b_0	1	-1.77586567671823	0.237519067451116	1.041358e-12	0.0404366344713376	7.34197752713178e-12	v763b	had genital sore/ulcer in last 12 months
v218	1	0.200923842085714	0.0270547218310108	1.428288e-12	0.0396628075854615	9.99252258461539e-12	v218	number of living children
v502_2	1	1.96431104558255	0.237621915253231	6.074803e-15	0.0387340682741573	4.44670690422535e-14	v502	currently/formerly/never marr.
v305_08_0	1	-0.973621408246555	0.177677527540559	1.04222310010568e-7	0.0372796127069649	6.72270857834125e-7	v305_08	ever used method
v305_08_1	1	0.973621408246556	0.177677527540559	1.0422231001056e-7	0.0372796127069647	6.72270857834125e-7	v305_08	ever used method
v535_3	1	2.24041945931149	0.350431657490704	7.140771e-10	0.037044335799107	4.9200994125e-9	v535	have ever been married
hb0	1	-0.277531650977105	0.074632430257306	2.43065195322752e-4	0.0358400064213986	0.00124370067592711	hb0	index to household schedule
v513_2	1	1.5199700714481	0.188501603676271	2.348347e-14	0.0353198484647823	1.70184987768924e-13	v513	marital duration (grouped)
v207	1	1.26983988601654	0.188238016528749	9.064256e-11	0.0352332761240055	6.31719603984674e-10	v207	daughters who have died
v013_4	1	1.3216439655092	0.171576935547838	2.464156e-13	0.0342279172233211	1.76468494645669e-12	v013	age 5-year groups
