var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
ha3_02	9.87168407679708e-4	0.00138010046930209	0.475169794998413	3.90342564735247e-4	0.727277984251037	ha3	respondent's height (cms-1d)
hml17_0	-0.530218201264795	0.160189569292384	0.00105916802534034	0.00471921239323836	0.00504556674212389	hml17	flag for ah07 age from individual file
hk55_6	-11.371841940117701	1.01264192056357	1.990881e-23	1.16541891382216e-4	1.7421402323741e-22	hk55	result of measuring (hemoglobin)
hv101_5	-1.49836336877321	0.223763302710706	1.221842e-10	0.0235617420691914	8.01888751438849e-10	hv101	relationship to head
hv205_99	-12.2456787468058	0.818086619133337	2.309313e-37	4.69404063453971e-4	3.4677708382716e-36	hv205	type of toilet facility
hc7_1	-1.66426361825299e-5	3.70662788678796e-5	0.653835863970293	2.39300992401548e-4	0.838799022869059	hc7	wt/a percentile
sh119c_9	1.61448321405247	0.559098932655696	0.0041931330996038	0.00192916167912327	0.0181719034209671	sh119c	windows with screens
hb69_02	-1.47318232722205e-7	2.04717408869785e-7	0.472472545447297	4.36794868179602e-4	0.727277984251037	hb69	hiv weight (6 decimals)
hv123_05	-0.0111593379118032	0.0609959865728729	0.85502008420481	3.46226829831542e-5	0.931245855670677	hv123	grade of education during current school year
hv235_2	-0.00546940827629179	0.323809408791005	0.986539522681476	1.86392476564379e-7	0.992438567973316	hv235	location of source for water
hv210_0	0.392580335721317	0.18846364198645	0.0381801041101573	0.00163114927161201	0.126362813245295	hv210	has bicycle
sh119c_1	0.256774218690761	0.333034544496925	0.441368000829544	2.3248986654556e-4	0.705763293175726	sh119c	windows with screens
hb53_02	-0.0132156972878465	0.00560281894575585	0.0191774252427154	0.00487896981906522	0.0706852774855237	hb53	hemoglobin level (g/dl - 1 decimal)
hc71_2	4.36752489369308e-5	4.13274479961649e-5	0.292063478726087	8.54279266253033e-4	0.563588337078022	hc71	wt/a standard deviations (according to who)
sh28b_08	0.120123381222814	0.130958122116427	0.360547891920124	0.0014692340142235	0.636115155332999	sh28b	highest grade completed
hml16_02	-0.00238672779251701	0.00338425303405248	0.481270228148894	1.64113724830384e-4	0.728427017401801	hml16	corrected age from individual questionnaire
hb57_9	1.3738739980335	1.41708689112004	0.333160546455017	5.54205161240051e-4	0.608072264714371	hb57	anemia level
hv126_2	-2.54323557723839	0.467794314898707	1.2082785035523e-7	0.0265527312075644	7.44764908692963e-7	hv126	educational level during previous school year
hb35_01	0.0612495267942835	0.0139691915872597	1.6662919372298e-5	0.00885908103043154	9.29709369870266e-5	hb35	smoking
hb65_2	-0.205259803632231	1.09028254404668	0.850811948528374	2.35783952131641e-5	0.929891440613056	hb65	result of man individual interview
hb12a_01	3.21562230156493e-5	3.11289272667948e-5	0.302527658875975	4.39090034611289e-4	0.572763757755127	hb12a	wt/ht percent ref. median (fog
