var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s113_1	1	-1.87230789515551	0.555959657639043	9.02247716233467e-4	0.0289701819385046	0.00420199671167304	s113	what respondent did last 12m
s113_4	1	3.33795394602605	0.82934991148695	7.97277796201933e-5	0.02727838610389	4.42698986838442e-4	s113	what respondent did last 12m
hv134_05_0	1	1.49467410972533	0.253366127705191	8.9095e-9	0.0234618065587856	5.77163662280702e-8	hv134_05	both parents alive
hv134_05_1	1	-1.49467410972533	0.253366127705192	8.9095e-9	0.0234618065587854	5.77163662280702e-8	hv134_05	both parents alive
v716113	1	-13.5311366006031	1.02043197563147	3.9038e-32	0.0210191476179009	3.51580036585366e-31	v716113	NA
hv133_05_1	1	1.25869541147254	0.233536546383521	1.3313251085115e-7	0.0194709775048421	8.33206434437108e-7	hv133_05	mother/father dead or been very sick for 3+ months
hv133_05_0	1	-1.25869541147254	0.233536546383521	1.33132510851156e-7	0.0194709775048419	8.33206434437108e-7	hv133_05	mother/father dead or been very sick for 3+ months
v502_2	1	1.21936189912307	0.175591493154039	1.923e-11	0.0172976129622343	1.267978125e-10	v502	currently/formerly/never marr.
v705_5	1	-0.905221994581122	0.193364210174677	4.1131284902642e-6	0.0164636888630699	2.43979549402419e-5	v705	partner's occupation
hv113_05_1	1	-1.31658499485675	0.278407727099613	3.32631045016691e-6	0.0145574941373675	1.98905284813625e-5	hv113_05	father alive
hv113_05_0	1	1.32875621383297	0.283058741086835	3.90245244093005e-6	0.0144073242662723	2.32416219969907e-5	hv113_05	father alive
hv215_21	1	0.928963019210828	0.166160272551131	4.6286234123857e-8	0.0138253161690578	2.946757232799e-7	hv215	main roof material
v013_1	1	-1.39745706876385	0.29364642118734	2.87583703262287e-6	0.0135388047612212	1.72667125901788e-5	v013	age 5-year groups
v129_21	1	0.900764261456332	0.165299730382714	9.69345937528684e-8	0.0134472334621576	6.14473798167325e-7	v129	main roof material
hv215_11	1	-0.914914609744794	0.170729275543179	1.54260425676178e-7	0.0132122098334662	9.57322053460987e-7	hv215	main roof material
v129_11	1	-0.923313156820447	0.172039240656685	1.48073911512566e-7	0.0131665168921915	9.228066130973e-7	v129	main roof material
v525	1	0.0827828599970808	0.0146673615960296	3.49112705252072e-8	0.0131093981857781	2.23220547903598e-7	v525	age at first intercourse
v717_3	1	0.960936329842742	0.165550271372938	1.4738e-8	0.0124722685695905	9.46435913043478e-8	v717	respondent's occupation
s202_1	1	-1.05784584465369	0.227584951903079	4.78935592106303e-6	0.0123594309029973	2.81827836470523e-5	s202	children living with
s202_0	1	1.05784584465369	0.227584951903079	4.78935592106305e-6	0.012359430902997	2.81827836470523e-5	s202	children living with
v503_1	1	-0.867871298493792	0.17744508809227	1.54746701345193e-6	0.0123087559568004	9.40579744390396e-6	v503	number of unions
v503_2	1	0.867871298493791	0.17744508809227	1.54746701345204e-6	0.0123087559568004	9.40579744390396e-6	v503	number of unions
v536_0	1	-2.01968397711504	0.469720330734051	2.23316663505134e-5	0.0121776285361254	1.28341911282912e-4	v536	recent sexual activity
s201_1	1	1.15741196166707	0.273695408446801	3.01902976183243e-5	0.0112537670481566	1.71504113777942e-4	s201	ever given birth
s201_0	1	-1.15741196166707	0.273695408446801	3.01902976183242e-5	0.0112537670481565	1.71504113777942e-4	s201	ever given birth
s212c	1	-0.00521247213430767	9.66810554301796e-4	1.30594317578013e-7	0.0111879250068599	8.24306867789424e-7	s212c	date of birth of last child (cmc)
s212y	1	-0.0626119164002526	0.0117896498443095	1.97030911531695e-7	0.0110337252357947	1.21763454532349e-6	s212y	year of birth
hv270_1	1	-1.2114846963081	0.246169517654482	1.33890523349281e-6	0.00999858030092504	8.20565572559701e-6	hv270	wealth index
v025_2	1	-0.776635233817715	0.190178005161212	5.52380981701272e-5	0.00997332366024051	3.07874230178411e-4	v025	type of place of residence
v025_1	1	0.776635233817715	0.190178005161213	5.52380981701279e-5	0.0099733236602404	3.07874230178411e-4	v025	type of place of residence
v013_4	1	0.920477878319004	0.181820510785681	6.77267202722346e-7	0.00995452607772995	4.16801524342044e-6	v013	age 5-year groups
hv025_1	1	0.772527917141404	0.188684614041721	5.28941356919055e-5	0.00987589893112528	2.97051857098654e-4	hv025	type of place of residence
hv025_2	1	-0.772527917141406	0.188684614041722	5.28941356919066e-5	0.00987589893112528	2.97051857098654e-4	hv025	type of place of residence
v190_1	1	-1.19648630598587	0.246529651753585	1.8490214092818e-6	0.00982927682656876	1.11926418914312e-5	v190	wealth index
v513_0	1	-1.01196773863563	0.230779910248336	1.54607589776704e-5	0.00941314721666087	9.02590553755699e-5	v513	marital duration (grouped)
v502_0	1	-1.01009678486074	0.230764880946191	1.59952819658346e-5	0.00936311236523557	9.30119348958177e-5	v502	currently/formerly/never marr.
v012	1	0.0381813560056811	0.00608239605214778	1.0436e-9	0.0092553029948691	6.85065422222222e-9	v012	current age - respondent
v531	1	0.0695258592182266	0.0119551538873514	1.3878e-8	0.00919314960318507	8.95100698689956e-8	v531	age at first intercourse (imp)
s206_0	1	-0.744878357488246	0.172681765359271	2.10464582179919e-5	0.00914802889593436	1.21428198390524e-4	s206	children born alive who died
s206_1	1	0.744878357488246	0.172681765359271	2.10464582179919e-5	0.00914802889593425	1.21428198390524e-4	s206	children born alive who died
v026_3	1	-0.741844899128064	0.188354667295188	9.93712546780579e-5	0.00894629916230061	5.47654265520491e-4	v026	de facto place of residence
hv026_3	1	-0.739773681812571	0.18685096370242	9.15191202414654e-5	0.00890504107710866	5.062686913732e-4	hv026	place of residence
s325_1	1	-14.7255481687263	0.681087786178535	8.8989e-42	0.00856687591538063	9.45588151079137e-41	s325	alcohol used during last sex with second-to-last partner
hv105	1	0.0364244787629319	0.00599778160316266	3.3411e-9	0.00839302320301516	2.18354190265487e-8	hv105	age of household members
v140_1	1	0.710305666654984	0.190551705682668	2.2612353276252e-4	0.00812900458097565	0.00116777782479106	v140	de jure type of place of res.
hv213_11	1	-0.69380117013793	0.165799020545709	3.63621656974768e-5	0.00809408407013545	2.05773635000664e-4	hv213	main floor material
v836	1	0.144826893854647	0.0315268865883037	6.12929081133965e-6	0.00805958179135358	3.59244544775741e-5	v836	total lifetime number of sexual partners
hv214_12	1	-0.8936703362753	0.236610532672217	1.87175347394679e-4	0.00777211581562576	9.83836256590537e-4	hv214	main wall material
v139_12	1	1.04876120058385	0.271769229632407	1.36079589011629e-4	0.00760467193836445	7.36225468755224e-4	v139	de jure region of residence
sh23a_4	1	0.701501354800476	0.164152730811499	2.49842601698284e-5	0.00752701603949357	1.43030047561382e-4	sh23a	main source of energy used for lighting in the house
hv101_06_3	1	-0.71254086095231	0.212764722731251	9.0469529743536e-4	0.00751620406627296	0.00420199671167304	hv101_06	relationship to head
hv226_6	1	0.699952674571459	0.190264151803213	2.72048205686104e-4	0.0074762006437683	0.00139036401314317	hv226	type of cooking fuel
hv226_7	1	-0.684686111515082	0.184034928052903	2.32420103268083e-4	0.00742058927971945	0.00119611321437965	hv226	type of cooking fuel
v140_2	1	-0.661964791445608	0.190223171427894	5.66437730264973e-4	0.00741423739921432	0.00273408015556002	v140	de jure type of place of res.
v128_12	1	-0.887728770371211	0.237771648020473	2.21086233642943e-4	0.00741276778864719	0.00114576970908992	v128	main wall material
v127_11	1	-0.64233930006059	0.168582462410449	1.64587054442058e-4	0.0070880502198527	8.7759956466036e-4	v127	main floor material
hv213_34	1	0.6579406172726	0.167945132092769	1.08009079711677e-4	0.00708711608368362	5.93046136558167e-4	hv213	main floor material
v024_12	1	0.998291835703527	0.257344367401041	1.25703373671665e-4	0.00698790260996607	6.82587804827387e-4	v024	region
v101_12	1	0.998291835703527	0.257344367401041	1.25703373671665e-4	0.00698790260996607	6.82587804827387e-4	v101	region
v702	1	0.107119625129738	0.0296130900693521	3.42549206172886e-4	0.00676983953580412	0.00169780260911863	v702	highest year of education
hv133_04_1	1	0.829598389639943	0.273733061917637	0.00262712045108991	0.00671311490862825	0.0113790525110258	hv133_04	mother/father dead or been very sick for 3+ months
hv133_04_0	1	-0.829598389639944	0.273733061917638	0.00262712045108991	0.00671311490862814	0.0113790525110258	hv133_04	mother/father dead or been very sick for 3+ months
hv024_12	1	0.974930628343979	0.257747180527755	1.83221469108695e-4	0.0066205711402848	9.66493249548366e-4	hv024	region
hv134_03_0	1	0.843500539446559	0.247949058864384	7.49417079047934e-4	0.00655781044088166	0.00354772123639044	hv134_03	both parents alive
hv134_03_1	1	-0.843500539446557	0.247949058864384	7.49417079047947e-4	0.00655781044088155	0.00354772123639044	hv134_03	both parents alive
v141_3	1	-0.623053650582751	0.188972742296822	0.00107961243793634	0.00647669523531602	0.00493933688219594	v141	de jure place of residence
sh23a_6	1	-0.603807479378878	0.179989384123701	8.83732886344856e-4	0.0064639757109477	0.0041437253115281	sh23a	main source of energy used for lighting in the house
v127_34	1	0.635072348727975	0.166933516265659	1.68391840040501e-4	0.00645704212500731	8.94657365970575e-4	v127	main floor material
v113_61	1	1.21980230973465	0.322159188867535	1.80536499582734e-4	0.00644216621959304	9.55743404601069e-4	v113	source of drinking water
v161_6	1	0.655881123743582	0.19098956527959501	6.67540689729238e-4	0.00631821432582924	0.00318050838300027	v161	type of cooking fuel
v767a_1	1	-0.640735581103675	0.191434136003319	9.07696360994575e-4	0.00631767040203612	0.00420271951469902	v767a	relationship with last sex partner
hv104_01_2	1	0.627936271651528	0.167770046347488	2.13367527659192e-4	0.00595104594875528	0.00110966140265009	hv104_01	sex of household member
hv104_01_1	1	-0.627936271651529	0.167770046347488	2.13367527659187e-4	0.00595104594875517	0.00110966140265009	hv104_01	sex of household member
hv108_07	1	0.0975667293479101	0.0382797688135641	0.0112840816867485	0.00577717771032749	0.0408494819885479	hv108	education in single years
hv105_07	1	0.0219614299286054	0.00834911144334667	0.00894638979245924	0.00570966017152663	0.0335376084351835	hv105	age of household members
s518b_4	1	-0.5969642221758	0.180493082416898	0.00104169073757834	0.0057088113081516	0.00479307544985423	s518b	chances of getting aids are:
hv101_02_2	1	-0.617734796454892	0.166577119269358	2.43274780146907e-4	0.00569088736563339	0.00124762795235063	hv101_02	relationship to head
v161_7	1	-0.589626442547253	0.184442810184799	0.00151924227997856	0.00568367846441498	0.00679976014402525	v161	type of cooking fuel
hv201_61	1	1.139195970231	0.31975416855528	4.19117058604191e-4	0.00567678523295545	0.00205659765966243	hv201	source of drinking water
v191	1	2.12156491529953e-6	5.77562570481358e-7	2.77785879715025e-4	0.005533762994271	0.00141479222185894	v191	wealth index factor score (5 decimals)
v158_0	1	-0.631391572392073	0.243607902174517	0.00995581902293735	0.00546257516989712	0.036946594715775	v158	frequency of listening to radio
hv104_02_1	1	0.787551582741498	0.205911886920582	1.55592963325174e-4	0.00543272036592335	8.35675661204673e-4	hv104_02	sex of household member
hv104_02_2	1	-0.787551582741497	0.205911886920582	1.55592963325176e-4	0.00543272036592335	8.35675661204673e-4	hv104_02	sex of household member
hv101_1	1	0.750275245385075	0.193192279226671	1.2356278640426e-4	0.00542353665992568	6.75934205626267e-4	hv101	relationship to head
hv101_05_3	1	-0.588712790792805	0.206675265999875	0.00466009484744564	0.00539584888896083	0.0192261455018916	hv101_05	relationship to head
v762ak_0	1	-0.597794502949417	0.170809261017425	5.27264512737843e-4	0.0053717626339016	0.00255334323053703	v762ak	source for condoms: pharmacy
v762ak_1	1	0.597794502949417	0.170809261017425	5.27264512737831e-4	0.00537176263390149	0.00255334323053703	v762ak	source for condoms: pharmacy
v150_1	1	0.745828403377221	0.195268951668815	1.58777064857202e-4	0.00536253751816484	8.49687408674229e-4	v150	relationship to household head
hv205_31	1	-1.29697179684709	0.395920323007466	0.00116136781537912	0.005329524988539	0.00527797004096911	hv205	type of toilet facility
hv271	1	2.07719531014565e-6	5.67172234950087e-7	2.89449602184115e-4	0.00530514520427205	0.00144921038110487	hv271	wealth index factor score (5 decimals)
v151_2	1	0.591770999123	0.16762577733151	4.71902559835253e-4	0.0052569214992545	0.002300330299923	v151	sex of household head
v151_1	1	-0.591770999123	0.16762577733151	4.71902559835242e-4	0.00525692149925416	0.002300330299923	v151	sex of household head
v701_2	1	0.756829967224756	0.249883892161852	0.00264262402847845	0.00513928017911403	0.0114127359358558	v701	partner's education level
hv133_03_1	1	0.70196052488268	0.233444021162557	0.0028362628425877	0.00505454419120654	0.0121073994754394	hv133_03	mother/father dead or been very sick for 3+ months
hv133_03_0	1	-0.701960524882679	0.233444021162557	0.00283626284258771	0.00505454419120643	0.0121073994754394	hv133_03	mother/father dead or been very sick for 3+ months
v116_31	1	-1.23963349414672	0.397438839349162	0.00196845352184121	0.00483452531021455	0.0087048079393996	v116	type of toilet facility
v190_4	1	0.590455081421757	0.174994658496325	8.25474891197298e-4	0.0047791671938392	0.00389529205846137	v190	wealth index
hv270_4	1	0.588632615418393	0.175957889364185	9.13179132147586e-4	0.00475380258827274	0.0042148924318187	hv270	wealth index
hv130_0	1	-1.28376910229954	0.349711075906902	2.80270519239179e-4	0.00467747848374089	0.00141766971546667	hv130	member has been very sick for 3+ months last year
hv130_1	1	1.28376910229954	0.349711075906901	2.80270519239154e-4	0.00467747848374078	0.00141766971546667	hv130	member has been very sick for 3+ months last year
v767a_2	1	0.591993164092908	0.203716340058197	0.00389974770316444	0.00463808478690975	0.0162251474861236	v767a	relationship with last sex partner
v190_5	1	0.555314278712473	0.187075817793694	0.00320475403987953	0.00450434740429861	0.013601786542822	v190	wealth index
hv101_02_3	1	0.604649428035205	0.18042957272395	8.9467158986392e-4	0.00449753559713284	0.0041817403108513	hv101_02	relationship to head
v705_8	1	0.633717172596122	0.229922933609668	0.00616091294529367	0.00445605453921183	0.0246603480222188	v705	partner's occupation
hv270_5	1	0.542355721154728	0.184760678256881	0.00355596486843232	0.00428461256572976	0.0149022095904148	hv270	wealth index
hv110_0	1	1.38764508536264	0.549214433624881	0.0119677985278813	0.00426075601047016	0.0430726617700771	hv110	member still in school
hv110_1	1	-1.38764508536265	0.549214433624884	0.0119677985278815	0.00426075601047016	0.0430726617700771	hv110	member still in school
v766a	1	0.438652179576062	0.130413020640651	8.56680838935685e-4	0.00423052868667795	0.00402967388250958	v766a	no. other than husband had sex in last 12 months
hv131_10_0	1	14.7891289061674	0.469952498224498	4.2304e-65	0.00420223428951971	6.2483008e-64	hv131_10	mother has been very sick for 3+ months last year
hv113_03_0	1	0.748460590256556	0.277311792449975	0.00730458177009014	0.00419833292733418	0.0286176850780455	hv113_03	father alive
sh33e_8	1	-14.635674205379	0.571685015354767	6.6253e-73	0.00403940322059337	1.30474241333333e-71	sh33e	orphand/ parents sick: any social, spiritual or emotional support
v717_5	1	-0.472862494187483	0.177135864905574	0.00795905078421244	0.0039645766658456	0.0306932585072631	v717	respondent's occupation
v774_1	1	0.75150554197548	0.256446782284505	0.00361219815616256	0.00387593248714613	0.0150712335498647	v774	aids transmitted from mother to child
v762az_1	1	-0.472754610633137	0.175587245299519	0.00744265423745182	0.00377026017058335	0.0290047501549244	v762az	source for condoms: dk source for condom
v762az_0	1	0.472754610633137	0.175587245299518	0.00744265423745157	0.00377026017058324	0.0290047501549244	v762az	source for condoms: dk source for condom
hv030_36	1	0.66039372590363	0.258174581065833	0.0109601077422088	0.00364595113684474	0.0400695028100059	hv030	field supervisor
v781_0	1	-0.556635346385647	0.200493861105388	0.00580047135576011	0.00346033387966938	0.0233441313145986	v781	ever been tested for aids
v781_1	1	0.556635346385649	0.200493861105388	0.00580047135575995	0.00346033387966926	0.0233441313145986	v781	ever been tested for aids
hv117_01_0	1	-0.543730363578097	0.185260755999953	0.00356159782357239	0.00341987574809166	0.0149022095904148	hv117_01	eligibility for female interview
hv117_01_1	1	0.543730363578097	0.185260755999953	0.00356159782357239	0.00341987574809144	0.0149022095904148	hv117_01	eligibility for female interview
v190_2	1	-0.646289377456073	0.237462380840979	0.00682821245247517	0.00337428695661557	0.0268225260433666	v190	wealth index
v536_3	1	0.443364028862992	0.158357054245943	0.00540421517111114	0.00336045879199121	0.0220214792440155	v536	recent sexual activity
sh22f_0	1	-0.451991710502239	0.164289103076141	0.00625398428999819	0.00327712866321239	0.0248310075170089	sh22f	an iron, either charcoal or electric
sh22f_1	1	0.45199171050224	0.164289103076141	0.00625398428999807	0.00327712866321239	0.0248310075170089	sh22f	an iron, either charcoal or electric
hv106_02_0	1	-0.514044598186001	0.192242973835457	0.00785657909996896	0.00327484078857021	0.030377401389147	hv106_02	highest educational level
hv109_02_0	1	-0.514044598186001	0.192242973835457	0.00785657909996896	0.00327484078857021	0.030377401389147	hv109_02	educational attainment
v770a_0	1	-0.945498041882529	0.310598428666237	0.00251451357787973	0.00319122429433183	0.010955565057606	v770a	seek advise: clinic/hospital/private doctor
v770a_1	1	0.945498041882529	0.310598428666238	0.00251451357787978	0.00319122429433183	0.010955565057606	v770a	seek advise: clinic/hospital/private doctor
s113_2	1	-14.8303244954073	0.3648944039067	3.4495e-101	0.00315758774953134	1.59215984375e-99	s113	what respondent did last 12m
hv270_2	1	-0.593789000962004	0.228416226852418	0.009737940820353	0.00293159501612439	0.0364125027636997	hv270	wealth index
hv131_03_8	1	-14.1017884639967	0.253426012951158	3.0855e-172	0.00290511576297636	6.510405e-170	hv131_03	mother has been very sick for 3+ months last year
s528_0	1	-0.605011306453502	0.229987437247984	0.00890826491449381	0.00276361035767958	0.0334796622867891	s528	ever been tested for aids virus
s528_1	1	0.605011306453501	0.229987437247985	0.00890826491449432	0.00276361035767958	0.0334796622867891	s528	ever been tested for aids virus
v756_1	1	0.524037193375355	0.202873758739636	0.0102072602979723	0.00276133384832777	0.0376903086502627	v756	can a healthy person have aids
s518b_3	1	0.616488568716231	0.233499262696469	0.00866507151204604	0.00266131923760315	0.0329005414480514	s518b	chances of getting aids are:
hv130_09_0	1	14.0213623833508	0.438313221487692	6.8012e-84	0.00263836190648425	1.89535328301887e-82	hv130_09	member has been very sick for 3+ months last year
hv130_09_1	1	-14.021362384236	0.438313223149514	6.8012e-84	0.00263836190648425	1.89535328301887e-82	hv130_09	member has been very sick for 3+ months last year
sh29b	1	0.114381917287899	0.0412617313576872	0.00587440620036378	0.00261426294714273	0.0235774401030905	sh29b	how many days consume meat (last week)
hv131_10_8	1	-13.8455799897823	0.624933066013421	1.8842e-47	0.00234889945591665	2.19130976377953e-46	hv131_10	mother has been very sick for 3+ months last year
v762aa_1	1	1.05258141309537	0.396255614857497	0.00827004397791918	0.00226643612856936	0.0314815849365635	v762aa	source for condoms: regional consultant hospital
v762aa_0	1	-1.05258141309538	0.396255614857488	0.00827004397791738	0.00226643612856914	0.0314815849365635	v762aa	source for condoms: regional consultant hospital
hv101_09_7	1	-14.1046355056582	0.607667879766577	5.953e-61	0.00226557847040676	8.53648640776699e-60	hv101_09	relationship to head
sh33a_8	1	-13.4756718681237	0.501774692716464	1.085e-76	0.00218559880824576	2.39185820895522e-75	sh33a	orphand/ parents sick: any financial support for schooling
v767b_7	1	-13.6836021446435	1.10073580934828	8.0486e-23	0.00206474838884874	6.065195e-22	v767b	relationship with other sex partner (1)
hv131_07_8	1	-13.8180755100328	0.454028880346701	1.0254e-92	0.00204401236346641	4.327188e-91	hv131_07	mother has been very sick for 3+ months last year
sh33b_8	1	-13.4918739570614	0.536176307923108	2.1012e-71	0.0020004029201115	3.69461e-70	sh33b	orphand/ parents sick: any material support
sh33c_8	1	-13.4895860040958	0.536182902258378	1.6662e-71	0.00199211986204462	2.96503301204819e-70	sh33c	orphand/ parents sick: any practical support
sh33d_8	1	-13.4895860040958	0.536182902258378	1.6662e-71	0.00199211986204462	2.96503301204819e-70	sh33d	orphand/ parents sick: any medical support
