var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v502_2	0.964643297672144	0.289776644779494	9.67100686018071e-4	0.0042791137600301	0.00531336494553458	v502	currently/formerly/never marr.
hv101_12	0.559627568701602	0.442695604312093	0.207042005846301	8.17886421339287e-4	0.433581240942702	hv101	relationship to head
hv134_1	-1.21567479172445	1.10001301495961	0.270410977309907	0.00413024891909353	0.499254728989912	hv134	both parents alive
hv247_1	0.110960892959165	0.350491157217655	0.751750260989432	6.49755215216263e-5	0.871223141545983	hv247	owns a bank account
v129_11	-0.618575663887319	0.197247697852993	0.00186143629023887	0.00490524222847233	0.00973086657695767	v129	main roof material
v754c_0	-0.131978879840161	0.210302882491681	0.53070847418254	2.2165161516996e-4	0.723975240827399	v754c	aids: use condoms during sex
v161_6	0.411370327781462	0.221797886149697	0.0645009625503621	0.00163241788636737	0.194645221252467	v161	type of cooking fuel
v150_1	0.522377725519957	0.203477020105465	0.0106765636913678	0.00356382188363413	0.0464529991664792	v150	relationship to household head
v024_9	-0.308216347994863	0.44546780225026	0.489474936228475	1.41165072125249e-4	0.689893748144963	v024	region
v116_97	0.875322770484292	0.371118800138779	0.0189074502508739	0.00248161343299469	0.0748286378572721	v116	type of toilet facility
v024_18	-0.330254864838672	0.428980354152051	0.44191585090357	2.9967722182489e-4	0.649450855725729	v024	region
hv271	1.64822728967322e-6	6.33497313799647e-7	0.00967696888464165	0.00222777642284644	0.0429032702765283	hv271	wealth index factor score (5 decimals)
v770g_1	-10.8930567841227	0.781556262880932	2.93586e-35	1.18228723502978e-4	2.462958e-34	v770g	seek advise: home
v762ak_0	-0.143365256253573	0.216183678717757	0.507673493503554	2.71133640130317e-4	0.707061743991201	v762ak	source for condoms: pharmacy
v119_1	0.155957023759244	0.337082273113077	0.64389778819135	1.3335758473354e-4	0.810512849286686	v119	has electricity
hv024_15	0.143750925631372	0.383477514088571	0.707995878756253	3.80946101087298e-5	0.839883341352676	hv024	region
hv102_1	-0.868679190500558	0.371870194404264	0.0200699260624726	0.0023935726357166	0.0758695973321098	hv102	usual resident
v113_43	-0.697226452043061	0.406394662817273	0.0871364992627899	0.00193554182859268	0.237506294683207	v113	source of drinking water
hv201_43	-0.5184851651937	0.361807014358041	0.152758906241699	0.00120113517406828	0.356098548493545	hv201	source of drinking water
sh33d_8	-12.8759461525937	0.675173413010253	2.83018e-48	0.00109308514838469	3.14689061904762e-47	sh33d	orphand/ parents sick: any medical support
v754f_1	-0.228119680786644	1.03654245463661	0.825942483157569	2.25435642156047e-5	0.911138125121066	v754f	aids: avoid sex homosexuals
hv226_6	0.428719252799248	0.215078324806516	0.0470208303405127	0.00181076099765487	0.147704446876812	hv226	type of cooking fuel
v139_6	-0.497047729503287	0.481124463460348	0.302291125352659	2.75784018686775e-4	0.53071411857027	v139	de jure region of residence
v150_11	-11.8829393462166	0.602672877263439	2.710496e-58	2.23640430033423e-4	3.45218626909091e-57	v150	relationship to household head
v717_9	0.408354651983714	0.649985666537692	0.530259555301369	2.79607929686065e-4	0.723975240827399	v717	respondent's occupation
v503_1	-0.544277820047259	0.227361424298435	0.0172287476951563	0.00491747314645274	0.0695604481870724	v503	number of unions
v754bp_1	0.390897270615746	0.346027932746737	0.259409440096189	7.4191659671996e-4	0.490462382691985	v754bp	reduce risk of getting aids by not having sex at all
hv106_1	-0.0241926955459877	0.245536394274122	0.921569191811218	5.30031829737432e-6	0.972960390148844	hv106	highest educational level
v754bp_0	-0.214476735394638	0.363980777434747	0.556081791901162	1.93673788893234e-4	0.746951668699452	v754bp	reduce risk of getting aids by not having sex at all
hv024_2	-0.877895788952771	0.736612473303962	0.234165477035662	8.83315232971915e-4	0.464682483465953	hv024	region
sh33d_0	-0.460792906341651	0.711770588589781	0.518064078404268	0.00113086443210997	0.714608700633713	sh33d	orphand/ parents sick: any medical support
v756_8	0.117109400836587	0.478328310435255	0.806734871659105	3.03791743391235e-5	0.902659379649881	v756	can a healthy person have aids
hv109_5	-11.9150438385166	0.456423160972059	2.074257e-83	3.29784721379567e-4	5.69810599411765e-82	hv109	educational attainment
hv024_16	-1.37638645952254	0.671925097308162	0.0412816462522386	0.00198852122110338	0.134189295590223	hv024	region
v139_3	-0.156897669583566	0.394502437766662	0.691092618840509	4.00837111048657e-5	0.830271818131713	v139	de jure region of residence
v150_12	0.568398497084093	0.44277701975703	0.200114093478216	8.60322588748685e-4	0.428030297653406	v150	relationship to household head
v754l_0	-0.181001964027811	0.295785501107542	0.54098751235171	2.01714440814182e-4	0.733001455323739	v754l	aids: limit number of sex partners
v767a_1	0.110582523699697	0.222917320513954	0.620166717384236	1.65582080128956e-4	0.794925499593152	v767a	relationship with last sex partner
