name	estimate	se	p.value	Nag.r2	adj.p.val
b15_03_9	-13.1291284354183	0.394839033862291	2.7321e-121	0.00102606898746305	4.39927927007299e-120
hv106_02	-1.54101712602499	0.0577549642829487	2.6083e-87	0.0012947377691892	2.66384712962963e-86
v158_0	-0.284679120148954	0.193318123421461	0.141525607266132	0.000815168096747754	0.292709464624086
b10_06_3	-14.6494427752331	0.404636338067328	3.8857e-117	0.00243151291513544	5.67672463576159e-116
ml101_0	-0.150798274933869	0.160518770414045	0.347982700393499	0.000307501486396022	0.550308465453729
b0_02_1	0.463222540084719	0.496379613759993	0.351198851001505	0.000447271259277349	0.553389046649514
v474z_9	-11.9396486740439	0.401878749003071	3.2213e-110	0.000259929505562528	4.18011047058824e-109
m57k_1_9	-12.9609874708384	0.33308648017185	2.3909e-148	0.000777211841996972	6.76195564102564e-147
m57u_1_1	0.479511139428094	0.57497594368555	0.404727604900394	0.000500602847453124	0.604897761795575
hv121_1	-1.8406896469663	0.586083745063995	0.00179126931044143	0.0077274165068465	0.00633259631223615
b0_06_2	-13.5463403193219	0.528090346540031	1.1374e-80	0.000658242423570599	1.09567877729258e-79
m49b_1_1	-11.8846956271311	0.553814409828673	1.6475e-71	0.000227498148135941	1.44221626984127e-70
v505	-0.0222745272754894	0.00989222415315105	0.0247998982365463	0.000416382886963329	0.0708660304531362
m49x_1_8	-0.0315759223837814	1.03086444348436	0.975577337799499	6.60583313272234e-07	0.990765380890021
b15_02_1	-13.1407492304366	0.370760647888062	1.7776e-133	0.00113729474816304	3.24081454545455e-132
hv207_0	-0.167465013737022	0.171007390126813	0.32793966070176	0.000359205617686209	0.529701955233274
b0_03_3	-11.1091494460704	0.955778943693967	1.4961e-27	0.000108604909686116	8.33433484848485e-27
hv101_4	-0.850511064464208	0.721771127299473	0.239242916601342	0.00121050742549134	0.425964385813205
sh106_1	0.278829043146257	0.244968399286891	0.255602921554256	0.000596116368058008	0.447863419339705
hv012	-0.122244525538085	0.035606195456023	0.000648835602868765	0.00721777478886543	0.00241371220898566
m2g_1_1	-0.550927404346787	1.07472404250336	0.608459033308066	0.000119646429405873	0.785820093221476
b5_06_0	-1.32368027270917	1.0435387583929	0.205527465861738	0.00614152491967856	0.381323456426404
b2_01	-0.0477951387181478	0.0125598313156389	0.0001602483507874	0.00513773112685922	0.000624572194058312
hb0_03	-0.0304884835500452	0.0838748825496385	0.716646774915365	0.000262129408747702	0.860132092199834
hw55_2_1	1.61319134613398	0.497123628631785	0.00128128177096572	0.0147925494429716	0.0046109422296091
hc1_01	-0.0180126929260253	0.006453972622435	0.00546976170046653	0.00448108768963984	0.0180363143665608
v113_31	-11.8638001089228	0.534908101752762	3.0395e-75	0.000150227121619828	2.71463036437247e-74
m49b_1_0	0.420772219884199	1.02444778705229	0.6814591675049	0.000134561335579875	0.839831800846821
hv228_0	0.387607142560197	0.246413543990907	0.116395865869094	0.00147588680418165	0.252477168247022
sh126_5	0.148650464851217	0.782822901014841	0.849493898017205	4.04025700081467e-05	0.939340119812508
v113_41	0.0534465266645325	0.303560862382238	0.860318014621187	1.1975291842159e-05	0.940466570988275
v513_0	-1.06007488639702	0.271885037325373	0.000110567228987378	0.00767713917821455	0.000436335075395628
hv102_1	-0.0177012165558324	0.354880834282354	0.96023960823993	8.76587622822278e-07	0.986167865818103
m57s_1_0	0.200262198261755	0.549656207369927	0.715769134364684	5.62525368333899e-05	0.859629749266798
v153_9	-10.9871118790948	0.592547550835798	4.3526e-58	0.000132002268399378	3.20061186666667e-57
v161_8	-0.623715720577623	0.178945867912993	0.000536977388475245	0.00488956685389863	0.00201115809673411
v024_8	-0.632816871524156	0.492921057875103	0.199837054321364	0.000419946414541461	0.373963051618276
v474b_1	0.200503168979471	0.208638161490419	0.337038597507983	0.000370745127360017	0.538773294277254
hmlb_3	-0.329212619596131	0.156861973591684	0.0371011985750382	0.0228205464452218	0.0992063564321627
m2n_1_9	-12.9442090959338	0.347667096603178	1.3513e-141	0.000667251232918886	2.61488403508772e-140
hv006	-0.0252567117378102	0.0183680486756196	0.169771509380727	0.000921901646579903	0.334769014159966
sh113_4	-1.13791173005061	0.47780715936983	0.0176355383507033	0.00229119207540773	0.0525020210548603
hv024_19	-0.0470349587752782	0.358407760112716	0.895646716628615	9.61076057603982e-06	0.962863867876571
m2e_1_0	-0.136686988294487	0.239254227233462	0.568069349402376	0.00022180703328134	0.751746241620661
b0_03_2	0.252659580635857	0.765032429370419	0.741354228013771	8.93044949128452e-05	0.874154748042981
v022	9.46265439751527e-05	0.00150703451060236	0.949960334247323	1.7861122549867e-06	0.984743516612093
ha0_2	-0.0172996809678762	0.0652341265245412	0.790985851625787	6.13849952081358e-05	0.902231017935101
hv113_1	-1.77569451974582	1.43462064329805	0.216677416068811	0.00247457160463205	0.397331986573397
hv019	0.0018617663541775	0.0263971829097566	0.943802445110283	2.58540586062228e-06	0.984743516612093
v479_99	-14.3926503676328	0.347909580386845	6.5869e-154	0.00244638043764045	2.54924585964912e-152
v125_9	-11.258420317391	0.596766681154842	1.3297e-59	0.000198812188669573	9.90985878378378e-59
b10_04_5	0.626057625461289	1.07808288759839	0.561735458958087	0.000266673930712669	0.74700392629583
ha67_2	0.0828460538823744	0.0528253944791291	0.11753829437295	0.00224356042557572	0.254704791146098
v530_0	0.0612089059989447	0.344281432128609	0.858966042983524	1.32634251858166e-05	0.940466570988275
v024_19	-0.0332164469196085	0.358987220178032	0.926317550585968	4.82198914741883e-06	0.979135848870458
v527	0.00208666340010421	0.000806214639771687	0.00994663274107995	0.00414885348493377	0.0312123354577843
hv139_1	-20.642294741377	0.735091328186543	2.9476e-89	0.0184525525193013	3.08170881516588e-88
v128_97	0.0189247861485086	0.355046134042811	0.957513528165422	1.01218086712151e-06	0.984743516612093
hw57_2_9	-13.8302289535765	0.424314801004089	2.3323e-106	0.00111847961742428	2.92332602272727e-105
v158_1	-0.28997448290871	0.228090193124782	0.204241412710704	0.000614508491528665	0.379895916053805
v452a_1	-3.06239456061016	0.719050599867711	2.47886082179755e-05	0.0149044211649164	0.000100521451707488
v127_96	-9.96627774075705	1.00231400983533	2.7876e-21	3.92423903473604e-05	1.33104883116883e-20
v012	0.0422277896467134	0.00659300798498342	3.6352e-10	0.00941407377181214	1.57240219607843e-09
v129_32	-10.5840655585108	0.643115779151514	1.9082e-48	8.72126969195808e-05	1.27174900302115e-47
hv225_1	0.109507988203647	0.193472408671878	0.571659441371242	0.000154817260191842	0.752434801709403
hv217_1	1.02511147235069	0.228712605037804	9.2830643774122e-06	0.00557647670705197	3.8206044807036e-05
v113_21	1.67692547118526	1.23926615507331	0.176650862318829	0.00051101392447106	0.343946868733748
v161_2	-12.120178630941	0.57490456092927	4.7228e-70	0.000362655756951824	3.97652549618321e-69
m2h_1_9	-12.9442090959338	0.347667096603178	1.3513e-141	0.000667251232918886	2.61488403508772e-140
hv218	-10.7990866006664	0.711192422517707	1.0505e-42	7.52187449043484e-05	6.47319273743017e-42
m57n_1_9	-12.9609874708384	0.33308648017185	2.3909e-148	0.000777211841996972	6.76195564102564e-147
hml9	0.0437552803846913	0.0241085244586027	0.0704507507017893	0.00477028759140485	0.169112465776003
v024_7	0.143909824921403	0.270971809856166	0.595607217461413	9.86569785080826e-05	0.774254285044123
hc32_01	0.0180556187881614	0.00643175672353712	0.00520465537569391	0.00453317471141157	0.0172135978392515
v159_2	0.387603908217267	0.217396979473671	0.0752386642195007	0.000954397442504806	0.17713606538764
v151_2	0.725190388464347	0.195745390660002	0.000236582644090252	0.00633808228025368	0.000909235736695293
v133	0.0281480962900349	0.0231472634412969	0.224574593744221	0.00053804296898996	0.407076050780404
v479_46	-15.3784700588312	0.25377329444144	5.949e-216	0.00540755186504327	1.19304490909091e-213
v480_1	0.408942832707824	1.05493357214157	0.698463610936494	0.000173191609970536	0.847071632360714
b5_04_1	-0.081320506231382	0.321231162140458	0.800270432114406	6.03502852787319e-05	0.90765890655238
hv140_05	0.017924285691204	0.112811977563631	0.873881744997645	5.26594151883941e-05	0.950114898701234
v113_24	-0.0157867363192377	0.760412649531368	0.983445263253629	1.56626391856207e-07	0.993632142653021
v128_21	0.341374838577277	0.169966958191507	0.0451604691331005	0.00150028763147625	0.117066974039506
v021	0.000725313100903172	0.000648262118836612	0.263768702958976	0.000573855283321545	0.457186477008941
v479_42	-0.620876614795581	1.05768269981511	0.557493386486558	0.000378942146426087	0.743941351437672
m2b_1_9	-12.9442090959338	0.347667096603178	1.3513e-141	0.000667251232918886	2.61488403508772e-140
m2c_1_0	1.48667828655526	0.987779905686501	0.132984911083163	0.00165202022613353	0.278598968518003
m2g_1_9	-12.9442090959338	0.347667096603178	1.3513e-141	0.000667251232918886	2.61488403508772e-140
b11_01	0.0158089309860416	0.00247349766959178	3.9953e-10	0.0167858435059915	1.7247811741683e-09
hv205_24	0.125349615395093	0.204637386183486	0.540471578346854	0.000165684757694962	0.7301165351091
sh113_3	0.0615122828163558	0.341784333380927	0.857250081083394	1.05452401465422e-05	0.94037477815513
m2f_1_1	-12.8494329837761	0.461158277552505	3.3131e-101	0.000373977807921921	4.03795502762431e-100
v474e_1	0.368120842053939	0.430096495087337	0.392484850416405	0.000266014412472426	0.592624965421028
v479_41	-0.296492164012589	0.710074313712578	0.676478717403072	0.000128602022396396	0.835093481024721
b0_01_3	-9.80330223171686	1.00405052850406	1.2476e-20	2.09427634103587e-05	5.85575659574468e-20
hb32_02	-0.00146791056603665	0.00215691277946402	0.496588033999787	0.000673666522892913	0.690279270953705
ha50_22	0.541473603947515	0.28045567275297	0.054170690073131	0.00295609861974377	0.136416144179597
hw57_2_3	-0.194411718451208	0.585456397564206	0.740043243702391	0.00015279116065825	0.874154748042981
v123_0	0.291661816491089	0.172311679464603	0.0911823249778079	0.00120676977702983	0.206729916650611
hv109_4	-11.0571220056851	0.625027761666239	4.033e-54	0.000141292185421693	2.80656088328076e-53
hv270_5	0.584799510186461	0.171807558570566	0.000721043948152521	0.00422825021122852	0.00267331588172178
sh126_6	-0.906261203206089	0.742837479337163	0.223202355395093	0.000911569238741472	0.405588464581199
hv213_34	0.582351030113546	0.165912930325643	0.000491030488466644	0.00446339357691627	0.00184533774711655
hw57_1_3	-0.13540229169401	0.303018542612067	0.655197806659222	0.000163695957723364	0.820298729563135
v504_9	-8.43395957488726	0.716290892896897	3.1303e-28	5.48417631984766e-06	1.7706261025641e-27
hv226_95	-7.4770886826213	1.00411831578979	4.5788e-13	2.2903168764854e-06	2.04885046653144e-12
m57v_1_1	1.06487956099888	0.519457249132927	0.0409261612034907	0.00355356246579386	0.107736410041647
