var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
v121_9	1	-10.4502864622815	0.734718306164026	2.120538e-38	4.43158682127409e-5	1.3026162e-37	v121	has television
v479_22	1	-14.0947724512884	0.437445001617706	2.369709e-103	0.00203226627033271	4.50494153052632e-102	v479	source for injection by health worker
hml16	1	0.0597823016740585	0.00787305742461033	1.70725e-13	0.0172099146164921	7.59431896551724e-13	hml16	corrected age from individual questionnaire
hv217_4	1	-0.611458635028105	0.189568901813129	0.00134548099751894	0.00432086570074786	0.00494895861816539	hv217	relationship structure
v536_0	1	-1.42335016241914	0.438752681704235	0.00126279795461282	0.00835695533763359	0.00465431246128725	v536	recent sexual activity
hv024_55	1	-2.73095979845171	1.01155837691334	0.00719036077445204	3.91471169545188e-4	0.0236105301066552	hv024	region
v104	1	-0.00720427140438596	0.00250091984881184	0.00415115350995436	0.00457276808945262	0.0141186125027826	v104	years lived in place of res.
v513_3	1	0.855425255209406	0.252562936418468	7.66399953573071e-4	0.0047227014393405	0.00287758485686687	v513	marital duration (grouped)
v024_54	1	-13.252396917296	0.267431829789555	4.285768e-188	4.70815961910231e-4	4.07373526736842e-186	v024	region
hv111_1	1	15.2754972249372	0.590609077772397	5.511763e-79	0.00202227328930338	7.11017427e-78	hv111	mother alive
hv201_32	1	-11.7972454215764	0.700704046860614	4.490751e-50	2.59759642866841e-4	3.51095078181818e-49	hv201	source of drinking water
hv024_54	1	-13.2728693527073	0.26802711742499	3.405015e-188	5.14373145902414e-4	3.41636505e-186	hv024	region
v510_8	1	-11.077300613947	1.00874861973393	4.987995e-25	9.90837474676987e-5	2.66518312721894e-24	v510	completeness of date inform.
hb50_1	1	-1.81059713405299	0.619551975140313	0.00364162174975299	0.00904523336939222	0.0125378400867574	hb50	under age 18
hb1_01	1	0.0352943707537913	0.00923388867714876	1.50137143302937e-4	0.00537009596621751	5.89451480011096e-4	hb1	men's age in years
hv121_0	1	2.10133284805396	0.47986978517026	1.4730875865093e-5	0.014237151115166	5.99188329107161e-5	hv121	member attended school during current school year
sh126_4	1	-15.2418421639183	0.352470376831247	4.463939e-137	0.00896366735899756	1.52110827056604e-135	sh126	place get the net
v139_55	1	-2.56276154430737	1.0069485268673	0.0112459645026428	3.29224107332604e-4	0.0355695479715813	v139	de jure region of residence
v535_0	1	-1.82502369648577	0.415512445853271	1.41370531947612e-5	0.017789606928881	5.81583555119333e-5	v535	have ever been married
hv108_03	1	-0.0809610296031549	0.032047637775602	0.0118589014675162	0.0033331170107731	0.0373121533977949	hv108	education in single years
hv115_0	1	-1.18469006623923	0.264815882024382	9.66522614110335e-6	0.0130495673521633	3.98525077872892e-5	hv115	current marital status
hv109_07	1	-1.46879711297032	0.0617531934676679	1.183625e-70	7.6844688946931e-4	1.29553136363636e-69	hv109	educational attainment
