var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv111_9	1	-14.2855804482348	0.514594629916565	2.773e-91	6.12470044619506e-4	3.51184630872483e-90	hv111	Mother alive
v204	1	0.241280193329594	0.0844361256403886	0.00442303397504038	0.00213170047938671	0.0141943284199	v204	Sons elsewhere
v139_12	1	0.771492841298587	0.267021984910169	0.00400644559175243	0.00290627020298018	0.0129788203118229	v139	De jure region of residence
v024_22	1	0.693742323837852	0.274547952946369	0.0117746348680272	8.6952609237112e-4	0.0351840633348651	v024	Region
v531	1	0.0470445458223964	0.0112899415905943	3.55939071775989e-5	0.00620118344989873	1.38915621187444e-4	v531	Age at first sex (imputed)
v527	1	0.00183279579375305	6.35945823093863e-4	0.00409944986917578	0.00356406959833522	0.0132573468776944	v527	Time since last sex
hv113_9	1	-14.2134067001935	0.528041590797095	4.9109e-88	5.05323434633609e-4	5.72028907407407e-87	hv113	Father alive
ha64_3	1	-10.9864850858009	0.720534367572976	2.2849e-44	6.64616868135681e-5	1.46903110732538e-43	ha64	Consent for additional tests
hv247_9	1	-11.820628724499	0.492512563711765	7.7112e-89	1.54171972659323e-4	9.18046334384858e-88	hv247	Has bank account
hv101_6	1	-11.9149224823442	0.427229280831093	4.3127e-109	1.69058424688506e-4	7.64137549295775e-108	hv101	Relationship to head
shreg2_5	1	-2.79246473549362	0.744651918051154	1.94616053923154e-4	0.00281317588861962	7.27929620917724e-4	shreg2	Mainland/Zanzibar
v022_12	1	0.809147789428639	0.258151475327795	0.00180945660597231	0.00337008514094395	0.00615769993772723	v022	Sample strata for sampling errors
hv217_1	1	1.12710597599364	0.226980095680954	9.02566183019175e-7	0.00640275133544166	3.63143366174239e-6	hv217	Relationship structure
v025_2	1	-0.60106303816163	0.1836253476587	0.00112641694573536	0.00459760547040611	0.00395819139032146	v025	Type of place of residence
hv111_8	1	-11.1664760516584	1.07400523961092	2.6649e-22	3.88971155746987e-5	1.257166575e-21	hv111	Mother alive
hv210_0	1	0.583464477096272	0.152956314323104	1.51096305526353e-4	0.00481840599184513	5.70237457056456e-4	hv210	Has bicycle
v116_99	1	-10.6473586619007	0.585712017620858	9.6874e-59	5.9086674594977e-5	7.52268469135802e-58	v116	Type of toilet facility
sh108a_99	1	-9.84993951305235	0.787660286604405	6.3017e-32	4.23681568292311e-5	3.36387776520509e-31	sh108a	Source of energy for lighting in the household
v139_51	1	-12.5108111962208	0.283703589712984	4.3409e-187	4.4416878420428e-4	4.96441109090909e-185	v139	De jure region of residence
hv121_0	1	1.52329244978985	0.396307665583157	1.34627429048128e-4	0.00713488465353762	5.10124414887184e-4	hv121	Member attended school during current school year
hv226_10	1	-10.832801227364	0.601213460482919	6.2037e-58	8.65847053549418e-5	4.72985127272727e-57	hv226	Type of cooking fuel
hv205_99	1	-10.6473586619007	0.585712017620858	9.6874e-59	5.9086674594977e-5	7.52268469135802e-58	hv205	Type of toilet facility
hv109_4	1	-12.0517596516758	0.419564883158528	2.1123e-113	3.7468637841076e-4	3.9859101e-112	hv109	Educational attainment
hv025_1	1	0.60106303816163	0.1836253476587	0.00112641694573534	0.00459760547040611	0.00395819139032146	hv025	Type of place of residence
v150_4	1	-2.34354834013042	0.722061848586094	0.00123965734011787	0.00360452504497666	0.0043298093111824	v150	Relationship to household head
hv226_7	1	0.553900527897215	0.178683553368742	0.00203009382324512	0.00384537288563991	0.00686520975710312	hv226	Type of cooking fuel
hv214_22	1	-11.7675082341789	0.343757186776583	3.7902e-141	2.975970510809e-4	1.402374e-139	hv214	Main wall material
hv213_99	1	-9.95725744673456	1.00065833864577	1.2244e-21	3.15041403688987e-5	5.71891782178218e-21	hv213	Main floor material
ha62_0499995	1	-15.9768257807573	0.658051351836926	1.0396e-78	0.0191910517022146	1.05186337801609e-77	ha62	
hv246d	1	-0.042327100185876	0.0148425255598852	0.00450340580660973	0.00268469455605302	0.0144399774971496	hv246d	Owns goats
sh101a_9	1	-14.8283321992265	0.281160952033742	2.4809e-155	0.00289627118985547	1.14181909756098e-153	sh101a	Provider of drinking water
hml34_14?	1	-13.7757176556786	1.00305052330604	7.8007e-37	0.00812925672685516	4.50839843797856e-36	hml34	
v013_4	1	0.582672886203486	0.196312643358523	0.0031206927857376	0.00291145534956183	0.0103766472012103	v013	Age in 5-year groups
hv101_1	1	1.40197678561516	0.168905848657535	7.3634000000000005e-16	0.0182505740442601	3.09804588628763e-15	hv101	Relationship to head
ha32_01	1	-0.0021101867961611	6.19795025956829e-4	7.08410657092528e-4	0.0029003532520504	0.00255108952277405	ha32	Date of birth (CMC)
v478	1	0.10295462740454	0.0162158540561441	4.5626e-10	0.0192101381598031	1.87165786956522e-9	v478	Number of injections administered by a health worker
hml34_07?	1	-16.1525063302734	0.75835784345762	1.2651e-12	0.0372513252639962	5.22372800875273e-12	hml34	
v022_51	1	-12.5110467108243	0.282615349331234	7.7484e-188	4.64232617000793e-4	9.13826925e-186	v022	Sample strata for sampling errors
v150_6	1	-11.9149224823442	0.427229280831093	4.3127e-109	1.69058424688506e-4	7.64137549295775e-108	v150	Relationship to household head
v161_4	1	-12.1994841206298	0.547467747931785	7.2413e-80	1.95481125013219e-4	7.48730580821918e-79	v161	Type of cooking fuel
v191	1	1.58362990669121e-6	6.50680402400515e-7	0.0152428946411333	0.00181578713137642	0.0440142956202273	v191	Wealth index factor score (5 decimals)
v207	1	0.284532170602563	0.112044645338473	0.011363455194626	0.00162672667422215	0.0342405757564496	v207	Daughters who have died
