var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml34_03?	1	-15.2632482792959	0.649999776081797	1.842725e-63	0.0466257836854429	1.26276362551867e-62	hml34	NA
hml34_05?	1	-16.1011003342586	1.00790203780366	1.327563e-35	0.0439960735307685	5.48117573625e-35	hml34	NA
hml34_04?	1	-15.2737338361662	0.466099505082459	2.459306e-80	0.0318661426840797	2.24394688342541e-79	hml34	NA
hml34_06?	1	-16.3570473801592	1.00487111812098	5.384842e-36	0.0305305242682691	2.24006714433249e-35	hml34	NA
hb62_0399993	1	-16.1513211444945	0.837924239220193	5.252422e-43	0.0294795140330705	2.56638311627219e-42	hb62	NA
v535_0	1	-1.93794955978136	0.44204017437407	1.40797434456487e-5	0.0154910800220569	4.55488664064424e-5	v535	Ever been married or in union
ha62_0499995	1	-15.3733811625153	0.667487438347593	8.831678e-79	0.0143452977657671	7.90542884390244e-78	ha62	NA
v535_2	1	2.37940419017136	0.531955374820514	9.46721623860613e-6	0.0124164885153446	3.06570737608981e-5	v535	Ever been married or in union
hml34_09?	1	-15.4864999644693	0.820046042855474	1.611484e-55	0.011751448339385	9.74859276923077e-55	hml34	NA
v502_0	1	-1.30505983791438	0.331405571511527	9.22446751926122e-5	0.0111835265686424	2.9580986617592e-4	v502	Currently/formerly/never in union
v501_0	1	-1.30505983791438	0.331405571511527	9.22446751926122e-5	0.0111835265686424	2.9580986617592e-4	v501	Current marital status
v513_0	1	-1.30505983791438	0.331405571511527	9.22446751926122e-5	0.0111835265686424	2.9580986617592e-4	v513	Cohabitation duration (grouped)
hml16	1	0.0551175242979443	0.0113239498903184	1.46249410904446e-6	0.011141685398539901	4.778059388896e-6	hml16	Corrected age from Individual file
hb1	1	0.0551175242979443	0.0113239498903184	1.46249410904446e-6	0.011141685398539901	4.778059388896e-6	hb1	Man's age in years
v012	1	0.0550978235216483	0.0113241724830237	1.47559010213869e-6	0.0111330595121911	4.81608113375899e-6	v012	Respondent's current age
hb32	1	-0.00457559080611693	9.43092258963834e-4	1.57786451590275e-6	0.0110405483670514	5.14480404346178e-6	hb32	Date of birth (CMC)
hv115_0	1	-1.26918084613954	0.332637217977264	1.50596067635628e-4	0.0109413190150511	4.81994972287286e-4	hv115	Current marital status
hv116_0	1	-1.26918084613954	0.332637217977264	1.50596067635628e-4	0.0109413190150511	4.81994972287286e-4	hv116	Currently, formerly, never married
hb32_02	1	-0.00667031282307836	0.00153924626617697	1.76975123953439e-5	0.0105538121289765	5.71406485257291e-5	hb32	Date of birth (CMC)
v824_1	1	1.46601529723068	0.318643013333933	5.17937541858293e-6	0.0101688346658687	1.68380679208459e-5	v824	Drugs to avoid HIV transmission to baby during pregnancy
hb1_02	1	0.0787579486584859	0.0190741825280406	4.25832838542122e-5	0.0100966835952502	1.372220356785e-4	hb1	Man's age in years
sh135f_4_0	1	15.9324854334639	0.458306432763851	6.550426e-97	0.0099097612351654	8.1338560443609e-96	sh135f_4	Reason no one slept under mosquito net: Net too old / torn
hb62_0499995	1	-15.7177392690898	0.531382693284998	1.458108e-106	0.0096548091033537	2.15969987623318e-105	hb62	NA
sh135f_4_1	1	-15.9389340211268	0.47919906840311	5.139204e-93	0.0091044317917468	6.01942936595745e-92	sh135f_4	Reason no one slept under mosquito net: Net too old / torn
hv101_09_12	1	1.72856270616844	0.643425219183942	0.00757090472003318	0.00895412747781488	0.0228580423128607	hv101_09	Relationship to head
sh135k_1_0	1	16.2068744520601	0.416938161296509	1.433829e-103	0.00880657585321953	1.90965209153226e-102	sh135k_1	Reason no one slept under mosquito net: Saving net for later
sh135k_1_1	1	-16.2068744508131	0.416938153669285	1.433824e-103	0.00880657585321931	1.90965209153226e-102	sh135k_1	Reason no one slept under mosquito net: Saving net for later
hc0_01	1	-0.23655734579741	0.0890568124070289	0.00813120987771408	0.00809009703118124	0.0244158056600815	hc0	Index to Household Schedule
hb65_02_6	1	2.2812070465801	0.741009380251882	0.00219281801626434	0.00613565465826882	0.00685229697986861	hb65_02	Result of man's individual interview
hv116_2	1	1.46961036619831	0.337086519584596	1.54247865861878e-5	0.00564979115570519	4.98513406009572e-5	hv116	Currently, formerly, never married
hml33_05_0	1	15.6052062449144	0.322188552093668	7.411396e-144	0.00564590604660553	2.11033111965517e-142	hml33_05	Result of malaria measurement
hml34_14?	1	-14.2338232404266	1.0060852149061	9.477324e-39	0.00559720242477479	4.24168037560976e-38	hml34	NA
hv101_1	1	0.81102449090389	0.26112265901509	0.00199023275671408	0.00554476236215595	0.00622513143506307	hv101	Relationship to head
v150_1	1	0.81102449090389	0.26112265901509	0.00199023275671408	0.00554476236215595	0.00622513143506307	v150	Relationship to household head
v205	1	0.335871544271622	0.0819695911145534	4.77539602154934e-5	0.00547113835057333	1.5373424034286e-4	v205	Daughters elsewhere
hml8_2_1	1	1.44248679896125	0.508688960148532	0.00473439714950621	0.00545216486029254	0.0144793646155732	hml8_2	Net treated since receiving
sh135i_3_1	1	-15.5370831513207	0.348440164058976	2.384508e-132	0.00539892603368242	5.39454104383562e-131	sh135i_3	Reason no one slept under mosquito net: Usual user(s) didn't sleep here last nig
sh135i_3_0	1	15.537083150487	0.348440163717392	2.384507e-132	0.00539892603368231	5.39454104383562e-131	sh135i_3	Reason no one slept under mosquito net: Usual user(s) didn't sleep here last nig
v502_1	1	0.817484714747907	0.260312954766862	0.00177371524456248	0.00539540216840118	0.0055637050833712	v502	Currently/formerly/never in union
hv111_04_9	1	2.93296697277934	1.073659282431	0.00650341781621562	0.00500170389405619	0.019743372285809	hv111_04	Mother alive
v834a	1	0.0294026503132382	0.00632068135650601	4.0973771524772e-6	0.00487751821466187	1.33467817895781e-5	v834a	Age of most recent partner
hv115_4	1	1.44198957475418	0.359706515985682	6.90532561676984e-5	0.00486785977580939	2.22086567791536e-4	hv115	Current marital status
hml31_05_1	1	15.6006554977684	0.337375171696181	1.576343e-138	0.00465002161646921	4.00512379153846e-137	hml31_05	Read consent statement for malaria
hv140_06_2	1	-15.1802586520856	0.367634109253654	3.8667e-127	0.00460447671444708	8.13484719745223e-126	hv140_06	Member has a birth certificate
v501_1	1	0.719754183922543	0.235839842271791	0.00237893780784985	0.00448218657711419	0.00741285998049817	v501	Current marital status
hv116_1	1	0.72861377818459	0.248982487486554	0.00356473636128892	0.00438314415295693	0.010993766761286	hv116	Currently, formerly, never married
hv115_1	1	0.72861377818459	0.248982487486554	0.00356473636128892	0.00438314415295693	0.010993766761286	hv115	Current marital status
v022_22	1	1.45732671144253	0.323361465394483	7.97396893413134e-6	0.00432075825638278	2.58469277619586e-5	v022	Sample strata for sampling errors
v024_22	1	1.45732671144253	0.323361465394483	7.97396893413134e-6	0.00432075825638278	2.58469277619586e-5	v024	Region
hv024_22	1	1.45732671144253	0.323361465394483	7.97396893413134e-6	0.00432075825638278	2.58469277619586e-5	hv024	Region
ha62_0599995	1	-13.1752052562536	1.01494882437146	1.011942e-33	0.004290939404893	4.10115880490798e-33	ha62	NA
sh135x_1_1	1	-15.1716138725018	0.446571938894767	5.046221e-92	0.00415499178491152	5.84830454842105e-91	sh135x_1	Reason no one slept under mosquito net: Other
sh135x_1_0	1	15.1716138721147	0.446571937448668	5.046218e-92	0.0041549917849113	5.84830454842105e-91	sh135x_1	Reason no one slept under mosquito net: Other
hml34_11?	1	-15.2991499623807	1.00633459936232	1.388e-42	0.0038784816864248	6.7519351988218e-42	hml34	NA
v781_1	1	0.662487086914971	0.223176588503063	0.00311755961348133	0.00375692490849444	0.00965975553783193	v781	Ever been tested for HIV
hml33_05_3	1	-14.5631782786982	0.341627573024845	2.5083e-129	0.00374701046245818	5.48669860927152e-128	hml33_05	Result of malaria measurement
v781_0	1	-0.660712693493416	0.223187655854904	0.00319940961176548	0.00373651261854868	0.00989480332178032	v781	Ever been tested for HIV
v201	1	0.0921170912730369	0.0264540769583743	5.35120591920267e-4	0.00372070642422373	0.00170608428099676	v201	Total children ever born
v513_2	1	0.837636873395527	0.305366011873925	0.00627645130524082	0.0037133219499870802	0.0190718662936618	v513	Cohabitation duration (grouped)
mv034b_1	1	0.0344154114261354	0.0139028243422322	0.0136100723565494	0.00368290124690018	0.0394333938541076	mv034b	NA
v219	1	0.104977288578202	0.0305813999960678	6.40464150993941e-4	0.00368027821179495	0.0020360472480587	v219	Living children + current pregnancy
v218	1	0.104977288578202	0.0305813999960678	6.40464150993941e-4	0.00368027821179495	0.0020360472480587	v218	Number of living children
v013_2	1	-1.01701476138232	0.397552850437167	0.0107766270579292	0.00359567762877011	0.0318953397601614	v013	Age in 5-year groups
hv013	1	-0.0949735606465665	0.0360484234984753	0.0086499910919238	0.00348326359454587	0.0257860294012855	hv013	Number of de facto members
sh217_05_3	1	-14.5759843210025	0.34563914978199	3.549266e-127	0.00348187218095708	7.51488820384615e-126	sh217_05	Hemoglobin result (for counseling purposes only)
hv101_05_11	1	1.69262355686544	0.571264156627829	0.00317634075842645	0.00344649970212962	0.00983266497196117	hv101_05	Relationship to head
v139_22	1	1.35692595561588	0.322429032276332	2.98224568957203e-5	0.0033649156268214	9.61948975845353e-5	v139	De jure region of residence
hml35_08_0	1	15.5471874415877	0.498453606227284	4.292662e-77	0.00335574873725974	3.71169177643979e-76	hml35_08	Result of malaria rapid test
hb63_01_1	1	2.67693024229971	1.01410096396339	0.00852253907428985	0.0033152061960281	0.0255444161183116	hb63_01	Result of measurement - HIV
hb61_01_1	1	2.67263218840724	1.01415046066381	0.00863162745558159	0.00329793563556935	0.0257545307008004	hb61_01	Read consent statement - HIV
sh135b_4_0	1	14.8237884416319	0.577790761799507	1.726162e-71	0.00326756675404216	1.31979469583333e-70	sh135b_4	Reason no one slept under mosquito net: No malaria now
sh135h_4_0	1	14.8501090673382	0.563709592855805	1.454094e-73	0.00326754874123036	1.18297351773399e-72	sh135h_4	Reason no one slept under mosquito net: Not available last night/being washed
