name	estimate	se	p.value	Nag.r2	adj.p.val
hv216	-0.375548822432732	0.182543812036272	0.0404492636095481	0.00700843064054768	0.0935984925762607
hc53_1	-0.0011392253979811	0.00209527807641828	0.587022639487243	5.76519385251384e-05	0.72196248929634
h6m_1	-0.0422173871022385	0.075239561457304	0.575185381683203	0.000409535988139087	0.7130728091189
v129_35	-0.456506179861653	0.573605639111464	0.42669441321247	0.000376731944238595	0.592672604839203
v212	0.0555693879803187	0.027953287020084	0.0476599135387178	0.00215727546347677	0.108048383281333
v130_16	0.239189871526999	0.449452351709306	0.594962234771608	0.000165903095527442	0.729440000165191
v116_22	0.663437425336945	0.277886723742126	0.017533852620672	0.00263987981114255	0.0441780117743615
ha68_1	0.618420717961651	0.27919035379417	0.0274453950369205	0.00272893167194421	0.0663881852920104
hv252_3	-12.0790300923234	0.406546029196233	6.5958e-95	0.000179370237170295	7.80313465517241e-94
ha56_02	-0.028441574680564	0.00928339560150924	0.00239607004675283	0.00572063973100367	0.00668334714260258
sh106b_0	-0.214023716021122	0.422693732899553	0.612964216473127	0.000149358908483554	0.744636671354342
hv225_0	-0.560460025091377	0.344810347621265	0.105397520026928	0.00275718534838232	0.211462763133949
v317	-0.00914421321569574	0.00446700945762831	0.0417844715707672	0.00582520347421234	0.0964275053009241
hv211_0	0.319119701487899	0.297458714349681	0.284142894750548	0.000659724232039749	0.456172409647856
v219	0.00566266071850772	0.0516855667197417	0.912825691368142	4.63983399590084e-06	0.957234684503984
ha1_01	0.036398949195421	0.0126633074396583	0.00431353731407622	0.00310576009628138	0.0117220020607603
sh179_0	-0.355891488560776	0.780533413222964	0.648726578606613	9.89785261199527e-05	0.771345458366999
hv105_11	-0.155054723085084	0.0213450135099041	3.2556e-11	0.00677406349274501	9.9063600886918e-11
hv211_1	-0.319119701487897	0.297458714349679	0.284142894750549	0.000659724232039638	0.456172409647856
sh19a_0	2.09911663626484	0.727020083797897	0.00414450811422836	0.00520587177571918	0.011292481738106
hc18_1	0.00898676324239894	0.0375905945232428	0.811205722141152	4.72898838885794e-05	0.898744337474468
sh151b_0	0.556617231402532	0.54753674930709	0.310133901892222	0.000886130075790859	0.483269630402294
hv122_2	-1.84170356778349	0.726861691907447	0.0117506733194319	0.00365066942130343	0.0305799760152346
b8_04	0.141159665745821	0.0413567162489776	0.000741274788678119	0.0177798274443217	0.00211491913027569
hv226_4	-10.0411914675715	1.00717781120135	1.2907e-20	2.16855093884138e-05	4.151415546875e-20
v138	-0.14009017150415	0.182061928998489	0.442173126151394	0.000595158272711838	0.606606717882469
hv215_35	-0.465936363579766	0.574493002624796	0.417933047894447	0.000393607370208993	0.585447552970888
v205	-0.0521641089339209	0.191291786518491	0.785260622852623	3.85357909447048e-05	0.878555657623028
v123_1	-0.991965122919869	0.340443241518008	0.00381718410511266	0.00488234875908955	0.0104908858215947
hv243b_0	-0.0106413287574686	0.25851741653831	0.967191144450035	8.13699563950721e-07	0.980875489880412
sh156_1	-1.64650882057909	1.11653942990446	0.142401480695971	0.00973441869196989	0.268415027876024
hml7_12	-14.500848049106	0.318423918071784	3.26e-135	0.00198630729860094	9.06852702702703e-134
ha57_4	-0.454936382626708	0.286501230540395	0.11327451567384	0.00149644928699122	0.224403206034282
b12_03	0.012191933763888	0.00797664897151015	0.127426391080672	0.00397182193628698	0.24730976412883
hv213_12	-12.0325697432172	0.455782490556936	4.7342e-83	0.000197712813610806	4.49094502304147e-82
hv019	0.00798678093749135	0.0154816011143365	0.606280876908033	0.000116235540542409	0.739792048082505
hv227_0	-0.234356315516741	0.324093031610964	0.470126544679503	0.000302918210582037	0.630867166121036
v123_7	-0.604909495852486	1.02669750012792	0.556147427596054	0.000166062466447792	0.698931231503864
hml17_6	0.980821485462598	1.10913707107894	0.377178386209355	0.000203038756168561	0.547933456606886
hc3_1	-0.00091461729684883	0.00129944163453654	0.482038711521446	0.000589603449461018	0.640385084005742
hv208_1	0.383704235307294	0.275175416264715	0.164143869610625	0.00107265576970905	0.299415290734137
m61_1	0.00249404790758979	0.00469163706695234	0.595452281664971	0.000723813748092383	0.729823472347331
hv124_03	-0.0195316373889979	0.0286485001482536	0.495869573778273	0.00017702673393527	0.649099411747824
ha55_4	-10.062357680374	1.0051093291372	9.3602e-21	2.30209021265804e-05	3.02955529874214e-20
hc63_2	0.0310925885568823	0.00800096799030395	0.000134664672497212	0.0170136888497663	0.000394882091646027
hb70_2	-0.0104323940606498	0.0109540552393992	0.341892561297988	0.00195403792923787	0.513150446541676
sh154_1	-16.8831308858371	0.41185513819782	5.5796e-99	0.0127771285744501	7.26937126582278e-98
sh123a_1	0.207289777983152	0.287804479759667	0.471888588229568	0.00028349447166065	0.631361163838013
v120_1	0.267471397428579	0.289803015177079	0.356717879948793	0.000423483947889269	0.527138374640768
s106	0.268268144091779	0.0915567041839356	0.00363555419610688	0.00644555686970927	0.0100050645891524
sh110j_1	-11.2451789116473	0.617703589237769	1.2472e-51	0.000100497914274911	6.94820351826793e-51
ha69_01	3.82081457807687e-07	2.457529491897e-07	0.120975744829626	0.00126942057962054	0.236719173699416
hv105_12	-0.0799639960285656	0.0830311802110293	0.337863967211188	0.00511684440053162	0.508587185743496
ha32_03	0.00276055846044873	0.00508726838695975	0.588056040810177	0.00110025664262592	0.722910337418781
s1102	0.00482849351612873	0.0839184394827736	0.954151833060968	1.4584098863013e-06	0.975743365506196
v121_1	0.367175899564395	0.275050830512529	0.182825170635215	0.00098104923791098	0.325411350609503
v509	-0.00210123484995688	0.00106613364917559	0.0495844115262375	0.0019149391684683	0.112041175770318
m19_1	-0.000320541294442803	0.000109538956938846	0.00368229889907295	0.0140065390844915	0.0101269369188265
hv241_2	-0.955095377118819	0.419354384222832	0.0233993394809234	0.00382620414354895	0.057479165061433
shclweight	-1.03203405929303e-07	1.67391402017592e-07	0.537967511673921	0.000357145988851504	0.686763486995824
v133	-0.00658164384849879	0.0284221578548583	0.817018903515872	2.20198716150977e-05	0.902755455119389
sh106c_1	-13.2070980609379	0.499035984183093	2.7259e-83	0.000319275981288558	2.60383533642691e-82
mm3_02	0.0398233684507385	0.0150953211384728	0.00873644507233831	0.00643793552772132	0.0230416043323618
h7m_1	-0.0284667025085285	0.0782772919047216	0.716394978442018	0.00018751557259622	0.823590837481168
v766b	0.35719922357115	0.224678721182414	0.112841194214259	0.000811219759817572	0.223887805580773
b1_02	-0.0281431109565267	0.0445539968255843	0.528058089252966	0.000355054925338605	0.67905636482326
h0d_1	-0.0771535286902795	0.0256155754349924	0.00282672172694254	0.00628786028158246	0.0078367766665471
hml16_12	-0.0805352875405874	0.0859806785891171	0.351209087393433	0.00501970791186568	0.523318064711822
sh123a_0	-0.207289777983153	0.287804479759667	0.471888588229567	0.000283494471660428	0.631361163838013
v130_18	-0.636681656226358	0.718263897474377	0.376044040284412	0.000395376366998823	0.546864469745999
h3y_1	-0.0711892524899984	0.223062646222031	0.749854779646408	0.000143834238091056	0.850220910989882
v525	0.173819274457934	0.030388056704633	2.42308875962437e-08	0.0179379886025096	7.3622556630063e-08
shregion_3	0.0382393202211314	0.341713609001886	0.910967718723369	7.32175818940473e-06	0.955773215592281
