var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv101_3	-1.69688994870092	0.759165799728922	0.0260788240289128	0.00445760496651659	0.0554639965876402	hv101	relationship to head
sh172_1	0.752421347263117	0.606915522518916	0.215986165460981	0.00132599379004039	0.350099818069743	sh172	shouted, yelled, screamed
v149_2	0.782258434784686	0.606475871524598	0.19801675857953	9.96944912187603e-4	0.326861611333	v149	educational attainment
ha67_02	-0.117753772476302	0.19530614521916	0.547309075647021	5.61672501710797e-4	0.703649418897695	ha67	woman's highest year of education
ha12b_03	7.67728375008843e-5	2.04035557471772e-4	0.707396251222093	3.27101402841978e-4	0.825500668817434	ha12b	weight/height percent ref. median (who)
hv241_1	-1.08111532865323	1.04083821096519	0.299713187677262	7.9531071437644e-4	0.455251950042881	hv241	food cooked in the house/ separate building/ outdoors
hv213_33	0.855823548933536	0.771930336903582	0.268383092029052	7.77688647650043e-4	0.421284453300208	hv213	main floor material
hv206_0	-0.433124771432437	0.322809824833082	0.180613376559392	7.58740456684781e-4	0.304884467097743	hv206	has electricity
hc2_1	-2.0241077800049e-4	5.11397389664015e-5	9.46282269519909e-5	3.02132206328021e-4	2.30473830434795e-4	hc2	child's weight in kilograms (1 decimal)
hml4	-6.8648224755141e-5	0.00640787503408405	0.991460374415725	1.66013989999492e-7	0.99642421685012	hml4	months ago net obtained
hv213_32	-12.7196205240986	0.441103109441297	7.883249e-92	2.62563475245114e-4	6.80342132347267e-91	hv213	main floor material
hv217_2	0.654728424875096	0.381289551684556	0.0869000139202385	0.00164494950659178	0.164717258023955	hv217	relationship structure
v025_2	-1.09164787591523	0.426417337814342	0.010914878994845	0.00457682849547159	0.0243318398855189	v025	type of place of residence
hv025_1	1.09164787591524	0.426417337814345	0.0109148789948453	0.00457682849547147	0.0243318398855189	hv025	type of place of residence
hv232_1	17.0144065204247	0.54488761886429	1.749108e-69	0.0156478490030508	1.10461314635294e-68	hv232	items present: soap or detergent
hc60_2	-1.62122729129838	0.599874075289393	0.00749630256085581	0.0199722364722327	0.0171234689985847	hc60	mother's line number (woman's questionnaire)
hv237e_0	9.36152736954686	1.02405840762017	6.682617e-18	1.03865827024707e-5	1.68572782218045e-17	hv237e	water usually treated by: solar disinfection
hml3_0	0.370906566527229	0.65621757802341	0.572397742949666	8.31423018239019e-4	0.724677142489106	hml3	net observed by interviewer
hml16_09	-0.0282055517705163	0.0369525049126649	0.446256307967586	6.88198025875164e-4	0.615329388242243	hml16	corrected age from individual file
hml16a_07	0.0155762683342187	0.00447091877749953	6.63908185190264e-4	2.45229068111752e-4	0.00159385471292546	hml16a	age in months (for children)
v512	0.037627206896542	0.0109069110204485	6.38090114091295e-4	0.00351528942390855	0.00153324428488902	v512	years since first cohabitation
hb69	7.32576014208219e-7	4.96147444954698e-7	0.140764317755504	0.00289613908278352	0.249215982094837	hb69	hiv weight (6 decimals)
hv237f_0	13.5849730960748	0.320370777949201	6.063086e-135	5.28618912192358e-4	1.22541188330827e-133	hv237f	water usually treated by: let it stand and settle
hv010	0.0874855580071353	0.185482063604217	0.637479859394515	1.5024713545797e-4	0.777589613428895	hv010	number of eligible women in household
hv108_08	0.0846478764697069	0.0729857694692757	0.247398798039464	8.46528973548977e-4	0.391059113037645	hv108	education completed in single years
hmlc	-0.291061033398199	0.0599096582384796	4.19969427485845e-6	0.00372084426857355	1.02846527679928e-5	hmlc	line number of person who slept in this net
hv205_43	-10.5293461890657	1.0253406199227	1.25607e-21	1.67878181889236e-5	3.4719792790937196e-21	hv205	type of toilet facility
hv012	-0.0617720300775275	0.0579009517270143	0.286823476151779	7.6702177765986e-4	0.440660681162779	hv012	number of de jure members
v206	0.0812512941079699	0.21594888438372	0.70697323255589	3.90822404378044e-5	0.825477472258722	v206	sons who have died
hml4_3	-0.0160352214882655	0.00978291234424585	0.102570459664136	0.00460891220242865	0.189131467355535	hml4	months ago net obtained
v152	-0.0105581022387563	0.0105670407625862	0.318458821063742	3.43250224904335e-4	0.476478357751388	v152	age of household head
sh110m_0	-0.633819083537427	0.582180168529172	0.277088266992213	6.32971306005259e-4	0.430384785073562	sh110m	has a stove/gas cooker
sh168	-0.301214966876841	0.116627508522365	0.0102507577554314	0.00396052564645055	0.0230234592598978	sh168	child line number
hb53_1	-0.0312283811442869	0.00817526635976331	1.59769198898066e-4	0.0081395405290624109	3.88424392973197e-4	hb53	hemoglobin level (g/dl - 1 decimal)
hv215_24	-9.28784849263851	1.02360409695767	1.100921e-17	7.77189547096491e-6	2.7564104141791e-17	hv215	main roof material
ha1_03	0.0122416200079757	0.0688322041096712	0.859135482762725	2.04087080198589e-4	0.917773498855496	ha1	woman's age in years
hc53_2	-0.0116389207807481	0.0407154145062877	0.77530494638574	7.75955652481231e-4	0.87245292658955	hc53	hemoglobin level (g/dl - 1 decimal)
