var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s529_1	1	6.20364031182186	0.383617084359593	7.3352e-47	0.290364318494554	1.29130083333333e-45	s529	what was the result of the test?
s529_0	1	-5.28966389583985	0.275567159569154	1.0934e-60	0.273313825532607	2.36903333333333e-59	s529	what was the result of the test?
s521b_1	1	5.48703648023229	0.450516634212909	9.0111e-30	0.136239208294969	1.19911488188976e-28	s521b	what was the result of the test?
s521b_0	1	-4.12985335310119	0.27109796656381	1.0133e-42	0.118960638212821	1.55679727272727e-41	s521b	what was the result of the test?
v535_0	1	-1.59647431724386	0.174384494707252	1.8127e-18	0.0538567229534251	1.8910265432098798e-17	v535	ever been married or in union
s440aa_1	1	3.14416473293384	0.228839907043812	2.4942e-36	0.0478010863737101	3.54218319327731e-35	s440aa	what is this partner's hiv status? (last partner)
v535_1	1	1.10900994825035	0.143437144018803	6.7961e-14	0.0272389909605253	6.31066428571429e-13	v535	ever been married or in union
hv117_1	1	2.37025206431702	0.244989556046086	2.6426e-20	0.0265191125317016	2.82657848101266e-19	hv117	eligibility for female interview
slage_1	1	2.37025206431702	0.244989556046086	2.6426e-20	0.0265191125317016	2.82657848101266e-19	slage	adult or child
hv117_0	1	-2.37025206431696	0.244989556046085	2.6426e-20	0.0265191125317015	2.82657848101266e-19	hv117	eligibility for female interview
v502_2	1	1.30552160183539	0.112794281818344	2.0297e-27	0.0240922079212713	2.67983828125e-26	v502	currently/formerly/never in union
hv105	1	0.038778645865025	0.0023802264906622	1.3471e-47	0.0216391707001083	2.47456413043478e-46	hv105	age of household members
hv116_2	1	1.22722337321669	0.11074134034554001	1.6721e-25	0.0214308934370667	2.1246984962406e-24	hv116	currently, formerly, never married
s117_1	1	-1.58518628439287	0.359088446020413	1.30045249350401e-5	0.0204820171318071	7.50090346082518e-5	s117	what have you been doing most of the time
slage_2	1	-2.43275954701525	0.318744110875219	1.3047e-13	0.0191267881016293	1.19833858695652e-12	slage	adult or child
hivline	1	-0.336669308852418	0.0415994290382384	5.0582e-15	0.0185066738868547	4.80244831460674e-14	hivline	line
hv101_10_3	1	-1.51351423337508	0.556450494042797	0.00696777893558184	0.0170122533099714	0.0239827828943652	hv101_10	relationship to head
v763b_0	1	-0.99757539528826	0.10812405567779	9.6668e-19	0.0153612835825352	1.02105575e-17	v763b	had genital sore/ulcer in last 12 months
v763b_1	1	0.974823853907248	0.107708730274343	3.8348e-18	0.0145187443266724	3.95171463414634e-17	v763b	had genital sore/ulcer in last 12 months
hv116_01_1	1	-1.07868838685804	0.106786673334416	7.8024e-22	0.0141588031469254	8.790704e-21	hv116_01	currently, formerly, never married
hv115_01_1	1	-1.07868838685804	0.106786673334416	7.8024e-22	0.0141588031469254	8.790704e-21	hv115_01	current marital status
hv116_01_2	1	1.11179765566722	0.111576121824616	2.4421e-21	0.0141545762816635	2.73321125827815e-20	hv116_01	currently, formerly, never married
hv101_3	1	-1.23144512694031	0.137655907831713	8.6469e-18	0.0138575741195555	8.6469e-17	hv101	relationship to head
s453_3	1	-0.836180892409755	0.141618781178347	6.9383e-9	0.0135519817132601	5.18837477876106e-8	s453	have you ever run short of condom?
hv101_1	1	1.06831618488099	0.102620007698797	5.7255e-23	0.0129502275696314	6.86247872340426e-22	hv101	relationship to head
s440ba_1	1	1.53820476695892	0.270831356782186	2.38289191615732e-8	0.0128549626213831	1.73581350789046e-7	s440ba	what do you think your partner's hiv status is? (last partner)
hv014	1	-0.449553011806702	0.0728735555026636	1.4889e-9	0.0127413218930345	1.123321875e-8	hv014	number of children 5 and under (de jure)
hv101_08_3	1	-1.1259261181172	0.249079590620899	8.06459462478896e-6	0.0127078014640136	4.74883794978862e-5	hv101_08	relationship to head
sh11a_03_1	1	1.74345438521224	0.379088997663522	5.61824023883662e-6	0.0126523188360431	3.42773501936241e-5	sh11a_03	sick at least 3 months of past 12 months
hv101_09_3	1	-1.12657986681602	0.332699208992221	7.87619662850019e-4	0.0124999472605409	0.00339560517912381	hv101_09	relationship to head
hv109_0	1	-1.04785783853191	0.121233865906192	8.7286e-17	0.012374833349761	8.47777816091954e-16	hv109	educational attainment
hv106_0	1	-1.04785783853191	0.121233865906192	8.7286e-17	0.012374833349761	8.47777816091954e-16	hv106	highest educational level attained
v536_0	1	-1.98123093151229	0.354477306663599	3.88062058821931e-8	0.0123673191637023	2.79074416769814e-7	v536	recent sexual activity
sh11a_03_0	1	-1.67468455261895	0.367796058038352	6.91920799448525e-6	0.0123090229949147	4.16137420308899e-5	sh11a_03	sick at least 3 months of past 12 months
v763a_1	1	0.945552070866035	0.124076290334784	1.4133e-13	0.0121243352741216	1.29106864864865e-12	v763a	had any sti in last 12 months
s117_4	1	2.34698069298595	0.533400186014977	1.38579825015021e-5	0.0119006296472077	7.93897980594527e-5	s117	what have you been doing most of the time
hv113_04_0	1	1.32221083880913	0.158728379913665	9.015e-16	0.0117280488876343	8.60754237288136e-15	hv113_04	father alive
v527	1	0.00300699054494439	5.10243732143842e-4	7.2502e-9	0.0115416901689402	5.39772599118943e-8	v527	time since last sex
v501_3	1	1.26132190410954	0.148359638007757	2.5248e-16	0.0114494314723294	2.43823542857143e-15	v501	current marital status
v763a_0	1	-0.885500020350982	0.122112966958015	1.7188e-12	0.0113884012330172	1.5450914893617e-11	v763a	had any sti in last 12 months
v826a_95	1	0.796685948658219	0.170225729274651	3.78036574513504e-6	0.0112926523065996	2.37502531943428e-5	v826a	months ago most recent hiv test
hv106_1	1	0.895263823612676	0.102190979186492	3.5818e-17	0.0112242291171613	3.51932674418605e-16	hv106	highest educational level attained
v535_2	1	0.905714623068466	0.19491884120419	4.41719743450577e-6	0.0111976501161352	2.73445555469405e-5	v535	ever been married or in union
hv115_4	1	1.06755871074465	0.128053166411017	8.5739e-16	0.010924379068376	8.23289261363636e-15	hv115	current marital status
v769_1	1	0.748412747891232	0.150777171266861	9.80152770607875e-7	0.0106102360933263	6.52148890680043e-6	v769	can get a condom
hv113_04_1	1	-1.23439685302187	0.157613934313378	3.2512e-14	0.0104304369369274	3.03565082872928e-13	hv113_04	father alive
v536_3	1	0.745624706137297	0.102764075968893	1.6714e-12	0.0103343511588702	1.51051657754011e-11	v536	recent sexual activity
v013_1	1	-1.13616134781609	0.192836019299767	7.3073e-9	0.0102140365488733	5.41637587719298e-8	v013	age in 5-year groups
sh17_044	1	1.13881653193408	0.157214990595216	1.81e-12	0.0101324694255748	1.61846560846561e-11	sh17	mother/father dead/sick
v763c_0	1	-0.804826176990513	0.123566641777786	1.9008e-10	0.0100184541782661	1.51526037735849e-9	v763c	had genital discharge in last 12 months
v503_1	1	-0.752169203157078	0.116448806712774	2.6415e-10	0.00975287706703243	2.06672916666667e-9	v503	number of unions
v503_2	1	0.752169203157081	0.116448806712775	2.6415e-10	0.0097528770670321	2.06672916666667e-9	v503	number of unions
v501_5	1	1.06052020863792	0.137457090570451	7.3437e-14	0.00971818836232807	6.7818868852459e-13	v501	current marital status
hv113_09_0	1	1.54555817741446	0.433216176497375	4.12413556038205e-4	0.00970255919447882	0.00187864935230341	hv113_09	father alive
v827_2	1	-0.705947041041559	0.17529171816641	6.60421957813238e-5	0.00969998839759578	3.40278386800113e-4	v827	last hiv test: on your own, offered or required
v769_0	1	-0.736555450328452	0.154869122613626	2.65670910061224e-6	0.0096809392546694	1.68790916542657e-5	v769	can get a condom
s440aa_0	1	-0.83533236540162	0.14749330365404	2.59202935789059e-8	0.00958102856300524	1.87202120292098e-7	s440aa	what is this partner's hiv status? (last partner)
v763c_1	1	0.7903069403153	0.123376427644047	3.6519e-10	0.00955177866137724	2.8441064516129e-9	v763c	had genital discharge in last 12 months
hv104_01_1	1	-0.820311690227288	0.102490955438817	9.6054e-15	0.00945856648197874	9.01840333333333e-14	hv104_01	sex of household member
