var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s529_1	1	5.99956297583225	0.361327108971151	1.1048e-48	0.269951795900592	1.71396036697248e-47	s529	what was the result of the test?
s529_0	1	-5.24687032654776	0.282743338759513	1.4628e-57	0.256774314887514	2.52407632653061e-56	s529	what was the result of the test?
s521b_1	1	6.11817246578025	0.60574019184477	8.821e-22	0.145311683220506	8.87875654761905e-21	s521b	what was the result of the test?
s521b_0	1	-4.16016575653406	0.288700573437256	4.6213e-39	0.121013781986216	5.74604286764706e-38	s521b	what was the result of the test?
v535_0	1	-2.04170152121332	0.188688629743339	1.9465e-24	0.0710248481238739	2.17982218543046e-23	v535	ever been married or in union
s440aa_1	1	3.32325274133521	0.224090941109481	4.623e-41	0.0599328964683949	6.20435952380952e-40	s440aa	what is this partner's hiv status? (last partner)
v535_1	1	1.53041373748735	0.174720755384904	3.9054e-17	0.0477657709882457	3.53156759358289e-16	v535	ever been married or in union
hv117_0	1	-2.71946219269597	0.267152818137659	4.0514e-22	0.0297233973588986	4.22896135802469e-21	hv117	eligibility for female interview
hv117_1	1	2.71946219269597	0.267152818137657	4.0514e-22	0.0297233973588986	4.22896135802469e-21	hv117	eligibility for female interview
slage_1	1	2.71946219269597	0.267152818137657	4.0514e-22	0.0297233973588986	4.22896135802469e-21	slage	adult or child
hivline	1	-0.512392841651068	0.0659641714309561	5.0937e-14	0.0295273554489451	4.43992097938144e-13	hivline	line
hv105	1	0.0424270346305004	0.00243694501124664	1.0491e-52	0.0244589356395966	1.72235737864078e-51	hv105	age of household members
hv101_1	1	1.40179007881997	0.110219812092092	4.9108e-32	0.0229002217274594	5.68778273972603e-31	hv101	relationship to head
v502_2	1	1.26315264813904	0.122135729623232	1.0232e-22	0.0224540098013961	1.10912256410256e-21	v502	currently/formerly/never in union
slage_2	1	-2.62041767140876	0.315239565129142	1.0257e-15	0.0201597352376893	9.22584414893617e-15	slage	adult or child
hv116_2	1	1.18430471443317	0.1184464953564	1.8384e-21	0.0195000117842604	1.82866729411765e-20	hv116	currently, formerly, never married
v501_3	1	1.53364150548302	0.154442649363047	3.2458e-21	0.0177511879856207	3.19107430232558e-20	v501	current marital status
v826a_95	1	0.988429302031257	0.162273084241576	2.3883e-9	0.0170334470889256	1.85257582568807e-8	v826a	months ago most recent hiv test
v150_1	1	0.993029177401733	0.110977716231274	8.5021e-18	0.0166215502618011	7.85631207650273e-17	v150	relationship to household head
hv115_3	1	1.48414888282221	0.158688398049177	3.5475e-19	0.0161623504031427	3.370125e-18	hv115	current marital status
s307_1	1	-0.973733539372899	0.175201521561218	4.59966636825258e-8	0.0159030682235112	3.18771960193255e-7	s307	still breastfeeding
s307_0	1	0.973733539372901	0.175201521561219	4.59966636825277e-8	0.0159030682235112	3.18771960193255e-7	s307	still breastfeeding
hv101_3	1	-1.3435060257709	0.150981036905499	1.2458e-17	0.0154173815109688	1.1449172826087e-16	hv101	relationship to head
s117_1	1	-1.38708719169253	0.351267737411363	9.30727740590588e-5	0.0143726833250387	4.71215751299007e-4	s117	what have you been doing most of the time
s440aa_0	1	-1.02270423552438	0.166643115566457	1.793e-9	0.0136999262642361	1.39721797235023e-8	s440aa	what is this partner's hiv status? (last partner)
v013_1	1	-1.3700861023806301	0.235102275342033	1.0477e-8	0.0127025649739348	7.80467268722467e-8	v013	age in 5-year groups
hv014	1	-0.462144769922259	0.0604184546855447	1.1623e-13	0.0126594724363774	9.87662964824121e-13	hv014	number of children 5 and under (de jure)
v761_1	1	1.12620300901655	0.173800109687185	2.3302e-10	0.0121065802638802	1.85866424528302e-9	v761	condom used during last sex with most recent partner
v761_0	1	-1.12620300901654	0.173800109687184	2.3302e-10	0.0121065802638801	1.85866424528302e-9	v761	condom used during last sex with most recent partner
v501_0	1	-1.2489835884902	0.18041400135307	1.4656e-11	0.0119568286357742	1.21486745098039e-10	v501	current marital status
v502_0	1	-1.2489835884902	0.18041400135307	1.4656e-11	0.0119568286357742	1.21486745098039e-10	v502	currently/formerly/never in union
v513_0	1	-1.2489835884902	0.18041400135307	1.4656e-11	0.0119568286357742	1.21486745098039e-10	v513	cohabitation duration (grouped)
s305_1	1	-1.70244545395618	0.284407937372403	4.2922e-9	0.0119554785157595	3.26941900900901e-8	s305	ever breastfed
s305_0	1	1.70244545395618	0.284407937372404	4.2922e-9	0.0119554785157592	3.26941900900901e-8	s305	ever breastfed
v763b_1	1	0.885270303125809	0.112445276282073	2.4333e-14	0.0115998363628154	2.13197424870466e-13	v763b	had genital sore/ulcer in last 12 months
