name	estimate	se	p.value	Nag.r2	adj.p.val
v151_2	0.70068034243267	0.107726164474197	2.0084e-10	0.0091480639135304	1.58607289719626e-09
hv217_5	0.464513167968834	0.232425184964666	0.0462351403387879	0.000581958977285191	0.113406948000801
v478	0.0205821730635446	0.0135768970127935	0.130212220354317	0.000918696927636464	0.262286832418112
v770c_0	0.364319929341065	1.13230124733481	0.74779969179596	5.45063418766478e-05	0.852179014925942
hv213_96	-0.259992630296214	1.06454249993176	0.807160152527719	4.71850255989725e-06	0.880115605918111
s530	0.00976631174291779	0.0243272774714267	0.688268663694312	4.39717789312288e-05	0.815112000112444
v013_3	0.285403585396281	0.134710533871284	0.0346468645966458	0.000873802794008394	0.0896679956636009
hv213_11	0.0427151714231604	0.11637971896319	0.713760467902729	2.37058782245336e-05	0.829041368216916
v784f_0	0.763372159164006	0.976239414919198	0.434638331246367	0.000121374263534424	0.615191607878024
v754wp_0	0.204837724999508	0.115307708926124	0.0763092791377817	0.000564075592691893	0.171038039446752
v128_33	0.732266020125585	0.411958538518624	0.0761314514335857	0.000285414144046703	0.170866072938592
sh113_3	-0.33699295066606	0.247024453106144	0.173157505757436	0.000307692243724511	0.324790438102183
v023_5	0.107964847967953	0.171372438040351	0.529001237094033	6.24203496515374e-05	0.692599933848428
v762ad_1	-0.110326834822531	0.246954311451378	0.655262245783513	3.19950257119395e-05	0.794969989500457
v480_0	-0.41667436438664	0.688031683052444	0.545076135152907	0.000171248503069044	0.704482116223322
v023_14	-0.716565552721141	0.236339327080773	0.00256476129352848	0.00138936790851318	0.00996424502543249
hv008	-0.0212671114282762	0.0322441198872299	0.509857080939226	8.62403692276636e-05	0.680614902675586
sh102_6	0.432867666010501	0.320120639367169	0.176963856050707	0.000432015950524889	0.32937105366266
v141_1	-0.00852750762240924	0.236771321206346	0.971285120169807	2.07250290484851e-07	0.987054632042678
hv211_1	-0.225103687632016	0.204873652826563	0.272444683965412	0.000188371759553219	0.450961328013283
v104	-0.00437253359054987	0.00168158934473914	0.00961048322289912	0.00162427196026538	0.0309366031365705
v762ae_0	-0.199553795016434	0.295965288581466	0.500487004312214	7.85583487806774e-05	0.670895887276645
v762az_0	0.666783418802725	0.113446268887241	7.921e-09	0.00688222503634817	5.79516363636364e-08
hv243d_0	-0.449173862194244	0.580257947759518	0.439266410132348	9.11670888960048e-05	0.618633527603079
v116_41	0.379051773475675	0.619595939435929	0.540985342247918	3.37408396192673e-05	0.702740375402753
v008	-0.024112893129944	0.0311111415866563	0.438697686419998	0.000149034531001346	0.618633527603079
v157_1	-0.102198773878313	0.176642299704918	0.563162106030775	7.97220826274092e-05	0.720335134711292
v503_1	-0.752169203157078	0.116448806712774	2.6415e-10	0.00975287706703243	2.06672916666667e-09
v125_0	-0.226258179535604	0.21500417761717	0.293185166039527	0.000247049303193858	0.469207320650379
hv226_8	-0.479073091766422	0.110013946110148	1.63850953094558e-05	0.00250410454075289	9.26114082708371e-05
v767a_96	0.822802837971425	0.911838827099174	0.367332193459955	0.000149327376981478	0.554278041917253
v750_1	13.2074202856389	0.236573881968626	4.9078e-209	0.000724390175430467	1.6588364e-206
hv209_0	0.218952352795866	0.240595743422574	0.363268542302137	0.000107336445906325	0.551098596490675
hv207_0	0.0100022738560649	0.10478317945265	0.923992808935521	1.25109262327783e-06	0.954229893493768
v150_3	-0.449402296907082	0.145918530260952	0.00219315718464239	0.00188994506382045	0.00863971012131851
hv205_96	-0.109222391001569	1.03803074686029	0.916245714051943	2.56269667775477e-06	0.951139592596919
v501_1	-0.6577335734449	0.118968957324575	5.37267554982665e-08	0.00782141464267028	3.81505112571724e-07
hv201_96	0.956905590879328	0.410896321739884	0.0202932615473626	0.000375614426666449	0.0597484529878794
v213_1	-0.471825608624496	0.173720402010842	0.00685204514022104	0.00131278214691033	0.0236325638509664
hv024_2	0.0478712574594079	0.154443146992736	0.756729053774019	1.28478721935776e-05	0.855464362406036
v784c_1	-0.135001371289978	0.428086776293084	0.752629036816313	1.91776188529502e-05	0.854226374895614
v504_1	-0.157089208081279	0.178501730481661	0.379288623674742	0.000252999413734578	0.564688151303793
hv216	-0.0755551996790575	0.0504297067439536	0.134748191247179	0.000444274179731696	0.269496382494358
v153_0	-0.481900000000408	0.207972638858135	0.0209272627887259	0.00115851240862075	0.0611887095379702
hv106_1	0.895263823612676	0.102190979186492	3.5818e-17	0.0112242291171613	3.51932674418605e-16
v770t_1	-12.6311561547548	0.482963557914248	2.1184e-90	0.000633773673102467	6.39302857142857e-89
v113_97	0.534900983662075	0.249696322230239	0.032692289886563	0.00092427099243908	0.0861934007929664
v763b_0	-0.99757539528826	0.10812405567779	9.6668e-19	0.0153612835825352	1.02105575e-17
v113_61	1.4984734224657	0.285203675164619	2.26453339756107e-07	0.000301549912714139	1.56206589464417e-06
v770c_1	-0.364319929341072	1.13230124733482	0.747799691795957	5.45063418769809e-05	0.852179014925942
hv101_8	0.258730011314181	0.278971431238143	0.35417478712163	0.000106290469164105	0.541679086186022
v507	0.00477538691972694	0.0134621861367262	0.722954689128584	2.38900118839647e-05	0.835700016844943
v731_0	-0.557215323086451	0.134813449889411	4.23884421872319e-05	0.00421315626844299	0.00022598254667641
hv214_32	-0.125700662639442	1.05058559795655	0.904813189481047	1.21304241762488e-06	0.945661280286314
hv016	0.00626949977600932	0.00705113692069433	0.374380679209577	0.000155742788034874	0.560907223283852
v024_8	0.221717098428981	0.182536547737729	0.225114025630788	0.000349821533172423	0.388603374173679
v022_13	0.282536657027544	0.155129289410793	0.0691998687559861	7.05337590514166e-05	0.158251391336423
sh102_7	0.251397888797449	0.615677765138142	0.683220334904402	1.1310094041872e-05	0.813103070481348
hv106_2	-0.0154302208221694	0.145354294899752	0.915504119853019	1.77288129665776e-06	0.951139592596919
v023_19	-0.612674649404214	0.403888468546873	0.129956946109797	0.000392850156631153	0.262085010651023
sh301a_8	-0.130176239519496	0.217673246320835	0.550105805359002	5.04188242057557e-05	0.70757685730323
hv205_22	0.370375835986683	0.125891670622227	0.00342259546280638	0.00176687733728997	0.0131160687803691
