name	estimate	se	p.value	Nag.r2	adj.p.val
v762au_1	-0.115794459267569	1.05095241319937	0.91231346006753	2.92465995455071e-06	0.964489125858422
s212c	-0.00219119767907371	0.000560120295801438	0.000105094366663744	0.00289869496173567	0.000530491265756391
hv113_8	-12.7677151453056	0.311055249895084	4.9617e-157	0.000126564568489695	7.62748609090909e-155
v784d_0	-0.471362299912539	0.386244801632816	0.222938475868675	0.000303034861443119	0.403628439715128
v141_0	0.475803769317771	0.135843264579869	0.000504971457313439	0.00269572756150649	0.00232672134691288
v152	-0.00594448714533418	0.0039151845215885	0.129609983448096	0.000484863334852315	0.272939579091819
hv246g	-0.00952187100443971	0.0232319924349475	0.682095982506303	1.31310808225704e-05	0.807720102533724
v139_5	-0.881185400049194	0.29661044850948	0.00312255101452563	0.00334510184249293	0.0124828221408105
hv226_1	-1.2934669503942	0.703397487479914	0.0665655169957979	0.000319050615613992	0.166280758821939
hv108_06	-0.028874873605532	0.0337383171968456	0.392523558936288	0.000187972871983799	0.596367779120632
v535_1	1.53041373748735	0.174720755384904	3.9054e-17	0.0477657709882457	3.53156759358289e-16
hv121_0	1.24022878566273	0.290875244253858	2.43246924315025e-05	0.00349189906355896	0.000131836714428432
v158_2	-0.225277488243225	0.162504618038005	0.166320400779681	0.000471929216357414	0.328560511353318
hv115_4	0.692865160600835	0.145433530706365	2.53444427797131e-06	0.00423950825697639	1.53610941722204e-05
sh100_13	0.323949071608395	0.141971725513609	0.0229501525305848	0.00080867432568299	0.0729486991150731
sh113_2	-0.308730327468191	0.627993023271082	0.623222545182843	3.91940505328758e-05	0.768548266072143
v161_5	1.52097365141098	0.696293852072987	0.0294295062293511	0.000505536383143768	0.0906471676390395
v770a_0	-0.46331828289372	0.220168660483964	0.0359252987189927	0.00291378753366645	0.104698980065608
v762ak_1	0.265801378925476	0.160589764169009	0.098562912044266	0.000628920787133391	0.223717965458865
v130_9	-9.17184389549374	1.00413335830801	1.9958e-18	3.02605676321122e-05	1.87494322222222e-17
v770_0	-0.265427331358435	0.177183167071452	0.134856774322892	0.00177026439731343	0.281534327629645
v532_2	1.29279954562178	0.663480359201861	0.0519509764520111	0.000575551104868066	0.135360710601465
v770n_1	-0.333262153945681	0.631324686414425	0.597856587665855	0.000179582316761073	0.753896711217723
v510_8	-1.89262164462133	1.03713936162671	0.0686612989358996	0.000630388519886615	0.170995959500156
v218	0.00533175343595705	0.0164765431266514	0.746388009613449	1.72652704153453e-05	0.853469054247075
hv024_5	-0.915726978664652	0.281400968968235	0.00121958241943433	0.00275771577604467	0.00527446002880678
v769_8	-1.05162328485841	0.445532824572259	0.0186785816740354	0.00206590004730312	0.0629192860772786
v113_42	-0.081073943209381	0.238143374989252	0.733676654650315	2.38518405217825e-05	0.842830993895165
v766b	-0.0381527380998649	0.0759602828228452	0.615712301394375	5.98156480001721e-05	0.762203149090694
sh100_42	-0.109514513561056	0.226342073279175	0.62872208851151	3.30128327339363e-05	0.773256262934886
v023_8	-0.30936964235076	0.23127757446623	0.18165854182756	0.000492745812816886	0.346709474300682
v022_17	-0.266631551876098	0.339494568666645	0.432629411156314	6.0789290308505e-05	0.632851500229522
