var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
s529_1	1	5.12398323666644	0.328251218182551	3.264904e-44	0.200241323917486	3.51983486027397e-43	s529	what was the result of the test?
s529_0	1	-4.49672793805233	0.258981318404733	4.608815e-52	0.186597388984244	5.33402559558824e-51	s529	what was the result of the test?
v535_0	1	-2.09881156782709	0.256749967027846	3.033241e-15	0.0416177703201135	2.37528424577114e-14	v535	ever been married or in union
s440aa_1	1	3.24539375299706	0.263866353913424	2.550542e-30	0.0400436737274691	2.3896149452381e-29	s440aa	what is this partner's hiv status? (last partner)
s117_1	1	-2.03106051879832	0.551392785085086	2.76238027766018e-4	0.0303510879285528	0.00163458141241997	s117	what have you been doing most of the time
v7161	1	1.47539583665559	0.531382744974518	0.00576855939978312	0.0299508804010737	0.0270229538549364	v7161	NA
hv105	1	0.0514011178859407	0.00365557980061559	1.038956e-37	0.0285546081426798	1.07586627894737e-36	hv105	age of household members
v535_1	1	1.84596715127339	0.266138517137989	1.404885e-11	0.0268194194709926	1.06311970673077e-10	v535	ever been married or in union
s117_5	1	2.59922338762854	0.741143238416075	5.2787965813018e-4	0.0221050529115608	0.00301044413730762	s117	what have you been doing most of the time
hv118_0	1	-2.1601396612187	0.264952955129855	3.284058e-15	0.0206399547765594	2.53387612352941e-14	hv118	eligibility for male interview
hv118_1	1	2.16013966121869	0.264952955129852	3.284058e-15	0.0206399547765594	2.53387612352941e-14	hv118	eligibility for male interview
slage_1	1	2.16013966121869	0.264952955129852	3.284058e-15	0.0206399547765594	2.53387612352941e-14	slage	adult or child
hivline	1	-0.353063247645074	0.0496699894133162	4.417901e-12	0.0177873449667555	3.37561950194175e-11	hivline	line
hv101_1	1	1.32592639901849	0.132249249338938	1.464397e-21	0.0165430406894255	1.23922627849462e-20	hv101	relationship to head
hv101_3	1	-1.59292648498867	0.178002324173519	8.442892e-18	0.0165297126442342	6.81492923487179e-17	hv101	relationship to head
hv106_0	1	-1.60258393582416	0.186950772523827	1.490255e-16	0.0161893848469388	1.172830685e-15	hv106	highest educational level attained
hv109_0	1	-1.60258393582416	0.186950772523827	1.490255e-16	0.0161893848469388	1.172830685e-15	hv109	educational attainment
slage_2	1	-2.16559950963839	0.289940603736936	3.987089e-13	0.0146554417501685	3.06130638341463e-12	slage	adult or child
v513_0	1	-1.2871202039862	0.192007337874525	5.871527e-11	0.0145547651920983	4.37999217914692e-10	v513	cohabitation duration (grouped)
v502_0	1	-1.2871202039862	0.192007337874525	5.871527e-11	0.0145547651920983	4.37999217914692e-10	v502	currently/formerly/never in union
v501_0	1	-1.2871202039862	0.192007337874525	5.871527e-11	0.0145547651920983	4.37999217914692e-10	v501	current marital status
v012	1	0.0407493905870738	0.00469804276892179	6.935508e-17	0.0140353167994275	5.56963754693878e-16	v012	respondent's current age
v829_15	1	-1.02208916471187	0.231309335128153	1.24374880474053e-5	0.0118093780923704	8.19104861364684e-5	v829	place were last hiv test was taken
hv115_0	1	-1.0536524173354	0.178253222333814	6.559534e-9	0.0106554552552685	4.71447786118721e-8	hv115	current marital status
hv116_0	1	-1.0536524173354	0.178253222333814	6.559534e-9	0.0106554552552685	4.71447786118721e-8	hv116	currently, formerly, never married
hv014	1	-0.481155262779938	0.0725337150204884	9.072864e-11	0.010391452765657	6.73617355471698e-10	hv014	number of children 5 and under (de jure)
v013_1	1	-1.39533161576685	0.276864473451813	6.67184772888261e-7	0.0103836400224059	4.62620631068777e-6	v013	age in 5-year groups
v535_2	1	1.49667933351522	0.358506214401061	3.58103931424489e-5	0.00964539630019057	2.27280479057317e-4	v535	ever been married or in union
hv116_2	1	1.27282208087836	0.197262699734947	2.752815e-10	0.00951000477749464	2.02473402336449e-9	hv116	currently, formerly, never married
v502_2	1	1.23359503886351	0.187961729738289	1.401852e-10	0.00895478400994998	1.03592255774648e-9	v502	currently/formerly/never in union
v836	1	0.0209636242693447	0.00333857590980362	7.777317e-10	0.00861321512048152	5.69371951534884e-9	v836	total lifetime number of sex partners
hv115_4	1	1.26158678320136	0.21086390448827	4.35975e-9	0.008034539003412	3.17696597222222e-8	hv115	current marital status
hv013	1	-0.16010614452301	0.0291218743074325	6.33318566142031e-8	0.00770866949656079	4.45019385315874e-7	hv013	number of de facto members
hv012	1	-0.160887895796441	0.0298295654196387	1.09840420864574e-7	0.00758694757797085	7.68394766403731e-7	hv012	number of de jure members
v136	1	-0.125110570933239	0.0266377777109781	3.47922435598667e-6	0.00755470816405268	2.35034297696267e-5	v136	number of household members (listed)
v525	1	0.0546964074565739	0.010942671495444	8.18186730896771e-7	0.00717782665050615	5.64835927382245e-6	v525	age at first sex
v150_3	1	-1.05427235281113	0.215246801607384	1.33605646095552e-6	0.00716517003162909	9.103692075948e-6	v150	relationship to household head
v763c_1	1	1.09813137918575	0.185506723240299	6.246714e-9	0.00697718694841143	4.53102665253456e-8	v763c	had genital discharge in last 12 months
v763b_1	1	0.949463878075268	0.164782377667357	1.5095020709201e-8	0.00674317600603502	1.07509333014852e-7	v763b	had genital sore/ulcer in last 12 months
v763b_0	1	-0.942022662838809	0.164378969196089	1.79254775080672e-8	0.0066501230215078	1.2709325044008e-7	v763b	had genital sore/ulcer in last 12 months
hv108	1	0.0844529500206095	0.0118912039009783	4.595905e-12	0.00652927223237565	3.49466399516908e-11	hv108	education completed in single years
v531	1	0.05172166459321	0.0105370921502858	1.26942015571672e-6	0.00650604320987747	8.68724923955703e-6	v531	age at first sex (imputed)
v763c_0	1	-1.03906666964707	0.182127344776269	2.06387133935157e-8	0.00646409893843714	1.45674147450196e-7	v763c	had genital discharge in last 12 months
v536_0	1	-1.17909257593229	0.294042885902033	7.06756325860746e-5	0.00645084760049286	4.36248806629339e-4	v536	recent sexual activity
hv106_1	1	0.796808654928426	0.137196435673978	1.170184e-8	0.00633438598492109	8.37213461818182e-8	hv106	highest educational level attained
hv010	1	-0.515283544010998	0.10460027974642	1.1649860997671e-6	0.00613255368683152	8.0073717075695e-6	hv010	number of eligible women in household
v138	1	-0.390984766009682	0.0911175383777217	2.16263492415857e-5	0.00590358020030812	1.38938260025534e-4	v138	number of eligible women in household (de facto)
v150_1	1	0.66451631315505	0.147208470729318	8.05453223063062e-6	0.00527781854076925	5.39482286426068e-5	v150	relationship to household head
v717_0	1	-1.04080683952662	0.275824619188626	1.81688656114526e-4	0.00521204248962681	0.00109570093764086	v717	respondent's occupation (grouped)
v731_0	1	-1.04080683952662	0.275824619188626	1.81688656114526e-4	0.00521204248962681	0.00109570093764086	v731	respondent worked in last 12 months
v013_2	1	-1.072689622987	0.271684980201153	9.08171894913398e-5	0.00516018252498696	5.54055256819259e-4	v013	age in 5-year groups
v781_1	1	0.605077048773026	0.142451262423242	2.60778928970144e-5	0.00514475235130119	1.661805806474e-4	v781	ever been tested for hiv
v781_0	1	-0.605077048773027	0.142451262423243	2.60778928970189e-5	0.00514475235130107	1.661805806474e-4	v781	ever been tested for hiv
v763a_0	1	-0.824792274742391	0.18638990357966	1.20052147581882e-5	0.00492069075258894	7.9395832056253e-5	v763a	had any sti in last 12 months
v835a_0	1	-0.590875062498744	0.159111980650759	2.28984018086988e-4	0.00483207642539829	0.00136523047147318	v835a	alcohol consumption at last sex with most recent partner
v761_1	1	0.689320993239734	0.191177275752376	3.44799564468784e-4	0.00471006986833511	0.00200263658477444	v761	condom used during last sex with most recent partner
v761_0	1	-0.689320993239733	0.191177275752376	3.44799564468788e-4	0.00471006986833511	0.00200263658477444	v761	condom used during last sex with most recent partner
s440aa_0	1	-0.57060676177827	0.153890675229348	2.34055289017478e-4	0.00462442969448496	0.00139020009401325	s440aa	what is this partner's hiv status? (last partner)
v013_5	1	0.740971293255108	0.16897559063249	1.43327347381505e-5	0.00433176550229941	9.36088152607838e-5	v013	age in 5-year groups
s440ba_1	1	1.38180419156429	0.518213268974614	0.00794054999675663	0.0042399104028269	0.0360185178527232	s440ba	what do you think your partner's hiv status is? (last partner)
v503_2	1	0.517951306919267	0.166895537026506	0.00202990221456247	0.00422112936365537	0.0106148374940917	v503	number of unions
v503_1	1	-0.51795130691926194	0.166895537026505	0.00202990221456265	0.00422112936365537	0.0106148374940917	v503	number of unions
v501_5	1	1.0031107526098	0.214667370115053	3.88890495959129e-6	0.00411256886277644	2.61587025914388e-5	v501	current marital status
hv121_2	1	-1.42578747453057	0.343111274427531	3.86022048928909e-5	0.00410749543754096	2.43039482005641e-4	hv121	member attended school during current school year
hv121_0	1	1.42578747453055	0.343111274427519	3.86022048928797e-5	0.00410749543754096	2.43039482005641e-4	hv121	member attended school during current school year
v013_6	1	0.760903724431183	0.174585422390985	1.61220474889306e-5	0.00405236276793841	1.04859928708995e-4	v013	age in 5-year groups
sh11a_0	1	-0.972305864373512	0.275502274896998	4.57990833274728e-4	0.00400075882577533	0.00264057718525429	sh11a	sick at least 3 months of past 12 months
v477	1	0.0472624169823088	0.0108763534369325	1.70613981924914e-5	0.00392851934467497	1.10512924917619e-4	v477	number of injections in last 12 months
slage_3	1	-1.58070897690014	0.446002805340488	4.3342103759849e-4	0.00391480846443926	0.00250810556316185	slage	adult or child
hv109_1	1	0.652580653237619	0.133454825462073	1.38923086446326e-6	0.00389533337519721	9.4252128476947e-6	hv109	educational attainment
v504_2	1	0.683844048333622	0.23296558019822	0.00349561220827721	0.00384597011015542	0.017356762195042	v504	currently residing with husband/partner
v504_1	1	-0.683844048333624	0.232965580198221	0.00349561220827721	0.00384597011015519	0.017356762195042	v504	currently residing with husband/partner
sh11a_1	1	0.968043595858374	0.275921058660072	4.9434041596232e-4	0.00381206926460587	0.00283975114863026	sh11a	sick at least 3 months of past 12 months
v501_2	1	0.760715752988715	0.202551943910096	1.94676070014284e-4	0.00373566046475571	0.00116509556730982	v501	current marital status
v205	1	0.145255673831525	0.0272543376991965	1.53318226273338e-7	0.00372041440634607	1.06780039006298e-6	v205	daughters elsewhere
v714_0	1	-0.770674556943273	0.235744735100932	0.00115836821769781	0.00365209831873869	0.0062440807351246	v714	respondent currently working
v714_1	1	0.770674556943268	0.235744735100931	0.00115836821769783	0.00365209831873869	0.0062440807351246	v714	respondent currently working
v763a_1	1	0.746264592384892	0.215268031713268	5.7553426570177e-4	0.00338712754660775	0.00322381115378856	v763a	had any sti in last 12 months
hv217_1	1	0.718648697403902	0.16603452164505	1.8387178963187e-5	0.00312037411826027	1.18612375770723e-4	hv217	relationship structure
s453_3	1	-0.51078369278351	0.17530987415867	0.00374535339294235	0.00311333481106779	0.0184802076504428	s453	have you ever run short of condom?
v824_1	1	0.507968497970834	0.166764621438261	0.00245042222904782	0.00297855141115266	0.0126457855361353	v824	drugs to avoid hiv transmission to baby during pregnancy
v502_1	1	0.480473604870368	0.139157875334776	6.05351720826725e-4	0.00294348427933855	0.0033788071226286	v502	currently/formerly/never in union
s557_1	1	0.614623139919388	0.183980467954499	9.0269480854441e-4	0.00293128591124858	0.00495066769564077	s557	are the chances that you can get hiv high or low?
v501_3	1	1.72816261186125	0.434226242362975	7.99019023070854e-5	0.0028956893589327	4.89360288837947e-4	v501	current marital status
v731_2	1	0.648795265399261	0.212563766298021	0.0024006488213574	0.00287407304284282	0.0124296751474229	v731	respondent worked in last 12 months
s557_2	1	-0.549839165422572	0.170270034717157	0.00132877633132844	0.00284081788175905	0.00711392498473117	s557	are the chances that you can get hiv high or low?
v513_4	1	0.663425284437176	0.1837122817528	3.37693511863173e-4	0.00278018892229281	0.00197594642257485	v513	cohabitation duration (grouped)
v513_3	1	0.597242706520725	0.182381046338507	0.00113619373617976	0.00276461299522346	0.00616678945085153	v513	cohabitation duration (grouped)
v204	1	0.129461369199214	0.0315240271172214	4.73592029737631e-5	0.00275995766046666	2.96985599524714e-4	v204	sons elsewhere
hv101_5	1	-1.27223102638281	0.43477470070414	0.00359838493370859	0.00269357579643215	0.0178108738542683	hv101	relationship to head
v510_1	1	-0.39947227936256	0.152514871683558	0.00909879629225036	0.00253629589582671	0.0408020095840515	v510	completeness of date information in v509
hv216	1	-0.213389576717269	0.060863682387627	4.98672277783481e-4	0.00238126421030782	0.00285421878265891	hv216	number of rooms used for sleeping
s608_0	1	0.493276284164038	0.177473306203752	0.00566451775539582	0.00230471294381851	0.0266147789462478	s608	respondent circumcised
s608_1	1	-0.49327628416404	0.177473306203752	0.0056645177553956	0.0023047129438184	0.0266147789462478	s608	respondent circumcised
s453_0	1	0.394169328288851	0.15095380965581	0.0093149097255575	0.00223156666596203	0.0415344699944122	s453	have you ever run short of condom?
v501_4	1	1.35110485018858	0.359579411056842	1.93321503796293e-4	0.00216653162715197	0.00116140475944796	v501	current marital status
hv115_01_4	1	0.811511348528195	0.223700539403955	3.17449650023296e-4	0.00214169867468472	0.00186442443707712	hv115_01	current marital status
hv118_01_1	1	0.558811322768215	0.161105658474188	5.71529773376606e-4	0.00211067059464143	0.00321281379748207	hv118_01	eligibility for male interview
hv118_01_0	1	-0.558811322768212	0.16110565847419	5.71529773376734e-4	0.00211067059464132	0.00321281379748207	hv118_01	eligibility for male interview
v044_0	1	-0.384171360564088	0.135547368198671	0.00479238899797821	0.002098680798718	0.0230679519352223	v044	selected for domestic violence module
v201	1	0.0380974126465115	0.00991173324906536	1.3795269657453e-4	0.00204558589263892	8.38368897329383e-4	v201	total children ever born
v824_8	1	-0.517277697221914	0.200276653746233	0.0101035641676346	0.00199827553188092	0.0444218156420583	v824	drugs to avoid hiv transmission to baby during pregnancy
v130_7	1	-0.642294000315317	0.250919165529993	0.010787395025474	0.00193860964881298	0.0470342375902938	v130	religion
v013_7	1	0.602823571151003	0.220428944434825	0.00647920207876012	0.00192333382970222	0.0300833748435647	v013	age in 5-year groups
slsyph_1	1	1.06239608466568	0.352059548221076	0.00268624462401125	0.0018615817945834	0.0136833302206916	slsyph	syplilis result
v207	1	0.24998865275417	0.0717852931517898	5.43482275667584e-4	0.00185440885591137	0.00307712626583013	v207	daughters who have died
v044_1	1	0.353669496622765	0.136022153392719	0.00961465636984941	0.00177191160123003	0.0423906698211288	v044	selected for domestic violence module
sh16_06_1	1	-14.980180025363	0.334509025541515	2.376529e-140	0.00172178438439852	1.1335323169697e-138	sh16_06	father sick at least 3 months of past 12 months
hv117_01_0	1	0.601057638540441	0.210151847195838	0.00442428118593781	0.00163040992063979	0.0214271341128204	hv117_01	eligibility for female interview
hv117_01_1	1	-0.601057638540442	0.21015184719584	0.00442428118593814	0.00163040992063956	0.0214271341128204	hv117_01	eligibility for female interview
v479_16	1	-13.270275096722	0.343675003723836	2.548894e-138	0.00161246214930943	1.14627404457143e-136	v479	place of injection by health worker
hv116_01_2	1	0.503455739276777	0.165845897312694	0.00253370590183077	0.00150682608291808	0.0129863900484752	hv116_01	currently, formerly, never married
v219	1	0.0380169077043299	0.012198573456113	0.00194266041199131	0.00146846327016281	0.0102265802290111	v219	living children + current pregnancy
v218	1	0.0380169077043299	0.012198573456113	0.00194266041199131	0.00146846327016281	0.0102265802290111	v218	number of living children
hv109_09_2	1	-14.0713016705437	0.361375165687953	4.539584e-129	0.00146502901145429	1.66169888744186e-127	hv109_09	educational attainment
v206	1	0.183886512728653	0.0622063162870155	0.00327318568702983	0.00145546274869746	0.0165658979787297	v206	sons who have died
hv104_01_2	1	-0.497747034810335	0.17827953376933	0.00545361894814263	0.00140744864124653	0.0259335233364867	hv104_01	sex of household member
hv104_01_1	1	0.497747034810333	0.17827953376933	0.00545361894814301	0.00140744864124631	0.0259335233364867	hv104_01	sex of household member
v803	1	0.0113398553248271	0.00395228491329159	0.00430141079290812	0.00138887121389408	0.0209945479240526	v803	length of interview in minutes
s117_6	1	-14.2638493737694	0.426046971708539	1.020507e-99	0.00135272508427831	2.17064597027027e-98	s117	what have you been doing most of the time
hv101_09_4	1	-13.9785884733554	0.315455558954831	2.256445e-145	0.00132725004351841	1.22470497586207e-143	hv101_09	relationship to head
hv217_4	1	-0.38216859966595	0.139271162934052	0.00630159217496904	0.00131497410350079	0.0294323622652857	hv217	relationship structure
hv101_10_4	1	-14.0481991515008	0.396577721231054	3.220812e-99	0.00127666600286536	6.759410784e-98	hv101_10	relationship to head
sh16_03_1	1	-14.2341127463842	0.344051230040207	6.60192e-145	0.00124319202519552	3.46380736e-143	sh16_03	father sick at least 3 months of past 12 months
hv109_10_2	1	-14.3673639896518	0.787871736349772	9.124284e-48	0.00123115626823733	1.01138190253521e-46	hv109_10	educational attainment
hv109_2	1	0.490162567673604	0.181006881506232	0.0070173446899731	0.00108739990423534	0.0324861780647578	hv109	educational attainment
hv101_10_8	1	-13.958934959506	0.458905195465339	7.87708e-86	8.15435679107135e-4	1.3930925752809e-84	hv101_10	relationship to head
v829_24	1	-13.2765923004374	0.416650517525915	9.344159e-118	7.94026953396032e-4	2.72364930851852e-116	v829	place were last hiv test was taken
hv101_10_6	1	-13.9666941597315	0.486809315512864	6.624947e-81	7.80047561127595e-4	1.13344201934783e-79	hv101_10	relationship to head
hv101_08_14	1	-14.0258641945785	0.298071629067081	1.358233e-165	7.76229931401029e-4	1.068929371e-163	hv101_08	relationship to head
hv101_08_11	1	-14.1481511967314	0.397655340569483	2.847417e-126	7.76110406237374e-4	1.01859871772727e-124	hv101_08	relationship to head
hv113_10_8	1	-14.0739831965362	0.55653245374709	1.246989e-69	7.48218656757782e-4	1.86929589142857e-68	hv113_10	father alive
v532_3	1	-12.9432930180411	0.237885859721824	1.675114e-204	7.19057566549997e-4	2.39693585090909e-202	v532	flag for v531
v127_33	1	-12.9493756873948	0.319728843408028	4.531222e-155	6.65926448435661e-4	3.10093192521739e-153	v127	main floor material
v717_6	1	-12.9635252793408	0.30767504194113	2.23306e-161	6.16829695036403e-4	1.59765292727273e-159	v717	respondent's occupation (grouped)
hv106_05_3	1	-13.1684468879468	0.296045985762095	1.204403e-169	4.61147548229346e-4	9.97752801052631e-168	hv106_05	highest educational level attained
hv109_05_5	1	-13.1684468879468	0.296045985762095	1.204403e-169	4.61147548229346e-4	9.97752801052631e-168	hv109_05	educational attainment
hv111_09_8	1	-13.2994235238489	0.898268582776833	2.437213e-38	4.53258774203213e-4	2.54051209403973e-37	hv111_09	mother alive
sh16_1	1	-14.0283504107217	0.415872069196886	2.690652e-119	4.32182440497586e-4	8.14439663076923e-118	sh16	father sick at least 3 months of past 12 months
v129_33	1	-12.8475635086661	0.410627223084614	8.80409e-117	4.29665259366163e-4	2.47457815357143e-115	v129	main roof material
v129_12	1	-12.9335946314982	0.347569255817412	6.318562e-142	4.22406196499248e-4	3.20819889935484e-140	v129	main roof material
hv213_33	1	-12.6039504680157	0.339630745410836	1.632093e-141	4.08427621260588e-4	8.02785744375e-140	hv213	main floor material
s456_3	1	-12.016640578126	0.51675291010105	8.084391e-80	3.75568794032555e-4	1.325503274375e-78	s456	ever coerced to have sex without the use of physical force?
hv101_09_6	1	-12.8747144331454	0.487877288662317	3.772292e-85	3.70611914136676e-4	6.59731956444444e-84	hv101_09	relationship to head
hv113_08_8	1	-12.9390688399226	0.411936053348264	7.368254e-109	3.69659370817454e-4	1.87058577354839e-107	hv113_08	father alive
hv106_10_3	1	-12.4059514227101	0.826581159912153	1.060821e-36	3.46186792567704e-4	1.07724661548387e-35	hv106_10	highest educational level attained
hv109_10_5	1	-12.4059514227101	0.826581159912153	1.060821e-36	3.46186792567704e-4	1.07724661548387e-35	hv109_10	educational attainment
hv101_02_4	1	-12.387199113818	0.23839090857439	1.796046e-196	3.45357889229958e-4	2.01926886e-194	hv101_02	relationship to head
hv103_10_1	1	12.9760746094872	0.94155344434016	1.704132e-32	3.39859273898013e-4	1.65574306666667e-31	hv103_10	slept last night
hv103_10_0	1	-12.9760746103619	0.941553443526398	1.704132e-32	3.39859273897791e-4	1.65574306666667e-31	hv103_10	slept last night
hv215_33	1	-12.4604722336812	0.382396193210994	1.899464e-122	2.99613322950365e-4	6.36118369361702e-121	hv215	main roof material
s117_3	1	-13.0386625198169	0.602822817287709	1.339269e-61	2.94296551102136e-4	1.756674505e-60	s117	what have you been doing most of the time
