name	estimate	se	p.value	Nag.r2	adj.p.val
v510_2	-13.2011133061259	0.312644553835597	1.010523e-161	0.000748819065659601	7.57411048571429e-160
hv025_2	-0.31896645828973	0.180423413778261	0.0777329307603028	0.000655692011422904	0.235215760015856
v139_2	0.494459488307438	0.16748417148144	0.00331296960860659	0.00161301631746857	0.0167135069357268
v120_1	0.085089271182339	0.143257561463991	0.552825803743051	8.66332370218492e-05	0.753374731681006
v129_11	0.0243413086979402	0.134976707467503	0.856965988998607	7.30381483138309e-06	0.939975238107183
v127_31	-10.9011984770079	0.71419946472809	5.585632e-43	6.20998260105754e-05	5.98080596462585e-42
v774c_1	0.0593536204840266	0.193683211431023	0.759400979314366	3.24640574391744e-05	0.896239681975135
v777_1	-0.170555109510061	0.131295328313751	0.194578439257394	0.000420142990948058	0.426554962940304
v130_2	0.0927674924073444	0.145245471191783	0.523334089063068	0.000111795766858602	0.736128557806317
hv214_21	-0.29908197862289	0.136035796830074	0.0283984215398967	0.000789708673778922	0.10928879096283
v774c_0	-0.0384422506130312	0.247757397099821	0.876761543839021	7.28394268545429e-06	0.949488609215503
v763a_1	0.746264592384892	0.215268031713268	0.00057553426570177	0.00338712754660775	0.00322381115378856
hv215_33	-12.4604722336812	0.382396193210994	1.899464e-122	0.000299613322950365	6.36118369361702e-121
v130_96	15.9363936050492	1.00940675351281	2.535025e-45	0.00370262631962226	2.77092315972222e-44
v027	-0.509715893557033	0.288413966611646	0.0778285428027026	0.000783177257321133	0.235215760015856
v128_34	0.0343051598601332	0.145737764224738	0.814009291151572	1.47275096661348e-05	0.919873190424997
sh100_81	-1.30831146372653	0.984317984655306	0.184444331139799	0.00022897359143681	0.414736253162919
hv247_0	-0.198907216642159	0.145736466323125	0.17295859031434	0.000294544726876733	0.401614681473689
hv201_11	0.426637532755049	0.51403339029773	0.406973147854839	0.00015743761418574	0.651423786181763
hv030	0.00190592476283768	0.00113446877544053	0.0936217008070018	0.000485725372032841	0.2680035901037
v731_3	0.564157681262624	0.400735643466968	0.15985266117739	0.00025829687286627	0.388884217454732
sh118_2	0.0433422705109541	0.133629053748308	0.745819758815351	1.80291637571495e-05	0.895605223462973
hv108_04	0.0198232082287602	0.0215950661724243	0.359118460568258	0.000147667925767037	0.61385956258346
v207	0.24998865275417	0.0717852931517898	0.000543482275667584	0.00185440885591137	0.00307712626583013
v024_5	-0.354681282451694	0.244575659025062	0.147675258033598	0.000620068550144293	0.370719068811616
v763c_0	-1.03906666964707	0.182127344776269	2.06387133935157e-08	0.00646409893843714	1.45674147450196e-07
v479_96	-0.402604661970755	0.660683543888819	0.54261445622663	0.000216956256590239	0.750505407821367
v761_1	0.689320993239734	0.191177275752376	0.000344799564468784	0.00471006986833511	0.00200263658477444
v128_96	0.318444852491577	0.50484177774272	0.528491311269036	0.000109646092659066	0.737451528313353
sh113_0	0.164939663523549	0.137500441832986	0.230918243565664	0.000232030953900786	0.46778032866455
hv108	0.0844529500206095	0.0118912039009783	4.595905e-12	0.00652927223237565	3.49466399516908e-11
sh100_22	-11.5173697560142	0.569442555771491	7.900696e-66	9.65766666212176e-05	1.08136482643478e-64
hv101_2	0.842599978893563	0.364310623344013	0.021163078805467	0.000789373480814204	0.0856315836498845
hv246a	0.00634439746882259	0.0291684986198297	0.827906850953906	1.68734286406513e-05	0.924858327467316
v770m_1	-14.6864670279706	0.341357369704104	2.537861e-131	0.00690401626181814	1.0242583025641e-129
v113_13	0.110682678902907	0.194645055507569	0.569874226761662	8.97714516374659e-05	0.764326913240794
hv111_8	-11.9387302370242	0.4049800101482	1.738545e-108	6.22168415609359e-05	4.3436029047619e-107
sh100_31	-0.0707923410515907	0.946196382491081	0.94039164045838	7.1923666611351e-07	0.9759326878195
sh102_2	-0.132157916071083	0.355586203722203	0.710312654180115	2.57552659388427e-05	0.876200719184562
v113_51	-1.58780253368043	1.03209552833873	0.124620312243276	0.000318565753338329	0.327466396445603
v127_36	0.764282788426674	0.582955882227192	0.190484665882211	0.000262380226805692	0.423204463092498
v005	6.15691732726516e-08	9.55265700276735e-08	0.519551437297162	0.000107093115765178	0.733429562606039
v125_1	-0.570216905453927	0.49430911251344	0.249267989824074	0.000385166453152341	0.489822491864036
sh106_8	-0.314365490467199	0.435292976987629	0.470536593479666	8.80288972442411e-05	0.69738662724764
v784d_1	-0.888652191460806	0.716310428905497	0.215377748964618	0.00050354986573875	0.445472505742852
v479_23	-1.4248520084988	1.00326486906174	0.156308725167766	0.00262082770533978	0.38085129011465
hv208_1	0.199162065061283	0.196908110459888	0.312325297268519	0.000180120329463129	0.567012708074586
hv105_02	0.00652164250174395	0.00484133803072452	0.178608157136924	0.000279287747356749	0.409809386783554
v116_22	-0.0997222876597824	0.158802466563256	0.530333592765819	0.000114388491584294	0.739366762633657
v774a_0	0.0493126231868727	0.159172623924088	0.756846733612959	2.45133512666307e-05	0.895605223462973
v139_6	-0.212640108803505	0.233884666491332	0.363730194500863	0.000182239463519362	0.61560357649931
hv201_43	0.226139708148024	0.211347820207269	0.285176074314679	0.000212932852448167	0.538539878991268
v511	0.0475214087808234	0.0119162074779072	7.73106518840585e-05	0.00662646017593604	0.000475339711193391
sh100_33	-0.0120604041574995	0.139489581705696	0.931136961890209	1.30149323496198e-06	0.973381600396835
v783_1	0.341391106947422	0.314137568355695	0.277704951931939	0.000417133869621056	0.52918594956522
v113_31	0.0372782248680056	0.149296394641398	0.802934536647099	1.75504635303581e-05	0.916088269917473
v502_1	0.480473604870368	0.139157875334776	0.000605351720826725	0.00294348427933855	0.0033788071226286
v022_10	-0.328143782399131	0.249521594548509	0.18912306696752	0.000509080105533521	0.421642645052233
sh16_0	-0.302820892397285	0.938193113995155	0.747037001684526	0.000133077111077129	0.895605223462973
v150_14	-0.521241605578814	0.792920913066914	0.51126686072117	6.28096160942837e-05	0.725652906413989
v023_7	0.638743400539126	0.413346251692063	0.122949950975557	0.000639547221479519	0.32470339401934
hv107_01	0.0366364354368622	0.0365752819213208	0.317021877403145	0.000219130448819382	0.572896021851378
v513_5	0.0762955932102181	0.215122709689466	0.723003475361025	2.62561679096329e-05	0.88642228969942
sh100_61	-11.9504416575668	0.92189912629109	4.742169e-33	0.000200063275865303	4.72416076329114e-32
hv212_0	0.472026181617542	0.457104399899409	0.302303792942593	0.00019907801420993	0.559795494225466
v513_7	0.0305347369550553	0.293079847920174	0.917066593805954	2.55063078280493e-06	0.967468377111643
v161_1	0.18014961032968	0.648027728989563	0.781137616163567	2.24032787646822e-05	0.906316492801653
v023_11	-0.155243519938292	0.500663302491722	0.756641424970984	5.99560146563594e-06	0.895605223462973
sh301f_0	0.258096528280014	0.176663841265362	0.144700990239232	0.000340008212761256	0.36499897217396
hv017	0.230621184166274	0.14923946012966	0.122947279035666	0.000320667623816329	0.32470339401934
sh106_6	-0.219864540773359	0.133986664680967	0.101480997185634	0.000459773862519164	0.280722477276253
v536_3	0.257916616929534	0.149385710448456	0.0849147836164278	0.000791261517724684	0.251705968761313
sh118_3	0.0267675805160804	0.194216334474261	0.890439165857772	3.02773072569096e-06	0.951952469171455
hv040	-0.000362881319791446	0.00033068283224413	0.27304410690204	0.000234897681335222	0.524111493004648
v762as_0	0.0250311836852335	0.136262457545224	0.854329693858939	8.29153649328784e-06	0.939702961658959
v125_7	-0.936492455021235	0.733036722770022	0.202040845717308	0.000533878357555251	0.429166384830024
