var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v717_6	-12.80807478006	0.293546803612092	4.84076e-167	5.34024644543774e-4	5.09247952e-165	v717	respondent's occupation (grouped)
v770x_0	0.544957351483466	1.05397452810812	0.60549007209396	4.18416688433676e-4	0.852913706378629	v770x	sought sti advice/treatment from: other
hv101_14	-0.195646717042506	0.759411938316359	0.796806305508959	9.31729774755752e-6	0.946008755142814	hv101	relationship to head
v777_0	0.114691250192177	0.135195394443216	0.396684017757543	1.89429865065982e-4	0.693977139713307	v777	would want hiv infection in family to remain secret
v13110	-0.723273822470523	0.312724977457509	0.0212143584055721	0.0128914416905754	0.0848528997310008	v13110	NA
v130_6	-0.822146227468109	0.585819826029516	0.16115733077117	5.51214831011726e-4	0.40689002873105	v130	religion
sh301a_1	-0.172012033536698	0.135205533494597	0.203924485738609	2.98299380090961e-4	0.475321770303582	sh301a	does your community have: health worker?
sh16_1	-14.0708567957366	0.349773849264853	9.023012e-142	6.46511758564006e-4	3.95508692666667e-140	sh16	father sick at least 3 months of past 12 months
hv205_21	-0.409344337418153	0.487295885819372	0.401319145464303	2.48598578376669e-4	0.69719721163659	hv205	type of toilet facility
v754wp_8	0.175611809131912	0.224320168098592	0.4341039148431	1.5926011687406e-4	0.723353725050065	v754wp	can get hiv by sharing food with person who has aids
hv105_06	4.78106304210877e-4	0.0111748827967018	0.96589239627761	4.59651020134899e-7	0.983630595874559	hv105	age of household members
v762at_0	0.489216776074277	1.07190648211277	0.648314996499701	3.53399470603977e-5	0.883455150670577	v762at	source for condoms: cs other (religions institution)
v513_0	-1.61367549623716	0.226772590956375	4.202279e-12	0.0198520516876379	3.01418011909091e-11	v513	cohabitation duration (grouped)
v025_2	0.203515051192795	0.191633506268189	0.288782760723785	3.53967691331336e-4	0.590283933189291	v025	type of place of residence
v767a_6	1.86765829464521	0.760699860371731	0.0144439981554974	0.00157803217576125	0.0607803442383331	v767a	relationship with most recent sex partner
v022_16	-0.0313160703905555	0.323354287281107	0.922888921677442	4.61022466691219e-6	0.975584218525156	v022	sample strata for sampling errors
v767a_7	0.680392920300829	0.29669458509856	0.0222765050491609	0.00221645579035945	0.087226612822769	v767a	relationship with most recent sex partner
sh119	0.0345279791950365	0.0121099025124558	0.00454771860950598	0.00101567409308023	0.0209833332333346	sh119	how far is the nearest health facility?
sh100_21	-0.72433425122378	0.852462696280143	0.395928507536722	1.46842655057933e-4	0.693424178571529	sh100	source of drinking water
hv270_1	-0.150052008356106	0.185166217948164	0.418142960515595	1.31271804507338e-4	0.706455665624849	hv270	wealth index
hv243c_0	12.4371154727497	0.25528157556272	2.04493e-185	3.19650244875569e-4	3.22689954e-183	hv243c	has animal-drawn cart
hv217_0	-10.3837691688521	0.474433432462889	1.209167e-73	4.37481102559811e-5	1.71897795135135e-72	hv217	relationship structure
hv121_2	-1.32179108465532	0.391137791798248	7.87329138696747e-4	0.00378979295427428	0.00403378370410217	hv121	member attended school during current school year
v022_7	-0.125141032776445	0.465507022698145	0.788180989803622	1.28278565372231e-5	0.938591091213147	v022	sample strata for sampling errors
sh11a_1	1.44158053928725	0.295089736968558	1.42093744371611e-6	0.0104615459564101	9.15199708646539e-6	sh11a	sick at least 3 months of past 12 months
hv212_1	-0.211379486609716	0.651632255344799	0.745791790132509	4.2569714997942e-5	0.920270251903417	hv212	has car/truck
hv201_12	-0.117283371071057	0.465694341722354	0.801270467103022	1.7570881622464e-5	0.947159590226158	hv201	source of drinking water
sh113_4	0.225251402186091	0.260585578754746	0.387808431485549	8.65957273367135e-5	0.685287463476144	sh113	does the hh use land for farming or grazing that does not own?
hv201_13	0.0234065176636347	0.169189795218821	0.890027476088382	2.77995326203317e-6	0.964090408963728	hv201	source of drinking water
hv226_96	1.23203414594608	0.778544250812838	0.114214550542162	1.54196735230316e-4	0.317792149350077	hv226	type of cooking fuel
sh116	-0.00935786725822042	0.154813646247077	0.951826218021126	1.66589670147488e-6	0.979764590802474	sh116	how many meals does your household usually have per day?
v762ad_0	0.0769823496232206	0.248114160077812	0.756493858543642	2.37654081909344e-5	0.923820162176169	v762ad	source for condoms: cs public (outreach)
sh104h_0	0.224694225231599	0.141223616433324	0.112272920104544	4.35301399617893e-4	0.314125297739315	sh104h	a table
sh115	0.0231967940068307	0.00899706499372298	0.0102344318460431	9.26376542127905e-4	0.0442463930220713	sh115	how far is the nearest market place (km)?
v803	0.0161785286337755	0.00414577652940721	1.09214759824182e-4	0.00261403353291678	6.19931262599134e-4	v803	length of interview in minutes
hv113_1	-1.3845750334016	0.498966650603311	0.00574408287368629	0.00256334833034622	0.0259718131079569	hv113	father alive
v775_0	-0.112658185397277	0.197014011841447	0.567715815228308	1.57882742151783e-4	0.823396651130763	v775	knows someone who has, or is suspected of having, hiv
hv107_04	-0.0325651392144271	0.044819669322776	0.467851971720242	1.4893772215907e-4	0.748660098477554	hv107	highest year of education completed
hv246e	-0.0104451019573456	0.0464912401346695	0.822335483740687	6.68293434102907e-6	0.954001695822326	hv246e	owns sheep
v014_3	0.118310421774209	0.153884961151015	0.442385718080474	1.51960421436392e-4	0.728665674937604	v014	completeness of age information
hv101_7	-10.6135094123752	0.472805082126013	2.762536e-76	8.02794808902885e-5	4.0363720444444402e-75	hv101	relationship to head
v780_0	-0.196514289001519	0.167590120380047	0.24155727511063	4.48781544197585e-4	0.527216293394985	v780	children should be taught about condoms to avoid aids
v119_1	-0.199248373108158	0.214421711086286	0.35324582424797	2.71000360297813e-4	0.656462321787761	v119	household has: electricity
v161_7	0.177289285886854	0.160390775824755	0.26957225526452	2.91483926964209e-4	0.570221204835674	v161	type of cooking fuel
v128_23	0.0378197945392973	0.310080589391411	0.902977007791324	5.08948224609007e-6	0.969318175710687	v128	main wall material
v023_20	0.218490281244303	0.265914743890597	0.411691436765512	2.99372080241112e-4	0.699724443867849	v023	stratification used in sample design
sh301b_1	0.0651244505022908	0.209152311981775	0.755655483092139	2.27583389540431e-5	0.923820162176169	sh301b	does your community have: ngo offering hiv services?
hv243a_0	-0.133654399244477	0.144368509288859	0.355034145381094	1.68532339009819e-4	0.656462321787761	hv243a	has mobile telephone
v130_14	-11.1076291969275	0.998803446062003	1.183246e-25	1.40178585846917e-4	1.00385063870968e-24	v130	religion
sh104i_1	-0.515806650934192	0.150364578264576	6.56133172519899e-4	0.00170286941119113	0.00341708959153928	sh104i	a chair
sh100_96	0.573606747644829	0.740950132931255	0.439232828706979	6.69896828886518e-5	0.72642837320603	sh100	source of drinking water
hv205_23	-0.055209223068917	0.139880235949385	0.693252056178257	3.11543318651797e-5	0.898717635546789	hv205	type of toilet facility
sh18_0	1.66145924811498	0.48726587992897	7.06716839541322e-4	0.00460992011032169	0.00364444174116425	sh18	both parents alive
v783_0	-0.100934996598109	0.269909095317784	0.70860400979404	3.99584652903684e-5	0.903942706107517	v783	know a place to get hiv test
sh104j_1	-0.174336601521071	0.144881287593246	0.229466055564256	2.17967151439402e-4	0.509279093783961	sh104j	a sofa set
v7161	1.43418655197918	0.537020954996345	0.0079040045197348	0.0363123829213935	0.0351338567102578	v7161	NA
v014_6	-0.0223789296605412	0.587917742474079	0.969652304289279	3.0618862822962e-7	0.983630595874559	v014	completeness of age information
v770k_0	0.311837255569314	0.289529272280349	0.282295743311076	0.00207356642895784	0.584596696778055	v770k	sought sti advice/treatment from: private hospital/clinic/doctor
v762al_1	0.41292241980995	0.351185827016585	0.240274723768577	3.83192237763286e-4	0.525871725529562	v762al	source for condoms: private doctor
v781_0	-0.570401332217197	0.144854091139657	9.47565987804338e-5	0.00456842196076901	5.39804739622832e-4	v781	ever been tested for hiv
sh104m_1	0.0290452063242633	0.159977268143366	0.856007956221908	5.66830639303628e-6	0.961820358421084	sh104m	a clock
v158_0	-0.240886110533789	0.302347933655335	0.426018675835739	1.87502634028114e-4	0.712892333476984	v158	frequency of listening to radio
v149_1	0.0557370698508582	0.151881703815175	0.713802153971603	4.36851964287222e-5	0.904110215930303	v149	educational attainment
v784b_0	0.0641162215485608	0.189603799065357	0.735395050683721	3.58494591670144e-5	0.917791745931015	v784b	place for hiv test: cs public (govt. health center)
v770e_0	-0.714940940904545	0.70107112715374	0.308626218933655	0.00111563223749189	0.611824338539331	v770e	sought sti advice/treatment from: cs public (outreach)
v153_1	-0.254530955317223	0.43522345926089	0.558945072405924	7.29435330858452e-5	0.81517127934986	v153	household has: telephone (land-line)
v130_15	-8.55972548053468	1.00208374448209	1.870309e-16	8.54803046135277e-6	1.40540362e-15	v130	religion
v122_7	-0.0629023042601457	0.451705471098686	0.889308449397733	4.59938264807391e-6	0.964090408963728	v122	household has: refrigerator
v044_2	-12.8245960069727	0.285822789573822	1.250689e-171	4.02316447491335e-4	1.40970517285714e-169	v044	selected for domestic violence module
hv226_7	0.199360131957372	0.150328155189414	0.185431464856239	2.60663240779335e-4	0.4515599560851	hv226	type of cooking fuel
v190_3	0.231842532416979	0.186515590638894	0.214482993623508	4.97932759576991e-4	0.491939191770197	v190	wealth index
v480_8	0.0145047438982373	0.654575527162682	0.982331767169114	3.20150189137003e-7	0.991125018281881	v480	syringe and needle from new, unopened package
v123_0	0.18493068865349	0.134404093283222	0.169501234815251	4.84832143833769e-4	0.422548101956503	v123	household has: bicycle
v026_3	0.203515051192795	0.191633506268189	0.288782760723785	3.53967691331336e-4	0.590283933189291	v026	de facto place of residence
v535_0	-2.3000067812794	0.295698791461408	5.193018e-14	0.0447154748179514	3.77630525529954e-13	v535	ever been married or in union
sh106_96	0.232376457362703	0.338439361068223	0.492667442924406	6.24989072176563e-5	0.764433849493326	sh106	main source  of energy for lighting in the household?
hv024_1	0.525645258732043	0.185292882920369	0.00475402157578211	0.00151768250297946	0.0218712712728401	hv024	region
sh100_71	1.15204236062332	0.7544689039161	0.127446971971104	2.5240145837524e-4	0.345293970939068	sh100	source of drinking water
hv108_01	-0.0223741851933283	0.0155971899570514	0.152097194536472	3.68299828792829e-4	0.391532419214605	hv108	education completed in single years
sh104c_1	-0.0783151547409531	0.21527930270479	0.716183631123496	2.50141333383302e-5	0.904110215930303	sh104c	a cassette player
v770e_1	0.714940940904544	0.70107112715374	0.308626218933655	0.00111563223749178	0.611824338539331	v770e	sought sti advice/treatment from: cs public (outreach)
v510_6	0.450677431659674	0.374919435690687	0.229947625414487	4.19207930718368e-4	0.509631113629298	v510	completeness of date information in v509
v157_0	0.0550813151434994	0.162285037807026	0.73445244244241	4.33695629471487e-5	0.917791745931015	v157	frequency of reading newspaper or magazine
hv214_11	-0.301068664001903	0.724222144975943	0.677810467805773	2.52294618412474e-5	0.895456100814282	hv214	main wall material
v168_0	-0.271887498841913	0.223144569830311	0.223715501218795	0.0010334905534628	0.503599230988959	v168	away for more than one month in last 12 months
v161_96	1.00098146773684	0.759044437088835	0.18790134037921	1.6179203259048e-4	0.45546929502846	v161	type of cooking fuel
hv270_5	-0.026554503180921	0.171629617751602	0.877108907610528	5.12194556867573e-6	0.964090408963728	hv270	wealth index
hv214_96	0.235087674471665	0.585172039285708	0.688057946268561	4.82263551554452e-5	0.896122422523152	hv214	main wall material
v778_8	-0.908756137572969	0.533063165848917	0.0888988717577253	6.83082033136606e-4	0.262749680920843	v778	willing to care for relative with aids
v770t_0	-0.0688708810115839	1.12348382649926	0.951158855812879	4.73535000267145e-6	0.979764590802474	v770t	sought sti advice/treatment from: cs other (shop)
v129_36	-12.8069032320528	0.371478880100052	1.518984e-130	5.27534862337475e-4	5.21077554782609e-129	v129	main roof material
v529	3.39422253259875e-4	0.00289834374434949	0.906823885654769	3.64000732822056e-6	0.97064300051177	v529	time since last sex (in months)
hv107_05	-0.0614295498883546	0.0556136156807005	0.269934264150902	4.41062787209456e-4	0.570222582101905	hv107	highest year of education completed
sh301d_0	-0.0724100798706071	0.185844110860257	0.696988844721727	3.291981425535e-5	0.898717635546789	sh301d	does your community have: hiv women's group?
v770b_1	0.0366632656461289	0.293304331695453	0.900603965521352	2.49093971594894e-5	0.96910823367675	v770b	sought sti advice/treatment from: cs public (govt. health center)
hv005	1.54463288078478e-7	1.0119045258927e-7	0.127570586221468	6.10234245900121e-4	0.345293970939068	hv005	household sample weight (6 decimals)
hv106_0	-1.16601229684731	0.205115113745377	2.30919154857416e-8	0.00997541009145109	1.58430620158697e-7	hv106	highest educational level attained
v531	0.0520157520741863	0.0103838792082214	7.75687599223272e-7	0.00684419601061415	5.01653701464887e-6	v531	age at first sex (imputed)
v150_7	-11.0257611589527	0.511252484063892	3.901119e-72	1.58570520855661e-4	5.44775732920354e-71	v150	relationship to household head
v763b_1	1.37293755347177	0.170430309380561	6.619949e-15	0.0169797061540974	4.88143902897196e-14	v763b	had genital sore/ulcer in last 12 months
v150_1	0.761099359765064	0.165930953765594	5.78502685127688e-6	0.00652040488662498	3.55205150634822e-5	v150	relationship to household head
v190_2	-0.35838901237875	0.185869008096988	0.0544373020020114	9.82838120714535e-4	0.183944459441486	v190	wealth index
hv107_07	-0.0457973259319006	0.0876365050980994	0.601604986251044	2.4705561618743e-4	0.851419433456634	hv107	highest year of education completed
v022_15	-0.0644591116471068	0.749508743426524	0.931501755729961	3.26343358947323e-6	0.976420975758292	v022	sample strata for sampling errors
hv210_0	0.176176579332499	0.135230646660179	0.19328853274761	3.12992655857602e-4	0.459553256130879	hv210	has bicycle
hv217_2	0.111618819481287	0.126246218312026	0.377076806591958	1.25268111516808e-4	0.676339732189996	hv217	relationship structure
v508	-0.00438036206086774	0.0069158068559845	0.526792908309126	1.46626257866211e-4	0.793962950632092	v508	year of first cohabitation
v116_21	-0.483139068817004	0.515102063162214	0.348754804400758	5.01176618068588e-4	0.654381785189532	v116	type of toilet facility
hv201_71	1.15204236062332	0.7544689039161	0.127446971971104	2.5240145837524e-4	0.345293970939068	hv201	source of drinking water
hv212_0	0.211379486609712	0.651632255344796	0.745791790132513	4.25697149981641e-5	0.920270251903417	hv212	has car/truck
