name	estimate	se	p.value	Nag.r2	adj.p.val
sh108cb_1	0.300313163888293	0.162501839757226	0.0655308822099185	0.00207082321895613	0.169414783350479
sh108d_0	-0.383575884937753	0.129893025964566	0.00338510413282723	0.00356775401576404	0.0134565330555954
hv237d_1	-11.0124392462261	0.998519905168333	3.908e-24	0.000137144533463029	3.42759858906526e-23
hv208_0	-0.489447641305372	0.138283878432705	0.000461404108846882	0.00816107200381577	0.00215263804775894
hv205_12	0.0848278544865309	0.243535202336269	0.727833555146485	4.91323999237681e-05	0.84531912870732
ha35_1	-0.00679760705754364	0.00497097899971666	0.172456561362782	0.000619190226943789	0.347446114232233
ha6_2	2.40175747085753e-06	4.01868771766787e-06	0.550572595397518	0.000340343162169354	0.72182477870405
v226	0.000109686081843951	0.000297265176356179	0.712388357632974	6.81791724450598e-05	0.835150236329274
ha69_2	-2.36637250101576e-07	1.60591029022263e-07	0.141761896124922	0.00265324967721492	0.302827280682662
v152	-0.00413445734845803	0.00412142205033444	0.316552284349408	0.00038858147249532	0.517485463316751
hv122_2	-1.64302045359343	0.312724934732488	2.74894333873684e-07	0.0156622512947144	1.66307727780271e-06
m61_1	0.00151017878702279	0.00127840232651069	0.238692440929118	0.00290375914259255	0.432271488980519
hv214_33	-0.429564237444248	0.134438188111376	0.0015386118393716	0.00583492536170382	0.00649534522682085
m46_1	5.20512854742007e-05	0.000934663694181223	0.955625706346317	3.81828279449881e-06	0.980265395556979
hv024_9	0.0766533913915883	0.236821468947767	0.746398242055125	5.3775175915205e-05	0.856266287729976
hv226_7	0.584069494877668	0.134676610002525	1.94832299115243e-05	0.0103388455375042	0.00010452006725999
hv137_1	-0.579457590262187	0.657942074021338	0.379569025614155	0.00248155485739299	0.580665396270866
hc60_2	-0.00273002825243465	0.00084950289850756	0.00147329224747556	0.00089184287280053	0.00623547433761358
hv237a_0	-0.315745977073411	0.17739868476145	0.0760617593273965	0.00235991249304879	0.191521584372224
hv113_9	-13.5798736120767	0.47906635930038	1.0161e-70	0.00156885802105577	3.10004006134969e-69
smsypw_2	-1.96018299058226e-07	2.04420567105657e-07	0.338559745636346	0.00154507089690226	0.542066199307646
sh534_6	-11.9246941162995	1.00172635047181	1.0284e-26	0.00039474110953075	9.89213384912959e-26
hv024_2	0.390872071982411	0.206800606020218	0.0596635943542711	0.00355731394515546	0.158075149027059
hv108_05	0.00652129902933957	0.00698133306669576	0.350976678649542	0.000296649641229108	0.554449499022926
ha13_4	-12.0078212888267	0.6499148010179	3.7752e-52	0.000359174397256856	7.24867552123552e-51
v508	-0.000789998079354275	0.00639391408689746	0.901747424848916	7.8323099623745e-06	0.952937182304837
v136	-0.0986795936537854	0.0217631004170987	8.22430727816283e-06	0.00948331384352208	4.60579730791709e-05
sdhh1m_1	0.00449399077091476	0.034617314843469	0.896803721875922	2.59947846275033e-05	0.950715179895323
hv237a_8	14.3770060649836	0.978107883804465	1.319e-37	0.00200090490429516	1.63168830845771e-36
hv246g	-0.00581132730431847	0.0107590454664485	0.589486215719941	4.62846942697048e-05	0.748217190090675
ha33_6	14.3770060649735	0.97810788379446	1.319e-37	0.00200090490429516	1.63168830845771e-36
bord_01	-0.122105297300254	0.0249627742652124	1.60348022568375e-06	0.014097127762454	9.38866200391936e-06
hv202_99	-11.061037031523	1.00046387810214	3.143e-24	0.00015391567612999	2.77130124113475e-23
sh129a_9	-1.07955026173132	0.992360694509233	0.277623129050317	0.001004424581458	0.475832626782058
hv246i	-0.0193293356930013	0.0237666770845802	0.416662853480967	0.000513102757481176	0.612357199136193
m1_1	0.0440718238230906	0.071159632189895	0.536153429156366	0.000226184982073607	0.708931402072483
hml16_05	0.0072217350966294	0.00797708936980233	0.366004482677431	0.000589780084269131	0.567290802240081
hv246_1	-0.769025398273044	0.124678714669303	2.1194e-09	0.0202158306508513	1.42045501347709e-08
ha69	1.01391427317648e-07	1.77488115540733e-07	0.568232413087785	0.000268308794953098	0.735316104680082
hb67_1	-0.0209580748985038	0.0363950562190722	0.565129386734692	0.000521611518102705	0.732697096280869
b3_06	-0.00523639553684999	0.00218434701563146	0.0172629491696052	0.0115327356293093	0.0561102262878736
hv213_96	-12.0453205061626	0.702851468368976	5.613e-47	0.000421720624559363	9.96908892857143e-46
hv128_03	0.00575270968312169	0.00577266859518341	0.319751514568374	0.000463005603188904	0.52076676714327
hc31_2	-0.0351174404098308	0.0927519556884774	0.70526677967468	0.000204987077309871	0.831081099013763
