var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
sh108cb_1	0.300313163888293	0.162501839757226	0.0655308822099185	0.00207082321895613	0.169414783350479	sh108cb	where seen/heard message about clorin: television
sh108d_0	-0.383575884937753	0.129893025964566	0.00338510413282723	0.00356775401576404	0.0134565330555954	sh108d	is your household water currently treated with clorin
hv237d_1	-11.0124392462261	0.998519905168333	3.908e-24	1.37144533463029e-4	3.42759858906526e-23	hv237d	water usually treated by: use water filter
hv208_0	-0.489447641305372	0.138283878432705	4.61404108846882e-4	0.00816107200381577	0.00215263804775894	hv208	has television
hv205_12	0.0848278544865309	0.243535202336269	0.727833555146485	4.91323999237681e-5	0.84531912870732	hv205	type of toilet facility
ha35_1	-0.00679760705754364	0.00497097899971666	0.172456561362782	6.19190226943789e-4	0.347446114232233	ha35	smoking
ha6_2	2.40175747085753e-6	4.01868771766787e-6	0.550572595397518	3.40343162169354e-4	0.72182477870405	ha6	ht/a percent ref. median (resp
v226	1.09686081843951e-4	2.97265176356179e-4	0.712388357632974	6.81791724450598e-5	0.835150236329274	v226	time since last period (comp)
ha69_2	-2.36637250101576e-7	1.60591029022263e-7	0.141761896124922	0.00265324967721492	0.302827280682662	ha69	hiv weight (6 decimals)
v152	-0.00413445734845803	0.00412142205033444	0.316552284349408	3.8858147249532e-4	0.517485463316751	v152	age of household head
hv122_2	-1.64302045359343	0.312724934732488	2.74894333873684e-7	0.0156622512947144	1.66307727780271e-6	hv122	educational level during current school year
m61_1	0.00151017878702279	0.00127840232651069	0.238692440929118	0.00290375914259255	0.432271488980519	m61	NA
hv214_33	-0.429564237444248	0.134438188111376	0.0015386118393716	0.00583492536170382	0.00649534522682085	hv214	main wall material
m46_1	5.20512854742007e-5	9.34663694181223e-4	0.955625706346317	3.81828279449881e-6	0.980265395556979	m46	NA
hv024_9	0.0766533913915883	0.236821468947767	0.746398242055125	5.3775175915205e-5	0.856266287729976	hv024	region
hv226_7	0.584069494877668	0.134676610002525	1.94832299115243e-5	0.0103388455375042	1.0452006725999e-4	hv226	type of cooking fuel
hv137_1	-0.579457590262187	0.657942074021338	0.379569025614155	0.00248155485739299	0.580665396270866	hv137	member has a blanket
hc60_2	-0.00273002825243465	8.4950289850756e-4	0.00147329224747556	8.9184287280053e-4	0.00623547433761358	hc60	mother's line number from woman's questionnaire
hv237a_0	-0.315745977073411	0.17739868476145	0.0760617593273965	0.00235991249304879	0.191521584372224	hv237a	water usually treated by: boil
hv113_9	-13.5798736120767	0.47906635930038	1.0161e-70	0.00156885802105577	3.10004006134969e-69	hv113	father alive
smsypw_2	-1.96018299058226e-7	2.04420567105657e-7	0.338559745636346	0.00154507089690226	0.542066199307646	smsypw	syphilis weight (6 decimals)
sh534_6	-11.9246941162995	1.00172635047181	1.0284e-26	3.9474110953075e-4	9.89213384912959e-26	sh534	result of syphilis measuring
hv024_2	0.390872071982411	0.206800606020218	0.0596635943542711	0.00355731394515546	0.158075149027059	hv024	region
hv108_05	0.00652129902933957	0.00698133306669576	0.350976678649542	2.96649641229108e-4	0.554449499022926	hv108	education in single years
ha13_4	-12.0078212888267	0.6499148010179	3.7752e-52	3.59174397256856e-4	7.24867552123552e-51	ha13	result of wt/ht measurement of resp.
v508	-7.89998079354275e-4	0.00639391408689746	0.901747424848916	7.8323099623745e-6	0.952937182304837	v508	year of first marriage
v136	-0.0986795936537854	0.0217631004170987	8.22430727816283e-6	0.00948331384352208	4.60579730791709e-5	v136	number of household members
sdhh1m_1	0.00449399077091476	0.034617314843469	0.896803721875922	2.59947846275033e-5	0.950715179895323	sdhh1m	NA
hv237a_8	14.3770060649836	0.978107883804465	1.319e-37	0.00200090490429516	1.63168830845771e-36	hv237a	water usually treated by: boil
hv246g	-0.00581132730431847	0.0107590454664485	0.589486215719941	4.62846942697048e-5	0.748217190090675	hv246g	dairy cattle own
ha33_6	14.3770060649735	0.97810788379446	1.319e-37	0.00200090490429516	1.63168830845771e-36	ha33	completeness of information
bord_01	-0.122105297300254	0.0249627742652124	1.60348022568375e-6	0.014097127762454	9.38866200391936e-6	bord	NA
hv202_99	-11.061037031523	1.00046387810214	3.143e-24	1.5391567612999e-4	2.77130124113475e-23	hv202	source of non-drinking water
sh129a_9	-1.07955026173132	0.992360694509233	0.277623129050317	0.001004424581458	0.475832626782058	sh129a	.
hv246i	-0.0193293356930013	0.0237666770845802	0.416662853480967	5.13102757481176e-4	0.612357199136193	hv246i	pigs own
m1_1	0.0440718238230906	0.071159632189895	0.536153429156366	2.26184982073607e-4	0.708931402072483	m1	NA
hml16_05	0.0072217350966294	0.00797708936980233	0.366004482677431	5.89780084269131e-4	0.567290802240081	hml16	corrected age from individual questionnaire
hv246_1	-0.769025398273044	0.124678714669303	2.1194e-9	0.0202158306508513	1.42045501347709e-8	hv246	livestock, herds or farm animals
ha69	1.01391427317648e-7	1.77488115540733e-7	0.568232413087785	2.68308794953098e-4	0.735316104680082	ha69	hiv weight (6 decimals)
hb67_1	-0.0209580748985038	0.0363950562190722	0.565129386734692	5.21611518102705e-4	0.732697096280869	hb67	man's highest year of education
b3_06	-0.00523639553684999	0.00218434701563146	0.0172629491696052	0.0115327356293093	0.0561102262878736	b3	NA
hv213_96	-12.0453205061626	0.702851468368976	5.613e-47	4.21720624559363e-4	9.96908892857143e-46	hv213	main floor material
hv128_03	0.00575270968312169	0.00577266859518341	0.319751514568374	4.63005603188904e-4	0.52076676714327	hv128	education in single years - previous school year
