var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-2.32954020511415	0.318286233419943	2.714058e-12	0.0675241397781641	1.37367180849057e-11	v535	have ever been married
v535_1	1	2.02141662340407	0.282953880011932	8.025882e-12	0.0467415877753967	4.05577930266876e-11	v535	have ever been married
hovidx_02	1	-0.403461216382813	0.129822437121635	0.00218928647381537	0.0394822429050199	0.00857337367300691	hovidx	index to household schedule
v502_0	1	-1.44168885913224	0.193353211500715	8.747402e-13	0.0337691444094721	4.45536187310127e-12	v502	currently/formerly/never marr.
v501_0	1	-1.44168885913224	0.193353211500715	8.747402e-13	0.0337691444094721	4.45536187310127e-12	v501	current marital status
v513_0	1	-1.44168885913224	0.193353211500715	8.747402e-13	0.0337691444094721	4.45536187310127e-12	v513	marital duration (grouped)
hv116_0	1	-1.22174115981305	0.181990753647266	8.913886e-11	0.0263482943337648	4.49042238403756e-10	hv116	currently, formerly, never m.
hv115_0	1	-1.22174115981305	0.181990753647266	8.913886e-11	0.0263482943337648	4.49042238403756e-10	hv115	current marital status
hv125_1	1	-1.5300338944104	0.267185840004132	2.39876095058495e-8	0.0234070955149541	1.19160671295262e-7	hv125	member attended school during previous school year
hv126_0	1	1.47701154730501	0.252890353457094	1.299646e-8	0.0228737056647158	6.46609037712519e-8	hv126	educational level during previous school year
hv125_0	1	1.47701154730501	0.252890353457094	1.299646e-8	0.0228737056647158	6.46609037712519e-8	hv125	member attended school during previous school year
hovidx_01	1	-0.229310799207059	0.0751379418096126	0.00252573341920749	0.0203423548883284	0.00979558539328784	hovidx	index to household schedule
v535_3	1	2.8901020140342	0.611883042380527	3.69261211477653e-6	0.0200310354940868	1.76882714248001e-5	v535	have ever been married
hv121_2	1	-1.4398158525105	0.273961428804795	2.73131393385575e-7	0.0195592968534108	1.34848152654627e-6	hv121	member attended school during current school year
hv101_1	1	0.977163477291348	0.163486881489949	6.167243e-9	0.0190395241748357	3.08745804307932e-8	hv101	relationship to head
v150_1	1	0.977163477291348	0.163486881489949	6.167243e-9	0.0190395241748357	3.08745804307932e-8	v150	relationship to household head
hv122_0	1	1.38073577046072	0.260040505838342	2.0818885762924e-7	0.0188999872391793	1.03101528109004e-6	hv122	educational level during current school year
hv121_0	1	1.38073577046072	0.260040505838342	2.0818885762924e-7	0.0188999872391793	1.03101528109004e-6	hv121	member attended school during current school year
v013_1	1	-1.3702763746832	0.266819140420277	4.94521687050965e-7	0.0185457851559148	2.42293045756021e-6	v013	age 5-year groups
v732_1	1	0.886468762559178	0.173024154558771	5.2503464550481e-7	0.0180188557387139	2.56852055300909e-6	v732	employment all year/seasonal
hb32	1	-0.00294234161941319	3.92585229621902e-4	6.820779e-13	0.0175226248976988	3.49063395882353e-12	hb32	date of birth (cmc)
hb1	1	0.035001371512501	0.0046997118824945	9.250902e-13	0.0172317450957618	4.69694850757098e-12	hb1	men's age in years
hml16	1	0.035001371512501	0.0046997118824945	9.250902e-13	0.0172317450957618	4.69694850757098e-12	hml16	corrected age from individual questionnaire
v012	1	0.034988976181427	0.00470140356869677	9.572991e-13	0.0172188700099394	4.85282803606299e-12	v012	current age - respondent
smm3_01	1	0.0295998253247303	0.00458560299397787	4.152706e-10	0.0166319809870923	2.0886813459375e-9	smm3	NA
v502_2	1	1.38112133161017	0.272195425301501	6.67993156540184e-7	0.0150072584623369	3.25305593177436e-6	v502	currently/formerly/never marr.
v717_7	1	1.47547138130199	0.316074650079191	4.50961270766161e-6	0.0145266601633505	2.15377497121109e-5	v717	respondent's occupation
v302_3	1	0.816293861457615	0.155510042548818	2.82001677616809e-7	0.0143246708756016	1.39014303253983e-6	v302	ever use of any method
