name	estimate	se	p.value	Nag.r2	adj.p.val
hml17_3	0.171039319244311	0.270915524705938	0.528278725707284	0.000203917703438083	0.721786595098403
hiv02	-2.62956176189988e-05	2.5589169263252e-05	0.304925515798507	0.000646495241216072	0.528076683143709
hv225_1	0.593961259702263	0.172176337758407	0.000641870340516624	0.00877845768605445	0.00268684086621978
hv202_11	-0.00487871959978611	0.21501943668473	0.981912229323197	1.97145021196832e-07	0.992107057547565
sh111q_9	0.718725689508057	1.06591607622478	0.500629535841517	3.82303283723573e-05	0.703416183270992
hv225_0	-0.61561306309206	0.171188136074306	0.000377752195408292	0.00944821545722763	0.00163438752287539
hv228_2	-1.01354916661504	0.447008482987737	0.0240582353893598	0.00431068815102675	0.0759994697922956
hml19_0	0.0591777569550298	0.163443445456352	0.717544233470327	6.57019151647509e-05	0.853037543221554
hc2_1	-9.67369184257864e-06	4.91656527324746e-05	0.844146962667844	3.74619901959417e-05	0.921121719602641
hv215_31	0.483070018933916	0.16330959616205	0.00333152807017442	0.0048646806774304	0.0123835899051864
hc71_2	3.95438667423917e-05	5.34986961303397e-05	0.460494967802809	0.000916976998453167	0.67423852959264
v603	-0.0077497607107701	0.00534196992393655	0.147994482036811	0.00391708991710271	0.324740448313902
hivline	-0.224000620740879	0.0625214919324776	0.000393899462688233	0.0128763882057922	0.00169740611833122
v022_16	-0.0423272411108721	0.310432140790831	0.891632435999706	1.19977447849973e-05	0.949128575225877
hb69_2	-2.67012717186548e-07	1.81160235511499e-07	0.141647186256845	0.00288005498365884	0.312731339204927
hv213_11	-0.53859877080356	0.163134075143744	0.00107225974002326	0.00690476560440834	0.00435808598880666
hc60_1	-0.165995265265026	0.130667732330051	0.204927254266196	0.00649023190265274	0.407004889351496
smmc2	-0.0291120210516783	0.0301976307929733	0.335762793616662	0.000467771556211471	0.558275016865721
hv128_10	-0.282479300543372	0.235806756554401	0.233408526467411	0.0083821830171279	0.445371693360164
sh111g_9	-10.5352120401969	1.00619805910074	3.343875e-22	0.0001028453729639	1.9394475e-21
hv218	-2.71178264094564	0.226150397121338	1.569168e-27	0.000309162882498715	1.07930593846154e-26
sh108ca_0	-0.277223960984527	0.147611765016324	0.0612993325910786	0.00168734243662017	0.163617372811511
ha0_2	-0.0605856367438904	0.0860935490177054	0.482326041577385	0.000856280608329651	0.690290975557495
