var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hml17_3	0.171039319244311	0.270915524705938	0.528278725707284	2.03917703438083e-4	0.721786595098403	hml17	flag for ah07 age from individual file
hiv02	-2.62956176189988e-5	2.5589169263252e-5	0.304925515798507	6.46495241216072e-4	0.528076683143709	hiv02	lab number
hv225_1	0.593961259702263	0.172176337758407	6.41870340516624e-4	0.00877845768605445	0.00268684086621978	hv225	share toilet with other households
hv202_11	-0.00487871959978611	0.21501943668473	0.981912229323197	1.97145021196832e-7	0.992107057547565	hv202	source of non-drinking water
sh111q_9	0.718725689508057	1.06591607622478	0.500629535841517	3.82303283723573e-5	0.703416183270992	sh111q	does household have grain grinder
hv225_0	-0.61561306309206	0.171188136074306	3.77752195408292e-4	0.00944821545722763	0.00163438752287539	hv225	share toilet with other households
hv228_2	-1.01354916661504	0.447008482987737	0.0240582353893598	0.00431068815102675	0.0759994697922956	hv228	children under 5 slept under bednet last night
hml19_0	0.0591777569550298	0.163443445456352	0.717544233470327	6.57019151647509e-5	0.853037543221554	hml19	person sleep under an ever treated bednet
hc2_1	-9.67369184257864e-6	4.91656527324746e-5	0.844146962667844	3.74619901959417e-5	0.921121719602641	hc2	weight in kilograms (1 dec.)
hv215_31	0.483070018933916	0.16330959616205	0.00333152807017442	0.0048646806774304	0.0123835899051864	hv215	main roof material
hc71_2	3.95438667423917e-5	5.34986961303397e-5	0.460494967802809	9.16976998453167e-4	0.67423852959264	hc71	wt/a standard deviations (according to who)
v603	-0.0077497607107701	0.00534196992393655	0.147994482036811	0.00391708991710271	0.324740448313902	v603	preferred waiting time
hivline	-0.224000620740879	0.0625214919324776	3.93899462688233e-4	0.0128763882057922	0.00169740611833122	hivline	line
v022_16	-0.0423272411108721	0.310432140790831	0.891632435999706	1.19977447849973e-5	0.949128575225877	v022	sample stratum number
hb69_2	-2.67012717186548e-7	1.81160235511499e-7	0.141647186256845	0.00288005498365884	0.312731339204927	hb69	hiv weight (6 decimals)
hv213_11	-0.53859877080356	0.163134075143744	0.00107225974002326	0.00690476560440834	0.00435808598880666	hv213	main floor material
hc60_1	-0.165995265265026	0.130667732330051	0.204927254266196	0.00649023190265274	0.407004889351496	hc60	mother's line number from woman's questionnaire
smmc2	-0.0291120210516783	0.0301976307929733	0.335762793616662	4.67771556211471e-4	0.558275016865721	smmc2	preceding births before respondent
hv128_10	-0.282479300543372	0.235806756554401	0.233408526467411	0.0083821830171279	0.445371693360164	hv128	education in single years - previous school year
sh111g_9	-10.5352120401969	1.00619805910074	3.343875e-22	1.028453729639e-4	1.9394475e-21	sh111g	does household have bed
hv218	-2.71178264094564	0.226150397121338	1.569168e-27	3.09162882498715e-4	1.07930593846154e-26	hv218	line number of head of househ.
sh108ca_0	-0.277223960984527	0.147611765016324	0.0612993325910786	0.00168734243662017	0.163617372811511	sh108ca	where seen/heard message about clorin: radio
