name	estimate	se	p.value	Nag.r2	adj.p.val
hc3_2	7.44834365666793e-05	6.6602513883521e-05	0.263827864656126	0.00115209232889812	0.421570406389759
v149_3	0.10720215333214	0.0835582478751368	0.199918385426903	0.000332961166965795	0.347250680447008
m51_1	-0.00109223601564313	0.00221689412380818	0.62239579925679	0.000209163672921564	0.736047818071306
sh17b_02	-0.014296777109252	0.0204241710202032	0.484158399571136	0.000126169797286746	0.630272231159101
hv205_11	0.318002528929163	0.140646403570251	0.0240568924705995	0.00154053480096172	0.0626803436848647
v113_32	-0.494367304857415	0.10739173042503	4.91394126063945e-06	0.00401053633074	2.58756363044797e-05
hml16_04	0.00900305311482461	0.0056647089358717	0.11242704561736	0.000734268699942198	0.22443262152294
shlangq_5	-0.874277690634903	0.257810335276549	0.000734010934975713	0.000940552965469132	0.00284521072156191
hv270_4	0.619257367968192	0.0958627901226508	1.931e-10	0.00954802742427463	1.44570474516696e-09
v105_3	-0.915194628916451	0.105053322019804	2.1199e-17	0.0258516807501241	2.03395810810811e-16
hml7_16	0.223462790180683	0.176180060952379	0.205087934299818	0.000803766495031666	0.353714413002925
mm8_01	0.00069883289070157	0.000580551177169509	0.229146382446114	0.00188764021961785	0.384014000480112
hv253a_8	0.259705663122955	0.177966987201182	0.144921704449704	0.000339357504035465	0.270774763577079
sh17a_1	-0.208893640453006	0.083832139405053	0.0129339972843283	0.00142853509050489	0.0366105172300588
v150_12	0.148561664416082	0.435938040705173	0.733364098528236	2.24764418985668e-05	0.822572685552998
hc71_1	4.45919480131752e-05	7.63828531530432e-05	0.559541157419177	0.000107175998539488	0.695142995218925
mm8_03	0.000653785710253011	0.000573961641064977	0.255163906165409	0.0015347808136843	0.413150224349921
v106_2	0.193009667270904	0.084115934854587	0.0220452443594485	0.00118451024106203	0.0582224060578119
ha12b_3	7.603672249779e-05	5.66293052743362e-05	0.180084335604209	0.00219303043287289	0.320768599989261
ha69_2	1.11554406497329e-07	7.92916812990172e-08	0.159919222792481	0.00123999654112994	0.292635691192427
hv107_06	0.0793979840493018	0.0364849424346902	0.0299047217089472	0.00300310671985415	0.0754704469668928
m19_1	-0.000131095438656061	2.11644064703407e-05	9.8573e-10	0.0138810265164493	7.12938845500849e-09
hv237c_1	-0.00442590949284164	0.915244371558115	0.996142971730757	4.3458e-09	0.998251954733716
ha33_6	0.987904071601833	1.1726196108727	0.399801625355985	0.000116809164910303	0.558259173432964
v511	0.0549895446366368	0.0127459355009648	1.82560655026473e-05	0.00667127976387127	9.10665562544233e-05
ha32	-0.00450557717091541	0.000306661846045653	6.3038e-43	0.0338774909274864	1.31638176470588e-41
hv252_2	0.0958527307216082	0.26120132748007	0.713750285439254	3.46447296309949e-05	0.807161193515058
b1_05	0.00528304231433989	0.0224041430875142	0.813656319959315	4.15664132412674e-05	0.883151866701067
h0m_1	0.00295508097212734	0.0277875922328977	0.915344506392019	1.19854747814285e-05	0.946218781176899
hv023_3	0.572932353678188	0.133053999037707	1.89301650742336e-05	0.00630496329886621	9.39889314874535e-05
hv270_3	-0.102359273344247	0.114302209277915	0.370811875744174	0.000202910248369159	0.535659067707759
v127_34	0.733896237370628	0.0878043337054979	3.2816e-16	0.0170827378068826	2.99349379014989e-15
mm3_04	0.0384713594860577	0.00362283227111347	1.451e-24	0.0244515720042021	1.83420178041543e-23
v836	0.241547570957665	0.0764718944213432	0.00165137812847324	0.019833250673744	0.00590562797948798
b3_05	-0.00775701105467691	0.00122187113314416	4.0562e-10	0.0293681416554934	2.98951764705882e-09
h7y_1	-0.217992905456961	0.0647554268439831	0.000803842265647699	0.00776897807800203	0.00308779806281262
h4d_1	-0.00393552055620593	0.00854768411718461	0.645357310086958	0.000104686482731542	0.752799052839661
b12_04	0.019150723328437	0.00326814555016068	7.1554e-09	0.017731385384762	4.89277752808989e-08
v157_1	0.365208496806319	0.0996310867880802	0.000264920882146765	0.00238884254808802	0.00110643427249531
hv005	1.50783175688275e-07	7.95475610887935e-08	0.0584256976198442	0.00217657652773451	0.136230690673528
hv211_1	-0.570389363813412	0.283036066457685	0.0442497865868438	0.000590189239062178	0.106922343085624
v537	0.019045963024056	0.00387280913333432	1.09854462762271e-06	0.017890158777368	6.19841074658642e-06
hv243d_1	0.802627736383038	0.520181807827412	0.123276733101523	0.00030782598820811	0.240534150404876
hc60_2	-0.00211429031388718	0.00100618549070277	0.0359938406579971	0.000249188929809074	0.0885810290023499
v024_3	-0.366459102475963	0.143959125691026	0.0111173803527957	0.00157207243627855	0.0321302851444435
v124_7	-0.217325506564201	0.258406352599269	0.400615045647377	0.000126946907797243	0.558359797398602
h6y_1	-0.170952507841684	0.06503282955445	0.00876057230669478	0.00457388405443826	0.0260796911436197
sh122a	-0.0324522813317936	0.0142430332020158	0.0229912506878863	0.00186486007579212	0.0604584740311084
v317	-0.00818533436098688	0.00228681249695922	0.00036849519529305	0.00924584951205298	0.00149646285219103
v127_32	0.59868317407447	0.522733760616644	0.252468988687958	0.000128121374058598	0.410816612609129
v024_9	-0.136934035311274	0.137767614604952	0.320581891125898	0.000250390539563994	0.480703574866711
ha41_3	0.000646133521004697	0.000472409902564793	0.172116523369696	0.0022548753905749	0.310028071693406
