name	estimate	se	p.value	Nag.r2	adj.p.val
v153_1	-0.0929433780877358	0.308857843608432	0.763557866631844	1.81056654929845e-05	0.862316477529389
v113_13	0.56782727010438	0.118719003969499	2.09639110888346e-06	0.00620554751071978	1.32927418377268e-05
hv109_3	0.100367524771843	0.076688917049818	0.191033208091381	0.00027533758564513	0.352988941750813
m6_1	-0.00402514712531886	0.00148684374563933	0.00694717082236554	0.00252654876933744	0.0233822234392572
hv253_1	0.169185382138875	0.09100336131862	0.0634196922411227	0.000797770562566358	0.153192351836408
shlangi_6	-1.3109469073766	0.42974172258772	0.00236823293806592	0.0012759964926301	0.00903405599740276
shlangq_6	-1.31018407815168	0.42660824461283	0.00221262912525176	0.00127204812856219	0.00856313596975273
hv105_02	-0.0125472121367852	0.00340493217560276	0.000245879053070948	0.00302292762139378	0.00115004461595533
shlangr_3	-0.00642033332205899	0.278789204317658	0.981633253222788	1.34245608518491e-07	0.992473069909227
hv007	-0.161594778859052	0.0983184050116409	0.100698867954554	0.000752935703636215	0.221212340219242
hc2_1	2.38455561720284e-06	2.45664486261767e-05	0.92270139617518	1.99945757373143e-06	0.959168248134287
ha11_3	0.000979378478674622	0.00100409724543993	0.329941710414701	0.00102951009209096	0.514221517219108
v022_5	0.348834590954586	0.177432047674973	0.0496809134178443	0.000278513652699486	0.125714156027243
v023_2	-0.0941202993576017	0.184693275574297	0.610485797479069	6.88332629165123e-05	0.758390665614669
hc70_2	2.26387062650454e-05	0.000105289666407623	0.829824395301154	1.94295962817614e-05	0.903989065105665
sh106a_1	0.109698373097453	0.117823362423438	0.352144892691637	0.000151917886633712	0.539356357929211
v204	0.295599132192768	0.0467548473711744	4.5223e-10	0.00627478170290741	3.64456459357278e-09
hml17_1	0.401731465617031	0.147432620685055	0.00658948509011121	0.00161237233097955	0.0224982339494903
v150_14	-0.685316282448093	0.426877036161652	0.108840833527525	0.000550918405477052	0.233991317689598
hw5_1	-0.000890511969048652	0.000434080988510964	0.0405817027337896	0.0019533315643564	0.107014512430362
v127_22	1.0855464542998	1.36025531218604	0.425107230083842	0.00023556794602031	0.608663275331737
h5y_1	-0.047467571923834	0.0561643930839151	0.398314775278868	0.000351271306478829	0.584039661893757
sh110q_1	-0.222260310746745	0.336279562095557	0.508863085918447	8.59955562674264e-05	0.682154395998321
v150_13	-0.146735315575977	0.2388195901944	0.539132793976395	7.01056496078545e-05	0.699952722466002
sh17a_2	0.153238648783886	0.081674280823136	0.0610304067061887	0.00072743342321735	0.147924097255444
v008	-0.0419638417096673	0.0210466121129921	0.0465454757621648	0.000955025317806557	0.120127360522462
hv212_0	0.0977660698973258	0.140026210871404	0.485278897706095	9.68856948396768e-05	0.663172990098037
v129_96	-12.0453100029297	0.598735383945743	9.4422e-72	0.000439901364837181	3.98348655445545e-70
hc6_1	-6.07322587880912e-05	9.67795575336813e-05	0.530509874361822	0.000137437506596783	0.69255593586266
sh19b_04	0.00112374918392415	0.0303866436927042	0.97051015522716	5.79910032660891e-07	0.984840145611557
hv210_0	0.460192604013171	0.0841960292432983	6.36179570057768e-08	0.00645133589622127	4.64967606863833e-07
sh268i_1	-8.1167297308974e-05	0.000230833656914145	0.725221915890915	4.57887431677406e-05	0.839003987777424
hv024_8	-0.718794626312181	0.181417280724957	8.16976907782381e-05	0.00197589006704513	0.000414915209065641
v509	-0.00181840710881628	0.000357134580406468	4.53942604167566e-07	0.00525106361952077	3.07023720056825e-06
v024_8	-0.718794626312181	0.181417280724957	8.16976907782381e-05	0.00197589006704513	0.000414915209065641
hv252_0	-0.30528833604338	0.111143062131908	0.0061684838554368	0.0017225847969865	0.021265299116518
v022_15	0.27653104523302	0.151434875494965	0.0682539349516064	0.000157403240150011	0.163387649903817
hv270_2	-0.535010027040918	0.11510076445644	3.98378768846685e-06	0.0042381913785422	2.42845770251177e-05
shlangr_2	0.221637044433442	0.103469913886556	0.0325252942720513	0.00114709793832479	0.0894326836676132
hv121_2	-1.26861773705822	0.149427305263693	1.1805e-16	0.0148131209108316	1.2389434729064e-15
v444	5.17242723280174e-05	1.85806956696825e-05	0.00551436199993444	0.00183796771895273	0.0193229411856255
ha12a	7.30508759228126e-05	1.87375515964111e-05	0.000105788026094259	0.00312318726367999	0.000526592031761259
ha66_0	-0.199434600772586	0.165571641603136	0.228784423082289	0.000346216006521849	0.402498111789279
hmlb_2	-0.116150646409611	0.0438127097763288	0.0082413845278352	0.0059347592990987	0.0272643940008585
hv102_0	0.166160610987587	0.258375309233862	0.520365633779699	7.26182276121756e-05	0.685170186553193
mm4_03	-0.00293627454169779	0.000298899192415908	1.8574e-21	0.0225108688056173	2.30069226744186e-20
ha32_3	-0.00253029563070527	0.00122439197402422	0.0393497490816713	0.00325124530296261	0.104003675541814
v116_97	0.165943493414583	0.258376706312396	0.520912947477447	7.24990149404414e-05	0.685170186553193
hv217_3	0.474909644033272	0.169547680113388	0.00523069704427907	0.00151230591333062	0.0184503312133056
hc30_2	0.0303804606232075	0.0235448328022289	0.197386691940188	0.000954372837434936	0.362371690804455
hv012	-0.153364147429861	0.0172967838110551	5.8905e-18	0.0185607162780942	6.67537779255319e-17
hb32_1	0.000503514106661179	0.00034330992114643	0.142910838507445	0.000483461987164202	0.284419935955265
h3m_1	-0.0322394579006175	0.0198188610748174	0.104247061415606	0.00123525414524561	0.227910071160542
v135_2	0.166160610987587	0.258375309233862	0.520365633779699	7.26182276121756e-05	0.685170186553193
