var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
shiv51_0	1	-53.3433003038086	0.0868520598032314	0	0.516443363613367	0	shiv51	confirmed hiv status
shiv51_1	1	23.2758120981686	0.133707910696589	0	0.393172382809678	0	shiv51	confirmed hiv status
sh279_1_2	1	-4.28816624304108	0.166732876025235	7.313406e-104	0.256099848039304	4.4390673627907e-102	sh279_1	result of determine hiv rdt
sh279_1_1	1	4.28816624304109	0.166732876025236	7.313406e-104	0.256099848039303	4.4390673627907e-102	sh279_1	result of determine hiv rdt
sh279a_1_1	1	4.28080503463916	0.165814610257226	1.966377e-104	0.254657216025858	1.25176682195122e-102	sh279a_1	result of unigold hiv rdt
sh279a_1_2	1	-4.28080503463915	0.165814610257224	1.966377e-104	0.254657216025858	1.25176682195122e-102	sh279a_1	result of unigold hiv rdt
shiv51_9	1	18.8890495739878	0.123144224595267	0	0.104782841183429	0	shiv51	confirmed hiv status
sh235a_1_2	1	-2.28624875624511	0.123779617818936	1.621102e-62	0.0920354089658972	5.288845275e-61	sh235a_1	result of unigold hiv rdt
sh235a_1_1	1	2.26965078645935	0.125886152295991	3.950961e-60	0.090474285039905	1.17181911477273e-58	sh235a_1	result of unigold hiv rdt
sh235_1_1	1	2.25478497868983	0.124839584541612	2.653471e-60	0.0896123371237909	7.960413e-59	sh235_1	result of determine hiv rdt
sh235_1_2	1	-2.25306205453882	0.124743963968581	2.652382e-60	0.0895123953032875	7.960413e-59	sh235_1	result of determine hiv rdt
sh279a_2_1	1	2.86381410555968	0.246983299142354	2.218148e-28	0.0428907972500515	3.64111086792453e-27	sh279a_2	result of unigold hiv rdt
sh279a_2_2	1	-2.86381410555969	0.246983299142354	2.218148e-28	0.0428907972500515	3.64111086792453e-27	sh279a_2	result of unigold hiv rdt
sh279_2_1	1	2.79500086720853	0.253893416470856	5.881244e-26	0.0426428181720963	9.30305869090909e-25	sh279_2	result of determine hiv rdt
sh279_2_2	1	-2.79500086720852	0.253893416470855	5.881244e-26	0.0426428181720963	9.30305869090909e-25	sh279_2	result of determine hiv rdt
mm4_06	1	-0.00378852506931139	3.70088164898477e-4	5.186673e-23	0.0375951719569999	7.47912515469613e-22	mm4	NA
mm4_07	1	-0.0036884747619272	4.45099034463373e-4	6.326968e-16	0.0373800839865441	7.40510604484305e-15	mm4	NA
mv245	1	0.601096004077251	0.0450182580611645	1.729074e-36	0.0338855431846865	3.31829642647059e-35	mv245	number of women fathered children with
mm4_09	1	-0.00355799973797742	8.34630609170395e-4	2.41554008109485e-5	0.033193300129546	1.5880502800145e-4	mm4	NA
v535_0	1	-1.69608310813669	0.187555848102188	1.528193e-18	0.0331733140659045	1.91758833173077e-17	v535	ever been married or in union
mm3_06	1	0.0451700227393271	0.00493303472620414	6.06862e-19	0.0329817284197514	7.65173826086956e-18	mm3	NA
mm4_05	1	-0.00333495964703085	3.34316171580825e-4	4.943734e-22	0.0315656830927191	7.05089931147541e-21	mm4	NA
mm3_07	1	0.0427356316231448	0.00616648005754469	1.008313e-11	0.0310424353354363	1.10112842259414e-10	mm3	NA
hb32	1	-0.00379623563095734	2.95637629965668e-4	3.979375e-34	0.0310109629542258	7.36607712765957e-33	hb32	date of birth (cmc)
mm4_08	1	-0.00343199270700359	6.47150559877422e-4	1.58729487568484e-7	0.0309031003779241	1.3321027734847e-6	mm4	NA
mv010	1	-0.0455093484138583	0.00355140912464875	5.250243e-34	0.0309004712763256	9.58261134965035e-33	mv010	year of birth
v503_2	1	1.00027463428088	0.120255943524566	4.558933e-16	0.0308407706137157	5.38407924434389e-15	v503	number of unions
v503_1	1	-1.00027463428088	0.120255943524567	4.558933e-16	0.0308407706137156	5.38407924434389e-15	v503	number of unions
mv012	1	0.0453375527406534	0.0035445541426167	6.730814e-34	0.0307872128079238	1.2199600375e-32	mv012	current age
hml16	1	0.0453129658945622	0.00354303983678048	6.835522e-34	0.030759017862795	1.22196660410959e-32	hml16	corrected age from individual file
hb1	1	0.0453129658945622	0.00354303983678048	6.835522e-34	0.030759017862795	1.22196660410959e-32	hb1	man's age in years
mm4_03	1	-0.00322294426073918	2.77051834919608e-4	8.950093e-29	0.0304326717174962	1.49741940576923e-27	mm4	NA
mm3_04	1	0.0409745366061193	0.00428250495558357	1.733212e-20	0.0300430846999755	2.38088595789474e-19	mm3	NA
mm3_03	1	0.0408712148365713	0.00385078093633096	1.533122e-24	0.0294699358413346	2.2607053220339e-23	mm3	NA
v535_1	1	1.68357130033589	0.193505343085211	2.420006e-17	0.0293937485217444	2.89734663302752e-16	v535	ever been married or in union
mm3_05	1	0.0412651834053687	0.0046306028614592	4.247155e-18	0.0293656666424237	5.22880875e-17	mm3	NA
mm3_01	1	0.040498705358739	0.00381152914733698	1.370314e-24	0.0292712187363766	2.032113375e-23	mm3	NA
mm4_04	1	-0.00317305134922584	2.94562827137231e-4	3.497712e-25	0.0292646598227797	5.40179190532544e-24	mm4	NA
mm3_08	1	0.0408383261845923	0.00850350900446955	1.99524642577669e-6	0.028345556220668	1.50944729602237e-5	mm3	NA
mm3_09	1	0.0409657450717826	0.011312154960641	3.25249325531569e-4	0.0281203074324488	0.00181389046931067	mm3	NA
mm3_02	1	0.0395617214787846	0.00392348510624683	1.881228e-22	0.0280805690246171	2.69780498901099e-21	mm3	NA
mm4_02	1	-0.00310537481612696	2.69830962326021e-4	3.016455e-28	0.0280683482234729	4.92059221875e-27	mm4	NA
mm4_01	1	-0.00305293710126719	2.50479038456457e-4	3.385858e-31	0.0276712242022684	5.85237707284768e-30	mm4	NA
v501_0	1	-1.05459512030701	0.119206195423242	6.913785e-18	0.0229055399672572	8.3156584562212e-17	v501	current marital status
v513_0	1	-1.05459512030701	0.119206195423242	6.913785e-18	0.0229055399672572	8.3156584562212e-17	v513	cohabitation duration (grouped)
v502_0	1	-1.05459512030701	0.119206195423242	6.913785e-18	0.0229055399672572	8.3156584562212e-17	v502	currently/formerly/never in union
hv115_0	1	-0.998432239562847	0.111905034072127	3.754918e-18	0.0210046397702999	4.64470899526066e-17	hv115	current marital status
hv116_0	1	-0.998432239562847	0.111905034072127	3.754918e-18	0.0210046397702999	4.64470899526066e-17	hv116	currently, formerly, never married
v013_1	1	-1.33890792487096	0.163718959527505	1.304515e-15	0.0203896109081182	1.48034093478261e-14	v013	age in 5-year groups
mm7_03	1	0.0223599285679831	0.00546376005067272	4.92535198480354e-5	0.0183055137537774	3.16629770451656e-4	mm7	NA
sh279a_3_2	1	-2.21399393148767	0.358988087609134	1.594492e-9	0.0176186901010514	1.47053855830389e-8	sh279a_3	result of unigold hiv rdt
sh279a_3_1	1	2.21399393148766	0.358988087609139	1.594492e-9	0.0176186901010511	1.47053855830389e-8	sh279a_3	result of unigold hiv rdt
sh279_3_2	1	-2.21428916603585	0.358988587276232	1.584096e-9	0.017617930056237	1.47053855830389e-8	sh279_3	result of determine hiv rdt
sh279_3_1	1	2.21428916603585	0.358988587276234	1.584096e-9	0.0176179300562369	1.47053855830389e-8	sh279_3	result of determine hiv rdt
mm7_02	1	0.0215962490774325	0.00575858932873359	1.94890322850398e-4	0.0166560997326601	0.00112785752248235	mm7	NA
hv121_0	1	1.28628643845694	0.193278703109491	5.616073e-11	0.0155774532399415	5.95851647560976e-10	hv121	member attended school during current school year
hv121_2	1	-1.28628643845694	0.19327870310949	5.616073e-11	0.0155774532399414	5.95851647560976e-10	hv121	member attended school during current school year
hv122_0	1	1.28572164639679	0.19327710961225	5.720136e-11	0.0155626227433474	6.04435423481781e-10	hv122	educational level during current school year
hv226_8	1	-0.786497107846981	0.10213314160533	4.487013e-14	0.0148417184103879	5.047889625e-13	hv226	type of cooking fuel
v204	1	0.328411105840797	0.0370147320306783	5.619642e-18	0.0145968993990495	6.8860401971831e-17	v204	sons elsewhere
v605_8	1	-1.06197262671752	0.190460909830681	3.49626550912891e-8	0.0145428282955686	3.05192407318611e-7	v605	desire for more children
v150_1	1	0.781575833304521	0.103563230464637	1.35239e-13	0.0142314022264864	1.50201612765957e-12	v150	relationship to household head**
hv101_1	1	0.781575833304521	0.103563230464637	1.35239e-13	0.0142314022264864	1.50201612765957e-12	hv101	relationship to head**
mv247	1	0.062598721768375	0.0119532442582475	2.1515404654993e-7	0.0142108145176885	1.78838236145006e-6	mv247	age of most recent child
v781_1	1	0.841084000805526	0.121856796188662	1.125396e-11	0.0139854827191648	1.21878985892116e-10	v781	ever been tested for hiv
v781_0	1	-0.84108400080554	0.121856796188663	1.125396e-11	0.0139854827191648	1.21878985892116e-10	v781	ever been tested for hiv
v105_3	1	-0.719219608539939	0.120415918415623	3.726862e-9	0.0136179387786614	3.36578194463668e-8	v105	type of place of previous residence
hv124	1	-0.132885659412057	0.0235981051515108	2.56761042873447e-8	0.0133644035240513	2.27940925816223e-7	hv124	education in single years - current school year
s907a_3	1	0.877636416760304	0.114398632394988	5.530523e-14	0.0130755728088293	6.19513520600858e-13	s907a	perceived risk of getting infected with hiv
