name	estimate	se	p.value	Nag.r2	adj.p.val
hc1_1	-0.00274248824215852	0.00366757640402611	0.454848671093896	0.0001937526696556	0.655102842659571
ha12a_2	3.01343062572666e-05	5.00752396319119e-05	0.547558648670158	0.000308483273493865	0.72313161627011
shlangr_9	-0.117186680962082	0.105180241551304	0.265587188439084	0.000315621372527608	0.477287121252847
hv253b_0	-0.461430655722004	0.1694074170517	0.00661057701373379	0.00171349760497452	0.0271513289333798
hv115_5	0.974981561490993	0.282683809664731	0.000595479673428649	0.00211653979593351	0.00318404326408255
mm4_01	-0.00234231796788294	0.000275404710726532	1.050986e-16	0.0164506350550798	1.24398524727273e-15
hv214_32	0.173691304220056	0.336228538120579	0.605603535567464	4.81908909443218e-05	0.76890616098828
hv109_0	0.279413871223317	0.21251559676503	0.188999502126695	0.000329647843893777	0.379456209358453
hv205_96	-9.35574440081506	1.00142725994279	1.161515e-19	1.78646585154985e-05	1.40678374883721e-18
hv041	-0.102818485255228	0.0355171784761514	0.00390796948256662	0.00263646054858635	0.0171031135001739
sh17b_04	-0.0534326284719661	0.0331825395168083	0.107789262701753	0.001255883059331	0.252412985679285
shlangr_8	-0.176389727202143	0.129915051351292	0.174975515302937	0.000392304044626979	0.356911475335312
hv243d_0	0.467689359502735	0.635159616477835	0.461768209312445	6.15010884019718e-05	0.658873653177877
hv232y_0	-0.215481004291353	0.158227009163245	0.173770311628918	0.00123553259189935	0.355457888045328
ha40_2	0.000116143012899124	0.000245976270374571	0.636983438581748	0.000192740864098373	0.787609151978572
hv123_03	0.00779919857054849	0.033464970472661	0.81578765505327	2.3575483055982e-05	0.897090816621079
hv023_1	-0.0162711284389964	0.19450291418695	0.933354106388377	5.81963934820351e-07	0.966383337190988
hv246c	0.0370970097230399	0.174081432323561	0.831308306345693	1.13948240103579e-05	0.906122574183418
v130_2	-0.145837066099466	0.111713618335193	0.192156221380291	0.00038710506500117	0.384607840487531
hml12_3	0.487326710620914	0.238222471112396	0.0411518444421492	0.000687518120219721	0.123030313349433
v155_2	0.125656986006354	0.110607980945835	0.256311699607165	0.000307326870835789	0.465436308073262
hv243b_1	0.0880724929437441	0.13360286932419	0.50997158852676	0.000151674114891587	0.693817145519166
hv237_0	-0.151793986120356	0.101971257903152	0.137032907683521	0.000557113294456402	0.298880023650389
hv102_1	-0.267279948969116	0.343499067628105	0.436760686276851	0.000118537555224174	0.638587774882044
