var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hc1_1	-0.00274248824215852	0.00366757640402611	0.454848671093896	1.937526696556e-4	0.655102842659571	hc1	child's age in months
ha12a_2	3.01343062572666e-5	5.00752396319119e-5	0.547558648670158	3.08483273493865e-4	0.72313161627011	ha12a	weight/height percent ref. median (fog)
shlangr_9	-0.117186680962082	0.105180241551304	0.265587188439084	3.15621372527608e-4	0.477287121252847	shlangr	native language of respondent
hv253b_0	-0.461430655722004	0.1694074170517	0.00661057701373379	0.00171349760497452	0.0271513289333798	hv253b	dwelling sprayed by: private company
hv115_5	0.974981561490993	0.282683809664731	5.95479673428649e-4	0.00211653979593351	0.00318404326408255	hv115	current marital status
mm4_01	-0.00234231796788294	2.75404710726532e-4	1.050986e-16	0.0164506350550798	1.24398524727273e-15	mm4	NA
hv214_32	0.173691304220056	0.336228538120579	0.605603535567464	4.81908909443218e-5	0.76890616098828	hv214	main wall material
hv109_0	0.279413871223317	0.21251559676503	0.188999502126695	3.29647843893777e-4	0.379456209358453	hv109	educational attainment
hv205_96	-9.35574440081506	1.00142725994279	1.161515e-19	1.78646585154985e-5	1.40678374883721e-18	hv205	type of toilet facility
hv041	-0.102818485255228	0.0355171784761514	0.00390796948256662	0.00263646054858635	0.0171031135001739	hv041	total adults measured
sh17b_04	-0.0534326284719661	0.0331825395168083	0.107789262701753	0.001255883059331	0.252412985679285	sh17b	highest grade completed
shlangr_8	-0.176389727202143	0.129915051351292	0.174975515302937	3.92304044626979e-4	0.356911475335312	shlangr	native language of respondent
hv243d_0	0.467689359502735	0.635159616477835	0.461768209312445	6.15010884019718e-5	0.658873653177877	hv243d	has boat with a motor
hv232y_0	-0.215481004291353	0.158227009163245	0.173770311628918	0.00123553259189935	0.355457888045328	hv232y	items present: none
ha40_2	1.16143012899124e-4	2.45976270374571e-4	0.636983438581748	1.92740864098373e-4	0.787609151978572	ha40	body mass index
hv123_03	0.00779919857054849	0.033464970472661	0.81578765505327	2.3575483055982e-5	0.897090816621079	hv123	grade of education during current school year
hv023_1	-0.0162711284389964	0.19450291418695	0.933354106388377	5.81963934820351e-7	0.966383337190988	hv023	stratification used in sample design
hv246c	0.0370970097230399	0.174081432323561	0.831308306345693	1.13948240103579e-5	0.906122574183418	hv246c	owns horses/ donkeys/ mules
v130_2	-0.145837066099466	0.111713618335193	0.192156221380291	3.8710506500117e-4	0.384607840487531	v130	religion
hml12_3	0.487326710620914	0.238222471112396	0.0411518444421492	6.87518120219721e-4	0.123030313349433	hml12	type of mosquito bed net(s) person slept under last night
v155_2	0.125656986006354	0.110607980945835	0.256311699607165	3.07326870835789e-4	0.465436308073262	v155	literacy
hv243b_1	0.0880724929437441	0.13360286932419	0.50997158852676	1.51674114891587e-4	0.693817145519166	hv243b	has watch
hv237_0	-0.151793986120356	0.101971257903152	0.137032907683521	5.57113294456402e-4	0.298880023650389	hv237	anything done to water to make safe to drink
hv102_1	-0.267279948969116	0.343499067628105	0.436760686276851	1.18537555224174e-4	0.638587774882044	hv102	usual resident
sh224i_2	-8.36247900115189e-4	4.04097788992533e-4	0.038961562722871	0.00366733835644151	0.118109324016713	sh224i	interviewer that took blood for rapid hiv test
hv215_35	0.145323759013166	0.805468073381972	0.856872586513853	1.19751401975732e-5	0.92546504159356	hv215	main roof material
v025_1	0.71156832823887906	0.108164313720934	9.152824e-11	0.0128525834368149	9.3101381625e-10	v025	type of place of residence
hc72_2	1.22037719071502e-4	7.12812917459615e-5	0.0874132149251296	0.00134166341488817	0.216276529859932	hc72	weight/height standard deviation (new who)
hml3_0	0.141300806101477	0.138818299902917	0.309098729267876	5.43004910406264e-4	0.525144223131896	hml3	net observed by interviewer
mm6_03	-0.0147937134403782	0.00928192163154437	0.111574736320019	0.00385439018312239	0.259179851362471	mm6	NA
hv023_20	-0.285449340238318	0.228341852791117	0.211671599073199	2.95774807536842e-4	0.410860921375916	hv023	stratification used in sample design
hc7_2	1.03119741762699e-5	3.65608799688931e-5	0.778005214648392	7.563303772673e-5	0.871740782678319	hc7	weight/age percentile
hv241_2	-0.587755934280021	0.107726975074354	6.70921990799143e-8	0.00719164937141803	5.9223080136982e-7	hv241	food cooked in the house/ separate building/ outdoors
hv232b_0	0.556804690191503	0.434228849054252	0.200250941007811	6.90824757061503e-4	0.397752441177986	hv232b	items present: ash, mud, sand
ha41_1	-9.55602039063373e-6	1.85518391436861e-4	0.958933677713834	8.6691673295558e-7	0.983482984153928	ha41	rohrer's index
hv237e_8	-10.0101166688811	0.99623191127892	2.576943e-22	8.69101318996535e-5	3.45894823298969e-21	hv237e	water usually treated by: solar disinfection
hv101_14	-1.13425221926597	0.671838228390346	0.0917913971283975	0.0010941417593815	0.223147479807043	hv101	relationship to head**
hv234a_0	-0.176794679493551	0.281908443177476	0.530770603947722	1.04086271513593e-4	0.709623003364754	hv234a	result of salt test for iodine
hv124_04	0.00723912354414621	0.0154380693615625	0.639274000188087	7.37876438228202e-5	0.788942889331649	hv124	education in single years - current school year
mm6_01	-0.00343493669339259	0.00614483285780744	0.576366003987639	2.85695148377063e-4	0.745790990178324	mm6	NA
hv208_1	0.423574589618512	0.10635791628521	7.51292513343276e-5	0.00466434809888994	4.83055724338204e-4	hv208	has television
sh110l_1	0.298370569266552	0.126666846231412	0.01876312789663	0.00184482361390415	0.0648398462067733	sh110l	has clock
