name	estimate	se	p.value	Nag.r2	adj.p.val
v032	0.0594512058918008	0.0541882866555608	0.273256082298672	0.000803906745421079	0.525748753740676
v140_1	-0.0106079869971314	0.114316640829622	0.926113647703608	4.47016167548497e-06	0.969212836312173
sh1014_01	-0.132079456475481	0.324242212161353	0.683997151601614	0.00014949526735808	0.850261074606314
v139_9	0.0035627159485566	0.139648391515532	0.979659425096026	2.98845801438574e-07	0.991190602902065
hv035	-0.136371500625574	0.0565274671710262	0.0162991690652511	0.00256213209908429	0.0669507018953974
mm3_07	0.0225190477391756	0.00878977591271119	0.0108338217453657	0.00982462020502617	0.0479393645687595
v019	0.0771127172040359	0.0309036640492615	0.012993743808513	0.00376528247077723	0.0559049254381203
hv105_08	-0.0138948841021826	0.00759899243763826	0.0684885784389041	0.00470864161667994	0.217739024603905
hv244_1	-0.0762345170146343	0.106357086098039	0.473934118592077	0.000221859931781476	0.711247228510321
m7_1	0.00262336752784174	0.00925138204947041	0.776896633379111	9.59481944624585e-05	0.895175656153687
hv041	-0.175946516589087	0.0372594590437457	3.24639557814136e-06	0.0103529161725356	2.51253604132013e-05
hv205_96	-11.3278977095172	0.590607067992845	2.0131e-58	0.000435347393011432	7.26153928571429e-57
v156_0	-0.678590566703715	0.284733197764486	0.0176888270824519	0.00460437773324207	0.0717498608565334
ha3	-5.02793789134501e-05	0.000804280717226885	0.950184565638876	2.08167035009588e-06	0.978522978633969
ho100_01	-0.0686654157957511	0.0151464910305683	7.93168643080025e-06	0.0178225994247615	6.02331074820169e-05
b3_04	0.00140352581377185	0.00134901795814708	0.298910859144559	0.00146454911880056	0.557525332845807
v151_1	-0.477015886604914	0.0953628898743527	8.54870916270702e-07	0.00933546699480459	6.81198915529317e-06
hv023_10	-0.234863465344087	0.157910092452416	0.137727072736554	0.000528344494663546	0.348329487593759
ha12_1	-0.000103046201986531	2.90475531477392e-05	0.00043575438525676	0.00539277080040179	0.00269593831001119
hv215_35	-0.694531895333535	0.759775493654126	0.361207351103537	0.000236315472247783	0.626500718416203
