name	estimate	se	p.value	Nag.r2	adj.p.val
v113_81	-0.255759089050402	0.173894030306576	0.142145955928262	0.000642175770763198	0.378805845613574
hv023_3	0.156096648185158	0.137189852580097	0.25588575395497	0.000342100535980605	0.533885462535845
hv226_4	-10.1687708628428	1.0015432648028	1.1123e-21	0.000105514821271524	1.35761087613293e-20
hv217_3	0.28311600413794	0.155643997950163	0.0696669630914436	0.000950862070572933	0.240353997343665
v139_10	0.00738274867318946	0.141067571326955	0.958288283107715	5.55948401093076e-07	0.983608908474382
hv134_1	-1.10231388293945	0.470153276601088	0.0197869065512015	0.0118298526817573	0.0906935016055985
v106_1	0.111335514308414	0.115276429237102	0.334727030525443	0.000458258972076742	0.618617201885997
v168_1	-0.218981629149116	0.141702491033988	0.123069782080484	0.0018922587058261	0.342652451406441
bord_03	-0.146809802825447	0.0341276997680737	2.1559378911404e-05	0.0116356189586402	0.00016685802835646
v210	-1.06330185032758	1.03475185247544	0.304769438926558	0.000500921979837976	0.589405712428576
v129_35	-0.969522679328513	0.700788303401235	0.167298842837721	0.000481642803508597	0.415930661578088
hml16_02	0.00126629104613283	0.00487970622141925	0.795383183749915	2.90305347145914e-05	0.928185346824826
hv218	-10.1560250746228	1.0020331466754	1.2842e-21	0.000101589553691994	1.55334371257485e-20
v603	-0.000764346216870653	0.000360423240866251	0.0345866356578011	0.00341900113619398	0.143294611838084
hv128_05	-0.0306620463964711	0.0230424141189917	0.184092724691634	0.00130868859207178	0.441647629307721
v127_97	0.0347756081003339	0.26417917036198	0.89533870648854	5.82220256428734e-06	0.960802438994526
hv014	-0.150910294256859	0.0548931442027988	0.0062483238337774	0.00346077732432892	0.033390513609075
hv108_03	-0.0314150346587585	0.0129898854118818	0.0160382099503617	0.00243684931021915	0.0764986637537913
v150_3	-0.2694580801802	0.150986041173271	0.0750826133232169	0.00171302396737461	0.253162801354263
v129_21	13.8342512834633	0.718112206721404	7.9225e-59	0.00135209604964348	4.15674025974026e-57
