var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-2.8824786035222	0.245320576459148	2.404034e-27	0.109841854425845	2.90123194090909e-26	v535	have ever been married
v535_1	1	2.93173707790551	0.2581567159415	7.020044e-26	0.102192074161993	8.22088144736842e-25	v535	have ever been married
v501_0	1	-1.81916290263018	0.174750321002135	1.393929e-22	0.0777113736585879	1.32648082258064e-21	v501	current marital status
v502_0	1	-1.81916290263018	0.174750321002135	1.393929e-22	0.0777113736585879	1.32648082258064e-21	v502	currently/formerly/never marr.
v513_0	1	-1.81916290263018	0.174750321002135	1.393929e-22	0.0777113736585879	1.32648082258064e-21	v513	marital duration (grouped)
mv245	1	0.958267533666832	0.0819079525630671	2.424185e-27	0.0740354222587659	2.91231274886878e-26	mv245	women fathered children with
hv115_0	1	-1.68328535993754	0.164572111198236	6.188298e-22	0.0700367264634718	5.80562939575972e-21	hv115	current marital status
hv116_0	1	-1.68328535993754	0.164572111198236	6.188298e-22	0.0700367264634718	5.80562939575972e-21	hv116	currently, formerly, never m.
v71611	1	3.71208344753853	0.908112202852203	5.57287219175288e-5	0.0690352495503103	3.63537485727368e-4	v71611	NA
hb32	1	-0.00572876804781188	4.41773273918341e-4	2.842799e-32	0.0684939335744968	3.75504047014925e-31	hb32	date of birth (cmc)
v012	1	0.0687200507305606	0.00531473444612618	4.006849e-32	0.0683562197520639	5.214796125e-31	v012	current age - respondent
hb1	1	0.0686971455029396	0.00531025541841337	3.772728e-32	0.0683181899277148	4.93428218719212e-31	hb1	men's age in years
hml16	1	0.0686971455029396	0.00531025541841337	3.772728e-32	0.0683181899277148	4.93428218719212e-31	hml16	corrected age from individual questionnaire
hv105	1	0.0679478452540862	0.00531331118227448	1.459479e-31	0.0670009176914924	1.8902032902439e-30	hv105	age of household members
mm3_01	1	0.0520871755473854	0.00431826885250287	9.93365e-29	0.0540248545943901	1.23820848591549e-27	mm3	NA
v536_0	1	-2.14058388349246	0.27737952683307	9.874526e-14	0.0538910502186825	8.53969593811075e-13	v536	recent sexual activity
v525	1	0.0863548296246587	0.00892509246905704	5.296442e-20	0.0527492671008672	4.91680192657343e-19	v525	age at first intercourse
v531	1	0.084767860953081	0.00887253819461173	1.363647e-19	0.0501683003208214	1.24415215979381e-18	v531	age at first intercourse (imp)
mm3_02	1	0.0496117809600763	0.00460177842524652	6.68141e-24	0.0493378575055168	6.74492150190114e-23	mm3	NA
v013_1	1	-1.92092544607977	0.257174950826755	5.240327e-13	0.0486491930939733	4.41684704285714e-12	v013	age 5-year groups
hb53	1	-0.0328872232830042	0.00368830831892247	1.818596e-17	0.047666027897443	1.64230353061224e-16	hb53	hemoglobin level (g/dl - 1 decimal)
mm3_03	1	0.0489774306389778	0.00487602761285725	3.000353e-21	0.0453194113023501	2.80490747007042e-20	mm3	NA
hv125_1	1	-2.10267413375812	0.281128878001596	4.900705e-13	0.0438771720510012	4.14374897292994e-12	hv125	member attended school during previous school year
hv125_0	1	2.10267413375812	0.281128878001598	4.900705e-13	0.0438771720510012	4.14374897292994e-12	hv125	member attended school during previous school year
hv126_0	1	2.09777533906965	0.281242089581759	5.614476e-13	0.0436490758366316	4.71722587974684e-12	hv126	educational level during previous school year
hb53_1	1	-0.0306673105777254	0.00374835268103115	3.907639e-15	0.0428005869570506	3.48147031711409e-14	hb53	hemoglobin level (g/dl - 1 decimal)
hv128	1	-0.243675812099582	0.0355019919664502	2.616855e-11	0.0426153605730898	2.1510061996904e-10	hv128	education in single years - previous school year
v302_0	1	-1.37872379434303	0.170123020992696	6.748651e-15	0.040513753998062	5.91342191584158e-14	v302	ever use of any method
v302_3	1	1.32728180807207	0.162736363610478	4.682273e-15	0.0396420896574043	4.13004478903654e-14	v302	ever use of any method
hb57_4	1	-1.51514777239724	0.176587899233763	2.206696e-16	0.0391976267410354	1.97265248484848e-15	hb57	anemia level
hv121_0	1	2.29919904476841	0.353728668182205	2.434062e-10	0.0362423284999012	1.97025445426829e-9	hv121	member attended school during current school year
hv122_0	1	2.29919904476841	0.353728668182205	2.434062e-10	0.0362423284999012	1.97025445426829e-9	hv122	educational level during current school year
hv121_2	1	-2.29919904476841	0.3537286681822	2.434062e-10	0.0362423284999012	1.97025445426829e-9	hv121	member attended school during current school year
hv124	1	-0.256874394880022	0.0416190269168757	1.676534e-9	0.0360029924454276	1.33269394311377e-8	hv124	education in single years - current school year
hb57_1_4	1	-1.46868356399951	0.168606796552062	8.439714e-17	0.0355130411804064	7.5957426e-16	hb57_1	anemia level
hv115_1	1	1.05030022826524	0.136671097396561	1.230021e-13	0.032682896960991	1.0602940762987e-12	hv115	current marital status
v502_2	1	1.82041113999452	0.198080952904041	2.283591e-18	0.0325152904767845	2.07634729623288e-17	v502	currently/formerly/never marr.
v502_1	1	1.04670632090511	0.133745728172379	4.684356e-14	0.0324752524180602	4.06436770588235e-13	v502	currently/formerly/never marr.
hv116_1	1	1.04591868063056	0.136813066044217	1.613203e-13	0.0324125338194025	1.37718777009646e-12	hv116	currently, formerly, never m.
hv126_2	1	-1.96289804799321	0.311146337533478	7.575229e-10	0.0320777769917688	6.11314072796352e-9	hv126	educational level during previous school year
v501_1	1	1.02420245218918	0.128579313992576	1.784148e-14	0.0316216435928381	1.55819504605263e-13	v501	current marital status
mm3_04	1	0.0399923546370769	0.00492251060741079	6.21946e-15	0.0307765783388966	5.46777029801325e-14	mm3	NA
v201	1	0.175790208626698	0.0195830742650552	1.15754e-17	0.0306882346115885	1.04889716723549e-16	v201	total children ever born
mm3_05	1	0.0397539863883229	0.0057847310729758	2.626864e-11	0.0303095117027313	2.15256911111111e-10	mm3	NA
hv116_2	1	1.94132239475992	0.237320492358706	3.945851e-15	0.0302037208818138	3.50375732608696e-14	hv116	currently, formerly, never m.
v305_05_1	1	1.01099269358409	0.131832216233099	1.378564e-13	0.0295950117808829	1.18067336129032e-12	v305_05	ever used method
v305_05_0	1	-1.01099269358409	0.131832216233099	1.378564e-13	0.0295950117808829	1.18067336129032e-12	v305_05	ever used method
hv122_2	1	-2.18642368223981	0.374715302119801	1.124325e-8	0.0293076198342807	8.70286552478134e-8	hv122	educational level during current school year
hb57_3	1	1.43851354963963	0.201213754191669	4.269238e-12	0.0287627850034253	3.53109871962617e-11	hb57	anemia level
hb57_1_3	1	1.41672933832788	0.194832424816209	1.930382e-12	0.0265036506420385	1.61168685849057e-11	hb57_1	anemia level
v218	1	0.173544127863356	0.0201730655796013	1.869353e-16	0.0252271535767761	1.67673385641892e-15	v218	number of living children
v501_3	1	2.65955258080326	0.360188952768949	9.239748e-13	0.024983678656004	7.7386532933754e-12	v501	current marital status
hb1_2	1	0.0669288789900244	0.012062776128234	5.61679549826172e-8	0.023826951051085	4.20073015433377e-7	hb1	men's age in years
hb32_2	1	-0.0055544115528634	9.99620467371984e-4	5.38105170113996e-8	0.0237759890599158	4.03722007964634e-7	hb32	date of birth (cmc)
hv101_1	1	0.880631455091393	0.148287572308218	6.31493e-9	0.0235414321140083	4.90237986842105e-8	hv101	relationship to head
v150_1	1	0.880631455091393	0.148287572308218	6.31493e-9	0.0235414321140083	4.90237986842105e-8	v150	relationship to household head
sm213_1	1	0.865584589658353	0.139143710148061	1.264468e-9	0.0231023678141314	1.01119353614458e-8	sm213	primary care giver for any children
sm213_0	1	-0.865584589658354	0.139143710148062	1.264468e-9	0.0231023678141314	1.01119353614458e-8	sm213	primary care giver for any children
v013_2	1	-1.35336246542849	0.224799326543297	3.988913e-9	0.0229202582455745	3.13330296301775e-8	v013	age 5-year groups
mm3_06	1	0.0331339453664934	0.00669318768375851	1.15651767462942e-6	0.0228773177823823	8.23204939984212e-6	mm3	NA
v207	1	1.26050586061174	0.204843292271002	1.865414e-9	0.0226379431845602	1.4784102e-8	v207	daughters who have died
v013_6	1	1.38202082003232	0.183333471859729	3.306565e-13	0.0225134426731834	2.81375963942308e-12	v013	age 5-year groups
v204	1	0.461807293751797	0.07416464488746	1.221257e-9	0.0208884325202133	9.82556768181818e-9	v204	sons elsewhere
v503_1	1	-0.740610652745514	0.143204400262768	3.78865574406579e-7	0.0206674653777463	2.7634288462898e-6	v503	number of unions
