var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-1.91480552407844	0.152703424560693	1.9571e-30	0.121787086712079	2.85458184100418e-29	v535	ever been married or in union
v535_1	1	1.56029655620389	0.162599422359635	1.1292e-19	0.0856343270847623	9.53121355932203e-19	v535	ever been married or in union
v761_0	1	-1.50665695877123	0.137703615860307	1.4974e-24	0.0521902209192366	1.56285520958084e-23	v761	condom used during last sex with most recent partner
v761_1	1	1.50665695877123	0.137703615860306	1.4974e-24	0.0521902209192366	1.56285520958084e-23	v761	condom used during last sex with most recent partner
v605_5	1	1.19867588154166	0.0957694067350353	1.4352e-30	0.0480367968059865	2.10214588235294e-29	v605	desire for more children
v602_3	1	1.19867588154166	0.0957694067350353	1.4352e-30	0.0480367968059865	2.10214588235294e-29	v602	fertility preference
v602_1	1	-1.17876444428644	0.0971448237993364	4.4679e-29	0.0455354140135643	6.40950592592593e-28	v602	fertility preference
v502_2	1	1.35113069443745	0.0993270342974166	6.4495e-35	0.0410957544775634	1.02661904109589e-33	v502	currently/formerly/never in union
v012	1	0.0567311526531704	0.00420673661629694	1.9254e-34	0.0399255514892848	3.03707891402715e-33	v012	respondent's current age
v447a	1	0.0567240810995223	0.00420917319673998	2.1035e-34	0.039909216878273	3.273571875e-33	v447a	women's age in years (from household questionnaire)
hml16	1	0.0567240810995223	0.00420917319673998	2.1035e-34	0.039909216878273	3.273571875e-33	hml16	corrected age from individual file
ha1	1	0.0567240810995223	0.00420917319673998	2.1035e-34	0.039909216878273	3.273571875e-33	ha1	woman's age in years
ha32	1	-0.00471421231293706	3.50596212071419e-4	2.7829e-34	0.0397269704049686	4.31163973333333e-33	ha32	date of birth (cmc)
v501_3	1	1.80400908085823	0.145007399854159	2.8402e-30	0.039030873841969	4.1253905e-29	v501	current marital status
hv116_2	1	1.31097211852773	0.092965878186056	5.8838e-37	0.0386577142612832	9.81384057416268e-36	hv116	currently, formerly, never married
v605_2	1	-1.23283149089422	0.119357436622857	2.4743e-22	0.0363573416256172	2.45040051136364e-21	v605	desire for more children
v013_1	1	-1.62182314289993	0.183199749090392	2.7778e-17	0.0359508807621099	2.31660545454546e-16	v013	age in 5-year groups
hv113_02_1	1	-0.979485874482051	0.201373903614953	1.80267173426492e-6	0.0341330144849255	1.10441364949868e-5	hv113_02	father alive
v536_0	1	-1.82763533624508	0.221852771811909	2.5056e-15	0.0330704780296444	2.05035718309859e-14	v536	recent sexual activity
hv113_02_0	1	0.968116375712335	0.203023796121182	2.81657845960114e-6	0.0328958614279233	1.70461675523777e-5	hv113_02	father alive
v503_2	1	1.14630992604064	0.116660779165252	1.4832e-20	0.0324031534097665	1.29584842105263e-19	v503	number of unions
v503_1	1	-1.14630992604064	0.116660779165252	1.4832e-20	0.0324031534097665	1.29584842105263e-19	v503	number of unions
v624_0	1	-1.97145201240034	0.255290347562455	9.2124e-14	0.0315424430795225	7.48588027972028e-13	v624	unmet need
v626_0	1	-1.96662179243091	0.255166906570892	1.0219e-13	0.0313362740997365	8.26529791183295e-13	v626	unmet need (definition 2)
v626a_0	1	-1.96662179243091	0.255166906570892	1.0219e-13	0.0313362740997365	8.26529791183295e-13	v626a	unmet need for contraception (definition 3)
ha56	1	-0.0245567612033999	0.00243002362545529	1.5386e-21	0.0308633791797589	1.50661786516854e-20	ha56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
v456	1	-0.0245567612033999	0.00243002362545529	1.5386e-21	0.0308633791797589	1.50661786516854e-20	v456	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hv115_3	1	1.60048604358891	0.145886111502444	1.1469e-24	0.0301663994949773	1.23779981424149e-23	hv115	current marital status
v453	1	-0.0240589102238122	0.00237881813805973	1.4388e-21	0.0296684103768495	1.41685220338983e-20	v453	hemoglobin level (g/dl - 1 decimal)
ha53	1	-0.0240589102238122	0.00237881813805973	1.4388e-21	0.0296684103768495	1.41685220338983e-20	ha53	hemoglobin level (g/dl - 1 decimal)
b8_01	1	0.0796672219406667	0.00859432015887374	1.1844e-18	0.0279407867023919	9.94896e-18	b8	NA
b9_03_4	1	0.841272439409605	0.143927522149191	1.1097e-8	0.0262743808727565	7.64508735177866e-8	b9_03	child lives with whom
b9_03_0	1	-0.841272439409603	0.143927522149191	1.1097e-8	0.0262743808727565	7.64508735177866e-8	b9_03	child lives with whom
mm3_01	1	0.0360681574481135	0.00401608281399983	1.0752e-17	0.0258937524912659	8.98836258992806e-17	mm3	NA
b9_02_4	1	0.896914541836884	0.120006136300832	5.128e-13	0.0256809312076081	4.10947310344828e-12	b9_02	child lives with whom
b9_02_0	1	-0.896914541836886	0.120006136300832	5.128e-13	0.0256809312076078	4.10947310344828e-12	b9_02	child lives with whom
ha50_2	1	1.81780674921095	0.280383780094209	2.6413e-10	0.0253827641396347	1.93843616842105e-9	ha50	under age 18
v452a_2	1	1.81780674921095	0.280383780094209	2.6413e-10	0.0253827641396347	1.93843616842105e-9	v452a	under age 18 (from household questionnaire)
ha50_1	1	-1.81780674921093	0.280383780094212	2.6413e-10	0.0253827641396346	1.93843616842105e-9	ha50	under age 18
v452a_1	1	-1.81780674921093	0.280383780094212	2.6413e-10	0.0253827641396346	1.93843616842105e-9	v452a	under age 18 (from household questionnaire)
v531	1	0.0664780352700614	0.00682493560961657	2.9027e-20	0.0246483352250333	2.5108715136476398e-19	v531	age at first sex (imputed)
v359_5	1	1.14598542451873	0.190657865013877	4.316e-9	0.0240468736448742	3.0395103030303e-8	v359	last method discontinued in last 5 years
v222	1	0.00609133597928114	6.89306537909164e-4	3.1768e-17	0.0239063820422588	2.6430369451074e-16	v222	last birth to interview (months)
b3_01	1	-0.00607652651716136	6.90491446534874e-4	4.1764e-17	0.0238164810295735	3.466412e-16	b3	NA
b2_01	1	-0.0727810400792731	0.00829073280208998	4.9095e-17	0.0236331010032951	4.04598510638298e-16	b2	NA
hv121_0	1	2.11113970582683	0.308226452552876	2.8014e-11	0.0235031364156203	2.13224462882096e-10	hv121	member attended school during current school year
hv122_0	1	2.11113970582683	0.308226452552876	2.8014e-11	0.0235031364156203	2.13224462882096e-10	hv122	educational level during current school year
hv121_2	1	-2.11113970582681	0.308226452552874	2.8014e-11	0.0235031364156201	2.13224462882096e-10	hv121	member attended school during current school year
v525	1	0.063550901970343	0.00652724782086142	3.0017e-20	0.0234288418324795	2.59008074257426e-19	v525	age at first sex
hv124	1	-0.202544981045904	0.0309227810589146	1.7667e-10	0.0228877078679861	1.31036514893617e-9	hv124	education in single years - current school year
v3a00z_1	1	1.06063109066353	0.170126418299094	1.1582e-9	0.0227571641586179	8.23976571428571e-9	v3a00z	any source - source of family planning for non-users
v3a00y_1	1	-1.06063109066353	0.170126418299093	1.1582e-9	0.0227571641586179	8.23976571428571e-9	v3a00y	no source - source of family planning for non-users
v3a00z_0	1	-1.06063109066353	0.170126418299093	1.1582e-9	0.0227571641586179	8.23976571428571e-9	v3a00z	any source - source of family planning for non-users
v3a00y_0	1	1.06063109066353	0.170126418299094	1.1582e-9	0.0227571641586179	8.23976571428571e-9	v3a00y	no source - source of family planning for non-users
v537	1	0.0170186457205319	0.00369557077072787	5.73081497743979e-6	0.0224575417135983	3.420825515643e-5	v537	months of abstinence
mm4_01	1	-0.00256087345265381	2.97598896147799e-4	1.7606e-16	0.022180746451578	1.44751216981132e-15	mm4	NA
ha57_4	1	-0.832869935019637	0.0948676674301481	4.8117e-17	0.0218658460406024	3.97478345971564e-16	ha57	anemia level
v457_4	1	-0.832869935019637	0.0948676674301481	4.8117e-17	0.0218658460406024	3.97478345971564e-16	v457	anemia level
v359_1	1	-0.790598453211012	0.151640266359985	3.03957880725525e-7	0.0215420316788054	1.96585746235469e-6	v359	last method discontinued in last 5 years
mm3_02	1	0.032561507848574	0.00446178175871602	1.587e-12	0.0214535139013968	1.25164751131222e-11	mm3	NA
b8_02	1	0.0628453780977082	0.00933169318803553	5.8701e-11	0.0207125842293192	4.42925727272727e-10	b8	NA
hv122_2	1	-2.05962190544574	0.324566296122159	5.988e-10	0.0202305748528158	4.33074024896266e-9	hv122	educational level during current school year
v307_05_1	1	1.6294272613499	0.202105348171355	8.7189e-15	0.0201270652623902	7.10142182242991e-14	v307_05	method currently used
v307_05_0	1	-1.6294272613499	0.202105348171356	8.7189e-15	0.0201270652623902	7.10142182242991e-14	v307_05	method currently used
v362_5	1	0.825316599619875	0.136831423621321	3.7118e-9	0.0199637698911921	2.61929854251012e-8	v362	intention to use
b9_04_0	1	-0.714150714392607	0.215736888218231	0.00104270951806122	0.0190137011270077	0.00512119800892311	b9_04	child lives with whom
b9_04_4	1	0.714150714392606	0.215736888218231	0.00104270951806122	0.0190137011270075	0.00512119800892311	b9_04	child lives with whom
mm4_02	1	-0.00237066309945928	3.18603416584061e-4	6.1759e-13	0.0187730752452162	4.90414291571754e-12	mm4	NA
v502_0	1	-1.00187169278517	0.134211441569599	5.239e-13	0.0185510346615551	4.1696698630137e-12	v502	currently/formerly/never in union
v513_0	1	-1.00187169278517	0.134211441569599	5.239e-13	0.0185510346615551	4.1696698630137e-12	v513	cohabitation duration (grouped)
v501_0	1	-1.00187169278517	0.134211441569599	5.239e-13	0.0185510346615551	4.1696698630137e-12	v501	current marital status
hw13_1_1	1	1.50893080324146	0.256418062058717	8.5508e-9	0.0179436814958593	5.9260613916501e-8	hw13_1	result of measurement - height/weight
hw55_1_1	1	1.50893080324146	0.256418062058717	8.5508e-9	0.0179436814958593	5.9260613916501e-8	hw55_1	result of measurement - hemoglobin
v511	1	0.080042840986856	0.0122085785377587	1.7056e-10	0.0178158988252618	1.26774447761194e-9	v511	age at first cohabitation
v604_0	1	1.03285875934029	0.158434816050297	2.1511e-10	0.0175119488730124	1.59208802547771e-9	v604	preferred waiting time for birth of a/another child (grouped)
b9_01_4	1	0.982062190842333	0.140193135917805	1.0555e-11	0.0174972753799425	8.213109375e-11	b9_01	child lives with whom
b9_01_0	1	-0.982062190842329	0.140193135917805	1.0555e-11	0.0174972753799425	8.213109375e-11	b9_01	child lives with whom
hv115_0	1	-0.959315509582215	0.129937950857533	9.0312e-13	0.0173489947110942	7.13894857142857e-12	hv115	current marital status
hv116_0	1	-0.959315509582215	0.129937950857533	9.0312e-13	0.0173489947110942	7.13894857142857e-12	hv116	currently, formerly, never married
v304_11_0	1	-0.807012833349298	0.111772935645951	2.6273e-12	0.0172436303988087	2.06278554054054e-11	v304_11	knows method
v304_11_1	1	0.807012833349296	0.111772935645951	2.6273e-12	0.0172436303988085	2.06278554054054e-11	v304_11	knows method
b3_02	1	-0.00466762900548038	7.31424136035157e-4	4.9402e-10	0.0171294286645758	3.58782025e-9	b3	NA
b2_02	1	-0.0556739131546487	0.00871939760387821	4.8388e-10	0.0169639644286667	3.52151498956159e-9	b2	NA
v536_3	1	0.743690904981376	0.0890968393110207	1.1463e-15	0.0166448518400476	9.40235717647059e-15	v536	recent sexual activity
v323_2	1	0.800781713729923	0.193577445728023	4.41574154299787e-5	0.0161944917895841	2.50704804867925e-4	v323	brand of pill used
sh18_02_2	1	-0.711745581626061	0.160523666273384	1.21384625895729e-5	0.0160335296747871	7.06422046531744e-5	sh18_02	attend school current year
sh18_02_1	1	0.711745581626059	0.160523666273384	1.2138462589573e-5	0.0160335296747871	7.06422046531744e-5	sh18_02	attend school current year
v527	1	0.00254770806469234	4.29307645493544e-4	6.4415e-9	0.0159253339963509	4.50001382765531e-8	v527	time since last sex
ha57_01_4	1	-0.700369589881138	0.093164997523456	3.6849e-13	0.0156348080423581	2.9666423556582e-12	ha57_01	anemia level
v362_2	1	-0.699697315403908	0.12708990082188	6.61046646478153e-8	0.0155908475041564	4.42304915474634e-7	v362	intention to use
v624_4	1	0.758432219922829	0.110398213857357	2.4614e-11	0.0146601570850894	1.89413695364238e-10	v624	unmet need
v626a_4	1	0.758432219922829	0.110398213857357	2.4614e-11	0.0146601570850894	1.89413695364238e-10	v626a	unmet need for contraception (definition 3)
v626_4	1	0.758432219922829	0.110398213857357	2.4614e-11	0.0146601570850894	1.89413695364238e-10	v626	unmet need (definition 2)
m4_1_94	1	1.6067140683995	0.294270683766185	8.45663309953875e-8	0.014408850129649	5.647475667623e-7	m4_1	duration of breastfeeding
ha32_02	1	-0.00401559346332453	8.18943784667281e-4	1.40278195766507e-6	0.0143821325057869	8.71675205779044e-6	ha32	date of birth (cmc)
b5_02_0	1	1.05363599971396	0.204464109908383	4.06366708371063e-7	0.0142761416307813	2.60882936534351e-6	b5_02	child is alive
b5_02_1	1	-1.05363599971397	0.204464109908383	4.06366708370991e-7	0.0142761416307812	2.60882936534351e-6	b5_02	child is alive
v781_1	1	0.691477871984765	0.102263045699669	4.8323e-11	0.0142552235227452	3.65409930585683e-10	v781	ever been tested for hiv
v781_0	1	-0.691477871984772	0.10226304569967	4.8323e-11	0.0142552235227451	3.65409930585683e-10	v781	ever been tested for hiv
mm4_03	1	-0.00206134605984065	3.392491096485e-4	2.8692e-9	0.0142527396649395	2.03707356415479e-8	mm4	NA
ha1_02	1	0.047977835455016	0.0098014865111487	1.46047913390121e-6	0.0141966449270389	9.01102701022941e-6	ha1	woman's age in years
v323_1	1	-0.75264414673313	0.192758806838874	1.13249779333907e-4	0.0141531027826055	6.24665713224683e-4	v323	brand of pill used
v312_5	1	1.48673473719977	0.217615914066906	3.1231e-11	0.0141364589152619	2.37192300653595e-10	v312	current contraceptive method
v360_2	1	-0.645452734881452	0.156086888133999	4.36309697514506e-5	0.0140552092807693	2.48120000903029e-4	v360	reason of last discontinuation
mm3_03	1	0.0258043937990888	0.00460504434782975	3.91666705555248e-8	0.0135425561006821	2.63073243846935e-7	mm3	NA
v211	1	-0.00277687851680675	4.03908141859708e-4	2.3996e-11	0.0133173859368623	1.85889013333333e-10	v211	date of first birth (cmc)
mm3_06	1	0.0278741893428082	0.00682820460377455	5.48997964888075e-5	0.0133085348016824	3.10682939220752e-4	mm3	NA
v762az_0	1	0.795808774734162	0.136647164896134	1.1807e-8	0.0132700595707558	8.10220511811024e-8	v762az	don't know any source for condoms
v762az_1	1	-0.795808774734167	0.136647164896135	1.1807e-8	0.0132700595707556	8.10220511811024e-8	v762az	don't know any source for condoms
v762bz_0	1	0.62975456912064	0.0919326551616648	2.7864e-11	0.0131661094745115	2.13224462882096e-10	v762bz	don't know any source for female condoms
v762bz_1	1	-0.629754569120635	0.0919326551616648	2.7864e-11	0.0131661094745114	2.13224462882096e-10	v762bz	don't know any source for female condoms
m4_1_95	1	-0.653474203845704	0.139484997874853	3.86565754712915e-6	0.0131026706459149	2.33143290818204e-5	m4_1	duration of breastfeeding
v767a_1	1	-0.794759401861555	0.127067270471374	1.0246e-9	0.0130500727221117	7.34929135802469e-9	v767a	relationship with most recent sex partner
v204	1	0.435472579321471	0.0578773359960893	3.5268e-13	0.012492176085664001	2.84593166666667e-12	v204	sons elsewhere
v304_02_0	1	-0.631367108073909	0.0974158194910568	2.6752e-10	0.0124706355875629	1.95508327044025e-9	v304_02	knows method
v304_02_1	1	0.631367108073907	0.0974158194910564	2.6752e-10	0.0124706355875628	1.95508327044025e-9	v304_02	knows method
v367_3	1	0.99414407110992	0.20680678341495	2.18389480054259e-6	0.0124062211620015	1.32863128703167e-5	v367	wanted last child
m10_1_3	1	0.99414407110992	0.20680678341495	2.18389480054259e-6	0.0124062211620015	1.32863128703167e-5	m10_1	wanted pregnancy when became pregnant
v013_2	1	-0.843990270345206	0.132595354356867	5.3397e-10	0.0120911148753906	3.86989484407484e-9	v013	age in 5-year groups
v013_4	1	0.762360391609789	0.109678110915592	1.4785e-11	0.0116952565835898	1.14789554565702e-10	v013	age in 5-year groups
mm3_04	1	0.0243044938729098	0.00487826984771393	9.41034934382668e-7	0.0114798971723407	5.93209363699454e-6	mm3	NA
hv116_01_2	1	0.656452834271901	0.0977863734694326	6.5261e-11	0.0114225854885065	4.91360358531317e-10	hv116_01	currently, formerly, never married
ha57_2	1	0.959220402717548	0.133967674069977	3.8781e-12	0.0113661991897844	3.03117860986547e-11	ha57	anemia level
v457_2	1	0.959220402717548	0.133967674069977	3.8781e-12	0.0113661991897844	3.03117860986547e-11	v457	anemia level
b5_01_1	1	-1.13396454262148	0.211035361049849	1.31690454642203e-7	0.0112949597243828	8.64544114656723e-7	b5_01	child is alive
b5_01_0	1	1.13396454262149	0.21103536104985	1.31690454642187e-7	0.0112949597243825	8.64544114656723e-7	b5_01	child is alive
v834a	1	0.0241646680521526	0.00398593402179024	3.1026e-9	0.0112604129361357	2.19384657200811e-8	v834a	age of most recent partner
hv115_01_1	1	-0.624231893287604	0.0937369182495517	9.0787e-11	0.0111782458990091	6.79149103004292e-10	hv115_01	current marital status
hv116_01_1	1	-0.624231893287604	0.0937369182495517	9.0787e-11	0.0111782458990091	6.79149103004292e-10	hv116_01	currently, formerly, never married
sh18_2	1	1.18567265018133	0.327915757490137	3.39256005587886e-4	0.011170822063917	0.0017810940293364	sh18	attend school current year
