var	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
hv253b_0	0.536709886255089	0.478484279694864	0.262668189677081	6.26157155977025e-4	0.47736887851761	hv253b	dwelling sprayed by: private company
hv226_7	-12.7470058135075	0.783544214834307	4.908883e-46	0.00062754568088307905	9.49662412149533e-45	hv226	type of cooking fuel
v478	0.0429844223483225	0.0217974969810472	0.0497497071940038	0.00678615514138914	0.159801914274103	v478	number of injections administered by a health worker
hv108	-0.00730797555588607	0.0212673715026378	0.731309749462905	4.73075293909719e-5	0.84937177720454	hv108	education completed in single years
sh19b_02	-0.0286259747082281	0.123774948135597	0.81737183088219	1.83751746446692e-4	0.900627403392071	sh19b	grade attending
mv167	0.00802778572259704	0.00424241876678235	0.059177395327651	0.00124899722443872	0.17961467496809	mv167	times away from home in last 12 months
hmlidx	-0.284852812404185	0.321443322344375	0.376689979869483	0.00351918083504932	0.587159833079691	hmlidx	mosquito bed net designation number
hv232_0	0.121965532086992	0.144243037314845	0.398354559156004	4.01467885758233e-4	0.609455977422711	hv232	items present: soap or detergent
hv253x_1	-0.0800537866500648	0.643579595505555	0.901070302612153	4.38973620087157e-6	0.945351882741757	hv253x	dwelling sprayed by: other
hc16_01	0.0058837578692873	0.00582548779386892	0.313168650233684	0.00109424460296093	0.527468759954211	hc16	day of birth
hv106_2	-0.120979744755322	0.127250369942903	0.342319527895624	3.32444920745578e-4	0.554895397606845	hv106	highest educational level attained
hv108_06	-0.0463279018935785	0.0291420419075348	0.112871528810571	0.00276839127497086	0.275523661129578	hv108	education completed in single years
hv023_7	0.810705822435628	0.431544246778004	0.0610240220538035	6.96061679513971e-4	0.182034775082799	hv023	stratification used in sample design
hml6_8	-0.234301428032506	0.459990990721673	0.611112928451272	0.00100209686799158	0.770942683745857	hml6	net treatment status
hv215_12	0.176804620997191	0.125674663493037	0.160250187322694	7.42151945110514e-4	0.346985238240561	hv215	main roof material
v443	-7.47708964270727e-5	4.33857101687489e-5	0.0855891272864054	0.00110303855738769	0.233117754582709	v443	weight/height percent ref. median (fog)
hv228_3	0.206789589114718	0.17199196826648	0.230022808039576	0.00105761713847352	0.435235112104134	hv228	children under 5 slept under mosquito bed net last night
v130_6	-0.360196162896259	0.248585910130011	0.148126478065085	7.60441542373758e-4	0.329700870531963	v130	religion
