var	concordance	Estimate.x	SE.x	P.Val.x	Nag.R2.x	FDR.x	varOrig.x	varlabel.x
hv122_0	1	2.95622413350774	0.424602868957024	1.3889e-11	0.0372944776857392	1.24517303482587e-10	hv122	educational level during current school year
v836	1	0.37766661875255	0.0627310776563626	3.9556e-9	0.048247211709476	3.2547905022831e-8	v836	total lifetime number of sex partners
v527	1	0.00332125860863853	5.3732348374505e-4	1.5841e-9	0.0231566507466536	1.32155009259259e-8	v527	time since last sex
sybo_03	1	0.252542213867946	0.0566912668343644	1.11779938505094e-5	0.0205453785955177	7.50195341475528e-5	sybo	birth order of minor
b3_01	1	-0.00721579099907714	7.84726165331397e-4	2.1191e-18	0.0304836039457184	2.08099084468665e-17	b3	NA
sh17a_1	1	0.438441949300763	0.0999849469519025	1.48604572755347e-5	0.00552246214900787	9.75538943916704e-5	sh17a	level of education attended
b11_01	1	0.00490303143655778	0.00179630771605285	0.00662516486949537	0.00407219568128903	0.0272258770691691	b11	NA
hv116_2	1	1.39039627515871	0.116019438498664	1.8132e-28	0.0413411300690791	2.67818557377049e-27	hv116	currently, formerly, never married
v137	1	-0.239263569015335	0.0603868931667271	8.80129623009487e-5	0.00605523442433431	5.31321132550451e-4	v137	number of children 5 and under in household (de jure)
v205	1	0.440940625981342	0.0617209357024895	4.347e-12	0.0161431272879562	3.97629137055838e-11	v205	daughters elsewhere
hb11_1	1	-0.00351887836275934	6.6952338867546e-4	2.41174748258319e-7	0.013524358619041	1.88955172331083e-6	hb11	weight/height standard deviation (dhs)
hv124	1	-0.286916980623395	0.0447961100095161	4.2479e-10	0.0369503918273345	3.63644456057007e-9	hv124	education in single years - current school year
idxh4	1	-0.186399744731214	0.0496662510706619	2.00700360927012e-4	0.0111206881548854	0.00112492084102792	idxh4	index to household schedule
hv045b_2	1	0.534571099080255	0.116139675705776	5.61368463535971e-6	0.00460379557652946	3.89821183542127e-5	hv045b	language of interview
v207	1	1.07716348811299	0.136746819109817	3.228e-14	0.0191710996716223	3.02174337662338e-13	v207	daughters who have died
hv041	1	-0.26180066717401	0.0557967404124156	3.72546379483841e-6	0.0131639555174852	2.63266108168581e-5	hv041	total adults measured
hb12_1	1	-2.54798534905868e-4	4.94083616953728e-5	3.96877251555493e-7	0.0135787723083255	3.08929938359827e-6	hb12	weight/height percent ref. median (dhs)
ha57_4	1	-1.06024279057849	0.0970061805473974	1.7071e-24	0.0344732563089097	2.07151124579125e-23	ha57	anemia level
ha1	1	0.0685129750647714	0.0043149254861168	2.4968e-44	0.0523653036360378	5.5891100621118e-43	ha1	woman's age in years
v525	1	0.068507848854364	0.00636523296721503	6.9796e-24	0.0258143122779749	8.19364117263844e-23	v525	age at first sex
v528	1	0.0244738476983991	0.00364461948072604	6.505e-11	0.0171366701015163	5.70414111922141e-10	v528	time since last sex (in days)
hv108_03	1	-0.0301984796503204	0.010872677279013	0.0057375891826452	0.00237465006806692	0.0242108256334343	hv108	education completed in single years
b8_02	1	0.0652443773781678	0.0094958523129678191	2.487e-11	0.0216898196839204	2.20767192118227e-10	b8	NA
hv023_12	1	0.658333682912827	0.157561707732525	3.6132713220765e-5	0.00277694331593115	2.2608037924937e-4	hv023	stratification used in sample design
hivline	1	-0.186399744731214	0.0496662510706619	2.00700360927012e-4	0.0111206881548854	0.00112492084102792	hivline	line
hv115_3	1	2.13380278137325	0.175995889690755	5.2233e-29	0.0415118552689072	7.87647414225941e-28	hv115	current marital status
b3_03	1	-0.0044522654167409	9.50624737085861e-4	3.89990825193299e-6	0.0157369348865685	2.75054194519892e-5	b3	NA
ha41_1	1	-6.10795800373964e-4	1.68457309631605e-4	3.25452608586437e-4	0.00502192226335019	0.00178257021481082	ha41	rohrer's index
ha11	1	-0.00242958398200828	4.68586212388734e-4	3.44626738345394e-7	0.0104517320625699	2.68838693722251e-6	ha11	weight/height standard deviation (dhs)
v201	1	0.185483401504147	0.0194783187083275	1.6743e-19	0.0194762544819443	1.69024571428571e-18	v201	total children ever born
v224	1	0.185483401504147	0.0194783187083275	1.6743e-19	0.0194762544819443	1.69024571428571e-18	v224	entries in birth history
hv024_6	1	0.677477296043115	0.142993890727262	3.01127199140415e-6	0.00355089235350681	2.17460552834507e-5	hv024	region
mm4_05	1	-0.00226669773824807	4.17286629792909e-4	9.78834716096532e-8	0.0151300229659014	7.80469096639801e-7	mm4	NA
ha1_1	1	0.0418866122051708	0.00500112256615763	9.5154e-16	0.0174567455803477	9.14493376e-15	ha1	woman's age in years
b3_02	1	-0.00560018610482277	7.95856556663485e-4	8.6893e-12	0.0236190736278445	7.88822095717884e-11	b3	NA
ha32	1	-0.00570731332353254	3.60405650857464e-4	3.7734e-44	0.0522248712279254	8.29227658536585e-43	ha32	date of birth (cmc)
hv115_4	1	0.750418065257893	0.146328307372188	4.57450329109523e-7	0.00800154630941752	3.50776805555473e-6	hv115	current marital status
v317	1	-0.00358260522332142	0.00141694368787274	0.0118469476726531	0.00322746274127372	0.0451336146006784	v317	date of start of use of method (cmc)
mm4_03	1	-0.00269633033402601	2.98363596408809e-4	7.147e-18	0.0242330301020293	6.96156432432433e-17	mm4	NA
hv217_4	1	-0.599873051635343	0.0958195197990661	9.949e-10	0.0112413748907204	8.35808764568765e-9	hv217	relationship structure
b2_02	1	-0.0666977835530967	0.00955339152471968	1.2335e-11	0.0232777283084273	1.11696834170854e-10	b2	NA
mmc1	1	0.0632541787606972	0.017698895566281	3.9485502707875e-4	0.00377707659436022	0.00212396644416689	mmc1	number of siblings of respondent
v766b	1	0.548912934886451	0.106843398873194	4.36884241852735e-7	0.0095474101155637	3.35720854506878e-6	v766b	number of sex partners, including spouse, in last 12 months
ha55_6	1	-12.0015337802342	0.445205521483253	8.2557e-92	5.0843391059463e-4	6.46816147826087e-90	ha55	result of measurement - hemoglobin
hv121_2	1	-2.95622413350774	0.424602868957025	1.3889e-11	0.0372944776857392	1.24517303482587e-10	hv121	member attended school during current school year
hb41_1	1	-0.00160877711357903	3.4136114273696e-4	3.38554848135439e-6	0.0116286863372996	2.41136694205558e-5	hb41	rohrer's index
hb12a_1	1	-1.97653789196586e-4	4.10291338467715e-5	2.07306397804714e-6	0.0115424530315954	1.52165429264397e-5	hb12a	weight/height percent ref. median (fog)
ha40_1	1	-4.09261160445822e-4	1.11028572625478e-4	2.59286292215732e-4	0.00555223481772482	0.00143543440421736	ha40	body mass index
hv009	1	-0.113657587081407	0.025157546535633	8.24675190580773e-6	0.0100691543416775	5.60779129594926e-5	hv009	number of household members
mm4_02	1	-0.00289099264518534	2.86672625308402e-4	1.8915e-21	0.0268781403658686	2.02885892857143e-20	mm4	NA
symln_05	1	-0.00395176245201074	8.62254222554799e-4	7.14384582213238e-6	0.00174519652367333	4.91343899674906e-5	symln	mother's line number from individual questionnaire
b8_01	1	0.0852945137168296	0.00958794003654475	2.0555e-17	0.0278659455829022	1.99140376344086e-16	b8	NA
b19_01	1	0.00726855931803401	7.84296499389511e-4	1.2151e-18	0.0309648370760209	1.20308252747253e-17	b19	NA
v133	1	-0.0668059967786567	0.0176330587921486	1.74857006231974e-4	0.00534329163522851	9.92416772378007e-4	v133	education in single years
ha55_0	1	12.0015337814551	0.445205521931698	8.2557e-92	5.08433910594408e-4	6.46816147826087e-90	ha55	result of measurement - hemoglobin
v834a	1	0.0344755151585249	0.00513657313517394	6.6381e-11	0.0191803115615256	5.80672631067961e-10	v834a	age of most recent partner
mm4_01	1	-0.00343169134408355	2.90470187657125e-4	8.1388e-28	0.0347851576905939	1.19723408979592e-26	mm4	NA
v456	1	-0.0312819344035463	0.00292208877646963	1.1309e-23	0.0429819902105636	1.28168666666667e-22	v456	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hv011	1	-0.292301168908293	0.0643733835833614	7.43990224964889e-6	0.00799652562627895	5.10731575385421e-5	hv011	number of eligible men in household
b18_02	1	-1.84011514144161e-4	2.61402802643371e-5	8.5405e-12	0.0236216452922127	7.77271767676768e-11	b18	NA
v218	1	0.15528494864305	0.020485810905053	2.452e-13	0.011482536715237	2.26589948717949e-12	v218	number of living children
hv106_1	1	0.437433190602861	0.0988916241179119	1.25582976521298e-5	0.00545063857639272	8.31987219453599e-5	hv106	highest educational level attained
hml16	1	0.0684935046674268	0.0043127298264487	2.4113e-44	0.0523228637624437	5.50020582278481e-43	hml16	corrected age from individual file
v512	1	0.0381763402450213	0.00548242999458083	1.3795e-11	0.0159432454346434	1.24517303482587e-10	v512	years since first cohabitation
ha11_1	1	-0.0025164160926363	4.69358705602049e-4	1.40256229095757e-7	0.0126854536839225	1.11585750477066e-6	ha11	weight/height standard deviation (dhs)
sh121l_0	1	0.252510237660463	0.0930885340586339	0.00696579202456149	0.00199868443620765	0.0283029475270801	sh121l	plow
hv243c_0	1	0.434618222928366	0.122945448119592	4.55637910103257e-4	0.00375978575036617	0.00243637837983997	hv243c	has animal-drawn cart
v447a	1	0.0685129750647714	0.0043149254861168	2.4968e-44	0.0523653036360378	5.5891100621118e-43	v447a	women's age in years (from household questionnaire)
v003	1	-0.186399744731214	0.0496662510706619	2.00700360927012e-4	0.0111206881548854	0.00112492084102792	v003	line number
v191a	1	-2.32225463565898e-7	5.27744632455881e-8	1.38981488193316e-5	0.00723498421716129	9.15702529156693e-5	v191a	wealth index factor score for urban/rural (5 decimals)
v211	1	-0.00400081959873491	4.37265506617303e-4	3.0064e-18	0.0240518494301047	2.93633214092141e-17	v211	date of first birth (cmc)
v012	1	0.0684809541577148	0.00431250779707105	2.4611e-44	0.0523095585141341	5.57849333333333e-43	v012	respondent's current age
mm3_01	1	0.0458007067731616	0.00426814063077919	9.1309e-24	0.0369632774623431	1.06497616828479e-22	mm3	NA
hv101_1	1	0.787658216909854	0.0981745570888176	1.1678e-14	0.0178391680797945	1.10176732984293e-13	hv101	relationship to head
hv101_5	1	-1.38745955591544	0.359023246977388	1.29921245144566e-4	0.00448205085029718	7.5037847355932e-4	hv101	relationship to head
hv215_96	1	-12.2485873677213	0.590792752897139	2.8117e-65	4.49061521318628e-4	1.06667018947368e-63	hv215	main roof material
hv271a	1	-2.32225463565898e-7	5.27744632455881e-8	1.38981488193316e-5	0.00723498421716129	9.15702529156693e-5	hv271a	wealth index factor score for urban/rural (5 decimals)
b19_02	1	0.00563550277508542	7.93905501882462e-4	5.8522e-12	0.0239520887502163	5.3395769113924e-11	b19	NA
hivage	1	0.0684935046674268	0.0043127298264487	2.4113e-44	0.0523228637624437	5.50020582278481e-43	hivage	age in years
hv105	1	0.0688527516037335	0.00426877881460276	2.1419e-45	0.0522865159334871	5.11219046357616e-44	hv105	age of household members
ha57_3	1	0.774525605249644	0.100964605990419	1.3237e-13	0.015449098436197	1.22953989690722e-12	ha57	anemia level
v531	1	0.0684052212462615	0.00634956842743533	6.3957e-24	0.0257943265649658	7.55741075409836e-23	v531	age at first sex (imputed)
hb12b_1	1	-1.91848578293156e-4	4.08627251583284e-5	3.67842642851681e-6	0.0115121637954507	2.60452826097732e-5	hb12b	weight/height percent ref. median (who)
mm3_04	1	0.0238835510080958	0.00469139736690806	5.53136585130425e-7	0.0113744901829248	4.21459672898531e-6	mm3	NA
b19_03	1	0.00448036187824851	9.48780156399574e-4	3.25912520061278e-6	0.0159880852758005	2.33516644592613e-5	b19	NA
sh121l_1	1	-0.252510237660463	0.0930885340586339	0.00696579202456162	0.00199868443620743	0.0283029475270801	sh121l	plow
ha33_6	1	-9.84508969452879	1.00098585088285	1.4072e-20	6.0587207390661e-5	1.4573416091954e-19	ha33	completeness of ha32 information
hv010	1	-0.306788393423671	0.0734970822476257	3.67618941300906e-5	0.00725826274801089	2.29221222222918e-4	hv010	number of eligible women in household
b12_02	1	0.00492917440533481	0.00181018255381558	0.00675402912623634	0.00410949478997447	0.027660819285177	b12	NA
v508	1	-0.0376809661690791	0.00551857572207014	3.2296e-11	0.0155121371507964	2.8598227027027e-10	v508	year of first cohabitation
v206	1	0.688243845590514	0.163899160535025	3.30787088130142e-5	0.00997554438196591	2.11001179755935e-4	v206	sons who have died
hv215_21	1	-11.2258927445321	0.995724737804784	8.9981e-26	2.9035304220737e-4	1.14996994326241e-24	hv215	main roof material
hv124_04	1	-0.0409501717872373	0.0156945848960677	0.0094203313351018	0.00254304466238764	0.0366640109413681	hv124	education in single years - current school year
ha12	1	-1.5237657476714e-4	3.19038026397105e-5	2.51645198468266e-6	0.00961791692950908	1.82848648241861e-5	ha12	weight/height percent ref. median (dhs)
ha0_1	1	-0.272752788702524	0.0622330830906163	1.5012093103477e-5	0.00702736162622486	9.83701518998747e-5	ha0	index to household schedule
ha56	1	-0.0312819344035463	0.00292208877646963	1.1309e-23	0.0429819902105636	1.28168666666667e-22	ha56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
hv108	1	-0.0597026713705951	0.017643818696492	7.85929234383619e-4	0.00425906290472433	0.0040234218192025	hv108	education completed in single years
hv045a_2	1	0.538260836482439	0.115090851080181	3.99699535985055e-6	0.00470675769375328	2.79712063629153e-5	hv045a	language of questionnaire
hv107	1	0.0736585865130162	0.0238018664370333	0.00210961450318503	0.00260684639809627	0.00999086815963055	hv107	highest year of education completed
hv122_2	1	-3.27245593130159	0.568017911177828	1.67415553850917e-8	0.0341664744920145	1.36508066986132e-7	hv122	educational level during current school year
ha12_1	1	-1.57661080160448e-4	3.17986169066198e-5	1.0557136264158e-6	0.0119757138542829	7.99326031429106e-6	ha12	weight/height percent ref. median (dhs)
v511	1	0.048281696280902	0.012171745375658	8.64216806235284e-5	0.00655920209033189	5.23468465491086e-4	v511	age at first cohabitation
hv121_0	1	2.95622413350774	0.424602868957024	1.3889e-11	0.0372944776857392	1.24517303482587e-10	hv121	member attended school during current school year
hv111_8	1	-11.5095634981919	0.902407300075276	4.6196e-30	9.17403822792151e-5	7.11497367521368e-29	hv111	mother alive
v204	1	0.646020217956613	0.0642083293783531	2.2853e-21	0.0248596666611075	2.44398255192878e-20	v204	sons elsewhere
hv219_1	1	-0.383927483644664	0.0918343518781352	3.57704425973504e-5	0.00501574142238637	2.2537880265883e-4	hv219	sex of head of household
b18_03	1	-1.46216559120496e-4	3.12431769674272e-5	3.96462847276135e-6	0.0157238642992975	2.79072676090467e-5	b18	NA
hv124_03	1	-0.0350293794406031	0.0121510864297494	0.00415510791749252	0.00249818022379411	0.018351726635592	hv124	education in single years - current school year
b2_01	1	-0.0866181499472132	0.00939538230855018	1.7634e-18	0.0305922194674183	1.74117632876712e-17	b2	NA
hv219_2	1	0.383927483644665	0.0918343518781352	3.57704425973503e-5	0.00501574142238637	2.2537880265883e-4	hv219	sex of head of household
mm4_04	1	-0.00211849507797896	3.51005520607006e-4	3.6456e-9	0.0147429180814658	3.00657720823799e-8	mm4	NA
hv217_0	1	-12.0870260416541	0.678463737742894	1.2596e-52	3.13330011300184e-4	3.46534229007634e-51	hv217	relationship structure
b18_01	1	-2.37236453953735e-4	2.57846625549086e-5	2.0333e-18	0.0305251317868146	2.0021893989071e-17	b18	NA
hv101_3	1	-0.449940047951695	0.147957245843004	0.00251382007809817	0.00331913321719646	0.0117507231666223	hv101	relationship to head
v138	1	-0.306788393423671	0.0734970822476257	3.67618941300906e-5	0.00725826274801089	2.29221222222918e-4	v138	number of eligible women in household (de facto)
v730	1	0.0269258177455262	0.00653442753738686	4.60398171205624e-5	0.0109216309569236	2.85098798801558e-4	v730	husband/partner's age
v222	1	0.00726855931803401	7.84296499389511e-4	1.2151e-18	0.0309648370760209	1.20308252747253e-17	v222	last birth to interview (months)
hv013	1	-0.117244682309224	0.0244486541379642	2.29656711726727e-6	0.0104760117019052	1.6754712329213e-5	hv013	number of de facto members
hb40_1	1	-9.45445204608908e-4	1.96218666744517e-4	2.06402255863883e-6	0.0113519554798848	1.52121417205201e-5	hb40	body mass index
hv243e_1	1	-0.667829291638589	0.15085358643945	1.23579154272659e-5	0.00502786700534597	8.2021965377286e-5	hv243e	has a computer
ha56_2	1	-0.0139339751819939	0.00418087390451942	9.44671367970569e-4	0.00700494749972125	0.00476167218205025	ha56	hemoglobin level adjusted for altitude and smoking (g/dl - 1 decimal)
ha12b_1	1	-7.40595302795425e-5	2.10381010725878e-5	4.80999820212213e-4	0.00507830911637042	0.0025681827437701	ha12b	weight/height percent ref. median (who)
mm3_03	1	0.0342239571455852	0.00400198774190818	2.6598e-16	0.0240565728232953	2.56308e-15	mm3	NA
b2_03	1	-0.0528377094424698	0.0114925853724892	5.78434088247629e-6	0.0153027575794084	4.00899318085472e-5	b2	NA
