var	concordance	Estimate	SE	P.Val	Nag.R2	FDR	varOrig	varlabel
v535_0	1	-2.18187679547069	0.158962576997043	2.9592e-35	0.148567991886037	4.98479323943662e-34	v535	ever been married or in union
v535_1	1	2.08411447793011	0.156869885339308	1.7353e-33	0.138360726928669	2.77957875e-32	v535	ever been married or in union
v761_0	1	-1.71389934008364	0.12204475884104	1.1391e-36	0.0809602183704862	1.97444e-35	v761	condom used during last sex with most recent partner
v761_1	1	1.71389934008364	0.12204475884104	1.1391e-36	0.0809602183704862	1.97444e-35	v761	condom used during last sex with most recent partner
hv105	1	0.0736026386354709	0.00421604250497855	4.3878e-51	0.0616400191052638	1.13262060431655e-49	hv105	age of household members
ha32	1	-0.00600535331151315	3.50204582308339e-4	9.4288e-50	0.0598175759526588	2.34934266666667e-48	ha32	date of birth (cmc)
hivage	1	0.0717827429848665	0.00423447088415124	6.5552e-49	0.0594799290694632	1.56800384e-47	hivage	age in years
hml16	1	0.0717827429848665	0.00423447088415124	6.5552e-49	0.0594799290694632	1.56800384e-47	hml16	corrected age from individual file
v447a	1	0.0717634127767098	0.00423485486459736	6.9624e-49	0.0594390998418277	1.64349284210526e-47	v447a	women's age in years (from household questionnaire)
ha1	1	0.0717634127767098	0.00423485486459736	6.9624e-49	0.0594390998418277	1.64349284210526e-47	ha1	woman's age in years
v012	1	0.071755425311918	0.0042345814021297	7.0171e-49	0.0594357910302684	1.64557874509804e-47	v012	respondent's current age
v602_1	1	-1.26418675821179	0.0951111694183273	1.2826e-33	0.0524431257212286	2.06366313901345e-32	v602	fertility preference
v602_3	1	1.2340902456733	0.0992477999677963	3.2371e-30	0.050178541314657	4.9007235443038e-29	v602	fertility preference
v605_5	1	1.2340902456733	0.0992477999677963	3.2371e-30	0.050178541314657	4.9007235443038e-29	v605	desire for more children
v502_2	1	1.51780828100275	0.111143680928376	4.3155e-35	0.0498785497295494	7.23552056074766e-34	v502	currently/formerly/never in union
hv116_2	1	1.52166541819122	0.121048109421853	9.4488e-31	0.0489528662296446	1.448816e-29	hv116	currently, formerly, never married
mm3_02	1	0.049378068155331	0.00434425880848653	4.1368e-26	0.0481471781615418	5.43693714285714e-25	mm3	NA
mm4_02	1	-0.0038492519239961202	3.07447705771479e-4	1.5332e-30	0.0472758045406153	2.34090280851064e-29	mm4	NA
v605_2	1	-1.32918634735773	0.119750658401065	4.0187e-25	0.0463005890245409	4.87131608108108e-24	v605	desire for more children
mm4_03	1	-0.00376857185255668	3.17845761061709e-4	5.7229e-28	0.0448805456203489	7.9928633463035e-27	mm4	NA
mm3_03	1	0.0482726893890155	0.00403195951239362	2.0548e-28	0.0444446563847866	2.92564380952381e-27	mm3	NA
hv111_0	1	2.3712513829026	0.501561718722795	3.45552790427428e-6	0.0443448650507416	2.39814973317913e-5	hv111	mother alive
mm4_01	1	-0.00376039154632808	2.86985345290145e-4	7.3154e-33	0.0436293993015882	1.16656245333333e-31	mm4	NA
hv111_1	1	-2.31767448368746	0.500474845020639	5.3690695823427e-6	0.0426005571117706	3.65545003063484e-5	hv111	mother alive
mm3_01	1	0.0469637980005259	0.00430852034062153	2.1902e-24	0.0409627587130305	2.51873e-23	mm3	NA
v013_1	1	-1.73963146392602	0.193605058238722	1.0476e-17	0.0399200906155062	1.01588886486486e-16	v013	age in 5-year groups
hv115_3	1	2.04066290555782	0.188696009743539	4.5155e-24	0.0398483346290722	5.09484716981132e-23	hv115	current marital status
b18_01	1	-2.6385857311276e-4	2.64308478054909e-5	4.3551e-21	0.039721061881994	4.55571393586006e-20	b18	NA
b3_01	1	-0.0080253759956955	8.05130035779126e-4	4.9214e-21	0.0396685161576563	5.10346335260116e-20	b3	NA
v222	1	0.00801552612370766	8.03601666044103e-4	4.6629e-21	0.0396232893742882	4.849416e-20	v222	last birth to interview (months)
b19_01	1	0.00801552612370766	8.03601666044103e-4	4.6629e-21	0.0396232893742882	4.849416e-20	b19	NA
b2_01	1	-0.0959583541877157	0.00968724263453427	8.1102e-21	0.0395557657344863	8.33793627507163e-20	b2	NA
v536_0	1	-1.88693747095413	0.222786399234077	4.8057e-16	0.0371146235107096	4.45551720930233e-15	v536	recent sexual activity
v501_3	1	2.01652997097855	0.196838905520687	5.1411e-22	0.0362444994349127	5.55610445783133e-21	v501	current marital status
v624_0	1	-1.91805598782068	0.238154935427734	9.4089e-15	0.0358165100971107	8.48219427135678e-14	v624	unmet need
v503_1	1	-1.16896737570876	0.106234633925317	9.1077e-25	0.0355282258679864	1.06098790909091e-23	v503	number of unions
v503_2	1	1.16896737570876	0.106234633925316	9.1077e-25	0.0355282258679861	1.06098790909091e-23	v503	number of unions
b2_02	1	-0.0793320259075797	0.0092215871557634	1.8284e-16	0.0345967739099009	1.72186330708661e-15	b2	NA
b3_02	1	-0.006597220810692	7.71050873889262e-4	2.5754e-16	0.0344404875359725	2.41898827225131e-15	b3	NA
b18_02	1	-2.166610159076e-4	2.53383825236028e-5	2.68e-16	0.0344140380225338	2.51066318537859e-15	b18	NA
v626_0	1	-1.90606275548724	0.240061691787061	2.0873e-14	0.0343982856959394	1.8723081e-13	v626	unmet need (definition 2)
v626a_0	1	-1.90606275548724	0.240061691787061	2.0873e-14	0.0343982856959394	1.8723081e-13	v626a	unmet need for contraception (definition 3)
