nodes.female,keep
hv013,0
v137,0
v011,0
v012,0
v509,0
v512,0
hv025_2,0
v140_1,0
hv206_1,0
v119_1,0
hv207_1,0
v120_0,0
hv208_1,0
v121_1,0
hv209_1,0
v122_1,0
hv210_1,0
v123_1,0
v124_1,0
v125_1,0
v135_2,0
v119_7,0
v120_7,0
v121_7,0
v122_7,0
v123_7,0
v124_7,0
v125_7,0
v135_1,0
v139_97,0
v140_7,0
hv109_0,0
hv109_5,0
v149_0,0
v149_5,0
v151_2,0
v213_1,0
v513_0,0
v503_2,0
v714_1,0
hv109_08_0,0
v138,0
v191,0
v021,0
hivclust,1
hiv05,0
v025_1,0
v025_2,0
v120_1,0
v190_1,0
v190_2,0
v190_3,0
v190_4,0
v190_5,0
hv102_1,0
v502_0,0
v535_0,0
v504_2,0
v750_1,0
v751_1,0
v761_1,0
v785_1,0
hv109_03_0,0
hv109_03_5,0
hv109_04_0,0
hv109_04_5,0
hv109_06_0,0
v528,0
v008,0
v219,0
v220,0
v140_2,0
hv212_1,0
v153_1,0
v160_1,0
v153_7,0
v160_7,0
v161_97,0
v139_1,0
v139_2,0
v139_3,0
hv104_01_1,1
hv104_01_2,0
v781_1,0
v783_1,0
hv102_05_1,0
hv102_07_1,0
hv102_08_1,0
hv103_01_1,0
hv103_02_1,0
hv104_02_2,0
hv104_03_2,0
hv104_04_2,0
hv104_05_2,0
hv104_06_2,0
hv104_07_2,0
hv104_08_2,0
hv109_01_0,0
hv109_01_5,0
hv109_02_0,0
hv109_02_5,0
hv109_05_0,0
hv109_07_0,0
hv117_01_1,0
hv117_02_1,0
hv117_03_1,0
hv117_04_1,0
hv117_05_1,0
hv117_06_1,0
hv117_07_1,0
hv117_08_1,0
hv118_01_1,0
hv118_02_1,0
hv118_03_1,0
hv118_04_1,0
hv118_05_1,0
hv118_06_1,0
hv118_07_1,0
hv118_08_1,0
v762aa_1,0
v762az_1,0
v136,0
v218,0
v536_1,1
v116_21,0
v116_31,0
hv225_1,0
v113_97,0
v116_97,0
hv103_1,0
hv117_1,0
hv102_02_1,0
hv102_03_1,0
hv102_04_1,0
hv102_06_1,0
hv103_03_1,0
hv103_04_1,0
hv103_05_1,0
hv103_06_1,0
hv109_06_5,0
bord_02,0
v201,1
b3_01,0
b8_01,0
b3_02,0
b8_02,0
b12_02,0
v417,0
v024_1,0
v024_2,0
v024_3,0
v116_11,0
v116_22,0
hv211_1,0
v160_0,0
b0_01_2,0
b0_02_1,0
b4_01_2,0
b4_02_2,0
b5_01_1,0
b5_02_1,0
b9_01_4,0
b9_02_4,0
v731_2,0
hv111_06_1,0
v762ak_1,0
hivline,1
v010,0
v447a,0
bord_03,0
v224,0
v222,0
b2_03,0
b3_03,0
b12_03,0
v419,0
v150_1,0
v150_2,0
v150_3,0
v150_4,0
v150_5,0
v106_2,0
v139_4,0
b0_03_1,0
b4_03_2,0
b5_03_1,0
v313_0,0
m3g_1_1,0
v404_1,0
v731_0,0
v763c_1,0
hv103_07_1,0
hv103_08_1,0
hv109_05_5,0
hv109_07_5,0
hv109_08_5,0
hv109_09_0,0
hv111_05_1,0
hv113_03_1,0
v762ab_1,0
v762as_1,0
ha32,0
b8_03,0
v113_11,0
v113_12,0
v113_13,0
v127_11,0
v127_33,0
hv221_1,0
v161_7,0
v127_97,0
b9_03_4,0
m2a_1_1,0
m2b_1_1,0
m3b_1_1,0
v401_0,0
v401_1,0
v729_5,0
hv102_01_1,0
hv111_08_1,0
v804,0
v405_0,0
v405_1,0
v623_2,0
v625_2,0
v406_0,1
v406_1,0
v616,0
v024_4,0
v113_31,0
v113_32,0
v113_41,0
hv117_0,0
hw13_1_1,0
v623_1,0
v625_1,0
v216_1,0
v228_1,0
v304_01_1,0
v304_02_1,0
v304_03_1,0
v304_05_1,0
v304_06_1,0
v304_07_1,0
v304_08_1,0
v304_09_1,0
v364_1,0
v364_3,1
v364_4,1
m10_1_1,0
m3a_1_1,0
m17_1_1,0
v605_4,0
v605_5,0
v605_7,0
v626_1,0
v626_3,0
v626_4,0
