nodes.male,keep
hv013,0
v509,0
hv025_2,0
hv206_1,0
hv207_1,0
hv208_1,0
hv209_1,0
hv210_1,0
hv109_0,0
hv109_5,0
hv109_08_0,0
v191,0
v021,0
hivclust,1
hv212_1,0
hv102_1,0
hv109_03_0,0
hv109_03_5,0
hv109_04_0,0
hv109_04_5,0
hv109_06_0,0
v008,0
hv102_05_1,0
hv102_07_1,0
hv103_01_1,0
hv103_02_1,0
hv103_04_1,0
hv103_05_1,0
hv104_01_2,0
hv104_02_2,0
hv104_03_2,0
hv104_04_2,0
hv104_05_2,0
hv104_06_2,0
hv104_07_2,0
hv104_08_2,0
hv109_01_0,0
hv109_01_5,0
hv109_02_0,0
hv109_02_5,0
hv109_05_0,0
hv109_07_0,0
hv117_01_1,0
hv117_02_1,0
hv117_03_1,0
hv117_04_1,0
hv117_05_1,0
hv117_06_1,0
hv117_07_1,0
hv117_08_1,0
hv118_01_1,0
hv118_02_1,0
hv118_03_1,0
hv118_04_1,0
hv118_05_1,0
hv118_06_1,0
hv118_07_1,0
hv118_08_1,0
hv225_1,0
hv103_1,0
hv118_1,0
hv102_02_1,0
hv102_03_1,0
hv102_04_1,0
hv102_06_1,0
hv102_08_1,0
hv103_03_1,0
hv103_06_1,0
hv103_07_1,0
hv109_06_5,0
hv111_05_1,0
hv111_06_1,0
v218,0
v512,0
hv211_1,0
v135_2,0
v135_1,0
v151_2,0
v513_0,0
v751_1,0
hv103_08_1,0
hv109_05_5,0
v025_1,0
v025_2,0
v190_1,0
v190_2,0
v190_3,0
v190_4,0
v190_5,0
v502_0,0
v535_0,0
v503_2,0
v750_1,0
v781_1,0
hv109_09_0,0
hv221_1,0
hv104_01_1,1
v761_1,0
v783_1,0
v785_1,0
hv102_01_1,0
hv109_07_5,0
hv109_08_5,0
mv138,0
hv118_0,0
hv102_09_1,0
hv104_09_2,0
hv111_04_1,0
hv111_07_1,0
hv117_09_1,0
hv118_09_1,0
hv122_02_0,0
v150_1,0
hv111_03_1,0
hv111_08_1,0
hv113_03_1,0
hv113_04_1,0
v825_1,0
hml16_02,0
hml16_03,0
