nodes.male,keep
hv013,0
hv035,0
hivline,1
hiv05,1
hv118_0,1
hv118_1,0
hv109_0,0
hv109_5,0
hv012,1
hv109_01_0,0
hv109_01_5,0
hml16,0
hv122_0,0
hb68_0,0
hv116_0,0
hv109_9,0
hb69,0
hv116_1,0
hml19_1,0
hml19_0,0
hml19_01_1,0
hv026_3,0
hv122_9,0
hml19_01_0,0
hv122_01_0,0
hv109_01_9,0
hv126_0,0
hml20_1,0
hml20_01_1,0
hv212_9,0
hv109_3,0
hv116_9,0
hml17_3,0
hb1,0
hv126_9,0
hb69_01,0
hml17_1,0
hv116_01_0,0
hiv02,0
hml20_0,0
hml20_01_0,0
hv041,0
hv125_0,0
hb68_01_0,1
hv122_01_9,0
hb68_1_0,0
hb68_1_1,0
hv116_01_1,0
hv004,0
hv021,0
hivclust,1
hivnumb,1
idxh4,0
hv028,0
hv104_01_1,1
hv104_01_2,0
hv025_2,0
hb69_1,0
hv121_01_2,0
hv105_01,0
hb68_1,0
hv109_01_3,0
hb68_01_1,1
hml1a,0
hv117_01_1,0
hv118_01_1,0
hml17_0,0
hv125_9,0
hv101_01_2,0
hv237b_9,0
hv237d_9,0
hv237f_9,0
hv237x_9,0
hv237z_9,0
hb66_0,0
hml17_2,1
hv121_9,0
hv102_1,0
hv126_01_0,0
hml16_01,0
hv237c_9,0
hb66_3,0
hv243c_9,0
hv243d_9,0
hv116_2,1
hv121_01_9,0
hv126_01_9,0
hv227_1,0
hv209_1,0
hv206_1,0
hv207_1,0
hv103_1,0
hv208_1,0
hv210_1,0
hv102_01_1,0
hv103_01_1,0
hv121_0,1
hv116_01_9,0
hb56,1
hv125_1,0
hv211_9,0
hb0,0
hv212_1,0
hb32,0
hv221_1,0
hv211_1,0
hb68_1_2,0
hb68_1_3,0
hv031,0
hv121_1,0
hb66_2,0
hb68_2,0
hb68_3,0
hb68_01_2,0
hb56_01,0
hv008,1
hb57_9,0
hv125_01_9,0
hv202_11,0
hv202_12,0
hv202_13,0
hv202_31,0
hv202_32,0
hv237e_9,0
hv237z_0,0
hv128_01,0
hv246_1,0
hv243a_1,0
hv121_2,0
hb63_1_1,1
hb63_1_3,1
hv221_9,0
hb57_01_9,0
hv253b_9,0
hv253c_9,0
hv253x_9,0
hv253z_9,0
hb68_01_3,1
hv243b_9,0
hb65_1_5,0
hv109_1,0
hv202_21,0
hv202_41,0
hv202_43,0
hv202_61,0
hv202_96,0
hv024_2,1
hv024_6,0
hv030,0
hb63_01_1,1
hv244_1,0
hv243b_1,0
hv237_1,0
hv247_1,0
hv007,0
hb70,0
sh03_1,0
sh03_2,0
sh03_3,0
sh03_4,0
sh03_5,0
hb55_01,0
hb57_01,0
sh14_0,0
hml17_6,0
hml17_5,1
hv202_42,0
hv202_51,0
hv128,0
hv024_1,1
hv024_3,1
hv024_4,1
hv024_5,1
hv024_7,1
hb33_01_2,0
hb68_4,0
hml17_01_2,0
hv102_01_9,0
hv122_2,0
hv237b_1,0
hb32_1,0
hml12_01_0,0
hv243c_1,0
hb32_01,0
hv802,0
hv125_01_1,0
hv253a_0,0
hv253a_1,0
hv026_0,0
hv207_9,0
hv209_9,0
hv026_2,0
hv237a_9,0
hv253z_0,0
hb65_01_3,1
hb63_01_2,0
hv243a_9,0
sh110j_9,0
sh03_01_2,0
hml17_4,0
sh14_01_0,0
hv208_9,1
shlangi_3,0
hb41,0
hv023_2,0
hv202_62,0
hv109_01_1,0
hv121_01_1,0
hv126_01_3,0
hb63_01_3,1
hb33_1_2,0
hml17_01_5,0
hb68_01_4,0
hb65_1_1,0
hv237a_1,0
hv115_1,0
hv101_01_1,0
hv243d_1,0
hml12_1,0
hv237f_1,0
hml12_01_1,0
hb50_1_2,0
hv213_34,0
hv237c_1,0
hv253_1,0
hv219_2,0
hv237d_1,0
hv008a,0
hv807a,0
hb63_1_2,0
hv215_99,0
sh110k_9,0
sh110l_9,0
hb66_1,0
hb55_01_6,0
hb65_01_5,0
hv122_01_2,0
sh110i_9,0
sh110h_9,0
hv253a_9,1
hv116_01_2,0
hv024_12,1
sh28d_9,0
sh03_6,0
sh03_7,0
sh03_01_1,0
hv101_01_3,0
sh14_01_9,0
shlangq_3,0
shlangr_9,0
hb6,0
hb12,0
hb12a,0
hb12b,0
hb68,1
hb3_01,0
hb5_01,0
hb6_01,0
hb11_01,0
hb12_01,0
hb12a_01,0
hb12b_01,0
hb13_01,0
hb40_01,0
hb41_01,0
hb68_01,0
hv023_1,0
hv023_3,0
hv023_4,0
hv023_5,0
hv023_6,0
hv023_7,0
hv023_9,0
hv023_10,0
hv023_11,0
hv023_12,0
hv023_13,0
hv023_14,0
hv023_15,0
hv023_16,0
hv023_17,0
hv023_18,0
hv023_19,0
hv253x_0,0
sh17a_0,0
sh17a_1,0
sh19a_0,0
sh17a_01_0,0
sh17a_01_1,0
sh19a_01_1,0
hv110_01_9,0
hv121_01_0,1
sheduc_01_0,0
sh111h_9,0
hv237z_1,0
hv103_01_9,0
sh19a_1,0
sh19a_3,0
sh21a_0,0
sh19aa_0,0
hb33_1_5,0
sh19a_01_0,0
sh19a_01_3,0
sh21a_01_0,0
sh19aa_01_0,0
hb61_1_3,0
hb33_1_3,0
hb33_01_5,0
hv045b_2,1
hv045b_3,0
hv024_9,1
hv024_10,1
hv227_9,0
sh121g_9,0
sh23_01_9,0
hb55_01_3,0
hb61_01_1,0
hb61_01_3,0
hv023,0
hv101_01_6,0
v006,0
v008,0
mv138,0
v030,0
v011,1
v218,0
v151_1,0
v151_2,0
v014_6,1
v149_0,1
v014_1,1
v014_3,0
v502_0,1
v513_0,0
hml17_01_1,0
sh110j_1,0
sh110k_1,0
hb50_2,0
sh110i_1,0
sh110h_1,0
hv253x_8,0
hv110_1,0
hv237z_8,0
sh110g_1,0
sh110l_1,0
sh110m_1,0
hb33_3,0
hb50_01_2,0
hv253z_8,0
sh110n_1,0
sh110o_1,0
hv237x_1,0
hv226_8,0
hv807c,0
hv126_01_2,0
smanem,0
sm49c,0
sm50_9,0
hv024_13,0
hv024_11,0
hv024_14,0
sh03_98,0
sm49h_0,0
sm49h_4,0
sm49h_9,0
sh110o_9,0
hml17_01_3,1
hb33_01_6,0
hml19_01,0
hml20_01,0
sh110m_9,0
sh110n_9,0
sh110p_9,0
