src,target,PearsonC,pearson,spearman,country,year
v190,hv106,0.5344596252840662,0.5123166860152346,0.5759998076695592,Angola,2015-16
v190,mv133,0.5708717766262724,0.6072601356103522,0.6153780042635292,Angola,2015-16
v190,hv106,0.45699799082238707,0.40305873301764117,0.4181866612675807,Burkina_Faso,2003
v190,mv133,NA,NA,NA,Burkina_Faso,2003
v190,hv106,NA,0.32676615200186737,0.34572537077021004,Burkina_Faso,2010
v190,mv133,NA,0.45868410856086617,0.49253862045128577,Burkina_Faso,2010
v190,hv106,NA,0.25358101066700967,0.22557987491672613,Chad,2014-15
v190,mv133,0.4418345695101339,0.28514520085478334,0.2480231572306169,Chad,2014-15
v190,hv106,0.44778517012849456,0.4027433269472294,0.458901844071453,Congo_Democratic_Republic,2007
v190,mv133,NA,NA,NA,Congo_Democratic_Republic,2007
v190,hv106,0.4273355119570501,0.402572414857425,0.4004619187034636,Congo_Democratic_Republic,2013-14
v190,mv133,0.43863727768862,0.4020008169024721,0.38598285929942067,Congo_Democratic_Republic,2013-14
v190,hv106,0.38429265114287253,0.3615705542254096,0.3775177209575035,Congo,2009
v190,mv133,NA,NA,NA,Congo,2009
v190,hv106,NA,0.3083552105156334,0.33481298846157603,Cote_d'Ivoire,2005
v190,mv133,NA,NA,NA,Cote_d'Ivoire,2005
v190,hv106,0.42372003130899466,0.4278762568166678,0.41287095928285056,Cote_d'Ivoire,2011-12
v190,mv133,0.4923267355639135,0.5000895529738082,0.4828254373550089,Cote_d'Ivoire,2011-12
v190,hv106,NA,0.47284768503810526,0.5132056317836561,Ethiopia,2005
v190,mv133,NA,NA,NA,Ethiopia,2005
v190,hv106,0.48518750546737477,0.452993953139537,0.4825183042887772,Ethiopia,2011
v190,mv133,0.5350488428275801,0.5079772527046544,0.5537116299665763,Ethiopia,2011
v190,hv106,0.41028866639962897,0.2150091245358343,0.3502695509652624,Gabon,2012
v190,mv133,0.4463657436107128,0.2927401455913062,0.37540293372453937,Gabon,2012
v190,hv106,0.46809038896512356,0.45237952497863765,0.49657262518060236,Ghana,2003
v190,mv133,NA,NA,NA,Ghana,2003
v190,hv106,NA,0.49258290689259937,0.49820821226283807,Ghana,2014
