nodes,removeVar
_append_0,1
_append_1,1
hiv02,1
hiv05,1
hivage,1
hivclust,1
hivline,1
hivnumb,1
hivsex_1,1
hivsex_2,1
hml1,0
hml12_0,0
hml12_01_0,0
hml12_01_1,1
hml12_01_2,1
hml12_1,1
hml12_2,0
hml13,0
hml13_01,0
hml16,1
hml16_01,1
hml17_01_0,1
hml17_01_1,1
hml17_01_2,1
hml17_01_5,1
hml17_1,0
hml17_2,0
hml17_3,0
hml17_4,0
hml17_5,0
hml17_6,0
hml19_0,1
hml19_01,1
hml19_01_0,1
hml19_01_1,1
hml19_1,1
hml1a,1
hml20,0
hml20_0,1
hml20_01,1
hml20_01_0,1
hml20_01_1,1
hml20_1,1
hv004,1
hv005,0
hv006,0
hv007,0
hv008,1
hv008a,1
hv009,0
hv010,0
hv012,1
hv013,1
hv014,0
hv016,0
hv018,0
hv021,1
hv022,0
hv022_1,0
hv022_10,0
hv022_11,0
hv022_12,0
hv022_13,0
hv022_14,0
hv022_15,0
hv022_16,0
hv022_17,0
hv022_18,0
hv022_19,0
hv022_2,0
hv022_20,0
hv022_21,0
hv022_22,0
hv022_23,0
hv022_3,0
hv022_4,0
hv022_5,0
hv022_6,0
hv022_7,0
hv022_8,0
hv022_9,0
hv023,1
hv023_1,1
hv023_10,1
hv023_11,1
hv023_12,1
hv023_13,1
hv023_14,1
hv023_15,1
hv023_16,1
hv023_17,1
hv023_18,1
hv023_19,1
hv023_2,1
hv023_20,1
hv023_21,1
hv023_22,1
hv023_23,1
hv023_25,0
hv023_3,1
hv023_4,1
hv023_5,1
hv023_6,1
hv023_7,1
hv023_8,0
hv023_9,1
hv024_1,1
hv024_10,1
hv024_11,1
hv024_12,1
hv024_13,1
hv024_14,1
hv024_15,0
hv024_16,0
hv024_17,0
hv024_18,0
hv024_19,0
hv024_2,1
hv024_20,0
hv024_21,0
hv024_3,1
hv024_4,1
hv024_5,1
hv024_6,1
hv024_7,1
hv024_8,1
hv024_9,1
hv025_1,0
hv025_2,1
hv026_0,1
hv026_1,1
hv026_2,1
hv026_3,1
hv026_4,1
hv028,1
hv030,1
hv030_101,1
hv030_11,0
hv030_111,0
hv030_121,0
hv030_131,0
hv030_141,0
hv030_151,0
hv030_21,0
hv030_31,0
hv030_41,0
hv030_51,0
hv030_61,0
hv030_66,1
hv030_71,0
hv030_81,1
hv030_91,0
hv031,1
hv031_102,1
hv031_112,1
hv031_12,1
hv031_122,1
hv031_132,1
hv031_142,1
hv031_152,1
hv031_22,1
hv031_32,1
hv031_42,1
hv031_52,1
hv031_62,1
hv031_72,1
hv031_82,1
hv031_92,1
hv035,1
hv041,1
hv045a_1,0
hv045a_2,0
hv045a_3,0
hv045b_1,1
hv045b_2,1
hv045b_3,1
hv101_01_1,0
hv101_01_10,1
hv101_01_2,1
hv101_01_3,1
hv101_01_4,0
hv101_01_6,1
hv101_1,0
hv101_11,0
hv101_2,0
hv101_3,0
hv101_4,0
hv101_5,0
hv101_6,0
hv101_7,0
hv101_9,0
hv101_98,0
hv101_99,0
hv102_0,0
hv102_01_0,0
hv102_01_1,0
hv102_01_9,1
hv102_1,0
hv102_9,1
hv103_01_9,1
hv103_9,0
hv104_01_1,1
hv104_01_2,1
hv104_1,0
hv104_2,0
hv105,0
hv105_01,1
hv106_0,0
hv106_01_0,0
hv106_01_1,0
hv106_01_2,0
hv106_01_3,0
hv106_01_9,0
hv106_1,0
hv106_2,0
hv106_3,0
hv106_9,0
hv109_0,1
hv109_01_0,1
hv109_01_1,1
hv109_01_2,0
hv109_01_3,1
hv109_01_4,0
hv109_01_5,1
hv109_01_9,1
hv109_1,1
hv109_2,0
hv109_3,1
hv109_4,0
hv109_5,1
hv109_9,1
hv110_0,0
hv110_01,0
hv110_01_0,0
hv110_01_1,0
hv110_01_9,1
hv110_1,0
hv110_9,0
hv115_0,0
hv115_01_0,0
hv115_01_1,0
hv115_01_2,0
hv115_01_3,0
hv115_01_4,0
hv115_01_5,0
hv115_01_9,0
hv115_1,0
hv115_2,0
hv115_3,0
hv115_4,0
hv115_5,0
hv115_9,0
hv116_0,1
hv116_01_0,1
hv116_01_1,1
hv116_01_2,1
hv116_01_9,1
hv116_1,1
hv116_2,1
hv116_9,1
hv117_0,1
hv117_01_0,1
hv117_01_1,1
hv117_1,1
hv118_0,1
hv118_1,1
hv121_0,1
hv121_01_0,1
hv121_01_1,1
hv121_01_2,1
hv121_01_9,1
hv121_1,1
hv121_2,1
hv121_9,1
hv122_0,1
hv122_01_0,1
hv122_01_1,0
hv122_01_2,1
hv122_01_3,0
hv122_01_9,1
hv122_1,0
hv122_2,1
hv122_3,0
hv122_9,1
hv124,0
hv124_01,0
hv125_0,1
hv125_01,1
hv125_01_0,0
hv125_01_1,1
hv125_01_9,1
hv125_1,1
hv125_9,1
hv126_0,1
hv126_01_0,1
hv126_01_1,1
hv126_01_2,1
hv126_01_3,1
hv126_01_9,1
hv126_1,0
hv126_2,1
hv126_9,1
hv128,1
hv128_01,1
hv201_11,0
hv201_12,0
hv201_13,0
hv201_21,0
hv201_31,0
hv201_32,0
hv201_41,0
hv201_42,0
hv201_43,0
hv201_51,0
hv201_61,0
hv201_62,0
hv201_71,0
hv201_72,0
hv201_96,0
hv201_99,0
hv202_11,1
hv202_12,1
hv202_13,1
hv202_21,1
hv202_31,1
hv202_32,1
hv202_41,1
hv202_42,1
hv202_43,1
hv202_51,1
hv202_61,1
hv202_62,1
hv202_71,1
hv202_96,1
hv202_99,1
hv205_11,0
hv205_21,0
hv205_22,0
hv205_31,0
hv205_41,0
hv205_96,0
hv205_99,0
hv206_1,0
hv206_9,1
hv207_9,1
hv208_9,1
hv209_9,1
hv210_9,1
hv211_9,1
hv212_0,0
hv212_1,0
hv212_9,1
hv213_96,0
hv213_99,0
hv214_11,0
hv214_26,0
hv215_21,1
hv215_24,1
hv215_96,1
hv215_99,1
hv217_0,1
hv218,0
hv219_1,0
hv219_2,0
hv220,0
hv221_9,1
hv226_1,0
hv226_12,0
hv226_2,0
hv226_3,0
hv226_4,0
hv226_6,0
hv226_7,0
hv226_8,0
hv226_96,0
hv226_99,1
hv227_1,1
hv227_9,1
hv234_0,0
hv234_15,0
hv234_30,0
hv234_7,0
hv234_994,0
hv234_995,0
hv234_999,0
hv234a_0,1
hv234a_1,1
hv234a_3,1
hv234a_6,1
hv234a_9,1
hv237_0,0
hv237_1,0
hv237_8,0
hv237_9,1
hv237a_0,1
hv237a_1,1
hv237a_8,0
hv237a_9,1
hv237b_8,0
hv237b_9,1
hv237c_0,1
hv237c_1,1
hv237c_8,0
hv237c_9,1
hv237d_0,0
hv237d_8,0
hv237d_9,1
hv237e_0,1
hv237e_8,0
hv237e_9,1
hv237f_0,0
hv237f_8,0
hv237f_9,1
hv237g_9,1
hv237x_0,1
hv237x_8,0
hv237x_9,1
hv237z_0,1
hv237z_1,1
hv237z_9,1
hv243a_9,1
hv243b_9,1
hv243c_9,1
hv243d_9,1
hv244_8,1
hv244_9,1
hv246_9,1
hv246b,0
hv246c,0
hv246c_99,1
hv246e,0
hv246f,0
hv246g,1
hv246h,1
hv246i,1
hv247_9,1
hv253_0,0
hv253_1,0
hv253_9,0
hv253a_0,1
hv253a_1,1
hv253a_9,1
hv253b_0,0
hv253b_9,1
hv253c_0,0
hv253c_9,1
